"BallStriking_RANKTHISWEEK_2008","BallStriking_RANKLASTWEEK_2008","BallStriking_PLAYERNAME_2008","BallStriking_ROUNDS_2008","BallStriking_VALUE_2008","BallStriking_TOTALDRVRANK_2008","BallStriking_GIRRANK_2008","stat_name","year"
1,1,"Joe Durant",92,8,7,1,"BallStriking",2008
2,2,"John Riegger",73,13,5,8,"BallStriking",2008
3,3,"John Senden",93,19,9,10,"BallStriking",2008
4,4,"Robert Allenby",108,21,19,2,"BallStriking",2008
4,4,"John Huston",56,21,17,4,"BallStriking",2008
6,6,"JJ Henry",108,29,20,9,"BallStriking",2008
6,6,"John Merrick",98,29,4,25,"BallStriking",2008
8,8,"Jeff Gove",50,30,8,22,"BallStriking",2008
8,8,"Hunter Mahan",87,30,23,7,"BallStriking",2008
10,10,"Nick Watney",96,37,21,16,"BallStriking",2008
11,11,"Mathew Goggin",91,39,10,29,"BallStriking",2008
11,11,"Steve Marino",119,39,24,15,"BallStriking",2008
13,13,"Jason Gore",94,40,1,39,"BallStriking",2008
14,14,"Chad Campbell",94,43,30,13,"BallStriking",2008
14,14,"Harrison Frazar",73,43,40,3,"BallStriking",2008
16,16,"Charles Warren",79,46,2,44,"BallStriking",2008
17,17,"Billy Mayfair",103,47,28,19,"BallStriking",2008
18,18,"Kent Jones",68,48,42,6,"BallStriking",2008
19,19,"Boo Weekley",86,56,34,22,"BallStriking",2008
20,20,"Chris Stroud",81,64,38,26,"BallStriking",2008
21,21,"Michael Allen",91,66,13,53,"BallStriking",2008
22,22,"Kenny Perry",97,68,38,30,"BallStriking",2008
23,23,"Charley Hoffman",94,69,6,63,"BallStriking",2008
24,24,"Pat Perez",93,70,27,43,"BallStriking",2008
24,24,"Mark Wilson",107,70,28,42,"BallStriking",2008
26,26,"Martin Laird",98,71,33,38,"BallStriking",2008
27,27,"Briny Baird",113,75,70,5,"BallStriking",2008
28,28,"Rich Beem",90,79,22,57,"BallStriking",2008
28,28,"Vijay Singh",82,79,67,12,"BallStriking",2008
30,30,"Bill Haas",99,80,60,20,"BallStriking",2008
31,31,"Troy Matteson",94,81,49,32,"BallStriking",2008
32,32,"Woody Austin",109,82,64,18,"BallStriking",2008
32,32,"Ryan Palmer",69,82,31,51,"BallStriking",2008
34,34,"Charlie Wi",97,83,24,59,"BallStriking",2008
35,35,"Kevin Streelman",114,85,54,31,"BallStriking",2008
36,36,"Jay Williamson",96,87,35,52,"BallStriking",2008
37,37,"Paul Casey",55,89,15,74,"BallStriking",2008
37,37,"Ben Crane",86,89,16,73,"BallStriking",2008
39,39,"Ryan Armour",87,91,13,78,"BallStriking",2008
40,40,"Robert Garrigus",90,93,72,21,"BallStriking",2008
40,40,"DJ Trahan",94,93,31,62,"BallStriking",2008
