"Front9LowestRound_RANKTHISWEEK_2013","Front9LowestRound_RANKLASTWEEK_2013","Front9LowestRound_PLAYERNAME_2013","Front9LowestRound__2013","Front9LowestRound_LOWRND_2013","stat_name","year"
1,1,"Keegan Bradley",NA,29,"Front9LowestRound",2013
1,1,"Roberto Castro",NA,29,"Front9LowestRound",2013
1,1,"Rickie Fowler",NA,29,"Front9LowestRound",2013
1,1,"Scott Gardiner",NA,29,"Front9LowestRound",2013
1,1,"Charley Hoffman",NA,29,"Front9LowestRound",2013
1,1,"Morgan Hoffmann",NA,29,"Front9LowestRound",2013
1,1,"Colt Knost",NA,29,"Front9LowestRound",2013
1,1,"Kenny Perry",NA,29,"Front9LowestRound",2013
1,1,"Ted Potter Jr",NA,29,"Front9LowestRound",2013
1,1,"Chez Reavie",NA,29,"Front9LowestRound",2013
1,1,"Justin Rose",NA,29,"Front9LowestRound",2013
1,1,"Vijay Singh",NA,29,"Front9LowestRound",2013
1,1,"Brandt Snedeker",NA,29,"Front9LowestRound",2013
1,1,"Scott Stallings",NA,29,"Front9LowestRound",2013
1,1,"David Toms",NA,29,"Front9LowestRound",2013
1,1,"Johnson Wagner",NA,29,"Front9LowestRound",2013
1,1,"Jimmy Walker",NA,29,"Front9LowestRound",2013
1,1,"Charlie Wi",NA,29,"Front9LowestRound",2013
19,19,"Mark Anderson",NA,30,"Front9LowestRound",2013
19,19,"Ricky Barnes",NA,30,"Front9LowestRound",2013
19,19,"Matt Bettencourt",NA,30,"Front9LowestRound",2013
19,19,"Steven Bowditch",NA,30,"Front9LowestRound",2013
19,19,"Scott Brown",NA,30,"Front9LowestRound",2013
19,19,"Kevin Chappell",NA,30,"Front9LowestRound",2013
19,19,"Gary Christian",NA,30,"Front9LowestRound",2013
19,19,"Tim Clark",NA,30,"Front9LowestRound",2013
19,19,"Donald Constable",NA,30,"Front9LowestRound",2013
19,19,"Graham DeLaet",NA,30,"Front9LowestRound",2013
19,19,"Harris English",NA,30,"Front9LowestRound",2013
