"ProximitytoHolefromSand_RANKTHISWEEK_2013","ProximitytoHolefromSand_RANKLASTWEEK_2013","ProximitytoHolefromSand_PLAYERNAME_2013","ProximitytoHolefromSand_ROUNDS_2013","ProximitytoHolefromSand_AVGDTP_2013","ProximitytoHolefromSand_TOTALDISTANCEFEET_2013","ProximitytoHolefromSand_OFSHOTS_2013","ProximitytoHolefromSand_SCRAMBLINGRANK_2013","stat_name","year"
1,NA,"Justin Rose",62,NA,404.417,59,35,"ProximitytoHolefromSand",2013
1,NA,"Lee Williams",62,NA,561.5,82,7,"ProximitytoHolefromSand",2013
3,NA,"Bud Cauley",67,NA,570.917,83,165,"ProximitytoHolefromSand",2013
3,NA,"Jason Day",86,NA,653.75,95,27,"ProximitytoHolefromSand",2013
5,NA,"Steven Bowditch",67,NA,667.833,95,17,"ProximitytoHolefromSand",2013
5,NA,"Jin Park",52,NA,442.75,63,65,"ProximitytoHolefromSand",2013
7,NA,"Justin Leonard",86,NA,683.667,97,72,"ProximitytoHolefromSand",2013
7,NA,"Casey Wittenberg",72,NA,647.75,91,37,"ProximitytoHolefromSand",2013
9,NA,"Charlie Wi",75,NA,879.333,123,47,"ProximitytoHolefromSand",2013
10,NA,"Luke Donald",60,NA,425.333,59,22,"ProximitytoHolefromSand",2013
10,NA,"Bob Estes",66,NA,625.167,86,1,"ProximitytoHolefromSand",2013
10,NA,"Robert Karlsson",56,NA,406.25,56,100,"ProximitytoHolefromSand",2013
13,NA,"Tom Gillis",69,NA,703.167,96,44,"ProximitytoHolefromSand",2013
13,NA,"Mike Weir",60,NA,702.333,96,70,"ProximitytoHolefromSand",2013
15,NA,"Kevin Chappell",80,NA,646.167,86,81,"ProximitytoHolefromSand",2013
15,NA,"Stewart Cink",71,NA,623.25,83,164,"ProximitytoHolefromSand",2013
17,NA,"Stuart Appleby",88,NA,820.083,108,4,"ProximitytoHolefromSand",2013
17,NA,"Ben Crane",62,NA,660.75,87,9,"ProximitytoHolefromSand",2013
