"BonusPutting_RANKTHISWEEK_2011","BonusPutting_RANKLASTWEEK_2011","BonusPutting_PLAYERNAME_2011","BonusPutting_ROUNDS_2011","BonusPutting_VALUE_2011","BonusPutting_ATTEMPTS_2011","BonusPutting_TOTMADE20_2011","BonusPutting_TOTMADE_2011","stat_name","year"
1,1,"Brian Gay",90,102.06,1020,39,1002,"BonusPutting",2011
2,2,"Will Strickler",51,101.85,593,25,579,"BonusPutting",2011
3,3,"Brandt Snedeker",85,101.72,931,40,907,"BonusPutting",2011
4,4,"Johnson Wagner",81,101.61,993,50,959,"BonusPutting",2011
5,5,"David Toms",78,101.37,805,34,782,"BonusPutting",2011
6,6,"Kevin Na",84,101.29,927,36,903,"BonusPutting",2011
7,7,"Jason Day",76,101.25,802,33,779,"BonusPutting",2011
8,8,"Chez Reavie",92,101.19,1175,54,1135,"BonusPutting",2011
8,8,"YE Yang",63,101.19,589,21,575,"BonusPutting",2011
10,10,"Luke Donald",73,101.14,701,24,685,"BonusPutting",2011
11,11,"Hunter Mahan",92,101.04,1060,45,1026,"BonusPutting",2011
12,12,"Graeme McDowell",50,100.99,507,23,489,"BonusPutting",2011
13,13,"Padraig Harrington",60,100.92,652,25,633,"BonusPutting",2011
14,14,"Carl Pettersson",95,100.87,1263,45,1229,"BonusPutting",2011
15,15,"William McGirt",103,100.75,1328,43,1295,"BonusPutting",2011
15,15,"Dean Wilson",62,100.75,800,30,776,"BonusPutting",2011
17,17,"Matt McQuillan",59,100.73,685,31,659,"BonusPutting",2011
17,17,"Ryan Moore",79,100.73,822,25,803,"BonusPutting",2011
19,19,"Colt Knost",80,100.72,968,30,945,"BonusPutting",2011
20,20,"Blake Adams",116,100.69,1441,50,1401,"BonusPutting",2011
20,20,"Bill Haas",93,100.69,1013,28,992,"BonusPutting",2011
22,22,"Shane Bertsch",62,100.68,737,29,713,"BonusPutting",2011
23,23,"Steve Elkington",50,100.67,595,14,585,"BonusPutting",2011
24,24,"Michael Putnam",67,100.66,752,27,730,"BonusPutting",2011
25,25,"Scott McCarron",65,100.64,778,29,754,"BonusPutting",2011
26,26,"Michael Thompson",79,100.62,961,31,936,"BonusPutting",2011
27,27,"Trevor Immelman",84,100.61,976,31,951,"BonusPutting",2011
28,28,"JP Hayes",56,100.59,679,22,661,"BonusPutting",2011
29,29,"Aron Price",58,100.57,707,29,682,"BonusPutting",2011
30,30,"Greg Chalmers",88,100.55,1091,36,1061,"BonusPutting",2011
30,30,"Ben Martin",74,100.55,907,34,878,"BonusPutting",2011
32,32,"Shaun Micheel",77,100.54,925,33,897,"BonusPutting",2011
33,33,"Freddie Jacobson",92,100.51,979,29,955,"BonusPutting",2011
34,34,"John Rollins",85,100.48,1034,43,996,"BonusPutting",2011
