"SpinRate_RANKTHISWEEK_2009","SpinRate_RANKLASTWEEK_2009","SpinRate_PLAYERNAME_2009","SpinRate_ROUNDS_2009","SpinRate_AVG_2009","SpinRate_TOTALSPINSPEED_2009","SpinRate_TOTALATTEMPTS_2009","SpinRate_HIGHESTSPINRATE_2009","SpinRate_LOWESTSPINRATE_2009","stat_name","year"
1,1,"Derek Fathauer",63,3093.3,111359,36,3684,2250,"SpinRate",2009
2,2,"John Senden",100,3092.9,210315,68,3741,1936,"SpinRate",2009
3,3,"Scott McCarron",91,3087.3,188328,61,3744,1975,"SpinRate",2009
4,4,"Bill Haas",91,3067.2,211635,69,3746,1597,"SpinRate",2009
5,5,"Joe Durant",62,3053.2,112969,37,3693,2266,"SpinRate",2009
6,6,"Kevin Na",91,3037.9,182275,60,3678,2149,"SpinRate",2009
7,7,"Adam Scott",53,3014.6,102497,34,3740,1843,"SpinRate",2009
8,8,"Greg Owen",97,3001.7,204118,68,3702,1584,"SpinRate",2009
9,9,"Marc Leishman",91,2979.2,199604,67,3658,2216,"SpinRate",2009
10,10,"Chris DiMarco",97,2976.8,202425,68,3662,1575,"SpinRate",2009
11,11,"Luke Donald",79,2975.7,166639,56,3647,1661,"SpinRate",2009
12,12,"Bob Estes",78,2968.8,195940,66,3676,1731,"SpinRate",2009
13,13,"Charles Howell III",99,2967.2,231445,78,4029,1974,"SpinRate",2009
14,14,"Stephen Ames",77,2964.7,171951,58,3675,2265,"SpinRate",2009
15,15,"Woody Austin",84,2962.1,213272,72,3537,1971,"SpinRate",2009
16,16,"Aaron Baddeley",66,2961,142129,48,3664,2389,"SpinRate",2009
17,17,"Bryce Molder",69,2936.5,123333,42,3584,1943,"SpinRate",2009
18,18,"Jim Furyk",86,2934.8,155547,53,3723,1972,"SpinRate",2009
19,19,"Boo Weekley",79,2926.5,184372,63,3596,2150,"SpinRate",2009
20,20,"Michael Allen",73,2923.1,108155,37,3579,2254,"SpinRate",2009
21,21,"Marc Turnesa",77,2921.1,210322,72,3574,2100,"SpinRate",2009
22,22,"Dean Wilson",81,2919,151789,52,3696,2025,"SpinRate",2009
23,23,"Ricky Barnes",67,2917.6,134211,46,3743,1580,"SpinRate",2009
24,24,"Nick Watney",86,2912.9,183511,63,3652,2164,"SpinRate",2009
25,25,"Kevin Streelman",97,2911.3,212528,73,3664,1720,"SpinRate",2009
26,26,"Ryuji Imada",85,2910.9,177565,61,3480,1896,"SpinRate",2009
27,27,"Nathan Green",104,2901.8,255360,88,3675,1850,"SpinRate",2009
28,28,"Martin Laird",72,2898,133308,46,3642,2041,"SpinRate",2009
29,29,"James Nitties",86,2894.4,138929,48,3692,2125,"SpinRate",2009
30,30,"Brendon de Jonge",90,2890.7,173442,60,3555,1578,"SpinRate",2009
31,31,"Jonathan Byrd",89,2879.2,158355,55,3619,1597,"SpinRate",2009
32,32,"Jeff Klauk",97,2869.6,229567,80,3344,2154,"SpinRate",2009
33,33,"Parker McLachlin",71,2867.9,154866,54,3645,2129,"SpinRate",2009
34,34,"Jason Bohn",88,2862.3,223263,78,3573,2159,"SpinRate",2009
35,35,"Geoff Ogilvy",78,2854,179799,63,3613,2086,"SpinRate",2009
36,36,"George McNeill",82,2848.3,187985,66,3721,2061,"SpinRate",2009
37,37,"Charlie Wi",92,2845.8,199204,70,3694,2007,"SpinRate",2009
38,38,"Jarrod Lyle",65,2835.4,127593,45,3655,2055,"SpinRate",2009
39,39,"Ted Purdy",101,2830.5,203795,72,3634,1988,"SpinRate",2009
40,40,"Troy Matteson",95,2829.8,217892,77,3679,1507,"SpinRate",2009
41,41,"Jeff Quinney",78,2827.3,178122,63,3654,1804,"SpinRate",2009
42,42,"Tag Ridings",50,2826.8,93283,33,3684,1878,"SpinRate",2009
43,43,"Brian Vranesh",51,2818.6,81738,29,3662,2046,"SpinRate",2009
44,44,"Steve Flesch",77,2817.9,126806,45,3597,1924,"SpinRate",2009
45,45,"Todd Hamilton",83,2814,154770,55,3505,1906,"SpinRate",2009
46,46,"Greg Chalmers",85,2811.5,160256,57,3611,1935,"SpinRate",2009
47,47,"David Duval",56,2805.7,84172,30,3635,1700,"SpinRate",2009
48,48,"Matt Jones",56,2803.8,89720,32,3637,1888,"SpinRate",2009
49,49,"Steve Lowery",83,2802.3,162533,58,3656,1547,"SpinRate",2009
50,50,"Mathew Goggin",76,2801.9,151304,54,3599,2071,"SpinRate",2009
51,51,"Tiger Woods",64,2796.7,89494,32,3541,1688,"SpinRate",2009
52,52,"Rod Pampling",72,2793.4,153636,55,3475,1934,"SpinRate",2009
53,53,"Kris Blanks",60,2787.1,108696,39,3516,1982,"SpinRate",2009
54,54,"Johnson Wagner",81,2785,183812,66,3522,2170,"SpinRate",2009
