"FirstTeeLateScoringAverage_RANKTHISWEEK_2009","FirstTeeLateScoringAverage_RANKLASTWEEK_2009","FirstTeeLateScoringAverage_PLAYERNAME_2009","FirstTeeLateScoringAverage_ROUNDS_2009","FirstTeeLateScoringAverage_AVG_2009","FirstTeeLateScoringAverage_TOTALSTROKES_2009","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2009","stat_name","year"
1,1,"Jimmy Walker",74,68.83,826,12,"FirstTeeLateScoringAverage",2009
1,1,"Tiger Woods",64,68.83,2891,42,"FirstTeeLateScoringAverage",2009
3,3,"John Mallinger",90,69.45,1528,22,"FirstTeeLateScoringAverage",2009
4,4,"Jason Day",61,69.5,1668,24,"FirstTeeLateScoringAverage",2009
5,5,"Brian Davis",103,69.57,2087,30,"FirstTeeLateScoringAverage",2009
6,6,"Chris Riley",77,69.71,1464,21,"FirstTeeLateScoringAverage",2009
7,7,"Stephen Ames",77,69.74,1883,27,"FirstTeeLateScoringAverage",2009
8,8,"Ryan Moore",89,69.76,2023,29,"FirstTeeLateScoringAverage",2009
9,9,"Tag Ridings",50,69.77,907,13,"FirstTeeLateScoringAverage",2009
10,10,"Brian Gay",96,69.79,1954,28,"FirstTeeLateScoringAverage",2009
11,11,"Jerry Kelly",90,69.81,1885,27,"FirstTeeLateScoringAverage",2009
12,12,"Steve Stricker",81,69.82,3072,44,"FirstTeeLateScoringAverage",2009
12,12,"David Toms",98,69.82,3072,44,"FirstTeeLateScoringAverage",2009
14,14,"Phil Mickelson",66,69.86,1956,28,"FirstTeeLateScoringAverage",2009
15,15,"Zach Johnson",94,69.87,3214,46,"FirstTeeLateScoringAverage",2009
16,16,"Jim Furyk",86,69.88,2865,41,"FirstTeeLateScoringAverage",2009
16,16,"Hunter Mahan",94,69.88,2795,40,"FirstTeeLateScoringAverage",2009
18,18,"Jason Dufner",90,69.92,1748,25,"FirstTeeLateScoringAverage",2009
19,19,"Heath Slocum",95,69.93,1958,28,"FirstTeeLateScoringAverage",2009
20,20,"Tom Lehman",55,69.94,1189,17,"FirstTeeLateScoringAverage",2009
21,21,"Justin Leonard",95,69.95,3008,43,"FirstTeeLateScoringAverage",2009
22,22,"Michael Allen",73,69.96,1749,25,"FirstTeeLateScoringAverage",2009
23,23,"Jeff Klauk",97,69.97,2169,31,"FirstTeeLateScoringAverage",2009
24,24,"Tim Clark",81,70,1960,28,"FirstTeeLateScoringAverage",2009
25,25,"Tom Pernice Jr",82,70.04,1961,28,"FirstTeeLateScoringAverage",2009
26,26,"Harrison Frazar",93,70.06,2172,31,"FirstTeeLateScoringAverage",2009
27,27,"Michael Letzig",96,70.07,1892,27,"FirstTeeLateScoringAverage",2009
28,28,"Luke Donald",79,70.13,1683,24,"FirstTeeLateScoringAverage",2009
28,28,"Matt Kuchar",82,70.13,2244,32,"FirstTeeLateScoringAverage",2009
30,30,"Bill Haas",91,70.15,2315,33,"FirstTeeLateScoringAverage",2009
31,31,"Bryce Molder",69,70.17,1684,24,"FirstTeeLateScoringAverage",2009
32,32,"Kenny Perry",92,70.18,3158,45,"FirstTeeLateScoringAverage",2009
32,32,"Dean Wilson",81,70.18,1193,17,"FirstTeeLateScoringAverage",2009
34,34,"Chad Campbell",90,70.2,1755,25,"FirstTeeLateScoringAverage",2009
34,34,"Kevin Streelman",97,70.2,2106,30,"FirstTeeLateScoringAverage",2009
36,36,"Paul Goydos",79,70.21,1334,19,"FirstTeeLateScoringAverage",2009
36,36,"Freddie Jacobson",83,70.21,1685,24,"FirstTeeLateScoringAverage",2009
36,36,"Webb Simpson",94,70.21,2317,33,"FirstTeeLateScoringAverage",2009
36,36,"DJ Trahan",96,70.21,1966,28,"FirstTeeLateScoringAverage",2009
40,40,"Padraig Harrington",66,70.23,2177,31,"FirstTeeLateScoringAverage",2009
41,41,"Glen Day",79,70.24,1475,21,"FirstTeeLateScoringAverage",2009
42,42,"George McNeill",82,70.28,2038,29,"FirstTeeLateScoringAverage",2009
42,42,"John Merrick",91,70.28,2249,32,"FirstTeeLateScoringAverage",2009
44,44,"John Senden",100,70.31,2250,32,"FirstTeeLateScoringAverage",2009
45,45,"Charlie Wi",92,70.32,1969,28,"FirstTeeLateScoringAverage",2009
46,46,"Greg Chalmers",85,70.34,2040,29,"FirstTeeLateScoringAverage",2009
47,47,"Lee Janzen",74,70.35,1618,23,"FirstTeeLateScoringAverage",2009
48,48,"Kirk Triplett",60,70.36,985,14,"FirstTeeLateScoringAverage",2009
49,49,"Briny Baird",89,70.37,2885,41,"FirstTeeLateScoringAverage",2009
49,49,"Kevin Na",91,70.37,2463,35,"FirstTeeLateScoringAverage",2009
51,51,"Scott Verplank",88,70.38,2252,32,"FirstTeeLateScoringAverage",2009
52,52,"Scott Sterling",51,70.41,1197,17,"FirstTeeLateScoringAverage",2009
53,53,"Bob Estes",78,70.42,1338,19,"FirstTeeLateScoringAverage",2009
53,53,"Martin Laird",72,70.42,1831,26,"FirstTeeLateScoringAverage",2009
55,55,"Steve Marino",98,70.43,2606,37,"FirstTeeLateScoringAverage",2009
56,56,"Davis Love III",89,70.44,1761,25,"FirstTeeLateScoringAverage",2009
57,57,"Joe Ogilvie",85,70.46,1832,26,"FirstTeeLateScoringAverage",2009
58,58,"Corey Pavin",73,70.47,1339,19,"FirstTeeLateScoringAverage",2009
59,59,"Sean OHair",80,70.48,2185,31,"FirstTeeLateScoringAverage",2009
60,60,"Lucas Glover",93,70.49,2890,41,"FirstTeeLateScoringAverage",2009
61,61,"Jason Gore",74,70.5,987,14,"FirstTeeLateScoringAverage",2009
61,61,"Nick OHern",90,70.5,1833,26,"FirstTeeLateScoringAverage",2009
61,61,"YE Yang",83,70.5,1833,26,"FirstTeeLateScoringAverage",2009
64,64,"Rory Sabbatini",81,70.52,2327,33,"FirstTeeLateScoringAverage",2009
65,65,"Bo Van Pelt",100,70.54,1975,28,"FirstTeeLateScoringAverage",2009
66,66,"Sergio Garcia",59,70.57,1976,28,"FirstTeeLateScoringAverage",2009
67,67,"Brandt Snedeker",81,70.58,1835,26,"FirstTeeLateScoringAverage",2009
67,67,"Mark Wilson",99,70.58,2329,33,"FirstTeeLateScoringAverage",2009
69,69,"Jeff Quinney",78,70.63,1342,19,"FirstTeeLateScoringAverage",2009
70,70,"Anthony Kim",76,70.65,2402,34,"FirstTeeLateScoringAverage",2009
71,71,"Jason Bohn",88,70.67,1272,18,"FirstTeeLateScoringAverage",2009
71,71,"Matt Weibring",65,70.67,1272,18,"FirstTeeLateScoringAverage",2009
73,73,"Robert Garrigus",83,70.69,2050,29,"FirstTeeLateScoringAverage",2009
73,73,"Nick Watney",86,70.69,2545,36,"FirstTeeLateScoringAverage",2009
75,75,"Dustin Johnson",85,70.7,2616,37,"FirstTeeLateScoringAverage",2009
75,75,"Jeff Overton",92,70.7,2616,37,"FirstTeeLateScoringAverage",2009
75,75,"Greg Owen",97,70.7,2333,33,"FirstTeeLateScoringAverage",2009
78,78,"Marc Turnesa",77,70.71,990,14,"FirstTeeLateScoringAverage",2009
79,79,"Steve Elkington",70,70.74,1344,19,"FirstTeeLateScoringAverage",2009
79,79,"Ted Purdy",101,70.74,2193,31,"FirstTeeLateScoringAverage",2009
79,79,"Chris Stroud",88,70.74,2405,34,"FirstTeeLateScoringAverage",2009
82,82,"Charles Howell III",99,70.75,1981,28,"FirstTeeLateScoringAverage",2009
83,83,"Tim Petrovic",97,70.77,2477,35,"FirstTeeLateScoringAverage",2009
