"ConsecutiveBirdiesEaglesstreak_RANKTHISWEEK_2014","ConsecutiveBirdiesEaglesstreak_RANKLASTWEEK_2014","ConsecutiveBirdiesEaglesstreak_PLAYERNAME_2014","ConsecutiveBirdiesEaglesstreak_EVENTS_2014","ConsecutiveBirdiesEaglesstreak_NUMBEROFHOLES_2014","stat_name","year"
1,1,"Billy Horschel",27,6,"ConsecutiveBirdiesEaglesstreak",2014
1,1,"Phil Mickelson",21,6,"ConsecutiveBirdiesEaglesstreak",2014
3,3,"Matt Every",26,5,"ConsecutiveBirdiesEaglesstreak",2014
3,3,"Brian Gay",26,5,"ConsecutiveBirdiesEaglesstreak",2014
3,3,"Brian Harman",32,5,"ConsecutiveBirdiesEaglesstreak",2014
3,3,"Marc Leishman",24,5,"ConsecutiveBirdiesEaglesstreak",2014
3,3,"WC Liang",2,5,"ConsecutiveBirdiesEaglesstreak",2014
3,3,"Andrew Loupe",22,5,"ConsecutiveBirdiesEaglesstreak",2014
3,3,"George McNeill",24,5,"ConsecutiveBirdiesEaglesstreak",2014
3,3,"Tim Wilkinson",25,5,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"Ricky Barnes",27,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"Paul Casey",16,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"Roberto Castro",27,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"Luke Guthrie",26,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"James Hahn",27,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"Peter Hanson",13,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"David Lingmerth",26,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"Ryan Palmer",23,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"Alex Prugh",16,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"Tag Ridings",12,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"Andres Romero",26,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"John Senden",27,4,"ConsecutiveBirdiesEaglesstreak",2014
11,11,"Jimmy Walker",27,4,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Kiradech Aphibarnrat",9,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Woody Austin",22,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Charlie Beljan",26,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Jason Bohn",25,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Jonathan Byrd",24,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Angel Cabrera",23,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Miguel Angel Carballo",15,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Kevin Chappell",28,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Stewart Cink",25,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"John Daly",15,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Graham DeLaet",24,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Victor Dubuisson",10,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Jason Dufner",17,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Joe Durant",15,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Ernie Els",24,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Harris English",28,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Jim Furyk",21,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Tommy Gainey",26,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Sergio Garcia",16,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Brice Garnett",28,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Robert Garrigus",25,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Bill Haas",28,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Chesson Hadley",29,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"JJ Henry",28,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Morgan Hoffmann",32,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Max Homa",8,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Chris Kirk",28,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Jason Kokrak",19,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Bronson La Cassie",18,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Ki Taek Lee",1,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Will Ma Kenzie",27,3,"ConsecutiveBirdiesEaglesstreak",2014
24,24,"Peter Malnati",18,3,"ConsecutiveBirdiesEaglesstreak",2014
