"CarryDistance_RANKTHISWEEK_2008","CarryDistance_RANKLASTWEEK_2008","CarryDistance_PLAYERNAME_2008","CarryDistance_ROUNDS_2008","CarryDistance_AVG_2008","CarryDistance_TOTALDISTTOIMPACT_2008","CarryDistance_TOTALATTEMPTS_2008","CarryDistance_LONGESTCARRYDISTANCE_2008","CarryDistance_SHORTESTCARRYDISTANCE_2008","stat_name","year"
1,NA,"JB Holmes",86,307.9,12622,41,356.9,260.9,"CarryDistance",2008
2,NA,"Angel Cabrera",55,301.6,8446.1,28,342.4,235.5,"CarryDistance",2008
3,NA,"Robert Garrigus",90,301.5,18694.5,62,342.2,272.1,"CarryDistance",2008
4,NA,"Dustin Johnson",92,297.7,15184.8,51,327.5,260,"CarryDistance",2008
5,NA,"Bubba Watson",97,294,15580.8,53,341.5,222.4,"CarryDistance",2008
6,NA,"Nick Watney",96,291.6,20414,70,329.2,246.7,"CarryDistance",2008
7,NA,"Charley Hoffman",94,290.6,24122.8,83,334.1,259.1,"CarryDistance",2008
8,NA,"Travis Perkins",53,289.9,5797.7,20,312.9,265.1,"CarryDistance",2008
9,NA,"Paul Casey",55,289.1,8384.9,29,318.1,251.2,"CarryDistance",2008
10,NA,"Anthony Kim",81,288.6,17893.9,62,322.5,257.7,"CarryDistance",2008
10,NA,"George McNeill",97,288.6,23091.2,80,320.5,253.8,"CarryDistance",2008
12,NA,"Tag Ridings",88,288,17569.8,61,321.9,255.5,"CarryDistance",2008
13,NA,"Vijay Singh",82,287.9,16123.5,56,329.7,254.5,"CarryDistance",2008
14,NA,"Jason Allred",63,287.1,9760.3,34,328.2,252.9,"CarryDistance",2008
15,NA,"Charles Warren",79,286.7,17773.6,62,319.2,250.1,"CarryDistance",2008
16,NA,"Harrison Frazar",73,286.2,12878.8,45,312.4,255.5,"CarryDistance",2008
17,NA,"Davis Love III",78,286,15156.1,53,312.9,258.5,"CarryDistance",2008
18,NA,"Daniel Chopra",84,285.4,15411.9,54,324,249.5,"CarryDistance",2008
18,NA,"Jason Gore",94,285.4,14842.4,52,316.3,254.7,"CarryDistance",2008
20,NA,"Adam Scott",51,285.2,9126.9,32,318.6,249.6,"CarryDistance",2008
21,NA,"Andres Romero",69,285,11113.6,39,320.1,247,"CarryDistance",2008
22,NA,"Fred Couples",60,284.7,9679.6,34,312.8,246.6,"CarryDistance",2008
23,NA,"Lucas Glover",91,283.7,20708,73,321.3,245.5,"CarryDistance",2008
24,NA,"Stewart Cink",87,283.5,13610.1,48,321.3,251.2,"CarryDistance",2008
24,NA,"Martin Laird",98,283.5,19846.1,70,321.3,251.3,"CarryDistance",2008
