"RyderCupEuroPoints_RANKTHISWEEK_2012","RyderCupEuroPoints_RANKLASTWEEK_2012","RyderCupEuroPoints_PLAYERNAME_2012","RyderCupEuroPoints__2012","RyderCupEuroPoints_POINTS_2012","stat_name","year"
1,NA,"Rory McIlroy",NA,4050288.1,"RyderCupEuroPoints",2012
2,NA,"Justin Rose",NA,2602910.21,"RyderCupEuroPoints",2012
3,NA,"Paul Lawrie",NA,2384837.11,"RyderCupEuroPoints",2012
4,NA,"Graeme McDowell",NA,2375790.52,"RyderCupEuroPoints",2012
5,NA,"Francesco Molinari",NA,2112452.06,"RyderCupEuroPoints",2012
6,NA,"Peter Hanson",NA,2022431.76,"RyderCupEuroPoints",2012
7,NA,"Luke Donald",NA,1885170.56,"RyderCupEuroPoints",2012
8,NA,"Martin Kaymer",NA,1871797.49,"RyderCupEuroPoints",2012
9,NA,"Nicolas Colsaerts",NA,1755377.25,"RyderCupEuroPoints",2012
10,NA,"Lee Westwood",NA,1692029.78,"RyderCupEuroPoints",2012
11,NA,"Gonzalo Fdez Castano",NA,1613602.38,"RyderCupEuroPoints",2012
12,NA,"David Lynn",NA,1563740.28,"RyderCupEuroPoints",2012
13,NA,"Sergio Garcia",NA,1502772.6,"RyderCupEuroPoints",2012
14,NA,"Rafa Cabrera Bello",NA,1494744.62,"RyderCupEuroPoints",2012
15,NA,"Alvaro Quiros",NA,1377894.58,"RyderCupEuroPoints",2012
16,NA,"Marcel Siem",NA,1375518.3,"RyderCupEuroPoints",2012
17,NA,"Ian Poulter",NA,1290985.55,"RyderCupEuroPoints",2012
18,NA,"Thomas Bjorn",NA,1210207.67,"RyderCupEuroPoints",2012
19,NA,"Joost Luiten",NA,1103691.44,"RyderCupEuroPoints",2012
20,NA,"Jamie Donaldson",NA,1096895.04,"RyderCupEuroPoints",2012
21,NA,"Michael Hoey",NA,1095082.73,"RyderCupEuroPoints",2012
22,NA,"Miguel Angel Jimenez",NA,1050829.45,"RyderCupEuroPoints",2012
23,NA,"Richie Ramsay",NA,969981.07,"RyderCupEuroPoints",2012
24,NA,"Robert Rock",NA,968035.21,"RyderCupEuroPoints",2012
25,NA,"Simon Dyson",NA,944649.26,"RyderCupEuroPoints",2012
26,NA,"Alexander Noren",NA,911587.19,"RyderCupEuroPoints",2012
27,NA,"Padraig Harrington",NA,868089.11,"RyderCupEuroPoints",2012
28,NA,"Bernd Wiesberger",NA,866556.11,"RyderCupEuroPoints",2012
29,NA,"Freddie Jacobson",NA,828749.61,"RyderCupEuroPoints",2012
30,NA,"Thorbjorn Olesen",NA,752145.49,"RyderCupEuroPoints",2012
31,NA,"Danny Willett",NA,745139.61,"RyderCupEuroPoints",2012
32,NA,"Pablo Larrazabal",NA,727760.49,"RyderCupEuroPoints",2012
33,NA,"Gregory Havret",NA,718290.99,"RyderCupEuroPoints",2012
34,NA,"Shane Lowry",NA,706719.95,"RyderCupEuroPoints",2012
35,NA,"Matteo Manassero",NA,700525.14,"RyderCupEuroPoints",2012
36,NA,"Soren Kjeldsen",NA,636168.24,"RyderCupEuroPoints",2012
37,NA,"Stephen Gallacher",NA,622759.95,"RyderCupEuroPoints",2012
38,NA,"Tom Lewis",NA,615681.06,"RyderCupEuroPoints",2012
39,NA,"Ross Fisher",NA,601230.53,"RyderCupEuroPoints",2012
40,NA,"Peter Lawrie",NA,600612.3,"RyderCupEuroPoints",2012
41,NA,"Marc Warren",NA,565399.99,"RyderCupEuroPoints",2012
42,NA,"Anders Hansen",NA,564605.18,"RyderCupEuroPoints",2012
43,NA,"Raphael Jacquelin",NA,552684.04,"RyderCupEuroPoints",2012
44,NA,"James Morrison",NA,540922.22,"RyderCupEuroPoints",2012
45,NA,"Alejandro Canizares",NA,496229.67,"RyderCupEuroPoints",2012
46,NA,"Anthony Wall",NA,493078.73,"RyderCupEuroPoints",2012
47,NA,"Victor Dubuisson",NA,487855.5,"RyderCupEuroPoints",2012
48,NA,"Fredrik Andersson Hed",NA,486089.63,"RyderCupEuroPoints",2012
49,NA,"Lee Slattery",NA,485893.05,"RyderCupEuroPoints",2012
50,NA,"David Drysdale",NA,479032.51,"RyderCupEuroPoints",2012
51,NA,"Romain Wattel",NA,475368.67,"RyderCupEuroPoints",2012
52,NA,"Robert Karlsson",NA,450836.73,"RyderCupEuroPoints",2012
53,NA,"Steve Webster",NA,441000.56,"RyderCupEuroPoints",2012
54,NA,"Mark Foster",NA,416329.88,"RyderCupEuroPoints",2012
55,NA,"George Murray",NA,414841.48,"RyderCupEuroPoints",2012
56,NA,"Edoardo Molinari",NA,413885.58,"RyderCupEuroPoints",2012
57,NA,"Chris Wood",NA,412621.47,"RyderCupEuroPoints",2012
58,NA,"Martin Laird",NA,405422.63,"RyderCupEuroPoints",2012
59,NA,"Christian Nilsson",NA,376288.97,"RyderCupEuroPoints",2012
60,NA,"Paul McGinley",NA,348506.53,"RyderCupEuroPoints",2012
61,NA,"Jose Manuel Lara",NA,338657.88,"RyderCupEuroPoints",2012
62,NA,"Damian McGrane",NA,336799.99,"RyderCupEuroPoints",2012
63,NA,"Julien Quesne",NA,335102.47,"RyderCupEuroPoints",2012
64,NA,"Paul Casey",NA,333282.27,"RyderCupEuroPoints",2012
65,NA,"Lorenzo Gagli",NA,329784.3,"RyderCupEuroPoints",2012
66,NA,"Rhys Davies",NA,324825.2,"RyderCupEuroPoints",2012
67,NA,"David Howell",NA,323866.68,"RyderCupEuroPoints",2012
68,NA,"Johan Edfors",NA,322186.13,"RyderCupEuroPoints",2012
69,NA,"Richard Finch",NA,316658.46,"RyderCupEuroPoints",2012
70,NA,"Jorge Campillo",NA,311197.72,"RyderCupEuroPoints",2012
71,NA,"Matthew Baldwin",NA,304667.02,"RyderCupEuroPoints",2012
72,NA,"David Horsey",NA,302234.55,"RyderCupEuroPoints",2012
73,NA,"Henrik Stenson",NA,298438.74,"RyderCupEuroPoints",2012
74,NA,"Robert Jan Derksen",NA,292019.63,"RyderCupEuroPoints",2012
75,NA,"Thomas Levet",NA,284812.46,"RyderCupEuroPoints",2012
76,NA,"Kenneth Ferrie",NA,282757.5,"RyderCupEuroPoints",2012
77,NA,"Gregory Bourdy",NA,281946.23,"RyderCupEuroPoints",2012
78,NA,"Phillip Price",NA,273277.67,"RyderCupEuroPoints",2012
79,NA,"Scott Jamieson",NA,271494.66,"RyderCupEuroPoints",2012
80,NA,"Jean Baptiste Gonnet",NA,270461.6,"RyderCupEuroPoints",2012
81,NA,"Ignacio Garrido",NA,265987.85,"RyderCupEuroPoints",2012
82,NA,"Peter Whiteford",NA,255393.38,"RyderCupEuroPoints",2012
83,NA,"Joel Sjoholm",NA,247719.03,"RyderCupEuroPoints",2012
84,NA,"Darren Clarke",NA,241892.09,"RyderCupEuroPoints",2012
85,NA,"Magnus Carlsson",NA,240884.61,"RyderCupEuroPoints",2012
86,NA,"Gary Orr",NA,237707.73,"RyderCupEuroPoints",2012
87,NA,"Jose Maria Olazabal",NA,234962.41,"RyderCupEuroPoints",2012
88,NA,"Graeme Storm",NA,230187.19,"RyderCupEuroPoints",2012
89,NA,"Tommy Fleetwood",NA,229872.77,"RyderCupEuroPoints",2012
90,NA,"Gareth Maybin",NA,227203.59,"RyderCupEuroPoints",2012
91,NA,"Ricardo Santos",NA,216001.59,"RyderCupEuroPoints",2012
92,NA,"Maarten Lafeber",NA,210620.03,"RyderCupEuroPoints",2012
93,NA,"Robert Coles",NA,208775.4,"RyderCupEuroPoints",2012
94,NA,"Carlos Del Moral",NA,203281.19,"RyderCupEuroPoints",2012
95,NA,"Richard McEvoy",NA,201846.95,"RyderCupEuroPoints",2012
97,NA,"Oliver Wilson",NA,197989.67,"RyderCupEuroPoints",2012
98,NA,"Colin Montgomerie",NA,196248.81,"RyderCupEuroPoints",2012
99,NA,"Niclas Fasth",NA,195301.91,"RyderCupEuroPoints",2012
100,NA,"Soren Hansen",NA,194049.7,"RyderCupEuroPoints",2012
101,NA,"Mikko Ilonen",NA,188157.19,"RyderCupEuroPoints",2012
102,NA,"Gary Boyd",NA,182850.54,"RyderCupEuroPoints",2012
104,NA,"Simon Wakefield",NA,180424.29,"RyderCupEuroPoints",2012
105,NA,"Simon Khan",NA,176410.45,"RyderCupEuroPoints",2012
106,NA,"Jamie Elson",NA,166465.58,"RyderCupEuroPoints",2012
107,NA,"Alastair Forsyth",NA,165068.51,"RyderCupEuroPoints",2012
108,NA,"Craig Lee",NA,164545.55,"RyderCupEuroPoints",2012
110,NA,"Rikard Karlberg",NA,163278.63,"RyderCupEuroPoints",2012
111,NA,"Mikael Lundberg",NA,162045.23,"RyderCupEuroPoints",2012
112,NA,"Oscar Floren",NA,161420.89,"RyderCupEuroPoints",2012
