"ScoringAverage_RANKTHISWEEK_2015","ScoringAverage_RANKLASTWEEK_2015","ScoringAverage_PLAYERNAME_2015","ScoringAverage_ROUNDS_2015","ScoringAverage_AVG_2015","ScoringAverage_TOTALSTROKES_2015","ScoringAverage_TOTALADJUSTMENT_2015","ScoringAverage_TOTALROUNDS_2015","stat_name","year"
1,1,"Jordan Spieth",91,68.938,6080,NA,88,"ScoringAverage",2015
2,2,"Jason Day",75,69.161,4960,19.59,72,"ScoringAverage",2015
3,3,"Bubba Watson",71,69.296,4712,0.139,68,"ScoringAverage",2015
4,4,"Henrik Stenson",63,69.354,4179,NA,60,"ScoringAverage",2015
5,5,"Dustin Johnson",75,69.585,5027,NA,72,"ScoringAverage",2015
6,6,"Justin Rose",69,69.744,4614,NA,66,"ScoringAverage",2015
7,7,"Zach Johnson",90,69.753,6061,7.472,87,"ScoringAverage",2015
8,8,"Will Wilcox",58,69.804,3741,28.416,54,"ScoringAverage",2015
9,9,"Paul Casey",87,69.806,5721,3.089,82,"ScoringAverage",2015
10,10,"Jim Furyk",71,69.845,4497,NA,64,"ScoringAverage",2015
11,11,"Brooks Koepka",84,69.861,5666,NA,81,"ScoringAverage",2015
12,12,"Hideki Matsuyama",95,69.94,6355,9.529,91,"ScoringAverage",2015
13,13,"Sergio Garcia",59,69.958,3937,NA,56,"ScoringAverage",2015
14,14,"Matt Kuchar",97,70.04,6568,15.746,94,"ScoringAverage",2015
15,15,"Ryan Palmer",80,70.102,5410,NA,77,"ScoringAverage",2015
16,16,"Justin Thomas",106,70.105,7379,52.153,106,"ScoringAverage",2015
17,17,"Kevin Na",98,70.121,6667,NA,95,"ScoringAverage",2015
18,18,"Robert Streb",110,70.13,7685,29.255,110,"ScoringAverage",2015
19,19,"Brandt Snedeker",98,70.158,6660,4.975,95,"ScoringAverage",2015
20,20,"Louis Oosthuizen",68,70.16,4425,NA,63,"ScoringAverage",2015
21,21,"Rickie Fowler",76,70.23,5064,NA,72,"ScoringAverage",2015
22,22,"Jason Bohn",95,70.235,6623,49.308,95,"ScoringAverage",2015
22,22,"Harris English",105,70.235,7139,24.957,102,"ScoringAverage",2015
24,24,"Jimmy Walker",89,70.268,6047,NA,86,"ScoringAverage",2015
25,25,"Tony Finau",106,70.281,7423,26.756,106,"ScoringAverage",2015
26,26,"Patrick Reed",103,70.292,7013,16.19,100,"ScoringAverage",2015
27,27,"Webb Simpson",81,70.31,5470,14.204,78,"ScoringAverage",2015
28,28,"Kevin Kisner",104,70.344,7300,15.824,104,"ScoringAverage",2015
29,29,"Jerry Kelly",79,70.383,5520,40.268,79,"ScoringAverage",2015
30,30,"Daniel Summerhays",101,70.397,7084,26.088,101,"ScoringAverage",2015
31,31,"Danny Lee",120,70.398,8409,38.814,120,"ScoringAverage",2015
32,32,"Brendan Steele",88,70.413,5892,22.69,84,"ScoringAverage",2015
33,33,"Russell Knox",96,70.421,6727,33.413,96,"ScoringAverage",2015
33,33,"Ian Poulter",68,70.421,4599,NA,65,"ScoringAverage",2015
33,33,"Shawn Stefani",94,70.421,6594,25.574,94,"ScoringAverage",2015
36,36,"Rory Sabbatini",81,70.435,5670,35.259,81,"ScoringAverage",2015
37,37,"Keegan Bradley",87,70.45,5915,2.775,84,"ScoringAverage",2015
38,38,"Adam Scott",51,70.456,3401,NA,48,"ScoringAverage",2015
39,39,"Francesco Molinari",56,70.458,3738,NA,53,"ScoringAverage",2015
40,40,"George McNeill",93,70.478,6532,22.429,93,"ScoringAverage",2015
41,41,"Lee Westwood",56,70.484,3692,NA,52,"ScoringAverage",2015
42,42,"Brendon Todd",96,70.533,6546,13.549,93,"ScoringAverage",2015
43,43,"Luke Donald",71,70.555,5025,NA,71,"ScoringAverage",2015
44,44,"Marc Leishman",74,70.569,4945,NA,70,"ScoringAverage",2015
45,45,"Daniel Berger",97,70.581,6806,40.32,97,"ScoringAverage",2015
45,45,"Russell Henley",87,70.581,5919,9.82,84,"ScoringAverage",2015
45,45,"JB Holmes",89,70.581,5995,4.362,85,"ScoringAverage",2015
48,48,"Phil Mickelson",70,70.585,4960,NA,70,"ScoringAverage",2015
49,49,"Chad Campbell",97,70.604,6821,27.626,97,"ScoringAverage",2015
50,50,"Charley Hoffman",97,70.613,6625,12.664,94,"ScoringAverage",2015
51,51,"Patrick Rodgers",57,70.619,3715,27.815,53,"ScoringAverage",2015
52,52,"Jason Dufner",76,70.633,5171,NA,73,"ScoringAverage",2015
53,53,"Brendon de Jonge",106,70.642,7451,37.009,106,"ScoringAverage",2015
54,54,"Brian Harman",90,70.647,6341,17.268,90,"ScoringAverage",2015
54,54,"William McGirt",103,70.647,7233,43.591,103,"ScoringAverage",2015
56,56,"Jason Kokrak",88,70.654,6192,25.521,88,"ScoringAverage",2015
57,57,"Pat Perez",96,70.666,6743,40.892,96,"ScoringAverage",2015
58,58,"Kevin Chappell",86,70.672,6064,13.755,86,"ScoringAverage",2015
