"GIRPutting2025_RANKTHISWEEK_2015","GIRPutting2025_RANKLASTWEEK_2015","GIRPutting2025_PLAYERNAME_2015","GIRPutting2025_ROUNDS_2015","GIRPutting2025_Pct_2015","GIRPutting2025_ATTEMPTS_2015","GIRPutting2025_PUTTSMADE_2015","stat_name","year"
1,1,"Jamie Donaldson",50,25.64,39,10,"GIRPutting2025",2015
2,2,"Roberto Castro",54,25.58,43,11,"GIRPutting2025",2015
3,3,"Jordan Spieth",91,25,76,19,"GIRPutting2025",2015
4,4,"Ernie Els",57,23.81,42,10,"GIRPutting2025",2015
5,5,"Luke Donald",71,21.62,74,16,"GIRPutting2025",2015
6,6,"Lee Westwood",56,20.93,43,9,"GIRPutting2025",2015
7,7,"Russell Henley",87,20.83,72,15,"GIRPutting2025",2015
8,8,"Brooks Koepka",84,20.59,102,21,"GIRPutting2025",2015
9,9,"Cameron Percy",72,20.24,84,17,"GIRPutting2025",2015
10,10,"Scott Pinckney",88,20,95,19,"GIRPutting2025",2015
11,11,"Ian Poulter",68,19.15,47,9,"GIRPutting2025",2015
12,12,"Cameron Tringale",96,18.75,96,18,"GIRPutting2025",2015
13,13,"Whee Kim",71,18.67,75,14,"GIRPutting2025",2015
13,13,"Andres Romero",69,18.67,75,14,"GIRPutting2025",2015
15,15,"James Hahn",94,18.64,118,22,"GIRPutting2025",2015
16,16,"Jason Day",75,18.57,70,13,"GIRPutting2025",2015
17,17,"David Toms",62,18.31,71,13,"GIRPutting2025",2015
18,18,"Daniel Summerhays",101,17.92,106,19,"GIRPutting2025",2015
19,19,"Patrick Reed",103,17.82,101,18,"GIRPutting2025",2015
20,20,"Keegan Bradley",87,17.81,73,13,"GIRPutting2025",2015
21,21,"Danny Lee",120,17.42,132,23,"GIRPutting2025",2015
22,22,"Sean OHair",86,17.39,92,16,"GIRPutting2025",2015
23,23,"Steve Wheatcroft",87,17.14,105,18,"GIRPutting2025",2015
24,24,"Colt Knost",90,17.09,117,20,"GIRPutting2025",2015
25,25,"Greg Chalmers",58,17.07,41,7,"GIRPutting2025",2015
26,26,"Chez Reavie",56,16.9,71,12,"GIRPutting2025",2015
27,27,"Paul Casey",87,16.85,89,15,"GIRPutting2025",2015
28,28,"John Huh",102,16.8,125,21,"GIRPutting2025",2015
29,29,"Harris English",105,16.67,108,18,"GIRPutting2025",2015
30,30,"Patrick Rodgers",57,16.44,73,12,"GIRPutting2025",2015
31,31,"Chris Stroud",84,16.16,99,16,"GIRPutting2025",2015
31,31,"Camilo Villegas",83,16.16,99,16,"GIRPutting2025",2015
33,33,"Brian Harman",90,16.13,93,15,"GIRPutting2025",2015
34,34,"Phil Mickelson",70,16.07,56,9,"GIRPutting2025",2015
35,35,"Geoff Ogilvy",50,16,50,8,"GIRPutting2025",2015
35,35,"Jimmy Walker",89,16,75,12,"GIRPutting2025",2015
37,37,"Scott Piercy",90,15.79,114,18,"GIRPutting2025",2015
37,37,"Brandt Snedeker",98,15.79,95,15,"GIRPutting2025",2015
