"SandSavePercentage_RANKTHISWEEK_2006","SandSavePercentage_RANKLASTWEEK_2006","SandSavePercentage_PLAYERNAME_2006","SandSavePercentage_ROUNDS_2006","SandSavePercentage_Pct_2006","SandSavePercentage_SAVES_2006","SandSavePercentage_BUNKERS_2006","SandSavePercentage_TOTALOUPAR_2006","stat_name","year"
1,1,"Luke Donald",66,63.64,56,88,21,"SandSavePercentage",2006
2,2,"Dudley Hart",83,62.2,79,127,26,"SandSavePercentage",2006
3,3,"Steve Stricker",64,62.03,49,79,18,"SandSavePercentage",2006
4,4,"Chris Riley",86,61.9,104,168,45,"SandSavePercentage",2006
5,5,"Brian Gay",107,61.59,93,151,40,"SandSavePercentage",2006
6,6,"Doug Barron",74,60.5,72,119,35,"SandSavePercentage",2006
7,7,"David Toms",76,59.43,63,106,25,"SandSavePercentage",2006
8,8,"Rod Pampling",89,59.15,97,164,43,"SandSavePercentage",2006
9,9,"Michael Allen",84,59.09,65,110,31,"SandSavePercentage",2006
10,10,"Duffy Waldorf",96,58.9,96,163,47,"SandSavePercentage",2006
11,11,"Jerry Smith",94,58.59,75,128,40,"SandSavePercentage",2006
12,12,"Chad Campbell",91,58.45,83,142,36,"SandSavePercentage",2006
13,13,"Corey Pavin",74,58.33,63,108,32,"SandSavePercentage",2006
14,14,"Vaughn Taylor",88,57.35,78,136,46,"SandSavePercentage",2006
15,15,"Stewart Cink",93,57.34,82,143,41,"SandSavePercentage",2006
16,16,"Steve Elkington",52,57.14,40,70,20,"SandSavePercentage",2006
16,16,"Peter Lonard",77,57.14,68,119,33,"SandSavePercentage",2006
18,18,"Greg Chalmers",71,56.91,70,123,47,"SandSavePercentage",2006
19,19,"Stuart Appleby",83,56.72,76,134,31,"SandSavePercentage",2006
20,20,"Geoff Ogilvy",76,56.67,68,120,46,"SandSavePercentage",2006
21,21,"Tim Petrovic",95,56.55,82,145,47,"SandSavePercentage",2006
22,22,"KJ Choi",93,56.49,74,131,45,"SandSavePercentage",2006
23,23,"Bob May",65,56.41,44,78,17,"SandSavePercentage",2006
24,24,"Mike Sposa",68,56.04,51,91,29,"SandSavePercentage",2006
25,25,"Jeff Sluman",101,56.02,93,166,48,"SandSavePercentage",2006
26,26,"Mark Wilson",79,55.81,48,86,25,"SandSavePercentage",2006
27,27,"Steve Flesch",119,55.61,104,187,69,"SandSavePercentage",2006
28,28,"Dean Wilson",115,55.32,104,188,64,"SandSavePercentage",2006
29,29,"Tiger Woods",55,55.17,32,58,13,"SandSavePercentage",2006
30,30,"Vijay Singh",103,55.09,92,167,33,"SandSavePercentage",2006
31,31,"Trevor Immelman",86,55.05,60,109,31,"SandSavePercentage",2006
31,31,"Jon Mills",68,55.05,60,109,36,"SandSavePercentage",2006
33,33,"Ryuji Imada",105,54.94,89,162,53,"SandSavePercentage",2006
34,34,"Aaron Baddeley",78,54.8,97,177,53,"SandSavePercentage",2006
35,35,"Rory Sabbatini",84,54.48,73,134,47,"SandSavePercentage",2006
36,36,"Jose Maria Olazabal",62,54.43,43,79,12,"SandSavePercentage",2006
37,37,"Jerry Kelly",100,54.05,80,148,41,"SandSavePercentage",2006
38,38,"Hidemichi Tanaka",74,53.91,62,115,42,"SandSavePercentage",2006
39,39,"Mike Weir",88,53.79,78,145,43,"SandSavePercentage",2006
40,40,"Adam Scott",70,53.61,52,97,29,"SandSavePercentage",2006
41,41,"Brett Quigley",109,53.57,90,168,54,"SandSavePercentage",2006
42,42,"Marco Dawson",87,53.23,66,124,41,"SandSavePercentage",2006
42,42,"Ernie Els",69,53.23,66,124,45,"SandSavePercentage",2006
44,44,"Nathan Green",108,53.07,95,179,65,"SandSavePercentage",2006
45,45,"Carl Pettersson",95,53.05,87,164,61,"SandSavePercentage",2006
46,46,"Kevin Sutherland",100,52.99,62,117,37,"SandSavePercentage",2006
47,47,"Brett Wetterich",82,52.94,63,119,33,"SandSavePercentage",2006
48,48,"Robert Gamez",94,52.9,82,155,62,"SandSavePercentage",2006
49,49,"Jason Bohn",104,52.87,92,174,58,"SandSavePercentage",2006
49,49,"Kent Jones",103,52.87,83,157,49,"SandSavePercentage",2006
51,51,"Padraig Harrington",54,52.86,37,70,21,"SandSavePercentage",2006
51,51,"Joe Ogilvie",95,52.86,74,140,42,"SandSavePercentage",2006
