"BounceBack_RANKTHISWEEK_2016","BounceBack_RANKLASTWEEK_2016","BounceBack_PLAYERNAME_2016","BounceBack_ROUNDS_2016","BounceBack_Pct_2016","stat_name","year"
1,1,"Hideki Matsuyama",40,29.35,"BounceBack",2016
2,2,"Brooks Koepka",39,28,"BounceBack",2016
3,12,"Rickie Fowler",42,27.63,"BounceBack",2016
4,4,"Jason Day",36,27.54,"BounceBack",2016
5,7,"Byeong Hun An",23,27.27,"BounceBack",2016
6,13,"Paul Casey",39,26.97,"BounceBack",2016
7,3,"Jhonattan Vegas",49,26.72,"BounceBack",2016
8,8,"Ben Martin",48,26.62,"BounceBack",2016
9,14,"Jason Bohn",37,26.44,"BounceBack",2016
10,6,"Aaron Baddeley",51,26.23,"BounceBack",2016
11,10,"Tim Wilkinson",40,26.14,"BounceBack",2016
12,22,"Kevin Kisner",49,26.02,"BounceBack",2016
13,9,"Ryan Palmer",46,25.76,"BounceBack",2016
14,11,"Charley Hoffman",49,25.4,"BounceBack",2016
15,24,"Adam Scott",39,25.27,"BounceBack",2016
16,30,"Harold Varner III",58,25.14,"BounceBack",2016
17,15,"Sergio Garcia",28,25,"BounceBack",2016
17,5,"JB Holmes",39,25,"BounceBack",2016
17,39,"Phil Mickelson",37,25,"BounceBack",2016
17,15,"Jordan Spieth",34,25,"BounceBack",2016
21,18,"Thomas Aiken",42,24.32,"BounceBack",2016
22,19,"Bubba Watson",30,24.24,"BounceBack",2016
23,21,"Billy Horschel",45,24.19,"BounceBack",2016
24,23,"John Huh",51,24.06,"BounceBack",2016
25,35,"Jonas Blixt",46,24.03,"BounceBack",2016
26,28,"Russell Henley",42,23.86,"BounceBack",2016
27,26,"Kelly Kraft",35,23.53,"BounceBack",2016
27,31,"Steve Stricker",25,23.53,"BounceBack",2016
29,29,"Greg Owen",56,23.43,"BounceBack",2016
30,43,"Vaughn Taylor",30,23.4,"BounceBack",2016
31,33,"Gary Woodland",45,23.33,"BounceBack",2016
32,34,"Whee Kim",54,23.27,"BounceBack",2016
33,27,"Cameron Tringale",47,23.26,"BounceBack",2016
34,41,"Sam Saunders",40,23.2,"BounceBack",2016
35,38,"John Senden",48,23.08,"BounceBack",2016
35,40,"David Toms",38,23.08,"BounceBack",2016
37,20,"Adam Hadwin",53,23.02,"BounceBack",2016
38,25,"Patton Kizzire",57,22.96,"BounceBack",2016
39,98,"Ernie Els",34,22.95,"BounceBack",2016
39,35,"Matthew Fitzpatrick",23,22.95,"BounceBack",2016
41,37,"Rory Sabbatini",40,22.9,"BounceBack",2016
42,17,"Henrik Stenson",30,22.78,"BounceBack",2016
43,62,"Will Wilcox",47,22.7,"BounceBack",2016
44,32,"Jamie Lovemark",57,22.56,"BounceBack",2016
44,67,"Scott Pinckney",53,22.56,"BounceBack",2016
46,51,"Roberto Castro",55,22.48,"BounceBack",2016
47,44,"Louis Oosthuizen",25,22.41,"BounceBack",2016
48,45,"Brice Garnett",29,22.37,"BounceBack",2016
49,47,"Freddie Jacobson",54,22.14,"BounceBack",2016
50,46,"Andrew Loupe",50,22.09,"BounceBack",2016
51,66,"Scott Stallings",46,22.06,"BounceBack",2016
52,48,"Andres Romero",22,22.03,"BounceBack",2016
53,52,"Brendan Steele",48,21.95,"BounceBack",2016
54,70,"Robert Garrigus",34,21.9,"BounceBack",2016
55,49,"Andrew Landry",24,21.88,"BounceBack",2016
55,49,"Wes Roach",33,21.88,"BounceBack",2016
