"Back9LowestRound_RANKTHISWEEK_2012","Back9LowestRound_RANKLASTWEEK_2012","Back9LowestRound_PLAYERNAME_2012","Back9LowestRound_ROUNDS_2012","Back9LowestRound_LOWRND_2012","stat_name","year"
1,1,"Ken Duke",104,28,"Back9LowestRound",2012
2,2,"Bud Cauley",99,29,"Back9LowestRound",2012
2,2,"Scott Dunlap",57,29,"Back9LowestRound",2012
2,2,"Harrison Frazar",56,29,"Back9LowestRound",2012
2,2,"Tommy Gainey",98,29,"Back9LowestRound",2012
2,2,"Robert Garrigus",89,29,"Back9LowestRound",2012
2,2,"Padraig Harrington",67,29,"Back9LowestRound",2012
2,2,"Tim Herron",88,29,"Back9LowestRound",2012
2,2,"Spencer Levin",81,29,"Back9LowestRound",2012
2,2,"Hunter Mahan",88,29,"Back9LowestRound",2012
2,2,"Ryan Moore",89,29,"Back9LowestRound",2012
2,2,"Kevin Na",80,29,"Back9LowestRound",2012
13,13,"Blake Adams",107,30,"Back9LowestRound",2012
13,13,"Stephen Ames",54,30,"Back9LowestRound",2012
13,13,"Gary Christian",91,30,"Back9LowestRound",2012
13,13,"Marco Dawson",60,30,"Back9LowestRound",2012
13,13,"Brendon de Jonge",115,30,"Back9LowestRound",2012
13,13,"Graham DeLaet",79,30,"Back9LowestRound",2012
13,13,"Luke Donald",63,30,"Back9LowestRound",2012
13,13,"Harris English",98,30,"Back9LowestRound",2012
13,13,"Bob Estes",78,30,"Back9LowestRound",2012
13,13,"Martin Flores",95,30,"Back9LowestRound",2012
13,13,"Sergio Garcia",57,30,"Back9LowestRound",2012
13,13,"Charley Hoffman",88,30,"Back9LowestRound",2012
13,13,"Billy Horschel",63,30,"Back9LowestRound",2012
13,13,"Zach Johnson",95,30,"Back9LowestRound",2012
13,13,"Chris Kirk",93,30,"Back9LowestRound",2012
13,13,"Davis Love III",64,30,"Back9LowestRound",2012
13,13,"John Mallinger",74,30,"Back9LowestRound",2012
13,13,"David Mathis",83,30,"Back9LowestRound",2012
13,13,"Rory McIlroy",60,30,"Back9LowestRound",2012
13,13,"Phil Mickelson",79,30,"Back9LowestRound",2012
13,13,"Bryce Molder",83,30,"Back9LowestRound",2012
13,13,"Garth Mulroy",59,30,"Back9LowestRound",2012
13,13,"Jeff Overton",101,30,"Back9LowestRound",2012
13,13,"Rod Pampling",88,30,"Back9LowestRound",2012
13,13,"Scott Piercy",95,30,"Back9LowestRound",2012
13,13,"Webb Simpson",77,30,"Back9LowestRound",2012
13,13,"Vijay Singh",99,30,"Back9LowestRound",2012
13,13,"Brandt Snedeker",81,30,"Back9LowestRound",2012
13,13,"Scott Stallings",78,30,"Back9LowestRound",2012
13,13,"Kyle Stanley",86,30,"Back9LowestRound",2012
13,13,"Steve Stricker",73,30,"Back9LowestRound",2012
13,13,"Daniel Summerhays",81,30,"Back9LowestRound",2012
13,13,"Roland Thatcher",55,30,"Back9LowestRound",2012
13,13,"Bo Van Pelt",84,30,"Back9LowestRound",2012
13,13,"Johnson Wagner",88,30,"Back9LowestRound",2012
13,13,"Gary Woodland",70,30,"Back9LowestRound",2012
49,49,"Aaron Baddeley",73,31,"Back9LowestRound",2012
49,49,"Cameron Beckman",81,31,"Back9LowestRound",2012
49,49,"Tommy Biershenk",74,31,"Back9LowestRound",2012
49,49,"Kris Blanks",65,31,"Back9LowestRound",2012
49,49,"Jonas Blixt",72,31,"Back9LowestRound",2012
49,49,"Jason Bohn",81,31,"Back9LowestRound",2012
49,49,"Michael Bradley",63,31,"Back9LowestRound",2012
49,49,"Keegan Bradley",90,31,"Back9LowestRound",2012
49,49,"Scott Brown",65,31,"Back9LowestRound",2012
49,49,"Chad Campbell",84,31,"Back9LowestRound",2012
49,49,"KJ Choi",71,31,"Back9LowestRound",2012
49,49,"Daniel Chopra",55,31,"Back9LowestRound",2012
49,49,"Tim Clark",60,31,"Back9LowestRound",2012
49,49,"Will Claxton",99,31,"Back9LowestRound",2012
49,49,"Chris Couch",61,31,"Back9LowestRound",2012
49,49,"Ben Crane",73,31,"Back9LowestRound",2012
49,49,"Ben Curtis",62,31,"Back9LowestRound",2012
49,49,"John Daly",50,31,"Back9LowestRound",2012
49,49,"Brian Davis",91,31,"Back9LowestRound",2012
49,49,"Matt Every",80,31,"Back9LowestRound",2012
49,49,"Jim Furyk",85,31,"Back9LowestRound",2012
49,49,"Brian Gay",91,31,"Back9LowestRound",2012
49,49,"Tom Gillis",75,31,"Back9LowestRound",2012
49,49,"Mathew Goggin",65,31,"Back9LowestRound",2012
49,49,"Nathan Green",73,31,"Back9LowestRound",2012
49,49,"Bill Haas",79,31,"Back9LowestRound",2012
49,49,"Brian Harman",101,31,"Back9LowestRound",2012
49,49,"David Hearn",95,31,"Back9LowestRound",2012
49,49,"JJ Henry",93,31,"Back9LowestRound",2012
49,49,"JB Holmes",90,31,"Back9LowestRound",2012
49,49,"Charles Howell III",98,31,"Back9LowestRound",2012
49,49,"John Huh",99,31,"Back9LowestRound",2012
49,49,"Ryuji Imada",78,31,"Back9LowestRound",2012
49,49,"Brandt Jobe",57,31,"Back9LowestRound",2012
49,49,"Kevin Kisner",69,31,"Back9LowestRound",2012
49,49,"Russell Knox",72,31,"Back9LowestRound",2012
49,49,"Matt Kuchar",86,31,"Back9LowestRound",2012
49,49,"Derek Lamely",64,31,"Back9LowestRound",2012
49,49,"Richard Lee",71,31,"Back9LowestRound",2012
49,49,"Marc Leishman",84,31,"Back9LowestRound",2012
49,49,"Justin Leonard",79,31,"Back9LowestRound",2012
49,49,"Edward Loar",59,31,"Back9LowestRound",2012
49,49,"Jeff Maggert",83,31,"Back9LowestRound",2012
49,49,"Troy Matteson",100,31,"Back9LowestRound",2012
49,49,"Graeme McDowell",55,31,"Back9LowestRound",2012
49,49,"William McGirt",96,31,"Back9LowestRound",2012
49,49,"George McNeill",85,31,"Back9LowestRound",2012
49,49,"Rocco Mediate",70,31,"Back9LowestRound",2012
49,49,"Seung Yul Noh",105,31,"Back9LowestRound",2012
49,49,"Geoff Ogilvy",73,31,"Back9LowestRound",2012
49,49,"Louis Oosthuizen",65,31,"Back9LowestRound",2012
49,49,"Greg Owen",90,31,"Back9LowestRound",2012
49,49,"Ryan Palmer",81,31,"Back9LowestRound",2012
49,49,"Pat Perez",81,31,"Back9LowestRound",2012
49,49,"Tom Pernice Jr",62,31,"Back9LowestRound",2012
49,49,"Carl Pettersson",92,31,"Back9LowestRound",2012
49,49,"Ted Potter Jr",77,31,"Back9LowestRound",2012
49,49,"Ian Poulter",57,31,"Back9LowestRound",2012
49,49,"Chez Reavie",83,31,"Back9LowestRound",2012
49,49,"John Rollins",81,31,"Back9LowestRound",2012
49,49,"Andres Romero",68,31,"Back9LowestRound",2012
49,49,"Justin Rose",69,31,"Back9LowestRound",2012
49,49,"Rory Sabbatini",84,31,"Back9LowestRound",2012
49,49,"Charl Schwartzel",56,31,"Back9LowestRound",2012
49,49,"John Senden",81,31,"Back9LowestRound",2012
49,49,"Heath Slocum",93,31,"Back9LowestRound",2012
49,49,"Brendan Steele",77,31,"Back9LowestRound",2012
49,49,"Kevin Streelman",89,31,"Back9LowestRound",2012
49,49,"Chris Stroud",86,31,"Back9LowestRound",2012
49,49,"Josh Teater",97,31,"Back9LowestRound",2012
49,49,"Michael Thompson",80,31,"Back9LowestRound",2012
49,49,"Brendon Todd",78,31,"Back9LowestRound",2012
49,49,"David Toms",60,31,"Back9LowestRound",2012
49,49,"DJ Trahan",73,31,"Back9LowestRound",2012
49,49,"Cameron Tringale",88,31,"Back9LowestRound",2012
49,49,"Camilo Villegas",79,31,"Back9LowestRound",2012
49,49,"Jimmy Walker",101,31,"Back9LowestRound",2012
49,49,"Bubba Watson",68,31,"Back9LowestRound",2012
49,49,"Boo Weekley",74,31,"Back9LowestRound",2012
49,49,"Mark Wilson",84,31,"Back9LowestRound",2012
49,49,"Tiger Woods",69,31,"Back9LowestRound",2012
130,130,"Robert Allenby",76,32,"Back9LowestRound",2012
130,130,"Mark Anderson",75,32,"Back9LowestRound",2012
130,130,"Stuart Appleby",75,32,"Back9LowestRound",2012
130,130,"Arjun Atwal",79,32,"Back9LowestRound",2012
130,130,"Sangmoon Bae",81,32,"Back9LowestRound",2012
130,130,"Ricky Barnes",92,32,"Back9LowestRound",2012
130,130,"Charlie Beljan",61,32,"Back9LowestRound",2012
130,130,"Matt Bettencourt",80,32,"Back9LowestRound",2012
130,130,"Jonathan Byrd",69,32,"Back9LowestRound",2012
130,130,"Miguel Angel Carballo",73,32,"Back9LowestRound",2012
130,130,"Roberto Castro",92,32,"Back9LowestRound",2012
130,130,"Greg Chalmers",88,32,"Back9LowestRound",2012
130,130,"Kevin Chappell",91,32,"Back9LowestRound",2012
130,130,"Gavin Coles",72,32,"Back9LowestRound",2012
130,130,"Erik Compton",81,32,"Back9LowestRound",2012
130,130,"Jason Day",57,32,"Back9LowestRound",2012
130,130,"Chris DiMarco",83,32,"Back9LowestRound",2012
130,130,"James Driscoll",83,32,"Back9LowestRound",2012
130,130,"Jason Dufner",83,32,"Back9LowestRound",2012
130,130,"Ernie Els",80,32,"Back9LowestRound",2012
130,130,"Rickie Fowler",84,32,"Back9LowestRound",2012
130,130,"Bobby Gates",87,32,"Back9LowestRound",2012
130,130,"Billy Hurley III",70,32,"Back9LowestRound",2012
130,130,"Trevor Immelman",76,32,"Back9LowestRound",2012
130,130,"Ryo Ishikawa",54,32,"Back9LowestRound",2012
130,130,"Freddie Jacobson",61,32,"Back9LowestRound",2012
130,130,"Dustin Johnson",70,32,"Back9LowestRound",2012
130,130,"Matt Jones",53,32,"Back9LowestRound",2012
