"FirstTeeLateScoringAverage_RANKTHISWEEK_2016","FirstTeeLateScoringAverage_RANKLASTWEEK_2016","FirstTeeLateScoringAverage_PLAYERNAME_2016","FirstTeeLateScoringAverage_ROUNDS_2016","FirstTeeLateScoringAverage_AVG_2016","FirstTeeLateScoringAverage_TOTALSTROKES_2016","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2016","stat_name","year"
1,2,"Jason Bohn",37,68.5,548,8,"FirstTeeLateScoringAverage",2016
2,1,"Adam Scott",39,69,1380,20,"FirstTeeLateScoringAverage",2016
3,3,"Kevin Kisner",49,69.24,1454,21,"FirstTeeLateScoringAverage",2016
4,6,"Rickie Fowler",42,69.54,1669,24,"FirstTeeLateScoringAverage",2016
5,6,"Patrick Reed",53,69.55,1530,22,"FirstTeeLateScoringAverage",2016
6,8,"Luke Donald",49,69.58,835,12,"FirstTeeLateScoringAverage",2016
7,9,"Scott Stallings",46,69.67,418,6,"FirstTeeLateScoringAverage",2016
8,10,"Kevin Na",52,69.69,1115,16,"FirstTeeLateScoringAverage",2016
9,12,"Peter Malnati",53,69.73,1046,15,"FirstTeeLateScoringAverage",2016
10,13,"Matthew Fitzpatrick",23,69.75,558,8,"FirstTeeLateScoringAverage",2016
10,13,"Bryce Molder",50,69.75,837,12,"FirstTeeLateScoringAverage",2016
12,16,"Ryan Moore",40,69.77,907,13,"FirstTeeLateScoringAverage",2016
13,17,"Henrik Norlander",41,69.9,699,10,"FirstTeeLateScoringAverage",2016
14,4,"Chris Stroud",52,69.91,769,11,"FirstTeeLateScoringAverage",2016
15,11,"Justin Thomas",53,69.95,1539,22,"FirstTeeLateScoringAverage",2016
16,23,"Alex Cejka",47,70,1050,15,"FirstTeeLateScoringAverage",2016
16,23,"Graeme McDowell",33,70,980,14,"FirstTeeLateScoringAverage",2016
16,4,"Will Wilcox",47,70,700,10,"FirstTeeLateScoringAverage",2016
19,29,"Bubba Watson",30,70.08,911,13,"FirstTeeLateScoringAverage",2016
20,30,"Ryan Palmer",46,70.09,771,11,"FirstTeeLateScoringAverage",2016
21,33,"Fabian Gomez",49,70.1,701,10,"FirstTeeLateScoringAverage",2016
21,31,"Scott Pinckney",53,70.1,701,10,"FirstTeeLateScoringAverage",2016
23,18,"Kevin Chappell",49,70.17,1263,18,"FirstTeeLateScoringAverage",2016
24,22,"Bill Haas",42,70.18,1193,17,"FirstTeeLateScoringAverage",2016
24,34,"Steve Stricker",25,70.18,772,11,"FirstTeeLateScoringAverage",2016
26,35,"Brandt Snedeker",47,70.19,1474,21,"FirstTeeLateScoringAverage",2016
27,38,"Hideki Matsuyama",40,70.2,1404,20,"FirstTeeLateScoringAverage",2016
28,37,"Derek Fathauer",58,70.21,983,14,"FirstTeeLateScoringAverage",2016
28,13,"John Senden",48,70.21,983,14,"FirstTeeLateScoringAverage",2016
30,39,"Smylie Kaufman",57,70.23,1545,22,"FirstTeeLateScoringAverage",2016
