"2PuttsperRound_RANKTHISWEEK_2016","2PuttsperRound_RANKLASTWEEK_2016","2PuttsperRound_PLAYERNAME_2016","2PuttsperRound_ROUNDS_2016","2PuttsperRound_AVG_2016","2PuttsperRound_TOTAL2PUTTS_2016","2PuttsperRound_TOTALROUNDS_2016","stat_name","year"
1,1,"JJ Henry",44,11.32,498,44,"2PuttsperRound",2016
2,2,"Keegan Bradley",40,11.2,448,40,"2PuttsperRound",2016
3,3,"Cameron Percy",22,11.14,245,22,"2PuttsperRound",2016
4,4,"Bernd Wiesberger",23,11.1,222,20,"2PuttsperRound",2016
5,5,"Brendon de Jonge",55,11.04,607,55,"2PuttsperRound",2016
6,8,"Stewart Cink",45,11.02,496,45,"2PuttsperRound",2016
7,6,"Thomas Aiken",42,11,462,42,"2PuttsperRound",2016
8,12,"Greg Owen",56,10.95,613,56,"2PuttsperRound",2016
9,11,"Louis Oosthuizen",25,10.94,197,18,"2PuttsperRound",2016
10,7,"Robert Allenby",35,10.91,382,35,"2PuttsperRound",2016
10,9,"Robert Garrigus",34,10.91,371,34,"2PuttsperRound",2016
10,14,"Gary Woodland",45,10.91,491,45,"2PuttsperRound",2016
13,13,"Will Ma Kenzie",54,10.85,586,54,"2PuttsperRound",2016
14,17,"Rhein Gibson",36,10.83,390,36,"2PuttsperRound",2016
15,19,"Bubba Watson",30,10.81,292,27,"2PuttsperRound",2016
16,21,"Sergio Garcia",28,10.8,270,25,"2PuttsperRound",2016
16,10,"Henrik Norlander",41,10.8,443,41,"2PuttsperRound",2016
18,15,"Shawn Stefani",45,10.78,485,45,"2PuttsperRound",2016
19,27,"Kelly Kraft",35,10.77,377,35,"2PuttsperRound",2016
19,15,"Brendan Steele",48,10.77,517,48,"2PuttsperRound",2016
21,31,"Brett Stegmaier",57,10.75,613,57,"2PuttsperRound",2016
22,27,"Russell Knox",48,10.73,483,45,"2PuttsperRound",2016
22,21,"Johnson Wagner",44,10.73,472,44,"2PuttsperRound",2016
24,24,"Jhonattan Vegas",49,10.71,525,49,"2PuttsperRound",2016
25,31,"Matthew Fitzpatrick",23,10.7,214,20,"2PuttsperRound",2016
25,19,"Ollie Schniederjans",23,10.7,246,23,"2PuttsperRound",2016
27,18,"Roberto Castro",55,10.69,588,55,"2PuttsperRound",2016
27,26,"Justin Hicks",26,10.69,278,26,"2PuttsperRound",2016
29,33,"Daniel Berger",52,10.67,523,49,"2PuttsperRound",2016
29,39,"Jason Kokrak",52,10.67,555,52,"2PuttsperRound",2016
29,34,"Kevin Streelman",46,10.67,491,46,"2PuttsperRound",2016
32,37,"Graham DeLaet",50,10.66,533,50,"2PuttsperRound",2016
32,37,"Lucas Glover",53,10.66,565,53,"2PuttsperRound",2016
32,24,"Scott Pinckney",53,10.66,565,53,"2PuttsperRound",2016
35,30,"Patrick Rodgers",49,10.65,522,49,"2PuttsperRound",2016
36,44,"Luke Donald",49,10.63,521,49,"2PuttsperRound",2016
36,27,"Shane Lowry",35,10.63,340,32,"2PuttsperRound",2016
38,21,"Mark Wilson",42,10.62,446,42,"2PuttsperRound",2016
39,41,"Steve Marino",40,10.6,424,40,"2PuttsperRound",2016
40,34,"James Hahn",45,10.58,476,45,"2PuttsperRound",2016
41,47,"Shane Bertsch",30,10.57,317,30,"2PuttsperRound",2016
41,41,"Chad Campbell",54,10.57,571,54,"2PuttsperRound",2016
41,47,"Scott Piercy",45,10.57,444,42,"2PuttsperRound",2016
41,41,"Kyle Reifers",63,10.57,666,63,"2PuttsperRound",2016
45,52,"Spencer Levin",62,10.56,655,62,"2PuttsperRound",2016
45,34,"Robert Streb",51,10.56,507,48,"2PuttsperRound",2016
47,40,"Bill Haas",42,10.55,401,38,"2PuttsperRound",2016
48,73,"Carlos Ortiz",47,10.53,495,47,"2PuttsperRound",2016
49,54,"Russell Henley",42,10.52,442,42,"2PuttsperRound",2016
49,54,"Wes Roach",33,10.52,347,33,"2PuttsperRound",2016
51,57,"Paul Casey",39,10.5,378,36,"2PuttsperRound",2016
51,90,"Emiliano Grillo",47,10.5,462,44,"2PuttsperRound",2016
53,50,"Andres Gonzales",46,10.48,482,46,"2PuttsperRound",2016
53,60,"Whee Kim",54,10.48,566,54,"2PuttsperRound",2016
53,60,"Dawie van der Walt",48,10.48,503,48,"2PuttsperRound",2016
56,79,"Henrik Stenson",30,10.47,314,30,"2PuttsperRound",2016
57,46,"Geoff Ogilvy",37,10.46,387,37,"2PuttsperRound",2016
57,62,"Kyle Stanley",57,10.46,596,57,"2PuttsperRound",2016
57,67,"Justin Thomas",53,10.46,523,50,"2PuttsperRound",2016
60,47,"Blayne Barber",44,10.45,460,44,"2PuttsperRound",2016
60,65,"Andy Sullivan",25,10.45,230,22,"2PuttsperRound",2016
60,45,"Boo Weekley",53,10.45,554,53,"2PuttsperRound",2016
63,62,"David Hearn",55,10.44,574,55,"2PuttsperRound",2016
63,84,"Chris Stroud",52,10.44,543,52,"2PuttsperRound",2016
65,65,"Bronson Burgoon",53,10.43,553,53,"2PuttsperRound",2016
66,52,"Chesson Hadley",51,10.41,531,51,"2PuttsperRound",2016
67,69,"Matt Jones",45,10.4,437,42,"2PuttsperRound",2016
67,76,"Davis Love III",40,10.4,416,40,"2PuttsperRound",2016
67,64,"Tyrone Van Aswegen",67,10.4,697,67,"2PuttsperRound",2016
70,74,"Darron Stiles",28,10.39,291,28,"2PuttsperRound",2016
