"Par3BirdieorBetterLeaders_RANKTHISWEEK_2016","Par3BirdieorBetterLeaders_RANKLASTWEEK_2016","Par3BirdieorBetterLeaders_PLAYERNAME_2016","Par3BirdieorBetterLeaders_ROUNDS_2016","Par3BirdieorBetterLeaders_Pct_2016","Par3BirdieorBetterLeaders_PAR3BIRDIESORBETTER_2016","Par3BirdieorBetterLeaders_PAR3HOLES_2016","stat_name","year"
1,2,"Pat Perez",28,20.35,23,113,"Par3BirdieorBetterLeaders",2016
2,4,"Lucas Lee",22,19.78,18,91,"Par3BirdieorBetterLeaders",2016
3,5,"Freddie Jacobson",54,19.63,43,219,"Par3BirdieorBetterLeaders",2016
4,3,"Adam Scott",39,19.44,28,144,"Par3BirdieorBetterLeaders",2016
5,1,"Shane Lowry",35,19.38,25,129,"Par3BirdieorBetterLeaders",2016
6,6,"Adam Hadwin",53,17.76,38,214,"Par3BirdieorBetterLeaders",2016
7,8,"Dustin Johnson",37,17.6,22,125,"Par3BirdieorBetterLeaders",2016
8,10,"Kevin Na",52,17.41,35,201,"Par3BirdieorBetterLeaders",2016
9,13,"Alex Cejka",47,17.3,32,185,"Par3BirdieorBetterLeaders",2016
10,15,"Brice Garnett",29,17.09,20,117,"Par3BirdieorBetterLeaders",2016
11,18,"John Huh",51,16.83,35,208,"Par3BirdieorBetterLeaders",2016
12,16,"Patton Kizzire",57,16.67,36,216,"Par3BirdieorBetterLeaders",2016
13,10,"William McGirt",54,16.59,36,217,"Par3BirdieorBetterLeaders",2016
14,19,"Kevin Streelman",46,16.58,31,187,"Par3BirdieorBetterLeaders",2016
14,25,"Dawie van der Walt",48,16.58,32,193,"Par3BirdieorBetterLeaders",2016
16,22,"Jerry Kelly",44,16.57,30,181,"Par3BirdieorBetterLeaders",2016
17,9,"Ryan Moore",40,16.55,24,145,"Par3BirdieorBetterLeaders",2016
18,24,"Jordan Spieth",34,16.53,20,121,"Par3BirdieorBetterLeaders",2016
19,27,"David Lingmerth",54,16.42,33,201,"Par3BirdieorBetterLeaders",2016
20,23,"Steven Bowditch",40,16.35,26,159,"Par3BirdieorBetterLeaders",2016
21,44,"JB Holmes",39,16.31,23,141,"Par3BirdieorBetterLeaders",2016
22,17,"Bronson Burgoon",53,16.28,35,215,"Par3BirdieorBetterLeaders",2016
23,20,"Hideki Matsuyama",40,16.22,24,148,"Par3BirdieorBetterLeaders",2016
24,36,"Steve Marino",40,16.15,26,161,"Par3BirdieorBetterLeaders",2016
25,12,"Henrik Stenson",30,16.13,20,124,"Par3BirdieorBetterLeaders",2016
25,33,"David Toms",38,16.13,25,155,"Par3BirdieorBetterLeaders",2016
25,29,"DJ Trahan",23,16.13,15,93,"Par3BirdieorBetterLeaders",2016
28,31,"Fabian Gomez",49,16.11,29,180,"Par3BirdieorBetterLeaders",2016
29,21,"Ricky Barnes",57,16.02,37,231,"Par3BirdieorBetterLeaders",2016
30,31,"Stewart Cink",45,15.85,29,183,"Par3BirdieorBetterLeaders",2016
31,28,"Retief Goosen",37,15.79,24,152,"Par3BirdieorBetterLeaders",2016
32,26,"David Hearn",55,15.7,35,223,"Par3BirdieorBetterLeaders",2016
33,91,"Justin Rose",35,15.5,20,129,"Par3BirdieorBetterLeaders",2016
34,14,"Angel Cabrera",42,15.48,26,168,"Par3BirdieorBetterLeaders",2016
35,37,"Jason Bohn",37,15.44,23,149,"Par3BirdieorBetterLeaders",2016
36,34,"Zac Blair",56,15.42,35,227,"Par3BirdieorBetterLeaders",2016
37,38,"Brandt Snedeker",47,15.38,26,169,"Par3BirdieorBetterLeaders",2016
38,40,"Troy Merritt",41,15.34,25,163,"Par3BirdieorBetterLeaders",2016
39,38,"Michael Kim",62,15.2,38,250,"Par3BirdieorBetterLeaders",2016
40,41,"Peter Malnati",53,15.17,32,211,"Par3BirdieorBetterLeaders",2016
41,53,"Scott Langley",41,15.15,25,165,"Par3BirdieorBetterLeaders",2016
41,30,"Henrik Norlander",41,15.15,25,165,"Par3BirdieorBetterLeaders",2016
41,52,"Nick Taylor",57,15.15,35,231,"Par3BirdieorBetterLeaders",2016
44,46,"Aaron Baddeley",51,15.12,31,205,"Par3BirdieorBetterLeaders",2016
45,43,"Jamie Donaldson",28,15,15,100,"Par3BirdieorBetterLeaders",2016
45,50,"Matthew Fitzpatrick",23,15,12,80,"Par3BirdieorBetterLeaders",2016
45,55,"Danny Lee",53,15,30,200,"Par3BirdieorBetterLeaders",2016
48,49,"Scott Brown",59,14.94,36,241,"Par3BirdieorBetterLeaders",2016
49,45,"Kevin Chappell",49,14.93,30,201,"Par3BirdieorBetterLeaders",2016
50,51,"Zach Johnson",42,14.86,22,148,"Par3BirdieorBetterLeaders",2016
51,34,"Phil Mickelson",37,14.6,20,137,"Par3BirdieorBetterLeaders",2016
52,47,"Kyle Stanley",57,14.59,34,233,"Par3BirdieorBetterLeaders",2016
52,42,"Michael Thompson",46,14.59,27,185,"Par3BirdieorBetterLeaders",2016
54,95,"Byeong Hun An",23,14.47,11,76,"Par3BirdieorBetterLeaders",2016
54,57,"Louis Oosthuizen",25,14.47,11,76,"Par3BirdieorBetterLeaders",2016
56,63,"Brian Harman",60,14.46,35,242,"Par3BirdieorBetterLeaders",2016
57,48,"Andres Gonzales",46,14.44,27,187,"Par3BirdieorBetterLeaders",2016
58,56,"Ben Crane",48,14.43,28,194,"Par3BirdieorBetterLeaders",2016
59,69,"Jason Gore",51,14.35,30,209,"Par3BirdieorBetterLeaders",2016
60,59,"Abraham Ancer",26,14.29,15,105,"Par3BirdieorBetterLeaders",2016
60,59,"Steve Stricker",25,14.29,15,105,"Par3BirdieorBetterLeaders",2016
62,59,"DH Lee",35,14.18,20,141,"Par3BirdieorBetterLeaders",2016
63,64,"Smylie Kaufman",57,14.15,30,212,"Par3BirdieorBetterLeaders",2016
64,85,"Rob Oppenheim",37,14.09,21,149,"Par3BirdieorBetterLeaders",2016
65,53,"Carlos Ortiz",47,14.06,27,192,"Par3BirdieorBetterLeaders",2016
65,62,"Robert Streb",51,14.06,27,192,"Par3BirdieorBetterLeaders",2016
67,102,"Mark Wilson",42,13.95,24,172,"Par3BirdieorBetterLeaders",2016
68,68,"Roberto Castro",55,13.9,31,223,"Par3BirdieorBetterLeaders",2016
68,72,"Jon Curran",55,13.9,31,223,"Par3BirdieorBetterLeaders",2016
70,67,"Robert Garrigus",34,13.87,19,137,"Par3BirdieorBetterLeaders",2016
71,74,"Charley Hoffman",49,13.83,26,188,"Par3BirdieorBetterLeaders",2016
72,73,"Tyler Aldridge",53,13.82,30,217,"Par3BirdieorBetterLeaders",2016
73,76,"Russell Knox",48,13.81,25,181,"Par3BirdieorBetterLeaders",2016
74,58,"Andrew Loupe",50,13.79,28,203,"Par3BirdieorBetterLeaders",2016
74,79,"Bryce Molder",50,13.79,28,203,"Par3BirdieorBetterLeaders",2016
76,93,"Jonas Blixt",46,13.76,26,189,"Par3BirdieorBetterLeaders",2016
76,76,"Chad Campbell",54,13.76,30,218,"Par3BirdieorBetterLeaders",2016
78,74,"Camilo Villegas",50,13.73,28,204,"Par3BirdieorBetterLeaders",2016
79,76,"Patrick Reed",53,13.71,27,197,"Par3BirdieorBetterLeaders",2016
80,69,"Spencer Levin",62,13.55,34,251,"Par3BirdieorBetterLeaders",2016
81,84,"Daniel Berger",52,13.5,27,200,"Par3BirdieorBetterLeaders",2016
81,65,"Justin Thomas",53,13.5,27,200,"Par3BirdieorBetterLeaders",2016
83,87,"Andres Romero",22,13.48,12,89,"Par3BirdieorBetterLeaders",2016
84,101,"Emiliano Grillo",47,13.37,23,172,"Par3BirdieorBetterLeaders",2016
85,71,"Kevin Kisner",49,13.33,24,180,"Par3BirdieorBetterLeaders",2016
85,89,"Greg Owen",56,13.33,30,225,"Par3BirdieorBetterLeaders",2016
87,82,"Tyrone Van Aswegen",67,13.28,36,271,"Par3BirdieorBetterLeaders",2016
88,90,"Jason Kokrak",52,13.27,28,211,"Par3BirdieorBetterLeaders",2016
88,91,"Darron Stiles",28,13.27,15,113,"Par3BirdieorBetterLeaders",2016
90,65,"Matt Every",34,13.24,18,136,"Par3BirdieorBetterLeaders",2016
91,104,"Derek Fathauer",58,13.19,31,235,"Par3BirdieorBetterLeaders",2016
92,97,"Jason Dufner",53,13.17,27,205,"Par3BirdieorBetterLeaders",2016
93,96,"Cameron Tringale",47,13.16,25,190,"Par3BirdieorBetterLeaders",2016
94,106,"Boo Weekley",53,13.08,28,214,"Par3BirdieorBetterLeaders",2016
95,79,"Padraig Harrington",38,13.07,20,153,"Par3BirdieorBetterLeaders",2016
95,81,"Johnson Wagner",44,13.07,23,176,"Par3BirdieorBetterLeaders",2016
97,111,"Ernie Els",34,13.04,18,138,"Par3BirdieorBetterLeaders",2016
98,98,"Justin Hicks",26,12.96,14,108,"Par3BirdieorBetterLeaders",2016
99,102,"Scott Piercy",45,12.8,21,164,"Par3BirdieorBetterLeaders",2016
100,105,"Rory Sabbatini",40,12.73,21,165,"Par3BirdieorBetterLeaders",2016
101,83,"Harris English",51,12.62,26,206,"Par3BirdieorBetterLeaders",2016
101,106,"Jeff Overton",51,12.62,26,206,"Par3BirdieorBetterLeaders",2016
103,122,"Chad Collins",45,12.57,23,183,"Par3BirdieorBetterLeaders",2016
104,108,"Marc Leishman",41,12.5,19,152,"Par3BirdieorBetterLeaders",2016
105,124,"Chesson Hadley",51,12.44,26,209,"Par3BirdieorBetterLeaders",2016
106,99,"Martin Laird",46,12.37,23,186,"Par3BirdieorBetterLeaders",2016
106,87,"Brian Stuard",24,12.37,12,97,"Par3BirdieorBetterLeaders",2016
108,129,"Colt Knost",56,12.33,28,227,"Par3BirdieorBetterLeaders",2016
109,86,"James Hahn",45,12.29,22,179,"Par3BirdieorBetterLeaders",2016
110,112,"Russell Henley",42,12.28,21,171,"Par3BirdieorBetterLeaders",2016
111,113,"Chez Reavie",56,12.23,28,229,"Par3BirdieorBetterLeaders",2016
112,114,"Whee Kim",54,12.22,27,221,"Par3BirdieorBetterLeaders",2016
113,114,"Matt Kuchar",46,12.21,21,172,"Par3BirdieorBetterLeaders",2016
