"DistancefromEdgeofFairway_RANKTHISWEEK_2009","DistancefromEdgeofFairway_RANKLASTWEEK_2009","DistancefromEdgeofFairway_PLAYERNAME_2009","DistancefromEdgeofFairway_EVENTS_2009","DistancefromEdgeofFairway_AVG_2009","DistancefromEdgeofFairway_TOTALDISTANCEFEET_2009","DistancefromEdgeofFairway_TOTALSTROKES_2009","stat_name","year"
1,1,"Tom Lehman",16,NA,2378.833,136,"DistancefromEdgeofFairway",2009
2,2,"Zach Johnson",26,NA,5791.25,308,"DistancefromEdgeofFairway",2009
3,3,"Brian Gay",27,NA,5920.75,310,"DistancefromEdgeofFairway",2009
4,4,"Jerry Kelly",26,NA,6881.833,357,"DistancefromEdgeofFairway",2009
5,5,"Justin Leonard",26,NA,5993.917,310,"DistancefromEdgeofFairway",2009
6,6,"Heath Slocum",30,NA,5940.5,305,"DistancefromEdgeofFairway",2009
7,7,"Hunter Mahan",25,NA,6946.25,354,"DistancefromEdgeofFairway",2009
8,8,"Paul Goydos",25,NA,4900.5,249,"DistancefromEdgeofFairway",2009
9,9,"Jim Furyk",23,NA,4997.5,252,"DistancefromEdgeofFairway",2009
10,10,"David Toms",27,NA,5769.333,288,"DistancefromEdgeofFairway",2009
11,11,"Tim Clark",23,NA,4242.583,211,"DistancefromEdgeofFairway",2009
12,12,"Patrick Sheehan",15,NA,3009.25,149,"DistancefromEdgeofFairway",2009
13,13,"Bart Bryant",17,NA,3946.333,194,"DistancefromEdgeofFairway",2009
14,14,"John Mallinger",27,NA,6108.417,298,"DistancefromEdgeofFairway",2009
14,14,"Kirk Triplett",20,NA,3921.25,191,"DistancefromEdgeofFairway",2009
16,16,"Tommy Armour III",19,NA,4604.25,224,"DistancefromEdgeofFairway",2009
17,17,"Glen Day",26,NA,5391,261,"DistancefromEdgeofFairway",2009
17,17,"Ian Poulter",17,NA,4043.667,196,"DistancefromEdgeofFairway",2009
19,19,"Jeff Klauk",29,NA,7064.167,338,"DistancefromEdgeofFairway",2009
20,20,"Kenny Perry",24,NA,6901.583,329,"DistancefromEdgeofFairway",2009
21,21,"Corey Pavin",23,NA,4367.917,207,"DistancefromEdgeofFairway",2009
21,21,"Scott Sterling",16,NA,4008.583,190,"DistancefromEdgeofFairway",2009
21,21,"Scott Verplank",24,NA,6357.417,302,"DistancefromEdgeofFairway",2009
24,24,"Mark Brooks",17,NA,3259.583,154,"DistancefromEdgeofFairway",2009
24,24,"Ben Crane",27,NA,7212.75,341,"DistancefromEdgeofFairway",2009
26,26,"Bob Estes",23,NA,6281.083,295,"DistancefromEdgeofFairway",2009
26,26,"Steve Stricker",22,NA,5812.667,273,"DistancefromEdgeofFairway",2009
28,28,"Colt Knost",24,NA,4714.333,220,"DistancefromEdgeofFairway",2009
28,28,"Matt Kuchar",24,NA,7037.833,328,"DistancefromEdgeofFairway",2009
28,28,"Sean OHair",23,NA,6477.25,303,"DistancefromEdgeofFairway",2009
31,31,"Joe Durant",20,NA,3448.083,160,"DistancefromEdgeofFairway",2009
32,32,"KJ Choi",22,NA,4686.75,216,"DistancefromEdgeofFairway",2009
32,32,"DJ Trahan",30,NA,7441.5,343,"DistancefromEdgeofFairway",2009
34,34,"Cameron Beckman",26,NA,8209.667,377,"DistancefromEdgeofFairway",2009
34,34,"Chris Riley",22,NA,5408.583,249,"DistancefromEdgeofFairway",2009
34,34,"Jay Williamson",22,NA,4943.083,227,"DistancefromEdgeofFairway",2009
37,37,"Ben Curtis",18,NA,4862.5,222,"DistancefromEdgeofFairway",2009
37,37,"Steve Lowery",27,NA,7831.5,357,"DistancefromEdgeofFairway",2009
39,39,"Marc Turnesa",30,NA,6836,310,"DistancefromEdgeofFairway",2009
40,40,"Jason Bohn",25,NA,7161.167,321,"DistancefromEdgeofFairway",2009
40,40,"Brian Davis",32,NA,8819,395,"DistancefromEdgeofFairway",2009
42,42,"Rocco Mediate",22,NA,7157.333,319,"DistancefromEdgeofFairway",2009
42,42,"Kevin Na",26,NA,8280,369,"DistancefromEdgeofFairway",2009
42,42,"Boo Weekley",22,NA,5984,267,"DistancefromEdgeofFairway",2009
45,45,"Jason Dufner",26,NA,7460.25,331,"DistancefromEdgeofFairway",2009
45,45,"YE Yang",23,NA,8171.25,363,"DistancefromEdgeofFairway",2009
47,47,"Chez Reavie",27,NA,6406.917,284,"DistancefromEdgeofFairway",2009
47,47,"Darron Stiles",20,NA,3435.083,152,"DistancefromEdgeofFairway",2009
49,49,"Jason Gore",24,NA,6351.583,278,"DistancefromEdgeofFairway",2009
49,49,"Scott McCarron",27,NA,6475.583,284,"DistancefromEdgeofFairway",2009
49,49,"Brandt Snedeker",26,NA,5818.25,255,"DistancefromEdgeofFairway",2009
52,52,"Michael Allen",22,NA,5393,235,"DistancefromEdgeofFairway",2009
52,52,"Briny Baird",28,NA,7021.75,306,"DistancefromEdgeofFairway",2009
52,52,"Greg Owen",30,NA,7814.25,341,"DistancefromEdgeofFairway",2009
55,55,"Robert Allenby",21,NA,5700.417,248,"DistancefromEdgeofFairway",2009
56,56,"Ted Purdy",30,NA,9436.667,409,"DistancefromEdgeofFairway",2009
56,56,"Jeff Quinney",26,NA,7293.75,316,"DistancefromEdgeofFairway",2009
58,58,"DA Points",29,NA,8560.833,369,"DistancefromEdgeofFairway",2009
58,58,"Mike Weir",24,NA,7828.5,338,"DistancefromEdgeofFairway",2009
60,60,"Kent Jones",24,NA,5693,245,"DistancefromEdgeofFairway",2009
61,61,"Alex Cejka",25,NA,6475.833,278,"DistancefromEdgeofFairway",2009
62,62,"Lucas Glover",26,NA,8636.417,369,"DistancefromEdgeofFairway",2009
62,62,"Peter Lonard",30,NA,7953.667,340,"DistancefromEdgeofFairway",2009
62,62,"Charlie Wi",28,NA,7842,335,"DistancefromEdgeofFairway",2009
65,65,"Cliff Kresge",28,NA,7391,315,"DistancefromEdgeofFairway",2009
