"Front9Round2ScoringAverage_RANKTHISWEEK_2011","Front9Round2ScoringAverage_RANKLASTWEEK_2011","Front9Round2ScoringAverage_PLAYERNAME_2011","Front9Round2ScoringAverage__2011","Front9Round2ScoringAverage_AVG_2011","Front9Round2ScoringAverage_TOTALSTROKES_2011","Front9Round2ScoringAverage_TOTALROUNDS_2011","stat_name","year"
1,1,"Gary Woodland",NA,34.12,853,25,"Front9Round2ScoringAverage",2011
2,2,"JB Holmes",NA,34.14,478,14,"Front9Round2ScoringAverage",2011
3,3,"Aaron Baddeley",NA,34.18,752,22,"Front9Round2ScoringAverage",2011
4,4,"Bubba Watson",NA,34.25,685,20,"Front9Round2ScoringAverage",2011
5,5,"Rickie Fowler",NA,34.3,789,23,"Front9Round2ScoringAverage",2011
6,6,"Jason Day",NA,34.35,687,20,"Front9Round2ScoringAverage",2011
7,7,"John Senden",NA,34.42,895,26,"Front9Round2ScoringAverage",2011
8,8,"Keegan Bradley",NA,34.46,965,28,"Front9Round2ScoringAverage",2011
9,9,"John Merrick",NA,34.48,724,21,"Front9Round2ScoringAverage",2011
9,9,"Rod Pampling",NA,34.48,724,21,"Front9Round2ScoringAverage",2011
11,11,"Steve Stricker",NA,34.56,622,18,"Front9Round2ScoringAverage",2011
12,12,"Charl Schwartzel",NA,34.57,484,14,"Front9Round2ScoringAverage",2011
13,13,"Mark Wilson",NA,34.6,865,25,"Front9Round2ScoringAverage",2011
14,14,"KJ Choi",NA,34.62,727,21,"Front9Round2ScoringAverage",2011
14,14,"Nick Watney",NA,34.62,727,21,"Front9Round2ScoringAverage",2011
16,16,"David Toms",NA,34.64,762,22,"Front9Round2ScoringAverage",2011
17,17,"Scott Piercy",NA,34.65,797,23,"Front9Round2ScoringAverage",2011
18,18,"Cameron Tringale",NA,34.66,1109,32,"Front9Round2ScoringAverage",2011
19,19,"Jim Furyk",NA,34.68,867,25,"Front9Round2ScoringAverage",2011
19,19,"Bill Haas",NA,34.68,867,25,"Front9Round2ScoringAverage",2011
19,19,"David Mathis",NA,34.68,867,25,"Front9Round2ScoringAverage",2011
22,22,"Shane Bertsch",NA,34.7,694,20,"Front9Round2ScoringAverage",2011
22,22,"Hunter Haas",NA,34.7,1041,30,"Front9Round2ScoringAverage",2011
22,22,"Chris Stroud",NA,34.7,937,27,"Front9Round2ScoringAverage",2011
25,25,"Billy Mayfair",NA,34.76,1008,29,"Front9Round2ScoringAverage",2011
25,25,"Brandt Snedeker",NA,34.76,869,25,"Front9Round2ScoringAverage",2011
25,25,"Michael Thompson",NA,34.76,869,25,"Front9Round2ScoringAverage",2011
28,28,"Martin Laird",NA,34.77,765,22,"Front9Round2ScoringAverage",2011
29,29,"Hunter Mahan",NA,34.79,835,24,"Front9Round2ScoringAverage",2011
29,29,"DJ Trahan",NA,34.79,1009,29,"Front9Round2ScoringAverage",2011
31,31,"Greg Chalmers",NA,34.81,940,27,"Front9Round2ScoringAverage",2011
31,31,"Michael Connell",NA,34.81,905,26,"Front9Round2ScoringAverage",2011
33,33,"Zach Johnson",NA,34.82,766,22,"Front9Round2ScoringAverage",2011
34,34,"Brian Davis",NA,34.83,1045,30,"Front9Round2ScoringAverage",2011
34,34,"Matt Kuchar",NA,34.83,801,23,"Front9Round2ScoringAverage",2011
36,36,"Chris Couch",NA,34.84,662,19,"Front9Round2ScoringAverage",2011
36,36,"Johnson Wagner",NA,34.84,871,25,"Front9Round2ScoringAverage",2011
38,38,"Chad Campbell",NA,34.86,1011,29,"Front9Round2ScoringAverage",2011
39,39,"Brendon de Jonge",NA,34.87,1046,30,"Front9Round2ScoringAverage",2011
39,39,"Ian Poulter",NA,34.87,523,15,"Front9Round2ScoringAverage",2011
41,41,"Jhonattan Vegas",NA,34.88,872,25,"Front9Round2ScoringAverage",2011
42,42,"Andres Gonzales",NA,34.9,733,21,"Front9Round2ScoringAverage",2011
42,42,"Charles Howell III",NA,34.9,1047,30,"Front9Round2ScoringAverage",2011
42,42,"Ryan Moore",NA,34.9,698,20,"Front9Round2ScoringAverage",2011
45,45,"Ben Crane",NA,34.91,768,22,"Front9Round2ScoringAverage",2011
45,45,"Camilo Villegas",NA,34.91,768,22,"Front9Round2ScoringAverage",2011
47,47,"Webb Simpson",NA,34.92,908,26,"Front9Round2ScoringAverage",2011
48,48,"Heath Slocum",NA,34.93,978,28,"Front9Round2ScoringAverage",2011
49,49,"Luke Donald",NA,34.94,629,18,"Front9Round2ScoringAverage",2011
49,49,"Sergio Garcia",NA,34.94,559,16,"Front9Round2ScoringAverage",2011
49,49,"Robert Karlsson",NA,34.94,594,17,"Front9Round2ScoringAverage",2011
52,52,"George McNeill",NA,34.95,699,20,"Front9Round2ScoringAverage",2011
53,53,"Chris Kirk",NA,34.96,944,27,"Front9Round2ScoringAverage",2011
53,53,"Vijay Singh",NA,34.96,874,25,"Front9Round2ScoringAverage",2011
