"PuttsPerRound_RANKTHISWEEK_2009","PuttsPerRound_RANKLASTWEEK_2009","PuttsPerRound_PLAYERNAME_2009","PuttsPerRound_ROUNDS_2009","PuttsPerRound_AVG_2009","PuttsPerRound_TOTALPUTTS_2009","PuttsPerRound_TOTALROUNDS_2009","PuttsPerRound_LOWTOTALPUTTS_2009","stat_name","year"
1,1,"Brad Faxon",59,28,1652,59,22,"PuttsPerRound",2009
2,2,"Aaron Baddeley",66,28.09,1826,65,23,"PuttsPerRound",2009
3,3,"Joe Ogilvie",85,28.1,2332,83,23,"PuttsPerRound",2009
4,4,"Luke Donald",79,28.11,2136,76,20,"PuttsPerRound",2009
4,4,"Brian Gay",96,28.11,2586,92,22,"PuttsPerRound",2009
6,6,"Ian Poulter",59,28.18,1578,56,24,"PuttsPerRound",2009
7,7,"Webb Simpson",94,28.21,2652,94,22,"PuttsPerRound",2009
8,8,"Jim Furyk",86,28.24,2344,83,22,"PuttsPerRound",2009
8,8,"Steve Stricker",81,28.24,2231,79,22,"PuttsPerRound",2009
10,10,"Padraig Harrington",66,28.29,1839,65,21,"PuttsPerRound",2009
11,11,"Jason Day",61,28.34,1502,53,24,"PuttsPerRound",2009
11,11,"Matt Kuchar",82,28.34,2324,82,22,"PuttsPerRound",2009
11,11,"Parker McLachlin",71,28.34,2012,71,22,"PuttsPerRound",2009
14,14,"Chris Riley",77,28.35,2013,71,23,"PuttsPerRound",2009
15,15,"Anthony Kim",76,28.36,2099,74,23,"PuttsPerRound",2009
16,16,"Daniel Chopra",89,28.37,2525,89,24,"PuttsPerRound",2009
17,17,"Ryuji Imada",85,28.41,2415,85,22,"PuttsPerRound",2009
18,18,"Bob Heintz",59,28.42,1563,55,22,"PuttsPerRound",2009
18,18,"Pat Perez",74,28.42,2046,72,24,"PuttsPerRound",2009
20,20,"Kevin Na",91,28.43,2473,87,23,"PuttsPerRound",2009
20,20,"Mike Weir",85,28.43,2388,84,23,"PuttsPerRound",2009
22,22,"Greg Chalmers",85,28.44,2190,77,23,"PuttsPerRound",2009
22,22,"Tiger Woods",64,28.44,1763,62,23,"PuttsPerRound",2009
24,24,"Freddie Jacobson",83,28.48,2307,81,24,"PuttsPerRound",2009
25,25,"Ben Crane",93,28.49,2650,93,22,"PuttsPerRound",2009
26,26,"Geoff Ogilvy",78,28.51,2053,72,23,"PuttsPerRound",2009
27,27,"Tim Clark",81,28.53,2225,78,23,"PuttsPerRound",2009
27,27,"Bob Estes",78,28.53,2225,78,22,"PuttsPerRound",2009
29,29,"Charlie Wi",92,28.54,2626,92,22,"PuttsPerRound",2009
30,30,"Jerry Kelly",90,28.57,2343,82,23,"PuttsPerRound",2009
30,30,"Jeff Overton",92,28.57,2514,88,24,"PuttsPerRound",2009
30,30,"Corey Pavin",73,28.57,1857,65,23,"PuttsPerRound",2009
33,33,"Eric Axley",71,28.6,1916,67,24,"PuttsPerRound",2009
33,33,"Dean Wilson",81,28.6,2202,77,23,"PuttsPerRound",2009
35,35,"Lee Janzen",74,28.62,1946,68,22,"PuttsPerRound",2009
36,36,"Retief Goosen",74,28.63,2090,73,23,"PuttsPerRound",2009
37,37,"Michael Letzig",96,28.64,2635,92,23,"PuttsPerRound",2009
37,37,"Brandt Snedeker",81,28.64,2205,77,23,"PuttsPerRound",2009
39,39,"George McNeill",82,28.65,2292,80,24,"PuttsPerRound",2009
39,39,"Jeff Quinney",78,28.65,2235,78,23,"PuttsPerRound",2009
41,41,"Chris DiMarco",97,28.67,2666,93,25,"PuttsPerRound",2009
41,41,"Justin Leonard",95,28.67,2609,91,23,"PuttsPerRound",2009
41,41,"David Mathis",82,28.67,2179,76,24,"PuttsPerRound",2009
41,41,"Vaughn Taylor",88,28.67,2408,84,23,"PuttsPerRound",2009
45,45,"Scott McCarron",91,28.68,2610,91,21,"PuttsPerRound",2009
45,45,"Matt Weibring",65,28.68,1692,59,24,"PuttsPerRound",2009
47,47,"Brian Davis",103,28.73,2844,99,23,"PuttsPerRound",2009
48,48,"Harrison Frazar",93,28.74,2558,89,20,"PuttsPerRound",2009
49,49,"Tim Herron",87,28.75,2501,87,24,"PuttsPerRound",2009
49,49,"Bo Van Pelt",100,28.75,2645,92,23,"PuttsPerRound",2009
49,49,"Jimmy Walker",74,28.75,1955,68,21,"PuttsPerRound",2009
52,52,"Zach Johnson",94,28.76,2646,92,23,"PuttsPerRound",2009
53,53,"Tom Pernice Jr",82,28.77,2359,82,20,"PuttsPerRound",2009
54,54,"Ryan Moore",89,28.78,2446,85,23,"PuttsPerRound",2009
55,55,"John Mallinger",90,28.79,2476,86,22,"PuttsPerRound",2009
55,55,"Tim Petrovic",97,28.79,2735,95,23,"PuttsPerRound",2009
57,57,"Nathan Green",104,28.81,2881,100,22,"PuttsPerRound",2009
58,58,"Angel Cabrera",55,28.83,1557,54,23,"PuttsPerRound",2009
58,58,"James Nitties",86,28.83,2364,82,24,"PuttsPerRound",2009
60,60,"Charley Hoffman",97,28.85,2798,97,24,"PuttsPerRound",2009
61,61,"Lucas Glover",93,28.86,2684,93,23,"PuttsPerRound",2009
62,62,"Brad Adamonis",70,28.88,1964,68,23,"PuttsPerRound",2009
62,62,"Dustin Johnson",85,28.88,2426,84,22,"PuttsPerRound",2009
64,64,"Mark Brooks",55,28.89,1358,47,24,"PuttsPerRound",2009
64,64,"Scott Verplank",88,28.89,2427,84,21,"PuttsPerRound",2009
64,64,"Mark Wilson",99,28.89,2745,95,22,"PuttsPerRound",2009
67,67,"Rod Pampling",72,28.9,2052,71,23,"PuttsPerRound",2009
67,67,"Bubba Watson",73,28.9,2110,73,23,"PuttsPerRound",2009
69,69,"Stephen Ames",77,28.92,2169,75,24,"PuttsPerRound",2009
69,69,"Phil Mickelson",66,28.92,1822,63,20,"PuttsPerRound",2009
69,69,"Bryce Molder",69,28.92,1764,61,22,"PuttsPerRound",2009
72,72,"Woody Austin",84,28.94,2431,84,23,"PuttsPerRound",2009
73,73,"David Duval",56,28.96,1622,56,22,"PuttsPerRound",2009
74,74,"Cliff Kresge",78,28.97,2086,72,23,"PuttsPerRound",2009
74,74,"David Toms",98,28.97,2723,94,24,"PuttsPerRound",2009
76,76,"Jason Dufner",90,28.98,2492,86,24,"PuttsPerRound",2009
76,76,"Matt Jones",56,28.98,1449,50,23,"PuttsPerRound",2009
78,78,"Ryan Palmer",78,28.99,2261,78,24,"PuttsPerRound",2009
79,79,"Leif Olson",51,29,1363,47,21,"PuttsPerRound",2009
80,80,"Jeff Klauk",97,29.02,2757,95,22,"PuttsPerRound",2009
81,81,"John Rollins",92,29.03,2555,88,23,"PuttsPerRound",2009
82,82,"Paul Goydos",79,29.04,2236,77,23,"PuttsPerRound",2009
83,83,"Derek Fathauer",63,29.05,1656,57,25,"PuttsPerRound",2009
84,84,"Steve Lowery",83,29.07,2413,83,24,"PuttsPerRound",2009
85,85,"Stewart Cink",79,29.08,2123,73,24,"PuttsPerRound",2009
85,85,"Carl Pettersson",86,29.08,2501,86,23,"PuttsPerRound",2009
87,87,"Hunter Mahan",94,29.1,2677,92,24,"PuttsPerRound",2009
88,88,"Spencer Levin",75,29.11,2067,71,23,"PuttsPerRound",2009
89,89,"Kenny Perry",92,29.12,2650,91,24,"PuttsPerRound",2009
90,90,"Alex Cejka",82,29.13,2243,77,22,"PuttsPerRound",2009
91,91,"Justin Rose",71,29.14,2040,70,23,"PuttsPerRound",2009
92,92,"Ken Duke",87,29.15,2536,87,18,"PuttsPerRound",2009
92,92,"Richard Johnson",85,29.15,2449,84,23,"PuttsPerRound",2009
94,94,"Matt Bettencourt",98,29.16,2858,98,22,"PuttsPerRound",2009
94,94,"John Merrick",91,29.16,2420,83,23,"PuttsPerRound",2009
94,94,"Nick OHern",90,29.16,2508,86,24,"PuttsPerRound",2009
94,94,"Nick Watney",86,29.16,2508,86,24,"PuttsPerRound",2009
98,98,"Bill Haas",91,29.17,2538,87,24,"PuttsPerRound",2009
99,99,"Steve Marino",98,29.19,2744,94,22,"PuttsPerRound",2009
99,99,"Rory Sabbatini",81,29.19,2335,80,23,"PuttsPerRound",2009
99,99,"YE Yang",83,29.19,2306,79,24,"PuttsPerRound",2009
102,102,"Kevin Sutherland",96,29.21,2775,95,24,"PuttsPerRound",2009
103,103,"Brian Vranesh",51,29.23,1374,47,21,"PuttsPerRound",2009
104,104,"Bart Bryant",58,29.24,1579,54,25,"PuttsPerRound",2009
104,104,"Ben Curtis",63,29.24,1813,62,22,"PuttsPerRound",2009
106,106,"Cameron Beckman",87,29.25,2428,83,22,"PuttsPerRound",2009
106,106,"Charles Howell III",99,29.25,2662,91,24,"PuttsPerRound",2009
106,106,"Scott Piercy",85,29.25,2369,81,24,"PuttsPerRound",2009
106,106,"Kevin Stadler",65,29.25,1667,57,22,"PuttsPerRound",2009
110,110,"Steve Flesch",77,29.27,2254,77,23,"PuttsPerRound",2009
111,111,"Mark Calcavecchia",72,29.28,2108,72,21,"PuttsPerRound",2009
111,111,"Johnson Wagner",81,29.28,2372,81,23,"PuttsPerRound",2009
113,113,"Kris Blanks",60,29.3,1582,54,24,"PuttsPerRound",2009
113,113,"Chad Campbell",90,29.3,2520,86,24,"PuttsPerRound",2009
113,113,"Ernie Els",70,29.3,1934,66,24,"PuttsPerRound",2009
113,113,"Brett Quigley",92,29.3,2461,84,24,"PuttsPerRound",2009
117,117,"Todd Hamilton",83,29.31,2374,81,25,"PuttsPerRound",2009
118,118,"Bill Lunde",83,29.32,2375,81,23,"PuttsPerRound",2009
119,119,"Chez Reavie",81,29.34,2259,77,25,"PuttsPerRound",2009
119,119,"Camilo Villegas",76,29.34,2142,73,23,"PuttsPerRound",2009
121,121,"DA Points",99,29.35,2730,93,23,"PuttsPerRound",2009
121,121,"Ted Purdy",101,29.35,2730,93,23,"PuttsPerRound",2009
123,123,"Sergio Garcia",59,29.36,1703,58,24,"PuttsPerRound",2009
124,124,"Colt Knost",71,29.37,1850,63,22,"PuttsPerRound",2009
124,124,"Andres Romero",58,29.37,1674,57,23,"PuttsPerRound",2009
124,124,"Kevin Streelman",97,29.37,2731,93,23,"PuttsPerRound",2009
127,127,"Marc Leishman",91,29.38,2556,87,23,"PuttsPerRound",2009
128,128,"Fred Couples",54,29.39,1587,54,23,"PuttsPerRound",2009
129,129,"Michael Allen",73,29.41,2029,69,25,"PuttsPerRound",2009
130,130,"Troy Matteson",95,29.42,2677,91,22,"PuttsPerRound",2009
130,130,"Patrick Sheehan",51,29.42,1265,43,25,"PuttsPerRound",2009
130,130,"Heath Slocum",95,29.42,2677,91,24,"PuttsPerRound",2009
133,133,"Tag Ridings",50,29.43,1295,44,24,"PuttsPerRound",2009
134,134,"Jarrod Lyle",65,29.47,1680,57,24,"PuttsPerRound",2009
134,134,"Scott Sterling",51,29.47,1267,43,23,"PuttsPerRound",2009
136,136,"Tommy Armour III",58,29.48,1710,58,24,"PuttsPerRound",2009
136,136,"Kent Jones",73,29.48,1916,65,23,"PuttsPerRound",2009
138,138,"Steve Elkington",70,29.49,2064,70,24,"PuttsPerRound",2009
139,139,"Brendon de Jonge",90,29.51,2538,86,24,"PuttsPerRound",2009
139,139,"Martin Laird",72,29.51,2066,70,24,"PuttsPerRound",2009
141,141,"Davis Love III",89,29.52,2568,87,24,"PuttsPerRound",2009
142,142,"Mathew Goggin",76,29.53,2185,74,24,"PuttsPerRound",2009
143,143,"Sean OHair",80,29.54,2245,76,24,"PuttsPerRound",2009
144,144,"Brian Bateman",55,29.55,1625,55,25,"PuttsPerRound",2009
145,145,"Stuart Appleby",79,29.59,2308,78,24,"PuttsPerRound",2009
146,146,"Jonathan Byrd",89,29.6,2516,85,24,"PuttsPerRound",2009
146,146,"Aron Price",89,29.6,2398,81,24,"PuttsPerRound",2009
148,148,"KJ Choi",65,29.63,1896,64,24,"PuttsPerRound",2009
148,148,"Darron Stiles",52,29.63,1422,48,23,"PuttsPerRound",2009
148,148,"Chris Stroud",88,29.63,2489,84,24,"PuttsPerRound",2009
148,148,"Nicholas Thompson",96,29.63,2785,94,22,"PuttsPerRound",2009
152,152,"Jason Bohn",88,29.65,2609,88,22,"PuttsPerRound",2009
152,152,"Glen Day",79,29.65,2105,71,25,"PuttsPerRound",2009
154,154,"Charles Warren",63,29.67,1691,57,23,"PuttsPerRound",2009
155,155,"Briny Baird",89,29.68,2523,85,21,"PuttsPerRound",2009
155,155,"Robert Garrigus",83,29.68,2345,79,25,"PuttsPerRound",2009
155,155,"Peter Lonard",86,29.68,2434,82,24,"PuttsPerRound",2009
155,155,"Rocco Mediate",79,29.68,2226,75,25,"PuttsPerRound",2009
159,159,"Jason Gore",74,29.7,2049,69,23,"PuttsPerRound",2009
159,159,"Casey Wittenberg",71,29.7,1871,63,25,"PuttsPerRound",2009
161,161,"JB Holmes",74,29.73,2200,74,23,"PuttsPerRound",2009
162,162,"Rich Beem",77,29.74,2052,69,23,"PuttsPerRound",2009
163,163,"Jeff Maggert",79,29.78,2353,79,22,"PuttsPerRound",2009
163,163,"Brendon Todd",53,29.78,1519,51,24,"PuttsPerRound",2009
165,165,"John Senden",100,29.83,2983,100,24,"PuttsPerRound",2009
166,166,"DJ Trahan",96,29.84,2865,96,24,"PuttsPerRound",2009
167,167,"Vijay Singh",71,29.88,2062,69,25,"PuttsPerRound",2009
167,167,"Kirk Triplett",60,29.88,1793,60,24,"PuttsPerRound",2009
169,169,"JJ Henry",97,29.9,2781,93,24,"PuttsPerRound",2009
169,169,"Rick Price",54,29.9,1435,48,26,"PuttsPerRound",2009
171,171,"Marc Turnesa",77,29.91,2303,77,26,"PuttsPerRound",2009
172,172,"Greg Kraft",51,29.96,1408,47,25,"PuttsPerRound",2009
173,173,"Robert Allenby",71,29.99,2099,70,25,"PuttsPerRound",2009
174,174,"Boo Weekley",79,30,2310,77,25,"PuttsPerRound",2009
175,175,"Greg Owen",97,30.07,2676,89,25,"PuttsPerRound",2009
176,176,"Adam Scott",53,30.1,1565,52,25,"PuttsPerRound",2009
177,177,"Peter Tomasulo",61,30.13,1657,55,22,"PuttsPerRound",2009
178,178,"Gary Woodland",53,30.19,1419,47,24,"PuttsPerRound",2009
179,179,"Will Ma Kenzie",69,30.23,2086,69,24,"PuttsPerRound",2009
180,180,"Joe Durant",62,30.24,1633,54,24,"PuttsPerRound",2009
181,181,"Billy Mayfair",83,30.29,2514,83,24,"PuttsPerRound",2009
182,182,"Jay Williamson",69,30.31,1849,61,23,"PuttsPerRound",2009
183,183,"Ricky Barnes",67,30.41,1794,59,24,"PuttsPerRound",2009
