"Last5EventsScoring_RANKTHISWEEK_2015","Last5EventsScoring_RANKLASTWEEK_2015","Last5EventsScoring_PLAYERNAME_2015","Last5EventsScoring_EVENTS_2015","Last5EventsScoring_RATING_2015","stat_name","year"
1,1,"Shane Lowry",1,9.4,"Last5EventsScoring",2015
2,2,"Joe Affrunti",1,9,"Last5EventsScoring",2015
2,2,"Jason Day",5,9,"Last5EventsScoring",2015
2,2,"Whee Kim",2,9,"Last5EventsScoring",2015
2,2,"Robby Shelton",1,9,"Last5EventsScoring",2015
2,2,"Peter Uihlein",1,9,"Last5EventsScoring",2015
7,7,"Lucas Glover",1,8.9,"Last5EventsScoring",2015
7,7,"Andrew Loupe",1,8.9,"Last5EventsScoring",2015
7,7,"Jordan Spieth",3,8.9,"Last5EventsScoring",2015
10,10,"Mark Anderson",2,8.8,"Last5EventsScoring",2015
10,10,"Ross Fisher",1,8.8,"Last5EventsScoring",2015
10,10,"Steve Marino",1,8.8,"Last5EventsScoring",2015
10,10,"Garrett Osborn",1,8.8,"Last5EventsScoring",2015
14,14,"Dudley Hart",1,8.7,"Last5EventsScoring",2015
14,14,"Mark Hensby",1,8.7,"Last5EventsScoring",2015
14,14,"Justin Rose",4,8.7,"Last5EventsScoring",2015
14,14,"Duffy Waldorf",1,8.7,"Last5EventsScoring",2015
18,18,"Stuart Appleby",2,8.6,"Last5EventsScoring",2015
18,18,"Blayne Barber",1,8.6,"Last5EventsScoring",2015
18,18,"Stewart Cink",2,8.6,"Last5EventsScoring",2015
18,18,"Graham DeLaet",2,8.6,"Last5EventsScoring",2015
18,18,"Greg Owen",2,8.6,"Last5EventsScoring",2015
18,18,"Andres Romero",4,8.6,"Last5EventsScoring",2015
18,18,"Henrik Stenson",5,8.6,"Last5EventsScoring",2015
18,18,"Will Wilcox",3,8.6,"Last5EventsScoring",2015
18,18,"Tiger Woods",3,8.6,"Last5EventsScoring",2015
27,27,"Aaron Baddeley",2,8.5,"Last5EventsScoring",2015
27,27,"Daniel Berger",3,8.5,"Last5EventsScoring",2015
27,27,"Paul Casey",4,8.5,"Last5EventsScoring",2015
27,27,"Rickie Fowler",4,8.5,"Last5EventsScoring",2015
27,27,"Oscar Fraustro",1,8.5,"Last5EventsScoring",2015
27,27,"Jason Gore",2,8.5,"Last5EventsScoring",2015
27,27,"Branden Grace",3,8.5,"Last5EventsScoring",2015
27,27,"Jim Herman",4,8.5,"Last5EventsScoring",2015
27,27,"Davis Love III",2,8.5,"Last5EventsScoring",2015
27,27,"Martin Piller",1,8.5,"Last5EventsScoring",2015
27,27,"Ollie Schniederjans",2,8.5,"Last5EventsScoring",2015
27,27,"Brian Stuard",1,8.5,"Last5EventsScoring",2015
39,39,"Ricky Barnes",3,8.4,"Last5EventsScoring",2015
39,39,"Charlie Beljan",1,8.4,"Last5EventsScoring",2015
39,39,"Chad Campbell",3,8.4,"Last5EventsScoring",2015
39,39,"George Coetzee",2,8.4,"Last5EventsScoring",2015
39,39,"Austin Cook",4,8.4,"Last5EventsScoring",2015
39,39,"Bryson DeChambeau",1,8.4,"Last5EventsScoring",2015
39,39,"Derek Ernst",1,8.4,"Last5EventsScoring",2015
39,39,"Jim Furyk",4,8.4,"Last5EventsScoring",2015
39,39,"Andres Gonzales",1,8.4,"Last5EventsScoring",2015
39,39,"Tom Hoge",4,8.4,"Last5EventsScoring",2015
39,39,"Martin Kaymer",3,8.4,"Last5EventsScoring",2015
39,39,"Soren Kjeldsen",1,8.4,"Last5EventsScoring",2015
39,39,"Jason Kokrak",1,8.4,"Last5EventsScoring",2015
39,39,"DH Lee",1,8.4,"Last5EventsScoring",2015
39,39,"Jordan Niebrugge",1,8.4,"Last5EventsScoring",2015
39,39,"Cheng Tsung Pan",1,8.4,"Last5EventsScoring",2015
39,39,"Sam Saunders",3,8.4,"Last5EventsScoring",2015
39,39,"Charl Schwartzel",3,8.4,"Last5EventsScoring",2015
39,39,"Kyle Stanley",4,8.4,"Last5EventsScoring",2015
39,39,"Andy Sullivan",1,8.4,"Last5EventsScoring",2015
39,39,"Adam Svensson",1,8.4,"Last5EventsScoring",2015
39,39,"Bubba Watson",5,8.4,"Last5EventsScoring",2015
39,39,"Tim Wilkinson",1,8.4,"Last5EventsScoring",2015
39,39,"Cameron Wilson",1,8.4,"Last5EventsScoring",2015
63,63,"Thomas Aiken",2,8.3,"Last5EventsScoring",2015
63,63,"Steven Alker",1,8.3,"Last5EventsScoring",2015
63,63,"Jonas Blixt",3,8.3,"Last5EventsScoring",2015
63,63,"Brice Garnett",1,8.3,"Last5EventsScoring",2015
63,63,"Tom Gillis",2,8.3,"Last5EventsScoring",2015
63,63,"Emiliano Grillo",3,8.3,"Last5EventsScoring",2015
63,63,"Trevor Immelman",1,8.3,"Last5EventsScoring",2015
63,63,"Dustin Johnson",5,8.3,"Last5EventsScoring",2015
63,63,"Hideki Matsuyama",4,8.3,"Last5EventsScoring",2015
63,63,"Rory McIlroy",4,8.3,"Last5EventsScoring",2015
63,63,"George McNeill",3,8.3,"Last5EventsScoring",2015
63,63,"Rod Pampling",2,8.3,"Last5EventsScoring",2015
63,63,"Kenny Perry",2,8.3,"Last5EventsScoring",2015
63,63,"Jon Rahm",2,8.3,"Last5EventsScoring",2015
63,63,"Jim Renner",1,8.3,"Last5EventsScoring",2015
63,63,"Roger Sloan",2,8.3,"Last5EventsScoring",2015
63,63,"Cameron Smith",3,8.3,"Last5EventsScoring",2015
63,63,"Kevin Stadler",1,8.3,"Last5EventsScoring",2015
63,63,"David Toms",1,8.3,"Last5EventsScoring",2015
63,63,"Steve Wheatcroft",2,8.3,"Last5EventsScoring",2015
63,63,"Cory Whitsett",2,8.3,"Last5EventsScoring",2015
84,84,"Jonathan Byrd",3,8.2,"Last5EventsScoring",2015
84,84,"Chad Collins",1,8.2,"Last5EventsScoring",2015
84,84,"Brian Davis",2,8.2,"Last5EventsScoring",2015
84,84,"Cody Gribble",1,8.2,"Last5EventsScoring",2015
84,84,"Adam Hadwin",3,8.2,"Last5EventsScoring",2015
84,84,"Tyrrell Hatton",1,8.2,"Last5EventsScoring",2015
84,84,"David Hearn",3,8.2,"Last5EventsScoring",2015
84,84,"Zach Johnson",4,8.2,"Last5EventsScoring",2015
84,84,"Matt Kuchar",5,8.2,"Last5EventsScoring",2015
84,84,"Anirban Lahiri",2,8.2,"Last5EventsScoring",2015
84,84,"Graeme McDowell",1,8.2,"Last5EventsScoring",2015
84,84,"Chris Smith",2,8.2,"Last5EventsScoring",2015
84,84,"JJ Spaun",1,8.2,"Last5EventsScoring",2015
84,84,"Daniel Summerhays",4,8.2,"Last5EventsScoring",2015
98,98,"Scott Brown",2,8.1,"Last5EventsScoring",2015
98,98,"Kevin Chappell",5,8.1,"Last5EventsScoring",2015
98,98,"Kelvin Day",1,8.1,"Last5EventsScoring",2015
98,98,"Tony Finau",4,8.1,"Last5EventsScoring",2015
98,98,"Luke Guthrie",2,8.1,"Last5EventsScoring",2015
98,98,"Tom Johnson",1,8.1,"Last5EventsScoring",2015
98,98,"Scott Langley",3,8.1,"Last5EventsScoring",2015
98,98,"Marc Leishman",1,8.1,"Last5EventsScoring",2015
98,98,"David Lingmerth",3,8.1,"Last5EventsScoring",2015
98,98,"Ryan Moore",3,8.1,"Last5EventsScoring",2015
98,98,"Louis Oosthuizen",4,8.1,"Last5EventsScoring",2015
98,98,"Carl Pettersson",4,8.1,"Last5EventsScoring",2015
98,98,"Alex Prugh",3,8.1,"Last5EventsScoring",2015
98,98,"Michael Putnam",3,8.1,"Last5EventsScoring",2015
98,98,"Kyle Reifers",3,8.1,"Last5EventsScoring",2015
98,98,"Michael Smith",1,8.1,"Last5EventsScoring",2015
98,98,"Brendan Steele",3,8.1,"Last5EventsScoring",2015
98,98,"Chris Stroud",1,8.1,"Last5EventsScoring",2015
98,98,"Vaughn Taylor",4,8.1,"Last5EventsScoring",2015
98,98,"Justin Thomas",5,8.1,"Last5EventsScoring",2015
98,98,"Michael Thompson",2,8.1,"Last5EventsScoring",2015
98,98,"Cameron Tringale",4,8.1,"Last5EventsScoring",2015
98,98,"Scott Verplank",1,8.1,"Last5EventsScoring",2015
98,98,"Marc Warren",2,8.1,"Last5EventsScoring",2015
98,98,"YE Yang",2,8.1,"Last5EventsScoring",2015
123,123,"Matt Bettencourt",1,8,"Last5EventsScoring",2015
123,123,"Tim Clark",2,8,"Last5EventsScoring",2015
123,123,"Ben Crane",1,8,"Last5EventsScoring",2015
123,123,"Harris English",5,8,"Last5EventsScoring",2015
123,123,"Gonzalo Fdez Castano",4,8,"Last5EventsScoring",2015
123,123,"Harrison Frazar",1,8,"Last5EventsScoring",2015
123,123,"Sergio Garcia",4,8,"Last5EventsScoring",2015
123,123,"JB Holmes",5,8,"Last5EventsScoring",2015
123,123,"Freddie Jacobson",3,8,"Last5EventsScoring",2015
123,123,"Matt Jones",4,8,"Last5EventsScoring",2015
123,123,"Russell Knox",3,8,"Last5EventsScoring",2015
123,123,"Brooks Koepka",3,8,"Last5EventsScoring",2015
123,123,"Justin Leonard",4,8,"Last5EventsScoring",2015
123,123,"Spencer Levin",3,8,"Last5EventsScoring",2015
123,123,"Jamie Lovemark",1,8,"Last5EventsScoring",2015
123,123,"Kevin Na",4,8,"Last5EventsScoring",2015
123,123,"Pat Perez",4,8,"Last5EventsScoring",2015
123,123,"Jonathan Randolph",2,8,"Last5EventsScoring",2015
123,123,"Chez Reavie",4,8,"Last5EventsScoring",2015
123,123,"Robert Streb",5,8,"Last5EventsScoring",2015
123,123,"Steve Stricker",3,8,"Last5EventsScoring",2015
123,123,"Hudson Swafford",3,8,"Last5EventsScoring",2015
123,123,"Brendon Todd",3,8,"Last5EventsScoring",2015
123,123,"Jhonattan Vegas",2,8,"Last5EventsScoring",2015
123,123,"Camilo Villegas",4,8,"Last5EventsScoring",2015
123,123,"Nick Watney",4,8,"Last5EventsScoring",2015
123,123,"Boo Weekley",3,8,"Last5EventsScoring",2015
150,150,"Jason Bohn",4,7.9,"Last5EventsScoring",2015
150,150,"Steven Bowditch",3,7.9,"Last5EventsScoring",2015
150,150,"Keegan Bradley",4,7.9,"Last5EventsScoring",2015
150,150,"Luke Donald",5,7.9,"Last5EventsScoring",2015
150,150,"Russell Henley",4,7.9,"Last5EventsScoring",2015
150,150,"Wes Homan",2,7.9,"Last5EventsScoring",2015
150,150,"Ryo Ishikawa",3,7.9,"Last5EventsScoring",2015
150,150,"Smylie Kaufman",1,7.9,"Last5EventsScoring",2015
150,150,"Jerry Kelly",3,7.9,"Last5EventsScoring",2015
150,150,"Hyung Sung Kim",1,7.9,"Last5EventsScoring",2015
150,150,"Patton Kizzire",1,7.9,"Last5EventsScoring",2015
150,150,"Colt Knost",2,7.9,"Last5EventsScoring",2015
150,150,"Doug LaBelle II",1,7.9,"Last5EventsScoring",2015
150,150,"Danny Lee",5,7.9,"Last5EventsScoring",2015
150,150,"Troy Matteson",1,7.9,"Last5EventsScoring",2015
150,150,"William McGirt",4,7.9,"Last5EventsScoring",2015
150,150,"Carlos Ortiz",3,7.9,"Last5EventsScoring",2015
150,150,"Cameron Percy",3,7.9,"Last5EventsScoring",2015
150,150,"DA Points",2,7.9,"Last5EventsScoring",2015
150,150,"Andy Pope",1,7.9,"Last5EventsScoring",2015
150,150,"Wes Roach",1,7.9,"Last5EventsScoring",2015
150,150,"Carlos Sainz Jr",1,7.9,"Last5EventsScoring",2015
150,150,"John Senden",2,7.9,"Last5EventsScoring",2015
150,150,"Andrew Svoboda",2,7.9,"Last5EventsScoring",2015
150,150,"Tyrone Van Aswegen",3,7.9,"Last5EventsScoring",2015
150,150,"Lee Westwood",3,7.9,"Last5EventsScoring",2015
176,176,"Woody Austin",1,7.8,"Last5EventsScoring",2015
176,176,"Angel Cabrera",1,7.8,"Last5EventsScoring",2015
176,176,"Roberto Castro",4,7.8,"Last5EventsScoring",2015
176,176,"Alex Cejka",1,7.8,"Last5EventsScoring",2015
176,176,"Erik Compton",3,7.8,"Last5EventsScoring",2015
176,176,"Brendon de Jonge",3,7.8,"Last5EventsScoring",2015
176,176,"Victor Dubuisson",2,7.8,"Last5EventsScoring",2015
176,176,"Chris Naegel",1,7.8,"Last5EventsScoring",2015
176,176,"John Peterson",2,7.8,"Last5EventsScoring",2015
176,176,"Alexandre Rocha",1,7.8,"Last5EventsScoring",2015
176,176,"John Rollins",1,7.8,"Last5EventsScoring",2015
176,176,"Rory Sabbatini",4,7.8,"Last5EventsScoring",2015
176,176,"Marcel Siem",2,7.8,"Last5EventsScoring",2015
176,176,"Vijay Singh",4,7.8,"Last5EventsScoring",2015
176,176,"Heath Slocum",1,7.8,"Last5EventsScoring",2015
176,176,"Johnson Wagner",3,7.8,"Last5EventsScoring",2015
176,176,"Danny Willett",2,7.8,"Last5EventsScoring",2015
176,176,"Garrett Willis",1,7.8,"Last5EventsScoring",2015
