"FirstTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2012","FirstTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2012","FirstTeeEarlyPar5ScoringAverage_PLAYERNAME_2012","FirstTeeEarlyPar5ScoringAverage_ROUNDS_2012","FirstTeeEarlyPar5ScoringAverage_AVG_2012","FirstTeeEarlyPar5ScoringAverage_TOTALSTROKES_2012","FirstTeeEarlyPar5ScoringAverage_TOTALHOLES_2012","stat_name","year"
1,1,"Bubba Watson",68,4.35,161,37,"FirstTeeEarlyPar5ScoringAverage",2012
2,2,"Sergio Garcia",57,4.39,180,41,"FirstTeeEarlyPar5ScoringAverage",2012
2,2,"Gary Woodland",70,4.39,167,38,"FirstTeeEarlyPar5ScoringAverage",2012
4,4,"Henrik Stenson",51,4.41,163,37,"FirstTeeEarlyPar5ScoringAverage",2012
5,5,"Scott Brown",65,4.49,247,55,"FirstTeeEarlyPar5ScoringAverage",2012
5,5,"Charles Howell III",98,4.49,458,102,"FirstTeeEarlyPar5ScoringAverage",2012
7,7,"Jeff Overton",101,4.5,526,117,"FirstTeeEarlyPar5ScoringAverage",2012
7,7,"Lee Westwood",60,4.5,198,44,"FirstTeeEarlyPar5ScoringAverage",2012
9,9,"Padraig Harrington",67,4.51,176,39,"FirstTeeEarlyPar5ScoringAverage",2012
9,9,"John Senden",81,4.51,343,76,"FirstTeeEarlyPar5ScoringAverage",2012
11,11,"Brendon de Jonge",115,4.52,529,117,"FirstTeeEarlyPar5ScoringAverage",2012
11,11,"Nick Watney",97,4.52,461,102,"FirstTeeEarlyPar5ScoringAverage",2012
13,13,"Jason Dufner",83,4.53,290,64,"FirstTeeEarlyPar5ScoringAverage",2012
13,13,"Greg Owen",90,4.53,480,106,"FirstTeeEarlyPar5ScoringAverage",2012
15,15,"Kris Blanks",65,4.54,359,79,"FirstTeeEarlyPar5ScoringAverage",2012
15,15,"Adam Scott",59,4.54,245,54,"FirstTeeEarlyPar5ScoringAverage",2012
15,15,"Kyle Stanley",86,4.54,381,84,"FirstTeeEarlyPar5ScoringAverage",2012
18,18,"Scott Piercy",95,4.55,460,101,"FirstTeeEarlyPar5ScoringAverage",2012
19,19,"Scott Dunlap",57,4.56,178,39,"FirstTeeEarlyPar5ScoringAverage",2012
19,19,"Charley Hoffman",88,4.56,456,100,"FirstTeeEarlyPar5ScoringAverage",2012
19,19,"William McGirt",96,4.56,442,97,"FirstTeeEarlyPar5ScoringAverage",2012
19,19,"Dicky Pride",62,4.56,319,70,"FirstTeeEarlyPar5ScoringAverage",2012
23,23,"Jim Furyk",85,4.57,288,63,"FirstTeeEarlyPar5ScoringAverage",2012
23,23,"Russell Knox",72,4.57,279,61,"FirstTeeEarlyPar5ScoringAverage",2012
23,23,"Garth Mulroy",59,4.57,256,56,"FirstTeeEarlyPar5ScoringAverage",2012
23,23,"Jimmy Walker",101,4.57,425,93,"FirstTeeEarlyPar5ScoringAverage",2012
23,23,"Tiger Woods",69,4.57,137,30,"FirstTeeEarlyPar5ScoringAverage",2012
28,28,"Sangmoon Bae",81,4.58,334,73,"FirstTeeEarlyPar5ScoringAverage",2012
28,28,"John Daly",50,4.58,174,38,"FirstTeeEarlyPar5ScoringAverage",2012
28,28,"Rory McIlroy",60,4.58,87,19,"FirstTeeEarlyPar5ScoringAverage",2012
28,28,"Rod Pampling",88,4.58,540,118,"FirstTeeEarlyPar5ScoringAverage",2012
28,28,"Josh Teater",97,4.58,504,110,"FirstTeeEarlyPar5ScoringAverage",2012
33,33,"Chris Couch",61,4.59,211,46,"FirstTeeEarlyPar5ScoringAverage",2012
33,33,"Ben Crane",73,4.59,422,92,"FirstTeeEarlyPar5ScoringAverage",2012
33,33,"Patrick Sheehan",58,4.59,257,56,"FirstTeeEarlyPar5ScoringAverage",2012
36,36,"Bob Estes",78,4.6,400,87,"FirstTeeEarlyPar5ScoringAverage",2012
36,36,"Rickie Fowler",84,4.6,405,88,"FirstTeeEarlyPar5ScoringAverage",2012
36,36,"Danny Lee",74,4.6,239,52,"FirstTeeEarlyPar5ScoringAverage",2012
36,36,"Bill Lunde",83,4.6,354,77,"FirstTeeEarlyPar5ScoringAverage",2012
36,36,"Seung Yul Noh",105,4.6,515,112,"FirstTeeEarlyPar5ScoringAverage",2012
36,36,"Pat Perez",81,4.6,373,81,"FirstTeeEarlyPar5ScoringAverage",2012
36,36,"DA Points",88,4.6,419,91,"FirstTeeEarlyPar5ScoringAverage",2012
36,36,"Rory Sabbatini",84,4.6,432,94,"FirstTeeEarlyPar5ScoringAverage",2012
36,36,"Bo Van Pelt",84,4.6,386,84,"FirstTeeEarlyPar5ScoringAverage",2012
45,45,"Billy Horschel",63,4.61,235,51,"FirstTeeEarlyPar5ScoringAverage",2012
45,45,"Ryo Ishikawa",54,4.61,175,38,"FirstTeeEarlyPar5ScoringAverage",2012
45,45,"Geoff Ogilvy",73,4.61,498,108,"FirstTeeEarlyPar5ScoringAverage",2012
48,48,"Aaron Baddeley",73,4.62,467,101,"FirstTeeEarlyPar5ScoringAverage",2012
48,48,"Charlie Beljan",61,4.62,180,39,"FirstTeeEarlyPar5ScoringAverage",2012
48,48,"Will Claxton",99,4.62,425,92,"FirstTeeEarlyPar5ScoringAverage",2012
48,48,"Robert Garrigus",89,4.62,457,99,"FirstTeeEarlyPar5ScoringAverage",2012
48,48,"Matt Kuchar",86,4.62,268,58,"FirstTeeEarlyPar5ScoringAverage",2012
48,48,"Troy Matteson",100,4.62,453,98,"FirstTeeEarlyPar5ScoringAverage",2012
48,48,"Phil Mickelson",79,4.62,240,52,"FirstTeeEarlyPar5ScoringAverage",2012
48,48,"Chris Stroud",86,4.62,351,76,"FirstTeeEarlyPar5ScoringAverage",2012
48,48,"Daniel Summerhays",81,4.62,434,94,"FirstTeeEarlyPar5ScoringAverage",2012
57,57,"Kevin Chappell",91,4.63,444,96,"FirstTeeEarlyPar5ScoringAverage",2012
57,57,"KJ Choi",71,4.63,310,67,"FirstTeeEarlyPar5ScoringAverage",2012
57,57,"Brian Gay",91,4.63,403,87,"FirstTeeEarlyPar5ScoringAverage",2012
57,57,"Spencer Levin",81,4.63,468,101,"FirstTeeEarlyPar5ScoringAverage",2012
57,57,"Camilo Villegas",79,4.63,292,63,"FirstTeeEarlyPar5ScoringAverage",2012
62,62,"Matt Bettencourt",80,4.64,260,56,"FirstTeeEarlyPar5ScoringAverage",2012
62,62,"Jonas Blixt",72,4.64,353,76,"FirstTeeEarlyPar5ScoringAverage",2012
62,62,"Bud Cauley",99,4.64,418,90,"FirstTeeEarlyPar5ScoringAverage",2012
62,62,"Luke Donald",63,4.64,255,55,"FirstTeeEarlyPar5ScoringAverage",2012
62,62,"Edward Loar",59,4.64,209,45,"FirstTeeEarlyPar5ScoringAverage",2012
62,62,"Kyle Reifers",86,4.64,311,67,"FirstTeeEarlyPar5ScoringAverage",2012
68,68,"Ricky Barnes",92,4.65,363,78,"FirstTeeEarlyPar5ScoringAverage",2012
68,68,"Brian Harman",101,4.65,432,93,"FirstTeeEarlyPar5ScoringAverage",2012
68,68,"Hunter Mahan",88,4.65,372,80,"FirstTeeEarlyPar5ScoringAverage",2012
