"TotalEagles_RANKTHISWEEK_2006","TotalEagles_RANKLASTWEEK_2006","TotalEagles_PLAYERNAME_2006","TotalEagles_ROUNDS_2006","TotalEagles_TOTAL_2006","stat_name","year"
1,1,"JB Holmes",81,19,"TotalEagles",2006
2,2,"John Rollins",93,16,"TotalEagles",2006
2,2,"Charles Warren",93,16,"TotalEagles",2006
4,4,"Robert Allenby",79,14,"TotalEagles",2006
4,4,"Ted Purdy",103,14,"TotalEagles",2006
6,6,"Arjun Atwal",97,13,"TotalEagles",2006
6,6,"Daniel Chopra",110,13,"TotalEagles",2006
6,6,"Kris Cox",83,13,"TotalEagles",2006
6,6,"Steve Flesch",119,13,"TotalEagles",2006
6,6,"Jason Gore",86,13,"TotalEagles",2006
6,6,"Charley Hoffman",100,13,"TotalEagles",2006
6,6,"Vijay Singh",103,13,"TotalEagles",2006
6,6,"Kevin Sutherland",100,13,"TotalEagles",2006
14,14,"Craig Barlow",77,12,"TotalEagles",2006
14,14,"David Branshaw",98,12,"TotalEagles",2006
14,14,"Lucas Glover",105,12,"TotalEagles",2006
14,14,"Kent Jones",103,12,"TotalEagles",2006
14,14,"Will Ma Kenzie",91,12,"TotalEagles",2006
14,14,"Troy Matteson",101,12,"TotalEagles",2006
14,14,"Adam Scott",70,12,"TotalEagles",2006
14,14,"John Senden",96,12,"TotalEagles",2006
14,14,"Tiger Woods",55,12,"TotalEagles",2006
23,23,"Harrison Frazar",95,11,"TotalEagles",2006
23,23,"Billy Mayfair",94,11,"TotalEagles",2006
23,23,"Sean OHair",100,11,"TotalEagles",2006
23,23,"Jesper Parnevik",84,11,"TotalEagles",2006
23,23,"Tom Pernice Jr",108,11,"TotalEagles",2006
23,23,"DJ Trahan",92,11,"TotalEagles",2006
23,23,"Camilo Villegas",95,11,"TotalEagles",2006
23,23,"Bubba Watson",83,11,"TotalEagles",2006
31,31,"Eric Axley",91,10,"TotalEagles",2006
31,31,"Jason Bohn",104,10,"TotalEagles",2006
31,31,"Bill Haas",99,10,"TotalEagles",2006
31,31,"Tim Herron",82,10,"TotalEagles",2006
31,31,"John Huston",74,10,"TotalEagles",2006
31,31,"Ryuji Imada",105,10,"TotalEagles",2006
31,31,"Brandt Jobe",91,10,"TotalEagles",2006
31,31,"Jerry Kelly",100,10,"TotalEagles",2006
31,31,"Steve Lowery",99,10,"TotalEagles",2006
31,31,"Daisuke Maruyama",83,10,"TotalEagles",2006
31,31,"Phil Mickelson",74,10,"TotalEagles",2006
31,31,"Carl Pettersson",95,10,"TotalEagles",2006
31,31,"Patrick Sheehan",104,10,"TotalEagles",2006
31,31,"Bo Van Pelt",102,10,"TotalEagles",2006
45,45,"Stephen Ames",63,9,"TotalEagles",2006
45,45,"Henrik Bjornstad",97,9,"TotalEagles",2006
45,45,"Chad Campbell",91,9,"TotalEagles",2006
45,45,"Joe Durant",101,9,"TotalEagles",2006
45,45,"Carlos Franco",86,9,"TotalEagles",2006
45,45,"Robert Garrigus",85,9,"TotalEagles",2006
45,45,"JJ Henry",96,9,"TotalEagles",2006
45,45,"Zach Johnson",98,9,"TotalEagles",2006
45,45,"Justin Leonard",83,9,"TotalEagles",2006
45,45,"Davis Love III",85,9,"TotalEagles",2006
45,45,"Vaughn Taylor",88,9,"TotalEagles",2006
45,45,"Bob Tway",81,9,"TotalEagles",2006
45,45,"Brett Wetterich",82,9,"TotalEagles",2006
58,58,"Stuart Appleby",83,8,"TotalEagles",2006
58,58,"Paul Azinger",87,8,"TotalEagles",2006
58,58,"Aaron Baddeley",78,8,"TotalEagles",2006
58,58,"Bubba Dickerson",98,8,"TotalEagles",2006
58,58,"David Duval",71,8,"TotalEagles",2006
58,58,"Scott Gutschewski",53,8,"TotalEagles",2006
58,58,"Charles Howell III",96,8,"TotalEagles",2006
58,58,"Trevor Immelman",86,8,"TotalEagles",2006
58,58,"Shaun Micheel",96,8,"TotalEagles",2006
58,58,"Arron Oberholser",82,8,"TotalEagles",2006
58,58,"Geoff Ogilvy",76,8,"TotalEagles",2006
58,58,"Jose Maria Olazabal",62,8,"TotalEagles",2006
58,58,"Rory Sabbatini",84,8,"TotalEagles",2006
58,58,"Wes Short Jr",96,8,"TotalEagles",2006
58,58,"Nick Watney",97,8,"TotalEagles",2006
58,58,"Dean Wilson",115,8,"TotalEagles",2006
74,74,"Michael Allen",84,7,"TotalEagles",2006
74,74,"Woody Austin",107,7,"TotalEagles",2006
74,74,"Briny Baird",81,7,"TotalEagles",2006
74,74,"Shane Bertsch",104,7,"TotalEagles",2006
74,74,"Olin Browne",108,7,"TotalEagles",2006
74,74,"Bart Bryant",87,7,"TotalEagles",2006
74,74,"Stewart Cink",93,7,"TotalEagles",2006
74,74,"Fred Couples",52,7,"TotalEagles",2006
74,74,"Ben Crane",85,7,"TotalEagles",2006
74,74,"Brian Davis",92,7,"TotalEagles",2006
74,74,"James Driscoll",80,7,"TotalEagles",2006
74,74,"Ernie Els",69,7,"TotalEagles",2006
74,74,"Bob Estes",85,7,"TotalEagles",2006
74,74,"Retief Goosen",68,7,"TotalEagles",2006
74,74,"Mathias Gronberg",92,7,"TotalEagles",2006
74,74,"Todd Hamilton",72,7,"TotalEagles",2006
74,74,"Dudley Hart",83,7,"TotalEagles",2006
74,74,"Bernhard Langer",77,7,"TotalEagles",2006
74,74,"Frank Lickliter II",99,7,"TotalEagles",2006
74,74,"David McKenzie",82,7,"TotalEagles",2006
74,74,"Jon Mills",68,7,"TotalEagles",2006
74,74,"Joe Ogilvie",95,7,"TotalEagles",2006
74,74,"Ryan Palmer",101,7,"TotalEagles",2006
74,74,"Brett Quigley",109,7,"TotalEagles",2006
74,74,"Tag Ridings",103,7,"TotalEagles",2006
74,74,"Chris Smith",67,7,"TotalEagles",2006
74,74,"Paul Stankowski",70,7,"TotalEagles",2006
74,74,"Roger Tambellini",64,7,"TotalEagles",2006
74,74,"Nicholas Thompson",96,7,"TotalEagles",2006
74,74,"Vance Veazey",59,7,"TotalEagles",2006
74,74,"Mike Weir",88,7,"TotalEagles",2006
105,105,"Billy Andrade",78,6,"TotalEagles",2006
105,105,"Alex Aragon",63,6,"TotalEagles",2006
105,105,"Rich Beem",85,6,"TotalEagles",2006
105,105,"Jeff Brehaut",100,6,"TotalEagles",2006
105,105,"Jonathan Byrd",66,6,"TotalEagles",2006
105,105,"KJ Choi",93,6,"TotalEagles",2006
105,105,"Robert Damron",91,6,"TotalEagles",2006
105,105,"Luke Donald",66,6,"TotalEagles",2006
105,105,"Fred Funk",106,6,"TotalEagles",2006
105,105,"Sergio Garcia",59,6,"TotalEagles",2006
105,105,"Mathew Goggin",72,6,"TotalEagles",2006
105,105,"Nathan Green",108,6,"TotalEagles",2006
105,105,"Jeff Maggert",81,6,"TotalEagles",2006
105,105,"Hunter Mahan",98,6,"TotalEagles",2006
105,105,"Rod Pampling",89,6,"TotalEagles",2006
105,105,"DA Points",82,6,"TotalEagles",2006
105,105,"Joey Sindelar",90,6,"TotalEagles",2006
105,105,"Heath Slocum",96,6,"TotalEagles",2006
105,105,"David Toms",76,6,"TotalEagles",2006
124,124,"Brian Bateman",69,5,"TotalEagles",2006
124,124,"Alex Cejka",93,5,"TotalEagles",2006
124,124,"John Cook",67,5,"TotalEagles",2006
124,124,"Marco Dawson",87,5,"TotalEagles",2006
124,124,"Steve Elkington",52,5,"TotalEagles",2006
124,124,"Brian Gay",107,5,"TotalEagles",2006
124,124,"Brent Geiberger",99,5,"TotalEagles",2006
124,124,"Matt Hansen",68,5,"TotalEagles",2006
124,124,"Jonathan Kaye",95,5,"TotalEagles",2006
124,124,"Ian Leggatt",80,5,"TotalEagles",2006
124,124,"Tom Lehman",70,5,"TotalEagles",2006
124,124,"Shigeki Maruyama",94,5,"TotalEagles",2006
124,124,"Jeff Overton",95,5,"TotalEagles",2006
124,124,"Greg Owen",79,5,"TotalEagles",2006
124,124,"Pat Perez",50,5,"TotalEagles",2006
124,124,"Kenny Perry",73,5,"TotalEagles",2006
124,124,"Tim Petrovic",95,5,"TotalEagles",2006
124,124,"Chris Riley",86,5,"TotalEagles",2006
124,124,"Jason Schultz",77,5,"TotalEagles",2006
124,124,"Steve Stricker",64,5,"TotalEagles",2006
124,124,"Scott Verplank",88,5,"TotalEagles",2006
124,124,"Mark Wilson",79,5,"TotalEagles",2006
146,146,"Tim Clark",80,4,"TotalEagles",2006
146,146,"Chris Couch",75,4,"TotalEagles",2006
146,146,"John Daly",51,4,"TotalEagles",2006
146,146,"Chris DiMarco",83,4,"TotalEagles",2006
146,146,"Todd Fischer",101,4,"TotalEagles",2006
146,146,"Jim Furyk",89,4,"TotalEagles",2006
146,146,"Robert Gamez",94,4,"TotalEagles",2006
146,146,"Freddie Jacobson",56,4,"TotalEagles",2006
146,146,"Lee Janzen",79,4,"TotalEagles",2006
