"RightRoughTendencyRTPScore_RANKTHISWEEK_2013","RightRoughTendencyRTPScore_RANKLASTWEEK_2013","RightRoughTendencyRTPScore_PLAYERNAME_2013","RightRoughTendencyRTPScore_ROUNDS_2013","RightRoughTendencyRTPScore_RTPSCORE_2013","stat_name","year"
1,1,"Webb Simpson",92,-0.109,"RightRoughTendencyRTPScore",2013
2,2,"Steve Stricker",51,-0.052,"RightRoughTendencyRTPScore",2013
3,3,"Phil Mickelson",78,-0.048,"RightRoughTendencyRTPScore",2013
4,4,"Jimmy Walker",84,-0.045,"RightRoughTendencyRTPScore",2013
5,5,"Russell Henley",80,-0.044,"RightRoughTendencyRTPScore",2013
5,5,"Matt Jones",83,-0.044,"RightRoughTendencyRTPScore",2013
7,7,"Jordan Spieth",82,-0.041,"RightRoughTendencyRTPScore",2013
8,8,"Shawn Stefani",63,-0.03,"RightRoughTendencyRTPScore",2013
9,9,"Luke List",65,-0.029,"RightRoughTendencyRTPScore",2013
10,10,"Cameron Percy",68,-0.026,"RightRoughTendencyRTPScore",2013
11,11,"Charles Howell III",87,-0.023,"RightRoughTendencyRTPScore",2013
12,12,"Luke Guthrie",82,-0.022,"RightRoughTendencyRTPScore",2013
12,12,"Charley Hoffman",84,-0.022,"RightRoughTendencyRTPScore",2013
14,14,"Marc Leishman",77,-0.019,"RightRoughTendencyRTPScore",2013
15,15,"Keegan Bradley",88,-0.014,"RightRoughTendencyRTPScore",2013
16,16,"Justin Rose",62,-0.011,"RightRoughTendencyRTPScore",2013
17,17,"Alistair Presnell",59,-0.01,"RightRoughTendencyRTPScore",2013
18,18,"Bill Haas",85,-0.008,"RightRoughTendencyRTPScore",2013
18,18,"Chris Stroud",88,-0.008,"RightRoughTendencyRTPScore",2013
20,20,"Jason Day",86,0,"RightRoughTendencyRTPScore",2013
20,20,"Harris English",95,0,"RightRoughTendencyRTPScore",2013
22,22,"Martin Flores",83,0.006,"RightRoughTendencyRTPScore",2013
23,23,"Hunter Mahan",91,0.007,"RightRoughTendencyRTPScore",2013
24,24,"Ernie Els",63,0.01,"RightRoughTendencyRTPScore",2013
25,25,"Vaughn Taylor",50,0.014,"RightRoughTendencyRTPScore",2013
26,26,"Dustin Johnson",71,0.024,"RightRoughTendencyRTPScore",2013
27,27,"Jason Kokrak",78,0.026,"RightRoughTendencyRTPScore",2013
27,27,"Rory Sabbatini",86,0.026,"RightRoughTendencyRTPScore",2013
29,29,"Ian Poulter",59,0.028,"RightRoughTendencyRTPScore",2013
30,30,"Michael Bradley",56,0.029,"RightRoughTendencyRTPScore",2013
30,30,"Rickie Fowler",75,0.029,"RightRoughTendencyRTPScore",2013
32,32,"Morgan Hoffmann",64,0.03,"RightRoughTendencyRTPScore",2013
32,32,"Ryan Palmer",79,0.03,"RightRoughTendencyRTPScore",2013
34,34,"Kyle Stanley",71,0.031,"RightRoughTendencyRTPScore",2013
35,35,"Brad Fritsch",81,0.032,"RightRoughTendencyRTPScore",2013
36,36,"Freddie Jacobson",63,0.035,"RightRoughTendencyRTPScore",2013
36,36,"DA Points",87,0.035,"RightRoughTendencyRTPScore",2013
36,36,"Josh Teater",86,0.035,"RightRoughTendencyRTPScore",2013
39,39,"Justin Leonard",86,0.037,"RightRoughTendencyRTPScore",2013
40,40,"Sergio Garcia",65,0.041,"RightRoughTendencyRTPScore",2013
41,41,"Billy Horschel",96,0.043,"RightRoughTendencyRTPScore",2013
41,41,"Kevin Streelman",86,0.043,"RightRoughTendencyRTPScore",2013
43,43,"Scott Gardiner",61,0.045,"RightRoughTendencyRTPScore",2013
44,44,"Charl Schwartzel",69,0.047,"RightRoughTendencyRTPScore",2013
45,45,"Adam Scott",61,0.049,"RightRoughTendencyRTPScore",2013
46,46,"Steven Bowditch",67,0.05,"RightRoughTendencyRTPScore",2013
47,47,"William McGirt",75,0.051,"RightRoughTendencyRTPScore",2013
47,47,"Nicholas Thompson",99,0.051,"RightRoughTendencyRTPScore",2013
49,49,"Andres Romero",63,0.052,"RightRoughTendencyRTPScore",2013
49,49,"Henrik Stenson",65,0.052,"RightRoughTendencyRTPScore",2013
51,51,"Brendon de Jonge",110,0.054,"RightRoughTendencyRTPScore",2013
51,51,"Matt Kuchar",93,0.054,"RightRoughTendencyRTPScore",2013
51,51,"Johnson Wagner",64,0.054,"RightRoughTendencyRTPScore",2013
51,51,"Bubba Watson",76,0.054,"RightRoughTendencyRTPScore",2013
