"FirstTeeEarlyPar4ScoringAverage_RANKTHISWEEK_2006","FirstTeeEarlyPar4ScoringAverage_RANKLASTWEEK_2006","FirstTeeEarlyPar4ScoringAverage_PLAYERNAME_2006","FirstTeeEarlyPar4ScoringAverage_ROUNDS_2006","FirstTeeEarlyPar4ScoringAverage_AVG_2006","FirstTeeEarlyPar4ScoringAverage_TOTALSTROKES_2006","FirstTeeEarlyPar4ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Tiger Woods",55,3.78,155,41,"FirstTeeEarlyPar4ScoringAverage",2006
2,2,"Jonathan Byrd",66,3.9,721,185,"FirstTeeEarlyPar4ScoringAverage",2006
3,3,"Briny Baird",81,3.93,688,175,"FirstTeeEarlyPar4ScoringAverage",2006
3,3,"Daniel Chopra",110,3.93,944,240,"FirstTeeEarlyPar4ScoringAverage",2006
5,5,"Scott Gutschewski",53,3.96,408,103,"FirstTeeEarlyPar4ScoringAverage",2006
6,6,"Jim Furyk",89,3.98,625,157,"FirstTeeEarlyPar4ScoringAverage",2006
6,6,"Phil Mickelson",74,3.98,745,187,"FirstTeeEarlyPar4ScoringAverage",2006
6,6,"Joe Ogilvie",95,3.98,1461,367,"FirstTeeEarlyPar4ScoringAverage",2006
6,6,"Justin Rose",98,3.98,1006,253,"FirstTeeEarlyPar4ScoringAverage",2006
6,6,"Bob Tway",81,3.98,932,234,"FirstTeeEarlyPar4ScoringAverage",2006
6,6,"Tjaart van der Walt",60,3.98,887,223,"FirstTeeEarlyPar4ScoringAverage",2006
6,6,"Brett Wetterich",82,3.98,968,243,"FirstTeeEarlyPar4ScoringAverage",2006
13,13,"Charley Hoffman",100,3.99,985,247,"FirstTeeEarlyPar4ScoringAverage",2006
13,13,"Freddie Jacobson",56,3.99,683,171,"FirstTeeEarlyPar4ScoringAverage",2006
15,15,"Stephen Ames",63,4,921,230,"FirstTeeEarlyPar4ScoringAverage",2006
15,15,"Eric Axley",91,4,1073,268,"FirstTeeEarlyPar4ScoringAverage",2006
15,15,"Bubba Dickerson",98,4,1353,338,"FirstTeeEarlyPar4ScoringAverage",2006
15,15,"Chris Riley",86,4,960,240,"FirstTeeEarlyPar4ScoringAverage",2006
15,15,"Steve Stricker",64,4,456,114,"FirstTeeEarlyPar4ScoringAverage",2006
20,20,"Marco Dawson",87,4.01,1118,279,"FirstTeeEarlyPar4ScoringAverage",2006
20,20,"Greg Kraft",79,4.01,930,232,"FirstTeeEarlyPar4ScoringAverage",2006
20,20,"Ian Leggatt",80,4.01,903,225,"FirstTeeEarlyPar4ScoringAverage",2006
20,20,"Jesper Parnevik",84,4.01,1162,290,"FirstTeeEarlyPar4ScoringAverage",2006
20,20,"Corey Pavin",74,4.01,1011,252,"FirstTeeEarlyPar4ScoringAverage",2006
20,20,"Jeff Sluman",101,4.01,1397,348,"FirstTeeEarlyPar4ScoringAverage",2006
20,20,"Bo Van Pelt",102,4.01,1282,320,"FirstTeeEarlyPar4ScoringAverage",2006
27,27,"Paul Azinger",87,4.02,1210,301,"FirstTeeEarlyPar4ScoringAverage",2006
27,27,"Brian Bateman",69,4.02,707,176,"FirstTeeEarlyPar4ScoringAverage",2006
