"AverageDistancetoHoleAfterTeeShot_RANKTHISWEEK_2016","AverageDistancetoHoleAfterTeeShot_RANKLASTWEEK_2016","AverageDistancetoHoleAfterTeeShot_PLAYERNAME_2016","AverageDistancetoHoleAfterTeeShot_ROUNDS_2016","AverageDistancetoHoleAfterTeeShot_AVG_2016","AverageDistancetoHoleAfterTeeShot_TOTALDISTAFTERTEESHOT_2016","AverageDistancetoHoleAfterTeeShot_TOTALTEESHOTS_2016","stat_name","year"
1,1,"Bubba Watson",30,156.6,1347375,239,"AverageDistancetoHoleAfterTeeShot",2016
2,2,"JB Holmes",39,161.9,2267239,389,"AverageDistancetoHoleAfterTeeShot",2016
3,3,"Dustin Johnson",37,162.1,1628093,279,"AverageDistancetoHoleAfterTeeShot",2016
4,4,"Brooks Koepka",39,162.2,2265845,388,"AverageDistancetoHoleAfterTeeShot",2016
5,7,"Andrew Loupe",50,163.9,3275046,555,"AverageDistancetoHoleAfterTeeShot",2016
6,8,"Smylie Kaufman",57,164.8,3375187,569,"AverageDistancetoHoleAfterTeeShot",2016
7,9,"Ryan Palmer",46,165,3427434,577,"AverageDistancetoHoleAfterTeeShot",2016
8,5,"Tony Finau",49,165.2,2972784,500,"AverageDistancetoHoleAfterTeeShot",2016
9,5,"Ollie Schniederjans",23,165.3,1570865,264,"AverageDistancetoHoleAfterTeeShot",2016
10,12,"Jason Day",36,165.6,1812621,304,"AverageDistancetoHoleAfterTeeShot",2016
10,11,"Patrick Rodgers",49,165.6,3194883,536,"AverageDistancetoHoleAfterTeeShot",2016
12,13,"Charlie Beljan",26,165.7,1407411,236,"AverageDistancetoHoleAfterTeeShot",2016
13,16,"Rory McIlroy",37,165.9,1815612,304,"AverageDistancetoHoleAfterTeeShot",2016
14,10,"Justin Thomas",53,166.3,3000288,501,"AverageDistancetoHoleAfterTeeShot",2016
15,14,"Jamie Lovemark",57,166.4,4103149,685,"AverageDistancetoHoleAfterTeeShot",2016
16,15,"Jason Kokrak",52,167.5,3395322,563,"AverageDistancetoHoleAfterTeeShot",2016
17,17,"Luke List",51,168.4,3224285,532,"AverageDistancetoHoleAfterTeeShot",2016
18,18,"Scott Piercy",45,168.9,2352937,387,"AverageDistancetoHoleAfterTeeShot",2016
19,18,"Robert Garrigus",34,169.2,1925338,316,"AverageDistancetoHoleAfterTeeShot",2016
20,22,"Charles Howell III",63,169.8,4206666,688,"AverageDistancetoHoleAfterTeeShot",2016
21,23,"Rickie Fowler",42,170.1,2706011,442,"AverageDistancetoHoleAfterTeeShot",2016
21,26,"Jimmy Walker",43,170.1,2736705,447,"AverageDistancetoHoleAfterTeeShot",2016
23,27,"Hudson Swafford",52,170.2,3265917,533,"AverageDistancetoHoleAfterTeeShot",2016
24,28,"Russell Henley",42,170.4,3097449,505,"AverageDistancetoHoleAfterTeeShot",2016
24,20,"Sean OHair",45,170.4,3386196,552,"AverageDistancetoHoleAfterTeeShot",2016
26,24,"Gary Woodland",45,170.6,2924007,476,"AverageDistancetoHoleAfterTeeShot",2016
27,24,"Harold Varner III",58,171.1,4144339,673,"AverageDistancetoHoleAfterTeeShot",2016
28,21,"Kevin Kisner",49,171.2,2847675,462,"AverageDistancetoHoleAfterTeeShot",2016
29,30,"Adam Scott",39,171.8,2053687,332,"AverageDistancetoHoleAfterTeeShot",2016
30,31,"Scott Pinckney",53,172.2,3353583,541,"AverageDistancetoHoleAfterTeeShot",2016
31,29,"Greg Owen",56,172.3,3684890,594,"AverageDistancetoHoleAfterTeeShot",2016
32,31,"Steven Bowditch",40,172.5,2309704,372,"AverageDistancetoHoleAfterTeeShot",2016
33,35,"Brandt Snedeker",47,172.7,2965373,477,"AverageDistancetoHoleAfterTeeShot",2016
33,35,"Brendan Steele",48,172.7,3270720,526,"AverageDistancetoHoleAfterTeeShot",2016
35,37,"Stewart Cink",45,172.8,2812302,452,"AverageDistancetoHoleAfterTeeShot",2016
35,37,"Jason Dufner",53,172.8,3005140,483,"AverageDistancetoHoleAfterTeeShot",2016
37,40,"Justin Rose",35,172.9,2160411,347,"AverageDistancetoHoleAfterTeeShot",2016
