"FirstTeeLateRound3ScoringAverage_RANKTHISWEEK_2011","FirstTeeLateRound3ScoringAverage_RANKLASTWEEK_2011","FirstTeeLateRound3ScoringAverage_PLAYERNAME_2011","FirstTeeLateRound3ScoringAverage__2011","FirstTeeLateRound3ScoringAverage_AVG_2011","FirstTeeLateRound3ScoringAverage_TOTALSTROKES_2011","FirstTeeLateRound3ScoringAverage_TOTALROUNDS_2011","stat_name","year"
1,1,"Ben Curtis",NA,66,66,1,"FirstTeeLateRound3ScoringAverage",2011
2,2,"Martin Laird",NA,67.17,403,6,"FirstTeeLateRound3ScoringAverage",2011
3,3,"Michael Bradley",NA,67.5,135,2,"FirstTeeLateRound3ScoringAverage",2011
3,3,"Pat Perez",NA,67.5,270,4,"FirstTeeLateRound3ScoringAverage",2011
5,5,"Andres Romero",NA,67.8,339,5,"FirstTeeLateRound3ScoringAverage",2011
6,6,"Angel Cabrera",NA,68,204,3,"FirstTeeLateRound3ScoringAverage",2011
6,6,"Retief Goosen",NA,68,68,1,"FirstTeeLateRound3ScoringAverage",2011
6,6,"Matt Jones",NA,68,204,3,"FirstTeeLateRound3ScoringAverage",2011
6,6,"Anthony Kim",NA,68,272,4,"FirstTeeLateRound3ScoringAverage",2011
6,6,"Zack Miller",NA,68,136,2,"FirstTeeLateRound3ScoringAverage",2011
6,6,"Daniel Summerhays",NA,68,136,2,"FirstTeeLateRound3ScoringAverage",2011
12,12,"Tommy Gainey",NA,68.13,545,8,"FirstTeeLateRound3ScoringAverage",2011
13,13,"Kevin Chappell",NA,68.2,341,5,"FirstTeeLateRound3ScoringAverage",2011
14,14,"Bryce Molder",NA,68.29,478,7,"FirstTeeLateRound3ScoringAverage",2011
15,15,"Bobby Gates",NA,68.33,205,3,"FirstTeeLateRound3ScoringAverage",2011
15,15,"Steve Stricker",NA,68.33,820,12,"FirstTeeLateRound3ScoringAverage",2011
17,17,"Nick Watney",NA,68.36,752,11,"FirstTeeLateRound3ScoringAverage",2011
18,18,"Jonathan Byrd",NA,68.43,479,7,"FirstTeeLateRound3ScoringAverage",2011
19,19,"George McNeill",NA,68.63,549,8,"FirstTeeLateRound3ScoringAverage",2011
20,20,"Steve Marino",NA,68.75,550,8,"FirstTeeLateRound3ScoringAverage",2011
20,20,"Webb Simpson",NA,68.75,1100,16,"FirstTeeLateRound3ScoringAverage",2011
22,22,"Jason Day",NA,68.88,551,8,"FirstTeeLateRound3ScoringAverage",2011
23,23,"Briny Baird",NA,69,276,4,"FirstTeeLateRound3ScoringAverage",2011
23,23,"Andres Gonzales",NA,69,69,1,"FirstTeeLateRound3ScoringAverage",2011
23,23,"Scott Gutschewski",NA,69,138,2,"FirstTeeLateRound3ScoringAverage",2011
