"YTDSubParRoundsStreak_RANKTHISWEEK_2012","YTDSubParRoundsStreak_RANKLASTWEEK_2012","YTDSubParRoundsStreak_PLAYERNAME_2012","YTDSubParRoundsStreak__2012","YTDSubParRoundsStreak_VALUE_2012","stat_name","year"
1,1,"Chris Kirk",NA,17,"YTDSubParRoundsStreak",2012
2,2,"Johnson Wagner",NA,14,"YTDSubParRoundsStreak",2012
3,3,"Ben Curtis",NA,13,"YTDSubParRoundsStreak",2012
3,3,"Scott Piercy",NA,13,"YTDSubParRoundsStreak",2012
3,3,"DA Points",NA,13,"YTDSubParRoundsStreak",2012
3,3,"Bubba Watson",NA,13,"YTDSubParRoundsStreak",2012
7,7,"Brendon de Jonge",NA,11,"YTDSubParRoundsStreak",2012
7,7,"Mathew Goggin",NA,11,"YTDSubParRoundsStreak",2012
7,7,"Dustin Johnson",NA,11,"YTDSubParRoundsStreak",2012
7,7,"Rory McIlroy",NA,11,"YTDSubParRoundsStreak",2012
7,7,"Carl Pettersson",NA,11,"YTDSubParRoundsStreak",2012
7,7,"Chris Riley",NA,11,"YTDSubParRoundsStreak",2012
7,7,"Brandt Snedeker",NA,11,"YTDSubParRoundsStreak",2012
14,14,"Steve Stricker",NA,10,"YTDSubParRoundsStreak",2012
15,15,"Blake Adams",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Jonas Blixt",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Chris Couch",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Ben Crane",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Jason Dufner",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Harrison Frazar",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Bill Haas",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Trevor Immelman",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Jerry Kelly",NA,9,"YTDSubParRoundsStreak",2012
15,15,"David Mathis",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Troy Matteson",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Phil Mickelson",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Jeff Overton",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Adam Scott",NA,9,"YTDSubParRoundsStreak",2012
15,15,"Tiger Woods",NA,9,"YTDSubParRoundsStreak",2012
30,30,"Jason Bohn",NA,8,"YTDSubParRoundsStreak",2012
30,30,"Luke Donald",NA,8,"YTDSubParRoundsStreak",2012
30,30,"Jim Furyk",NA,8,"YTDSubParRoundsStreak",2012
30,30,"Tommy Gainey",NA,8,"YTDSubParRoundsStreak",2012
30,30,"Bobby Gates",NA,8,"YTDSubParRoundsStreak",2012
30,30,"Charles Howell III",NA,8,"YTDSubParRoundsStreak",2012
30,30,"Martin Laird",NA,8,"YTDSubParRoundsStreak",2012
30,30,"William McGirt",NA,8,"YTDSubParRoundsStreak",2012
30,30,"Seung Yul Noh",NA,8,"YTDSubParRoundsStreak",2012
30,30,"John Rollins",NA,8,"YTDSubParRoundsStreak",2012
30,30,"Justin Rose",NA,8,"YTDSubParRoundsStreak",2012
30,30,"Josh Teater",NA,8,"YTDSubParRoundsStreak",2012
30,30,"Michael Thompson",NA,8,"YTDSubParRoundsStreak",2012
30,30,"Bo Van Pelt",NA,8,"YTDSubParRoundsStreak",2012
44,44,"Stuart Appleby",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Daniel Chopra",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Tim Clark",NA,7,"YTDSubParRoundsStreak",2012
44,44,"James Driscoll",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Ernie Els",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Sergio Garcia",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Robert Garrigus",NA,7,"YTDSubParRoundsStreak",2012
44,44,"David Hearn",NA,7,"YTDSubParRoundsStreak",2012
44,44,"JB Holmes",NA,7,"YTDSubParRoundsStreak",2012
44,44,"John Huh",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Russell Knox",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Matt Kuchar",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Bill Lunde",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Jeff Maggert",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Steve Marino",NA,7,"YTDSubParRoundsStreak",2012
44,44,"George McNeill",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Kevin Na",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Sean OHair",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Ted Potter Jr",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Rory Sabbatini",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Charl Schwartzel",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Vijay Singh",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Heath Slocum",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Scott Stallings",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Henrik Stenson",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Brendon Todd",NA,7,"YTDSubParRoundsStreak",2012
44,44,"Mark Wilson",NA,7,"YTDSubParRoundsStreak",2012
71,71,"Charlie Beljan",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Angel Cabrera",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Patrick Cantlay",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Bud Cauley",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Kevin Chappell",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Will Claxton",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Nicolas Colsaerts",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Jason Day",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Harris English",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Martin Flores",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Rickie Fowler",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Brian Gay",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Retief Goosen",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Peter Hanson",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Tim Herron",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Troy Kelly",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Kevin Kisner",NA,6,"YTDSubParRoundsStreak",2012
71,71,"Danny Lee",NA,6,"YTDSubParRoundsStreak",2012
