"GIRPuttingInside5_RANKTHISWEEK_2013","GIRPuttingInside5_RANKLASTWEEK_2013","GIRPuttingInside5_PLAYERNAME_2013","GIRPuttingInside5_ROUNDS_2013","GIRPuttingInside5_Pct_2013","GIRPuttingInside5_ATTEMPTS_2013","GIRPuttingInside5_PUTTSMADE_2013","stat_name","year"
1,1,"Justin Bolli",59,100,21,21,"GIRPuttingInside5",2013
1,1,"Jim Herman",59,100,26,26,"GIRPuttingInside5",2013
3,3,"Freddie Jacobson",63,96,25,24,"GIRPuttingInside5",2013
4,4,"Brandt Jobe",62,95.65,23,22,"GIRPuttingInside5",2013
5,5,"Vaughn Taylor",50,95.45,22,21,"GIRPuttingInside5",2013
6,6,"DH Lee",65,94.87,39,37,"GIRPuttingInside5",2013
6,6,"Bryce Molder",82,94.87,39,37,"GIRPuttingInside5",2013
8,8,"Stephen Ames",49,94.12,17,16,"GIRPuttingInside5",2013
8,8,"Peter Hanson",45,94.12,17,16,"GIRPuttingInside5",2013
8,8,"Steve Stricker",51,94.12,34,32,"GIRPuttingInside5",2013
11,11,"Bo Van Pelt",72,93.55,31,29,"GIRPuttingInside5",2013
12,12,"Nicolas Colsaerts",50,92.86,14,13,"GIRPuttingInside5",2013
13,13,"Bubba Watson",76,92.59,27,25,"GIRPuttingInside5",2013
14,14,"Billy Horschel",96,92.5,40,37,"GIRPuttingInside5",2013
14,14,"Phil Mickelson",78,92.5,40,37,"GIRPuttingInside5",2013
16,16,"Graeme McDowell",53,92.31,13,12,"GIRPuttingInside5",2013
16,16,"Brendan Steele",86,92.31,39,36,"GIRPuttingInside5",2013
18,18,"Sergio Garcia",65,92,25,23,"GIRPuttingInside5",2013
18,18,"Aaron Watkins",46,92,25,23,"GIRPuttingInside5",2013
18,18,"Mike Weir",60,92,25,23,"GIRPuttingInside5",2013
18,18,"Mark Wilson",56,92,25,23,"GIRPuttingInside5",2013
22,22,"Steven Bowditch",67,91.43,35,32,"GIRPuttingInside5",2013
23,23,"Andrew Svoboda",46,91.3,23,21,"GIRPuttingInside5",2013
24,24,"Greg Chalmers",77,91.18,34,31,"GIRPuttingInside5",2013
25,25,"Ryan Palmer",79,90.7,43,39,"GIRPuttingInside5",2013
25,25,"Chez Reavie",72,90.7,43,39,"GIRPuttingInside5",2013
27,27,"Jerry Kelly",75,90.63,32,29,"GIRPuttingInside5",2013
27,27,"David Lynn",70,90.63,32,29,"GIRPuttingInside5",2013
29,29,"Brian Davis",91,90.38,52,47,"GIRPuttingInside5",2013
30,30,"Justin Hicks",79,90,30,27,"GIRPuttingInside5",2013
30,30,"Patrick Reed",83,90,40,36,"GIRPuttingInside5",2013
32,32,"Brian Gay",79,89.47,38,34,"GIRPuttingInside5",2013
33,33,"Ian Poulter",59,89.29,28,25,"GIRPuttingInside5",2013
34,34,"Tommy Gainey",84,88.89,27,24,"GIRPuttingInside5",2013
34,34,"Jason Kokrak",78,88.89,54,48,"GIRPuttingInside5",2013
34,34,"Scott Langley",79,88.89,36,32,"GIRPuttingInside5",2013
34,34,"Troy Matteson",68,88.89,27,24,"GIRPuttingInside5",2013
34,34,"Chris Stroud",88,88.89,45,40,"GIRPuttingInside5",2013
39,39,"Rory Sabbatini",86,88.68,53,47,"GIRPuttingInside5",2013
40,40,"Andres Romero",63,88.64,44,39,"GIRPuttingInside5",2013
41,41,"Ricky Barnes",74,88.57,35,31,"GIRPuttingInside5",2013
42,42,"Robert Allenby",58,88.46,26,23,"GIRPuttingInside5",2013
42,42,"Casey Wittenberg",72,88.46,26,23,"GIRPuttingInside5",2013
44,44,"Keegan Bradley",88,88.24,34,30,"GIRPuttingInside5",2013
44,44,"Martin Kaymer",61,88.24,17,15,"GIRPuttingInside5",2013
44,44,"Cameron Percy",68,88.24,34,30,"GIRPuttingInside5",2013
47,47,"Derek Ernst",58,88,25,22,"GIRPuttingInside5",2013
48,48,"Jeff Overton",78,87.8,41,36,"GIRPuttingInside5",2013
49,49,"Nicholas Thompson",99,87.69,65,57,"GIRPuttingInside5",2013
50,50,"Charles Howell III",87,87.5,48,42,"GIRPuttingInside5",2013
50,50,"Ben Kohles",75,87.5,16,14,"GIRPuttingInside5",2013
50,50,"Brandt Snedeker",79,87.5,40,35,"GIRPuttingInside5",2013
53,53,"Charley Hoffman",84,87.23,47,41,"GIRPuttingInside5",2013
54,54,"Luke Donald",60,87.1,31,27,"GIRPuttingInside5",2013
55,55,"Michael Thompson",66,86.96,23,20,"GIRPuttingInside5",2013
56,56,"James Hahn",78,86.84,38,33,"GIRPuttingInside5",2013
56,56,"Russell Henley",80,86.84,38,33,"GIRPuttingInside5",2013
56,56,"John Rollins",77,86.84,38,33,"GIRPuttingInside5",2013
59,59,"Ben Crane",62,86.67,30,26,"GIRPuttingInside5",2013
59,59,"Fabian Gomez",65,86.67,30,26,"GIRPuttingInside5",2013
61,61,"Matt Kuchar",93,86.49,37,32,"GIRPuttingInside5",2013
62,62,"David Lingmerth",68,86.36,22,19,"GIRPuttingInside5",2013
62,62,"Jin Park",52,86.36,22,19,"GIRPuttingInside5",2013
64,64,"Chris Kirk",89,86.27,51,44,"GIRPuttingInside5",2013
65,65,"Martin Laird",68,86.11,36,31,"GIRPuttingInside5",2013
65,65,"John Merrick",79,86.11,36,31,"GIRPuttingInside5",2013
65,65,"Henrik Norlander",70,86.11,36,31,"GIRPuttingInside5",2013
65,65,"Justin Rose",62,86.11,36,31,"GIRPuttingInside5",2013
69,69,"Charlie Beljan",62,85.71,28,24,"GIRPuttingInside5",2013
69,69,"Scott Brown",65,85.71,28,24,"GIRPuttingInside5",2013
69,69,"Erik Compton",74,85.71,28,24,"GIRPuttingInside5",2013
69,69,"James Driscoll",76,85.71,28,24,"GIRPuttingInside5",2013
69,69,"JJ Henry",83,85.71,42,36,"GIRPuttingInside5",2013
69,69,"Doug LaBelle II",72,85.71,28,24,"GIRPuttingInside5",2013
69,69,"Josh Teater",86,85.71,42,36,"GIRPuttingInside5",2013
76,76,"Justin Leonard",86,85.42,48,41,"GIRPuttingInside5",2013
77,77,"Brad Fritsch",81,85.19,27,23,"GIRPuttingInside5",2013
77,77,"Robert Streb",75,85.19,27,23,"GIRPuttingInside5",2013
79,79,"Nick Watney",88,85,40,34,"GIRPuttingInside5",2013
80,80,"Gary Woodland",94,84.75,59,50,"GIRPuttingInside5",2013
81,81,"Stuart Appleby",88,84.62,39,33,"GIRPuttingInside5",2013
81,81,"Ben Curtis",59,84.62,13,11,"GIRPuttingInside5",2013
81,81,"Jason Dufner",78,84.62,39,33,"GIRPuttingInside5",2013
81,81,"Ernie Els",63,84.62,26,22,"GIRPuttingInside5",2013
81,81,"Jim Furyk",80,84.62,39,33,"GIRPuttingInside5",2013
81,81,"Johnson Wagner",64,84.62,26,22,"GIRPuttingInside5",2013
87,87,"Matt Jones",83,84.44,45,38,"GIRPuttingInside5",2013
88,88,"Scott Gardiner",61,84.38,32,27,"GIRPuttingInside5",2013
88,88,"Henrik Stenson",65,84.38,32,27,"GIRPuttingInside5",2013
90,90,"Kevin Stadler",83,84,50,42,"GIRPuttingInside5",2013
91,91,"Chad Campbell",78,83.78,37,31,"GIRPuttingInside5",2013
92,92,"Jason Day",86,83.72,43,36,"GIRPuttingInside5",2013
93,93,"Cameron Tringale",80,83.64,55,46,"GIRPuttingInside5",2013
94,94,"Richard Lee",81,83.33,36,30,"GIRPuttingInside5",2013
94,94,"Geoff Ogilvy",57,83.33,24,20,"GIRPuttingInside5",2013
94,94,"Adam Scott",61,83.33,24,20,"GIRPuttingInside5",2013
94,94,"Kevin Streelman",86,83.33,36,30,"GIRPuttingInside5",2013
98,98,"Jason Bohn",70,82.93,41,34,"GIRPuttingInside5",2013
98,98,"Bud Cauley",67,82.93,41,34,"GIRPuttingInside5",2013
98,98,"Luke Guthrie",82,82.93,41,34,"GIRPuttingInside5",2013
101,101,"Dustin Johnson",71,82.86,35,29,"GIRPuttingInside5",2013
102,102,"Morgan Hoffmann",64,82.76,29,24,"GIRPuttingInside5",2013
103,103,"Roberto Castro",97,82.61,46,38,"GIRPuttingInside5",2013
104,104,"Graham DeLaet",94,82.22,45,37,"GIRPuttingInside5",2013
104,104,"Hunter Mahan",91,82.22,45,37,"GIRPuttingInside5",2013
106,106,"Matt Every",89,82,50,41,"GIRPuttingInside5",2013
107,107,"David Hearn",88,81.82,44,36,"GIRPuttingInside5",2013
107,107,"Robert Karlsson",56,81.82,22,18,"GIRPuttingInside5",2013
107,107,"Scott Stallings",79,81.82,44,36,"GIRPuttingInside5",2013
107,107,"Tiger Woods",61,81.82,33,27,"GIRPuttingInside5",2013
111,111,"Bob Estes",66,81.25,32,26,"GIRPuttingInside5",2013
112,112,"Brian Harman",89,81.08,37,30,"GIRPuttingInside5",2013
113,113,"Rod Pampling",46,80.77,26,21,"GIRPuttingInside5",2013
114,114,"DJ Trahan",48,80.65,31,25,"GIRPuttingInside5",2013
