"PercentageofAvailablePurseWon_RANKTHISWEEK_2016","PercentageofAvailablePurseWon_RANKLASTWEEK_2016","PercentageofAvailablePurseWon_PLAYERNAME_2016","PercentageofAvailablePurseWon_EVENTS_2016","PercentageofAvailablePurseWon_Pct_2016","PercentageofAvailablePurseWon_OFFICIALMONEYWON_2016","PercentageofAvailablePurseWon_TOTALPURSEAVAILABLE_2016","stat_name","year"
1,1,"Danny Willett",5,6.5,2832959,43600000,"PercentageofAvailablePurseWon",2016
2,2,"Adam Scott",10,5.8,4457723,76800000,"PercentageofAvailablePurseWon",2016
3,3,"Jason Day",9,5.43,3671728,67600000,"PercentageofAvailablePurseWon",2016
4,4,"Bubba Watson",8,4.25,2708050,63700000,"PercentageofAvailablePurseWon",2016
5,5,"Jordan Spieth",9,3.96,2772926,70100000,"PercentageofAvailablePurseWon",2016
6,6,"Rafa Cabrera Bello",4,3.57,1276400,35800000,"PercentageofAvailablePurseWon",2016
7,8,"Louis Oosthuizen",6,3.11,1565987,50400000,"PercentageofAvailablePurseWon",2016
8,9,"Dustin Johnson",9,3.03,2138399,70500000,"PercentageofAvailablePurseWon",2016
9,10,"Brandt Snedeker",14,2.86,2781610,97200000,"PercentageofAvailablePurseWon",2016
10,11,"Russell Knox",14,2.85,2851401,99900000,"PercentageofAvailablePurseWon",2016
10,11,"Lee Westwood",4,2.85,992000,34800000,"PercentageofAvailablePurseWon",2016
12,7,"Brian Stuard",8,2.84,1330095,46800000,"PercentageofAvailablePurseWon",2016
13,11,"Hideki Matsuyama",12,2.8,2521510,9e+07,"PercentageofAvailablePurseWon",2016
14,17,"Ross Fisher",2,2.71,488500,1.8e+07,"PercentageofAvailablePurseWon",2016
15,19,"Charl Schwartzel",8,2.68,1691135,63200000,"PercentageofAvailablePurseWon",2016
16,20,"Branden Grace",9,2.63,1811831,68800000,"PercentageofAvailablePurseWon",2016
17,15,"Kevin Kisner",14,2.57,2578280,100400000,"PercentageofAvailablePurseWon",2016
17,23,"Rory McIlroy",9,2.57,1797503,7e+07,"PercentageofAvailablePurseWon",2016
19,22,"Phil Mickelson",11,2.56,2078037,81200000,"PercentageofAvailablePurseWon",2016
20,18,"Patrick Reed",14,2.55,2606490,102200000,"PercentageofAvailablePurseWon",2016
21,21,"Graeme McDowell",11,2.53,1951528,7.7e+07,"PercentageofAvailablePurseWon",2016
22,14,"Henrik Stenson",8,2.48,1523331,61500000,"PercentageofAvailablePurseWon",2016
23,25,"Kevin Na",14,2.35,2366915,100800000,"PercentageofAvailablePurseWon",2016
24,26,"Rickie Fowler",12,2.34,2104653,9e+07,"PercentageofAvailablePurseWon",2016
25,24,"Justin Thomas",15,2.22,2370087,106600000,"PercentageofAvailablePurseWon",2016
26,41,"Justin Rose",10,2.13,1616066,75900000,"PercentageofAvailablePurseWon",2016
27,29,"Martin Flores",1,2.1,86100,4100000,"PercentageofAvailablePurseWon",2016
28,27,"Kevin Chappell",14,2.03,1826976,89800000,"PercentageofAvailablePurseWon",2016
29,29,"JB Holmes",10,1.92,1445482,75200000,"PercentageofAvailablePurseWon",2016
29,33,"Smylie Kaufman",16,1.92,2075935,108300000,"PercentageofAvailablePurseWon",2016
31,28,"Jason Bohn",11,1.88,1285104,68300000,"PercentageofAvailablePurseWon",2016
32,31,"Vaughn Taylor",11,1.85,1349029,7.3e+07,"PercentageofAvailablePurseWon",2016
33,161,"James Hahn",15,1.84,1785362,97100000,"PercentageofAvailablePurseWon",2016
34,37,"Charley Hoffman",14,1.82,1809882,99200000,"PercentageofAvailablePurseWon",2016
35,32,"Bill Haas",12,1.78,1530880,8.6e+07,"PercentageofAvailablePurseWon",2016
36,35,"Emiliano Grillo",13,1.77,1672678,94300000,"PercentageofAvailablePurseWon",2016
37,38,"Sergio Garcia",8,1.76,1132022,64200000,"PercentageofAvailablePurseWon",2016
38,34,"Ryan Moore",11,1.73,1366724,78900000,"PercentageofAvailablePurseWon",2016
38,16,"Bobby Wyatt",3,1.73,346488,2e+07,"PercentageofAvailablePurseWon",2016
40,43,"Fabian Gomez",15,1.69,1764525,104200000,"PercentageofAvailablePurseWon",2016
41,39,"Jamie Lovemark",17,1.64,1724683,105300000,"PercentageofAvailablePurseWon",2016
42,41,"Jason Dufner",15,1.63,1697599,104300000,"PercentageofAvailablePurseWon",2016
43,36,"Byeong Hun An",7,1.61,937245,58100000,"PercentageofAvailablePurseWon",2016
44,40,"Jim Herman",17,1.55,1725922,111400000,"PercentageofAvailablePurseWon",2016
45,45,"Brooks Koepka",11,1.46,1166516,79900000,"PercentageofAvailablePurseWon",2016
46,44,"Charles Howell III",17,1.43,1543692,108200000,"PercentageofAvailablePurseWon",2016
47,46,"William McGirt",15,1.4,1259552,9e+07,"PercentageofAvailablePurseWon",2016
48,48,"Kiradech Aphibarnrat",5,1.38,604950,43800000,"PercentageofAvailablePurseWon",2016
49,122,"Roberto Castro",16,1.37,1358047,99400000,"PercentageofAvailablePurseWon",2016
50,49,"Jimmy Walker",12,1.36,1173945,86500000,"PercentageofAvailablePurseWon",2016
51,51,"KJ Choi",14,1.31,1140314,86900000,"PercentageofAvailablePurseWon",2016
52,47,"Paul Casey",11,1.3,1081199,83400000,"PercentageofAvailablePurseWon",2016
52,50,"Patton Kizzire",16,1.3,1330011,102500000,"PercentageofAvailablePurseWon",2016
54,52,"Billy Horschel",12,1.21,1041108,86100000,"PercentageofAvailablePurseWon",2016
55,54,"Matthew Fitzpatrick",7,1.19,662851,55800000,"PercentageofAvailablePurseWon",2016
56,56,"David Lingmerth",15,1.18,1258055,106800000,"PercentageofAvailablePurseWon",2016
57,56,"Rafael Campos",2,1.17,114200,9800000,"PercentageofAvailablePurseWon",2016
58,59,"Rodolfo Cazaubon",3,1.16,185904,1.6e+07,"PercentageofAvailablePurseWon",2016
58,59,"Matt Kuchar",12,1.16,968033,83800000,"PercentageofAvailablePurseWon",2016
60,61,"Freddie Jacobson",16,1.15,1104531,9.6e+07,"PercentageofAvailablePurseWon",2016
61,56,"Tony Finau",15,1.13,1043892,92300000,"PercentageofAvailablePurseWon",2016
61,63,"Soren Kjeldsen",5,1.13,495095,43800000,"PercentageofAvailablePurseWon",2016
63,53,"Luke Donald",13,1.11,907333,81800000,"PercentageofAvailablePurseWon",2016
63,54,"Jason Kokrak",17,1.11,1168113,105700000,"PercentageofAvailablePurseWon",2016
65,67,"Brendan Steele",14,1.1,984589,89800000,"PercentageofAvailablePurseWon",2016
66,61,"Peter Malnati",19,1.08,1230589,113900000,"PercentageofAvailablePurseWon",2016
67,64,"Zach Johnson",12,1.07,892034,83200000,"PercentageofAvailablePurseWon",2016
68,69,"Daniel Berger",15,1.04,1134011,109400000,"PercentageofAvailablePurseWon",2016
68,66,"Chris Kirk",15,1.04,1061364,102300000,"PercentageofAvailablePurseWon",2016
70,70,"Hao Tong Li",3,1,173750,17300000,"PercentageofAvailablePurseWon",2016
71,101,"Andrew Loupe",16,0.99,992899,100300000,"PercentageofAvailablePurseWon",2016
72,65,"Alex Cejka",15,0.98,914370,9.3e+07,"PercentageofAvailablePurseWon",2016
73,74,"Scott Piercy",12,0.96,848117,88500000,"PercentageofAvailablePurseWon",2016
73,67,"Jhonattan Vegas",14,0.96,807699,84300000,"PercentageofAvailablePurseWon",2016
75,70,"Graham DeLaet",14,0.93,769740,83100000,"PercentageofAvailablePurseWon",2016
75,70,"Kevin Streelman",15,0.93,899109,96900000,"PercentageofAvailablePurseWon",2016
77,80,"Harris English",15,0.92,968884,104900000,"PercentageofAvailablePurseWon",2016
77,76,"Bryce Molder",16,0.92,884843,96600000,"PercentageofAvailablePurseWon",2016
