"GoingfortheGreenHitGreenPct_RANKTHISWEEK_2015","GoingfortheGreenHitGreenPct_RANKLASTWEEK_2015","GoingfortheGreenHitGreenPct_PLAYERNAME_2015","GoingfortheGreenHitGreenPct_ROUNDS_2015","GoingfortheGreenHitGreenPct_Pct_2015","GoingfortheGreenHitGreenPct_SUCCESSES_2015","GoingfortheGreenHitGreenPct_ATTEMPTS_2015","GoingfortheGreenHitGreenPct_RTPSUCCESSES_2015","GoingfortheGreenHitGreenPct_RTPNOTGOINGFORTHEGRN_2015","stat_name","year"
59,59,"Ryan Moore",81,23.76,24,101,-25,NA,"GoingfortheGreenHitGreenPct",2015
59,59,"Bo Van Pelt",81,23.76,24,101,-23,NA,"GoingfortheGreenHitGreenPct",2015
61,61,"Michael Thompson",83,23.62,30,127,-33,NA,"GoingfortheGreenHitGreenPct",2015
62,62,"Jonathan Byrd",69,23.53,20,85,-19,NA,"GoingfortheGreenHitGreenPct",2015
62,62,"KJ Choi",66,23.53,16,68,-17,NA,"GoingfortheGreenHitGreenPct",2015
62,62,"Justin Leonard",61,23.53,8,34,-9,NA,"GoingfortheGreenHitGreenPct",2015
65,65,"Kevin Streelman",95,23.49,39,166,-42,NA,"GoingfortheGreenHitGreenPct",2015
66,66,"George McNeill",93,23.45,34,145,-36,NA,"GoingfortheGreenHitGreenPct",2015
67,67,"Martin Laird",77,23.38,36,154,-36,NA,"GoingfortheGreenHitGreenPct",2015
68,68,"Cameron Percy",72,23.36,25,107,-28,NA,"GoingfortheGreenHitGreenPct",2015
68,68,"Boo Weekley",79,23.36,32,137,-33,NA,"GoingfortheGreenHitGreenPct",2015
70,70,"Robert Streb",110,23.32,45,193,-48,NA,"GoingfortheGreenHitGreenPct",2015
71,71,"Bill Haas",89,23.31,31,133,-33,NA,"GoingfortheGreenHitGreenPct",2015
72,72,"Retief Goosen",81,23.26,30,129,-27,NA,"GoingfortheGreenHitGreenPct",2015
73,73,"Jimmy Walker",89,23.19,32,138,-30,NA,"GoingfortheGreenHitGreenPct",2015
74,74,"Eric Axley",57,23.08,15,65,-16,NA,"GoingfortheGreenHitGreenPct",2015
74,74,"Jon Curran",83,23.08,12,52,-12,NA,"GoingfortheGreenHitGreenPct",2015
76,76,"Scott Brown",97,22.92,33,144,-28,NA,"GoingfortheGreenHitGreenPct",2015
77,77,"Dustin Johnson",75,22.79,31,136,-36,NA,"GoingfortheGreenHitGreenPct",2015
78,78,"Bryce Molder",91,22.78,18,79,-20,NA,"GoingfortheGreenHitGreenPct",2015
79,79,"Hideki Matsuyama",95,22.64,36,159,-39,NA,"GoingfortheGreenHitGreenPct",2015
80,80,"Andrew Putnam",68,22.62,19,84,-15,NA,"GoingfortheGreenHitGreenPct",2015
81,81,"Jason Gore",76,22.55,23,102,-27,NA,"GoingfortheGreenHitGreenPct",2015
81,81,"Louis Oosthuizen",68,22.55,23,102,-26,NA,"GoingfortheGreenHitGreenPct",2015
83,83,"Roberto Castro",54,22.41,13,58,-16,NA,"GoingfortheGreenHitGreenPct",2015
84,84,"Harris English",105,22.4,43,192,-46,NA,"GoingfortheGreenHitGreenPct",2015
85,85,"Ben Crane",62,22.22,10,45,-11,NA,"GoingfortheGreenHitGreenPct",2015
85,85,"Lee Westwood",56,22.22,14,63,-11,NA,"GoingfortheGreenHitGreenPct",2015
87,87,"Daniel Berger",97,22.11,42,190,-42,NA,"GoingfortheGreenHitGreenPct",2015
88,88,"Derek Ernst",75,21.97,29,132,-31,NA,"GoingfortheGreenHitGreenPct",2015
89,89,"Vijay Singh",78,21.9,30,137,-29,NA,"GoingfortheGreenHitGreenPct",2015
90,90,"Scott Stallings",60,21.82,24,110,-24,NA,"GoingfortheGreenHitGreenPct",2015
91,91,"Scott Pinckney",88,21.71,28,129,-30,NA,"GoingfortheGreenHitGreenPct",2015
92,92,"Brendon de Jonge",106,21.69,36,166,-36,NA,"GoingfortheGreenHitGreenPct",2015
93,93,"Jason Kokrak",88,21.61,43,199,-45,NA,"GoingfortheGreenHitGreenPct",2015
94,94,"Brice Garnett",81,21.57,22,102,-24,NA,"GoingfortheGreenHitGreenPct",2015
94,94,"Brian Harman",90,21.57,33,153,-33,NA,"GoingfortheGreenHitGreenPct",2015
96,96,"Rickie Fowler",76,21.49,26,121,-29,NA,"GoingfortheGreenHitGreenPct",2015
97,97,"Mark Hubbard",79,21.43,21,98,-20,NA,"GoingfortheGreenHitGreenPct",2015
98,98,"Scott Piercy",90,21.34,35,164,-41,NA,"GoingfortheGreenHitGreenPct",2015
99,99,"Spencer Levin",99,21.32,29,136,-28,NA,"GoingfortheGreenHitGreenPct",2015
100,100,"Graham DeLaet",65,21.3,23,108,-29,NA,"GoingfortheGreenHitGreenPct",2015
101,101,"Charl Schwartzel",67,21,21,100,-21,NA,"GoingfortheGreenHitGreenPct",2015
102,102,"SJ Park",79,20.88,19,91,-19,NA,"GoingfortheGreenHitGreenPct",2015
103,103,"Henrik Stenson",63,20.75,22,106,-27,NA,"GoingfortheGreenHitGreenPct",2015
104,104,"Sangmoon Bae",98,20.71,35,169,-36,NA,"GoingfortheGreenHitGreenPct",2015
105,105,"Jason Bohn",95,20.69,24,116,-24,NA,"GoingfortheGreenHitGreenPct",2015
106,106,"Francesco Molinari",56,20.63,13,63,-14,NA,"GoingfortheGreenHitGreenPct",2015
107,107,"Andres Gonzales",90,20.59,28,136,-32,NA,"GoingfortheGreenHitGreenPct",2015
108,108,"Heath Slocum",57,20.41,10,49,-10,NA,"GoingfortheGreenHitGreenPct",2015
109,109,"Shawn Stefani",94,20.11,38,189,-40,NA,"GoingfortheGreenHitGreenPct",2015
110,110,"Robert Garrigus",70,20,24,120,-27,NA,"GoingfortheGreenHitGreenPct",2015
110,110,"Chesson Hadley",101,20,36,180,-41,NA,"GoingfortheGreenHitGreenPct",2015
112,112,"Chad Campbell",97,19.7,26,132,-27,NA,"GoingfortheGreenHitGreenPct",2015
113,113,"Bill Lunde",50,19.67,12,61,-12,NA,"GoingfortheGreenHitGreenPct",2015
114,114,"Derek Fathauer",81,19.66,23,117,-27,NA,"GoingfortheGreenHitGreenPct",2015
115,115,"Matt Every",73,19.63,21,107,-18,NA,"GoingfortheGreenHitGreenPct",2015
116,116,"Steven Bowditch",103,19.6,39,199,-46,NA,"GoingfortheGreenHitGreenPct",2015
117,117,"Kyle Reifers",96,19.57,27,138,-25,NA,"GoingfortheGreenHitGreenPct",2015
118,118,"Matt Jones",89,19.54,34,174,-38,NA,"GoingfortheGreenHitGreenPct",2015
119,119,"Cameron Tringale",96,19.53,25,128,-23,NA,"GoingfortheGreenHitGreenPct",2015
120,120,"Whee Kim",71,19.48,15,77,-15,NA,"GoingfortheGreenHitGreenPct",2015
120,120,"Byron Smith",59,19.48,15,77,-13,NA,"GoingfortheGreenHitGreenPct",2015
122,122,"Patrick Reed",103,19.46,29,149,-28,NA,"GoingfortheGreenHitGreenPct",2015
123,123,"John Peterson",84,19.35,30,155,-29,NA,"GoingfortheGreenHitGreenPct",2015
124,124,"Kevin Na",98,19.27,21,109,-22,NA,"GoingfortheGreenHitGreenPct",2015
125,125,"Charley Hoffman",97,19.23,35,182,-36,NA,"GoingfortheGreenHitGreenPct",2015
126,126,"Max Homa",78,19.08,25,131,-21,NA,"GoingfortheGreenHitGreenPct",2015
126,126,"Nick Taylor",91,19.08,33,173,-33,NA,"GoingfortheGreenHitGreenPct",2015
126,126,"Gary Woodland",81,19.08,25,131,-29,NA,"GoingfortheGreenHitGreenPct",2015
129,129,"Ricky Barnes",82,19.05,20,105,-20,NA,"GoingfortheGreenHitGreenPct",2015
130,130,"Gonzalo Fdez Castano",81,18.94,25,132,-23,NA,"GoingfortheGreenHitGreenPct",2015
131,131,"James Hahn",94,18.9,24,127,-27,NA,"GoingfortheGreenHitGreenPct",2015
132,132,"Blayne Barber",76,18.87,20,106,-21,NA,"GoingfortheGreenHitGreenPct",2015
133,133,"Kevin Kisner",104,18.82,32,170,-34,NA,"GoingfortheGreenHitGreenPct",2015
133,133,"DA Points",72,18.82,16,85,-18,NA,"GoingfortheGreenHitGreenPct",2015
135,135,"Jim Renner",68,18.68,17,91,-20,NA,"GoingfortheGreenHitGreenPct",2015
136,136,"Hunter Mahan",88,18.67,28,150,-29,NA,"GoingfortheGreenHitGreenPct",2015
137,137,"Justin Rose",69,18.52,20,108,-21,NA,"GoingfortheGreenHitGreenPct",2015
138,138,"John Senden",80,18.49,22,119,-23,NA,"GoingfortheGreenHitGreenPct",2015
139,139,"Phil Mickelson",70,18.46,24,130,-23,NA,"GoingfortheGreenHitGreenPct",2015
140,140,"Jordan Spieth",91,18.38,25,136,-27,NA,"GoingfortheGreenHitGreenPct",2015
141,141,"Troy Merritt",91,18.33,22,120,-18,NA,"GoingfortheGreenHitGreenPct",2015
142,142,"Jason Dufner",76,18.29,15,82,-17,NA,"GoingfortheGreenHitGreenPct",2015
143,143,"Ryo Ishikawa",90,18.25,25,137,-30,NA,"GoingfortheGreenHitGreenPct",2015
144,144,"Daniel Summerhays",101,18.12,27,149,-30,NA,"GoingfortheGreenHitGreenPct",2015
145,145,"John Merrick",78,18,18,100,-17,NA,"GoingfortheGreenHitGreenPct",2015
146,146,"Matt Kuchar",97,17.95,28,156,-32,NA,"GoingfortheGreenHitGreenPct",2015
147,147,"Chris Stroud",84,17.86,20,112,-18,NA,"GoingfortheGreenHitGreenPct",2015
148,148,"Jeff Overton",94,17.69,23,130,-25,NA,"GoingfortheGreenHitGreenPct",2015
149,149,"Andrew Svoboda",80,17.39,20,115,-24,NA,"GoingfortheGreenHitGreenPct",2015
150,150,"Andres Romero",69,17.21,21,122,-23,NA,"GoingfortheGreenHitGreenPct",2015
151,151,"Marc Leishman",74,16.96,19,112,-20,NA,"GoingfortheGreenHitGreenPct",2015
152,152,"Sean OHair",86,16.86,29,172,-33,NA,"GoingfortheGreenHitGreenPct",2015
153,153,"Pat Perez",96,16.79,23,137,-25,NA,"GoingfortheGreenHitGreenPct",2015
153,153,"Michael Putnam",87,16.79,22,131,-22,NA,"GoingfortheGreenHitGreenPct",2015
155,155,"Zac Blair",108,16.67,17,102,-19,NA,"GoingfortheGreenHitGreenPct",2015
155,155,"Danny Lee",120,16.67,27,162,-26,NA,"GoingfortheGreenHitGreenPct",2015
155,155,"Brendon Todd",96,16.67,16,96,-17,NA,"GoingfortheGreenHitGreenPct",2015
158,158,"David Lingmerth",90,16.53,20,121,-21,NA,"GoingfortheGreenHitGreenPct",2015
158,158,"Brandt Snedeker",98,16.53,20,121,-22,NA,"GoingfortheGreenHitGreenPct",2015
160,160,"Greg Chalmers",58,16.33,8,49,-9,NA,"GoingfortheGreenHitGreenPct",2015
