"AverageDistancetoHoleAfterTeeShot_RANKTHISWEEK_2013","AverageDistancetoHoleAfterTeeShot_RANKLASTWEEK_2013","AverageDistancetoHoleAfterTeeShot_PLAYERNAME_2013","AverageDistancetoHoleAfterTeeShot_ROUNDS_2013","AverageDistancetoHoleAfterTeeShot_AVG_2013","AverageDistancetoHoleAfterTeeShot_TOTALDISTAFTERTEESHOT_2013","AverageDistancetoHoleAfterTeeShot_TOTALTEESHOTS_2013","stat_name","year"
1,1,"Bubba Watson",76,159.2,4698756,820,"AverageDistancetoHoleAfterTeeShot",2013
2,2,"Dustin Johnson",71,162.3,4072951,697,"AverageDistancetoHoleAfterTeeShot",2013
3,3,"Keegan Bradley",88,165.7,5948901,997,"AverageDistancetoHoleAfterTeeShot",2013
4,4,"Steven Bowditch",67,165.9,4689171,785,"AverageDistancetoHoleAfterTeeShot",2013
4,4,"Morgan Hoffmann",64,165.9,4329945,725,"AverageDistancetoHoleAfterTeeShot",2013
6,6,"Kyle Stanley",71,166.1,4957294,829,"AverageDistancetoHoleAfterTeeShot",2013
7,7,"Scott Piercy",78,166.5,5093585,850,"AverageDistancetoHoleAfterTeeShot",2013
8,8,"Nicolas Colsaerts",50,166.9,2979395,496,"AverageDistancetoHoleAfterTeeShot",2013
8,8,"Robert Garrigus",69,166.9,4001126,666,"AverageDistancetoHoleAfterTeeShot",2013
8,8,"Rory McIlroy",56,166.9,3371436,561,"AverageDistancetoHoleAfterTeeShot",2013
11,11,"Rory Sabbatini",86,167.5,5934907,984,"AverageDistancetoHoleAfterTeeShot",2013
12,12,"Luke List",65,167.7,4183285,693,"AverageDistancetoHoleAfterTeeShot",2013
13,13,"Ryan Palmer",79,168.4,5747146,948,"AverageDistancetoHoleAfterTeeShot",2013
13,13,"Scott Stallings",79,168.4,5485940,905,"AverageDistancetoHoleAfterTeeShot",2013
15,15,"Gary Woodland",94,169.1,6941859,1140,"AverageDistancetoHoleAfterTeeShot",2013
16,16,"Eric Meierdierks",48,170,3114560,509,"AverageDistancetoHoleAfterTeeShot",2013
17,17,"Jason Kokrak",78,170.3,6049822,987,"AverageDistancetoHoleAfterTeeShot",2013
18,18,"Charlie Beljan",62,170.6,4680700,762,"AverageDistancetoHoleAfterTeeShot",2013
18,18,"Jim Herman",59,170.6,3740803,609,"AverageDistancetoHoleAfterTeeShot",2013
20,20,"Jason Day",86,170.8,5176383,842,"AverageDistancetoHoleAfterTeeShot",2013
21,21,"Carl Pettersson",82,170.9,5432771,883,"AverageDistancetoHoleAfterTeeShot",2013
22,22,"Charl Schwartzel",69,171,4592658,746,"AverageDistancetoHoleAfterTeeShot",2013
22,22,"Kevin Stadler",83,171,5849505,950,"AverageDistancetoHoleAfterTeeShot",2013
24,24,"Robert Streb",75,171.1,5242377,851,"AverageDistancetoHoleAfterTeeShot",2013
25,25,"Patrick Reed",83,171.4,6250933,1013,"AverageDistancetoHoleAfterTeeShot",2013
26,26,"Jason Dufner",78,171.5,5242464,849,"AverageDistancetoHoleAfterTeeShot",2013
26,26,"Shawn Stefani",63,171.5,4221922,684,"AverageDistancetoHoleAfterTeeShot",2013
28,28,"Martin Flores",83,171.6,6437731,1042,"AverageDistancetoHoleAfterTeeShot",2013
29,29,"Tag Ridings",69,171.8,4860521,786,"AverageDistancetoHoleAfterTeeShot",2013
29,29,"Justin Rose",62,171.8,3920756,634,"AverageDistancetoHoleAfterTeeShot",2013
31,31,"Charles Howell III",87,171.9,6771121,1094,"AverageDistancetoHoleAfterTeeShot",2013
32,32,"Padraig Harrington",52,172,2972067,480,"AverageDistancetoHoleAfterTeeShot",2013
32,32,"Webb Simpson",92,172,5968326,964,"AverageDistancetoHoleAfterTeeShot",2013
34,34,"Angel Cabrera",73,172.1,4851854,783,"AverageDistancetoHoleAfterTeeShot",2013
34,34,"Seung Yul Noh",71,172.1,5212008,841,"AverageDistancetoHoleAfterTeeShot",2013
34,34,"Cameron Percy",68,172.1,4837973,781,"AverageDistancetoHoleAfterTeeShot",2013
37,37,"Tommy Gainey",84,172.2,6399080,1032,"AverageDistancetoHoleAfterTeeShot",2013
38,38,"Jimmy Walker",84,172.4,6369159,1026,"AverageDistancetoHoleAfterTeeShot",2013
39,39,"Matt Every",89,172.5,6845182,1102,"AverageDistancetoHoleAfterTeeShot",2013
39,39,"Marc Leishman",77,172.5,5434840,875,"AverageDistancetoHoleAfterTeeShot",2013
39,39,"Ian Poulter",59,172.5,3360262,541,"AverageDistancetoHoleAfterTeeShot",2013
39,39,"Adam Scott",61,172.5,3782821,609,"AverageDistancetoHoleAfterTeeShot",2013
43,43,"Hunter Mahan",91,172.6,5834664,939,"AverageDistancetoHoleAfterTeeShot",2013
43,43,"Boo Weekley",100,172.6,7097288,1142,"AverageDistancetoHoleAfterTeeShot",2013
45,45,"Martin Kaymer",61,172.8,3620134,582,"AverageDistancetoHoleAfterTeeShot",2013
46,46,"Freddie Jacobson",63,172.9,3958152,636,"AverageDistancetoHoleAfterTeeShot",2013
46,46,"Andres Romero",63,172.9,4420252,710,"AverageDistancetoHoleAfterTeeShot",2013
46,46,"Nicholas Thompson",99,172.9,7368025,1184,"AverageDistancetoHoleAfterTeeShot",2013
49,49,"Harris English",95,173,6986379,1122,"AverageDistancetoHoleAfterTeeShot",2013
49,49,"Charley Hoffman",84,173,6227082,1000,"AverageDistancetoHoleAfterTeeShot",2013
51,51,"Greg Owen",73,173.1,5620494,902,"AverageDistancetoHoleAfterTeeShot",2013
52,52,"John Rollins",77,173.2,5781202,927,"AverageDistancetoHoleAfterTeeShot",2013
52,52,"DJ Trahan",48,173.2,3242619,520,"AverageDistancetoHoleAfterTeeShot",2013
54,54,"Sean OHair",56,173.3,4353709,698,"AverageDistancetoHoleAfterTeeShot",2013
54,54,"Andrew Svoboda",46,173.3,3001709,481,"AverageDistancetoHoleAfterTeeShot",2013
54,54,"Lee Westwood",70,173.3,4393025,704,"AverageDistancetoHoleAfterTeeShot",2013
57,57,"Graham DeLaet",94,173.5,6968719,1116,"AverageDistancetoHoleAfterTeeShot",2013
57,57,"Derek Ernst",58,173.5,4221193,676,"AverageDistancetoHoleAfterTeeShot",2013
59,59,"Russell Henley",80,173.6,5686307,910,"AverageDistancetoHoleAfterTeeShot",2013
59,59,"Ryo Ishikawa",72,173.6,4717561,755,"AverageDistancetoHoleAfterTeeShot",2013
61,61,"Jordan Spieth",82,173.7,5782744,925,"AverageDistancetoHoleAfterTeeShot",2013
62,62,"Brian Harman",89,173.8,6525763,1043,"AverageDistancetoHoleAfterTeeShot",2013
63,63,"Chris Kirk",89,174,6954096,1110,"AverageDistancetoHoleAfterTeeShot",2013
64,64,"Kevin Chappell",80,174.4,5768996,919,"AverageDistancetoHoleAfterTeeShot",2013
64,64,"Scott Gardiner",61,174.4,4471151,712,"AverageDistancetoHoleAfterTeeShot",2013
64,64,"Jeff Overton",78,174.4,6392739,1018,"AverageDistancetoHoleAfterTeeShot",2013
67,67,"Nick Watney",88,174.6,6374789,1014,"AverageDistancetoHoleAfterTeeShot",2013
68,68,"Josh Teater",86,174.8,5267877,837,"AverageDistancetoHoleAfterTeeShot",2013
69,69,"Troy Matteson",68,174.9,5074448,806,"AverageDistancetoHoleAfterTeeShot",2013
70,70,"Brad Fritsch",81,175,5832645,926,"AverageDistancetoHoleAfterTeeShot",2013
