"RightRoughProximity_RANKTHISWEEK_2011","RightRoughProximity_RANKLASTWEEK_2011","RightRoughProximity_PLAYERNAME_2011","RightRoughProximity_ROUNDS_2011","RightRoughProximity_AVG_2011","RightRoughProximity_ATTEMPTS_2011","RightRoughProximity_TOTALDISTANCEFEET_2011","RightRoughProximity_RELATIVETOPAR_2011","stat_name","year"
120,120,"Gary Woodland",93,NA,145,6612.083,0,"RightRoughProximity",2011
123,123,"George McNeill",69,NA,144,6573.5,16,"RightRoughProximity",2011
123,123,"Josh Teater",104,NA,194,8862.25,18,"RightRoughProximity",2011
125,125,"Joseph Bramlett",73,NA,126,5759.333,22,"RightRoughProximity",2011
125,125,"Roland Thatcher",67,NA,114,5218.167,38,"RightRoughProximity",2011
127,127,"Robert Allenby",84,NA,126,5771.25,32,"RightRoughProximity",2011
127,127,"Anthony Kim",72,NA,127,5825.583,12,"RightRoughProximity",2011
129,129,"Martin Laird",77,NA,111,5099.417,10,"RightRoughProximity",2011
129,129,"Joe Ogilvie",75,NA,129,5922.833,10,"RightRoughProximity",2011
129,129,"Garrett Willis",71,NA,89,4088.917,31,"RightRoughProximity",2011
132,132,"Zack Miller",86,NA,168,7731.167,34,"RightRoughProximity",2011
133,133,"Arjun Atwal",91,NA,139,6404.25,36,"RightRoughProximity",2011
133,133,"Paul Stankowski",78,NA,119,5487.917,27,"RightRoughProximity",2011
135,135,"Steve Stricker",70,NA,86,3967.833,-2,"RightRoughProximity",2011
136,136,"Blake Adams",116,NA,210,9712.75,29,"RightRoughProximity",2011
136,136,"KJ Choi",77,NA,104,4809.167,11,"RightRoughProximity",2011
136,136,"Andres Gonzales",60,NA,79,3656.75,13,"RightRoughProximity",2011
139,139,"Matt Bettencourt",84,NA,152,7054.667,19,"RightRoughProximity",2011
139,139,"Jarrod Lyle",83,NA,154,7145.75,35,"RightRoughProximity",2011
139,139,"Troy Merritt",63,NA,114,5289.417,35,"RightRoughProximity",2011
139,139,"Bo Van Pelt",92,NA,120,5567.5,18,"RightRoughProximity",2011
143,143,"Bio Kim",71,NA,158,7392.667,22,"RightRoughProximity",2011
143,143,"Marc Leishman",87,NA,215,10048.417,30,"RightRoughProximity",2011
145,145,"Robert Karlsson",61,NA,83,3884.583,5,"RightRoughProximity",2011
146,146,"William McGirt",103,NA,163,7650.083,21,"RightRoughProximity",2011
146,146,"Matt McQuillan",59,NA,87,4079.75,16,"RightRoughProximity",2011
148,148,"Alex Cejka",59,NA,69,3241,11,"RightRoughProximity",2011
149,149,"Brian Gay",90,NA,94,4434.083,18,"RightRoughProximity",2011
149,149,"Ben Martin",74,NA,117,5520.167,23,"RightRoughProximity",2011
149,149,"Troy Matteson",91,NA,170,8023.167,36,"RightRoughProximity",2011
149,149,"John Merrick",71,NA,108,5095.333,15,"RightRoughProximity",2011
153,153,"Justin Leonard",82,NA,110,5201.917,11,"RightRoughProximity",2011
154,154,"Jonathan Byrd",83,NA,136,6471.833,18,"RightRoughProximity",2011
155,155,"Jason Day",76,NA,140,6677.833,27,"RightRoughProximity",2011
155,155,"Sean OHair",71,NA,129,6145.417,25,"RightRoughProximity",2011
157,157,"Brian Davis",105,NA,160,7664.583,30,"RightRoughProximity",2011
158,158,"Bryce Molder",82,NA,112,5373.25,19,"RightRoughProximity",2011
159,159,"Kevin Kisner",70,NA,98,4735.75,8,"RightRoughProximity",2011
159,159,"Steve Marino",76,NA,114,5511.667,16,"RightRoughProximity",2011
161,161,"Matt Jones",71,NA,136,6581.333,21,"RightRoughProximity",2011
162,162,"JJ Henry",96,NA,102,4944.083,19,"RightRoughProximity",2011
162,162,"Derek Lamely",65,NA,111,5384.25,15,"RightRoughProximity",2011
162,162,"Andres Romero",77,NA,132,6404.75,30,"RightRoughProximity",2011
165,165,"James Driscoll",71,NA,118,5738.833,33,"RightRoughProximity",2011
166,166,"Sung Kang",63,NA,118,5748.833,24,"RightRoughProximity",2011
167,167,"Charles Howell III",108,NA,221,10820.333,22,"RightRoughProximity",2011
168,168,"Charlie Wi",83,NA,167,8203.75,7,"RightRoughProximity",2011
169,169,"Ryuji Imada",83,NA,144,7089.5,37,"RightRoughProximity",2011
170,170,"Tim Petrovic",88,NA,135,6663.833,26,"RightRoughProximity",2011
171,171,"Colt Knost",80,NA,93,4597.75,15,"RightRoughProximity",2011
172,172,"Tom Gillis",55,NA,91,4508,19,"RightRoughProximity",2011
173,173,"Billy Horschel",75,NA,75,3728.25,16,"RightRoughProximity",2011
174,174,"Justin Hicks",60,NA,54,2691.667,22,"RightRoughProximity",2011
175,175,"Trevor Immelman",84,NA,123,6160.167,14,"RightRoughProximity",2011
175,175,"Will Strickler",51,NA,88,4405.25,26,"RightRoughProximity",2011
177,177,"DJ Brigman",67,NA,118,5934.583,24,"RightRoughProximity",2011
177,177,"Scott McCarron",65,NA,94,4731.333,25,"RightRoughProximity",2011
179,179,"Rich Beem",53,NA,66,3333.333,24,"RightRoughProximity",2011
180,180,"Lee Janzen",62,NA,72,3655.333,20,"RightRoughProximity",2011
181,181,"Zach Johnson",79,NA,88,4471.833,8,"RightRoughProximity",2011
182,182,"Richard Johnson",64,NA,87,4426.333,24,"RightRoughProximity",2011
183,183,"Rod Pampling",72,NA,77,4007.083,4,"RightRoughProximity",2011
184,184,"Daniel Summerhays",75,NA,126,6623.917,48,"RightRoughProximity",2011
185,185,"Jerry Kelly",85,NA,94,4951.333,30,"RightRoughProximity",2011
186,186,"Charl Schwartzel",58,NA,87,4601.333,16,"RightRoughProximity",2011
