"ScramblingAverageDistancetoHole_RANKTHISWEEK_2008","ScramblingAverageDistancetoHole_RANKLASTWEEK_2008","ScramblingAverageDistancetoHole_PLAYERNAME_2008","ScramblingAverageDistancetoHole_ROUNDS_2008","ScramblingAverageDistancetoHole_AVGDTP_2008","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2008","ScramblingAverageDistancetoHole_ATTEMPTS_2008","stat_name","year"
1,1,"Kevin Na",97,NA,3591.167,533,"ScramblingAverageDistancetoHole",2008
2,2,"Mike Weir",88,NA,2404.417,354,"ScramblingAverageDistancetoHole",2008
2,2,"Charlie Wi",97,NA,3143.083,458,"ScramblingAverageDistancetoHole",2008
4,4,"Steve Flesch",95,NA,2950.083,419,"ScramblingAverageDistancetoHole",2008
4,4,"Vijay Singh",82,NA,2196.75,312,"ScramblingAverageDistancetoHole",2008
4,4,"Scott Verplank",82,NA,2438.333,349,"ScramblingAverageDistancetoHole",2008
7,7,"Ernie Els",51,NA,1509,210,"ScramblingAverageDistancetoHole",2008
7,7,"Retief Goosen",59,NA,1800.5,250,"ScramblingAverageDistancetoHole",2008
7,7,"Chris Riley",51,NA,1729.75,241,"ScramblingAverageDistancetoHole",2008
10,10,"Jeff Gove",50,NA,1550.667,214,"ScramblingAverageDistancetoHole",2008
10,10,"Padraig Harrington",52,NA,1390.667,191,"ScramblingAverageDistancetoHole",2008
10,10,"Omar Uresti",74,NA,2602.5,358,"ScramblingAverageDistancetoHole",2008
13,13,"Briny Baird",113,NA,3470.167,471,"ScramblingAverageDistancetoHole",2008
13,13,"Justin Leonard",101,NA,2594.167,354,"ScramblingAverageDistancetoHole",2008
13,13,"Corey Pavin",69,NA,2645.917,359,"ScramblingAverageDistancetoHole",2008
16,16,"Matt Kuchar",88,NA,2951.167,397,"ScramblingAverageDistancetoHole",2008
16,16,"Nick OHern",82,NA,2935.25,396,"ScramblingAverageDistancetoHole",2008
16,16,"Adam Scott",51,NA,1364,184,"ScramblingAverageDistancetoHole",2008
16,16,"Kevin Sutherland",98,NA,3192.583,432,"ScramblingAverageDistancetoHole",2008
20,20,"Trevor Immelman",70,NA,2074.417,276,"ScramblingAverageDistancetoHole",2008
21,21,"Ben Curtis",80,NA,2632.333,347,"ScramblingAverageDistancetoHole",2008
21,21,"Phil Mickelson",80,NA,2258.75,297,"ScramblingAverageDistancetoHole",2008
23,23,"Stephen Ames",83,NA,2553,332,"ScramblingAverageDistancetoHole",2008
23,23,"Bart Bryant",81,NA,2920.833,381,"ScramblingAverageDistancetoHole",2008
23,23,"Michael Letzig",88,NA,3216.333,421,"ScramblingAverageDistancetoHole",2008
23,23,"Shigeki Maruyama",50,NA,2008.583,262,"ScramblingAverageDistancetoHole",2008
