"GIRPuttingInside5_RANKTHISWEEK_2011","GIRPuttingInside5_RANKLASTWEEK_2011","GIRPuttingInside5_PLAYERNAME_2011","GIRPuttingInside5_ROUNDS_2011","GIRPuttingInside5_Pct_2011","GIRPuttingInside5_ATTEMPTS_2011","GIRPuttingInside5_PUTTSMADE_2011","stat_name","year"
1,1,"Sergio Garcia",61,100,19,19,"GIRPuttingInside5",2011
2,2,"Lee Janzen",62,96.43,28,27,"GIRPuttingInside5",2011
3,3,"Bill Haas",93,95.92,49,47,"GIRPuttingInside5",2011
4,4,"Jimmy Walker",79,95.83,48,46,"GIRPuttingInside5",2011
5,5,"Will Strickler",51,94.74,19,18,"GIRPuttingInside5",2011
6,6,"JP Hayes",56,94.12,17,16,"GIRPuttingInside5",2011
7,7,"Brian Gay",90,93.33,30,28,"GIRPuttingInside5",2011
7,7,"Jarrod Lyle",83,93.33,30,28,"GIRPuttingInside5",2011
9,9,"Charlie Wi",83,93.18,44,41,"GIRPuttingInside5",2011
10,10,"Briny Baird",60,92.86,28,26,"GIRPuttingInside5",2011
11,11,"William McGirt",103,92.68,41,38,"GIRPuttingInside5",2011
12,12,"Jeff Overton",92,92.5,40,37,"GIRPuttingInside5",2011
13,13,"Hunter Mahan",92,92.45,53,49,"GIRPuttingInside5",2011
14,14,"Andres Romero",77,92.31,52,48,"GIRPuttingInside5",2011
14,14,"Brandt Snedeker",85,92.31,39,36,"GIRPuttingInside5",2011
16,16,"George McNeill",69,92,25,23,"GIRPuttingInside5",2011
17,17,"Anthony Kim",72,91.89,37,34,"GIRPuttingInside5",2011
18,18,"Angel Cabrera",50,91.67,24,22,"GIRPuttingInside5",2011
19,19,"Richard Johnson",64,91.3,23,21,"GIRPuttingInside5",2011
20,20,"Charles Howell III",108,91.23,57,52,"GIRPuttingInside5",2011
21,21,"Shane Bertsch",62,91.18,34,31,"GIRPuttingInside5",2011
21,21,"Chris Couch",73,91.18,34,31,"GIRPuttingInside5",2011
23,23,"Martin Laird",77,90.48,42,38,"GIRPuttingInside5",2011
24,24,"Andres Gonzales",60,90.32,31,28,"GIRPuttingInside5",2011
25,25,"Rory Sabbatini",85,90,40,36,"GIRPuttingInside5",2011
26,26,"Geoff Ogilvy",69,89.66,29,26,"GIRPuttingInside5",2011
27,27,"Keegan Bradley",91,89.47,38,34,"GIRPuttingInside5",2011
28,28,"DJ Brigman",67,89.29,28,25,"GIRPuttingInside5",2011
28,28,"David Mathis",83,89.29,28,25,"GIRPuttingInside5",2011
30,30,"Padraig Harrington",60,89.19,37,33,"GIRPuttingInside5",2011
31,31,"Chez Reavie",92,89.13,46,41,"GIRPuttingInside5",2011
32,32,"David Hearn",88,88.89,36,32,"GIRPuttingInside5",2011
33,33,"Zach Johnson",79,88.57,35,31,"GIRPuttingInside5",2011
33,33,"Scott Piercy",78,88.57,35,31,"GIRPuttingInside5",2011
35,35,"Kevin Streelman",90,88.24,34,30,"GIRPuttingInside5",2011
36,36,"Blake Adams",116,87.69,65,57,"GIRPuttingInside5",2011
37,37,"Woody Austin",59,87.5,32,28,"GIRPuttingInside5",2011
37,37,"Derek Lamely",65,87.5,32,28,"GIRPuttingInside5",2011
