"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2005","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2005","AverageDistanceafterGoingforitShot_PLAYERNAME_2005","AverageDistanceafterGoingforitShot_ROUNDS_2005","AverageDistanceafterGoingforitShot_AVG_2005","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2005","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2005","stat_name","year"
1,1,"Jay Haas",54,20.8,43383,58,"AverageDistanceafterGoingforitShot",2005
2,2,"Joey Snyder III",102,20.9,143142,190,"AverageDistanceafterGoingforitShot",2005
3,3,"Kevin Stadler",96,21,167826,222,"AverageDistanceafterGoingforitShot",2005
4,4,"Brenden Pappas",51,21.2,89267,117,"AverageDistanceafterGoingforitShot",2005
5,5,"Loren Roberts",54,21.9,23677,30,"AverageDistanceafterGoingforitShot",2005
6,6,"Briny Baird",98,22,124973,158,"AverageDistanceafterGoingforitShot",2005
6,6,"Kenny Perry",82,22,99751,126,"AverageDistanceafterGoingforitShot",2005
8,8,"Charles Howell III",95,22.1,125518,158,"AverageDistanceafterGoingforitShot",2005
9,9,"Brian Davis",75,22.3,103368,129,"AverageDistanceafterGoingforitShot",2005
10,10,"Brandt Jobe",96,22.4,146232,181,"AverageDistanceafterGoingforitShot",2005
10,10,"Davis Love III",80,22.4,95897,119,"AverageDistanceafterGoingforitShot",2005
12,12,"John Rollins",97,22.5,157916,195,"AverageDistanceafterGoingforitShot",2005
13,13,"Hideto Tanihara",50,22.6,70890,87,"AverageDistanceafterGoingforitShot",2005
13,13,"Bo Van Pelt",112,22.6,165163,203,"AverageDistanceafterGoingforitShot",2005
15,15,"Bradley Hughes",52,22.7,84850,104,"AverageDistanceafterGoingforitShot",2005
15,15,"Adam Scott",72,22.7,82569,101,"AverageDistanceafterGoingforitShot",2005
17,17,"Brian Bateman",98,22.8,134776,164,"AverageDistanceafterGoingforitShot",2005
17,17,"Scott McCarron",78,22.8,105651,129,"AverageDistanceafterGoingforitShot",2005
17,17,"Phillip Price",77,22.8,83768,102,"AverageDistanceafterGoingforitShot",2005
17,17,"Lee Westwood",50,22.8,61503,75,"AverageDistanceafterGoingforitShot",2005
21,21,"John Huston",90,22.9,143385,174,"AverageDistanceafterGoingforitShot",2005
22,22,"Olin Browne",99,23,78569,95,"AverageDistanceafterGoingforitShot",2005
22,22,"Carlos Franco",78,23,131866,159,"AverageDistanceafterGoingforitShot",2005
22,22,"Lucas Glover",88,23,177504,214,"AverageDistanceafterGoingforitShot",2005
22,22,"Scott Gutschewski",86,23,160692,194,"AverageDistanceafterGoingforitShot",2005
26,26,"Jason Bohn",91,23.1,131217,158,"AverageDistanceafterGoingforitShot",2005
26,26,"Tim Clark",92,23.1,91666,110,"AverageDistanceafterGoingforitShot",2005
26,26,"Fred Couples",72,23.1,72232,87,"AverageDistanceafterGoingforitShot",2005
26,26,"Mark Hensby",70,23.1,96512,116,"AverageDistanceafterGoingforitShot",2005
26,26,"Sean OHair",103,23.1,150685,181,"AverageDistanceafterGoingforitShot",2005
31,31,"Joe Durant",81,23.2,117786,141,"AverageDistanceafterGoingforitShot",2005
31,31,"Brendan Jones",81,23.2,133917,160,"AverageDistanceafterGoingforitShot",2005
31,31,"Carl Pettersson",109,23.2,147122,176,"AverageDistanceafterGoingforitShot",2005
31,31,"Jay Williamson",53,23.2,65021,78,"AverageDistanceafterGoingforitShot",2005
35,35,"Craig Barlow",81,23.3,110855,132,"AverageDistanceafterGoingforitShot",2005
36,36,"Jeff Brehaut",71,23.4,109717,130,"AverageDistanceafterGoingforitShot",2005
36,36,"Luke Donald",67,23.4,37897,45,"AverageDistanceafterGoingforitShot",2005
36,36,"Bob Heintz",67,23.4,87471,104,"AverageDistanceafterGoingforitShot",2005
36,36,"Nick Watney",91,23.4,167594,199,"AverageDistanceafterGoingforitShot",2005
40,40,"Bart Bryant",91,23.5,110593,131,"AverageDistanceafterGoingforitShot",2005
40,40,"Ben Curtis",65,23.5,60896,72,"AverageDistanceafterGoingforitShot",2005
40,40,"Dudley Hart",84,23.5,109189,129,"AverageDistanceafterGoingforitShot",2005
40,40,"Matt Kuchar",60,23.5,72014,85,"AverageDistanceafterGoingforitShot",2005
44,44,"Glen Day",80,23.6,102766,121,"AverageDistanceafterGoingforitShot",2005
44,44,"Sergio Garcia",73,23.6,110636,130,"AverageDistanceafterGoingforitShot",2005
44,44,"Justin Leonard",78,23.6,63835,75,"AverageDistanceafterGoingforitShot",2005
44,44,"Tag Ridings",93,23.6,180427,212,"AverageDistanceafterGoingforitShot",2005
44,44,"Steve Stricker",62,23.6,72080,85,"AverageDistanceafterGoingforitShot",2005
44,44,"DJ Trahan",81,23.6,148487,175,"AverageDistanceafterGoingforitShot",2005
44,44,"Tiger Woods",76,23.6,139448,164,"AverageDistanceafterGoingforitShot",2005
51,51,"Omar Uresti",84,23.7,98051,115,"AverageDistanceafterGoingforitShot",2005
51,51,"Duffy Waldorf",86,23.7,110073,129,"AverageDistanceafterGoingforitShot",2005
53,53,"Stuart Appleby",84,23.8,106361,124,"AverageDistanceafterGoingforitShot",2005
53,53,"Thomas Levet",54,23.8,52242,61,"AverageDistanceafterGoingforitShot",2005
53,53,"Michael Long",72,23.8,121038,141,"AverageDistanceafterGoingforitShot",2005
53,53,"Hunter Mahan",103,23.8,178052,208,"AverageDistanceafterGoingforitShot",2005
53,53,"Justin Rose",99,23.8,168976,197,"AverageDistanceafterGoingforitShot",2005
58,58,"Jason Allred",75,23.9,111890,130,"AverageDistanceafterGoingforitShot",2005
58,58,"Mark Calcavecchia",92,23.9,138745,161,"AverageDistanceafterGoingforitShot",2005
58,58,"James Driscoll",73,23.9,134492,156,"AverageDistanceafterGoingforitShot",2005
58,58,"Rocco Mediate",73,23.9,100789,117,"AverageDistanceafterGoingforitShot",2005
58,58,"Chris Smith",93,23.9,175156,204,"AverageDistanceafterGoingforitShot",2005
58,58,"Brett Wetterich",76,23.9,164601,191,"AverageDistanceafterGoingforitShot",2005
64,64,"Stephen Ames",82,24,88107,102,"AverageDistanceafterGoingforitShot",2005
64,64,"John Daly",78,24,132816,154,"AverageDistanceafterGoingforitShot",2005
64,64,"Mathias Gronberg",60,24,131118,152,"AverageDistanceafterGoingforitShot",2005
67,67,"KJ Choi",78,24.1,75531,87,"AverageDistanceafterGoingforitShot",2005
67,67,"JJ Henry",102,24.1,170236,196,"AverageDistanceafterGoingforitShot",2005
67,67,"Richard Johnson",50,24.1,72811,84,"AverageDistanceafterGoingforitShot",2005
67,67,"Ted Purdy",122,24.1,182541,210,"AverageDistanceafterGoingforitShot",2005
67,67,"Darron Stiles",78,24.1,99945,115,"AverageDistanceafterGoingforitShot",2005
72,72,"Michael Allen",90,24.2,115927,133,"AverageDistanceafterGoingforitShot",2005
72,72,"Woody Austin",100,24.2,163796,188,"AverageDistanceafterGoingforitShot",2005
72,72,"Tim Herron",100,24.2,122150,140,"AverageDistanceafterGoingforitShot",2005
72,72,"Brett Quigley",96,24.2,146447,168,"AverageDistanceafterGoingforitShot",2005
76,76,"Dan Forsman",52,24.3,79463,91,"AverageDistanceafterGoingforitShot",2005
77,77,"David Hearn",68,24.4,111359,127,"AverageDistanceafterGoingforitShot",2005
78,78,"Harrison Frazar",105,24.5,205704,233,"AverageDistanceafterGoingforitShot",2005
78,78,"Ryuji Imada",78,24.5,116271,132,"AverageDistanceafterGoingforitShot",2005
78,78,"Tim Petrovic",97,24.5,135204,153,"AverageDistanceafterGoingforitShot",2005
81,81,"Robert Allenby",95,24.6,148888,168,"AverageDistanceafterGoingforitShot",2005
81,81,"Rich Beem",66,24.6,80652,91,"AverageDistanceafterGoingforitShot",2005
81,81,"DJ Brigman",76,24.6,100888,114,"AverageDistanceafterGoingforitShot",2005
81,81,"Rory Sabbatini",81,24.6,100159,113,"AverageDistanceafterGoingforitShot",2005
85,85,"Billy Andrade",83,24.7,121000,136,"AverageDistanceafterGoingforitShot",2005
85,85,"Arjun Atwal",65,24.7,122599,138,"AverageDistanceafterGoingforitShot",2005
85,85,"Alex Cejka",84,24.7,111842,126,"AverageDistanceafterGoingforitShot",2005
88,88,"Tom Byrum",83,24.8,73315,82,"AverageDistanceafterGoingforitShot",2005
88,88,"Marco Dawson",82,24.8,130281,146,"AverageDistanceafterGoingforitShot",2005
88,88,"Paul Gow",78,24.8,117144,131,"AverageDistanceafterGoingforitShot",2005
88,88,"Craig Perks",67,24.8,91247,102,"AverageDistanceafterGoingforitShot",2005
88,88,"Tom Pernice Jr",111,24.8,167548,188,"AverageDistanceafterGoingforitShot",2005
88,88,"Mario Tiziani",67,24.8,98233,110,"AverageDistanceafterGoingforitShot",2005
88,88,"Mike Weir",71,24.8,70583,79,"AverageDistanceafterGoingforitShot",2005
95,95,"Ryan Palmer",101,24.9,173062,193,"AverageDistanceafterGoingforitShot",2005
95,95,"John Senden",101,24.9,178640,199,"AverageDistanceafterGoingforitShot",2005
95,95,"Roland Thatcher",75,24.9,135397,151,"AverageDistanceafterGoingforitShot",2005
98,98,"Jim Furyk",94,25,99163,110,"AverageDistanceafterGoingforitShot",2005
98,98,"Greg Owen",84,25,148728,165,"AverageDistanceafterGoingforitShot",2005
98,98,"DA Points",94,25,160197,178,"AverageDistanceafterGoingforitShot",2005
98,98,"David Toms",87,25,97157,108,"AverageDistanceafterGoingforitShot",2005
102,102,"Chad Campbell",95,25.1,121184,134,"AverageDistanceafterGoingforitShot",2005
102,102,"John Elliott",58,25.1,108623,120,"AverageDistanceafterGoingforitShot",2005
102,102,"Jesper Parnevik",84,25.1,136179,151,"AverageDistanceafterGoingforitShot",2005
105,105,"Jonathan Byrd",103,25.2,201614,222,"AverageDistanceafterGoingforitShot",2005
105,105,"Matt Gogel",78,25.2,94269,104,"AverageDistanceafterGoingforitShot",2005
105,105,"Hank Kuehne",84,25.2,176097,194,"AverageDistanceafterGoingforitShot",2005
108,108,"Tommy Armour III",103,25.3,131365,144,"AverageDistanceafterGoingforitShot",2005
108,108,"Zach Johnson",96,25.3,140931,155,"AverageDistanceafterGoingforitShot",2005
108,108,"Will Ma Kenzie",75,25.3,125905,138,"AverageDistanceafterGoingforitShot",2005
111,111,"Charlie Wi",67,25.4,97825,107,"AverageDistanceafterGoingforitShot",2005
112,112,"Steve Allan",102,25.5,194046,211,"AverageDistanceafterGoingforitShot",2005
112,112,"Neal Lancaster",95,25.5,166161,181,"AverageDistanceafterGoingforitShot",2005
112,112,"Shigeki Maruyama",99,25.5,123773,135,"AverageDistanceafterGoingforitShot",2005
112,112,"Billy Mayfair",114,25.5,201317,219,"AverageDistanceafterGoingforitShot",2005
112,112,"Vijay Singh",111,25.5,228775,249,"AverageDistanceafterGoingforitShot",2005
117,117,"Patrick Sheehan",114,25.6,176093,191,"AverageDistanceafterGoingforitShot",2005
118,118,"Justin Bolli",65,25.8,104015,112,"AverageDistanceafterGoingforitShot",2005
118,118,"Franklin Langham",91,25.8,94719,102,"AverageDistanceafterGoingforitShot",2005
118,118,"Frank Lickliter II",100,25.8,185794,200,"AverageDistanceafterGoingforitShot",2005
118,118,"Joe Ogilvie",103,25.8,136489,147,"AverageDistanceafterGoingforitShot",2005
118,118,"Kevin Sutherland",89,25.8,132740,143,"AverageDistanceafterGoingforitShot",2005
118,118,"Mark Wilson",74,25.8,71582,77,"AverageDistanceafterGoingforitShot",2005
124,124,"Bob Estes",92,25.9,108974,117,"AverageDistanceafterGoingforitShot",2005
124,124,"Stephen Leaney",89,25.9,95095,102,"AverageDistanceafterGoingforitShot",2005
124,124,"Andrew Magee",82,25.9,126996,136,"AverageDistanceafterGoingforitShot",2005
124,124,"Geoff Ogilvy",97,25.9,123805,133,"AverageDistanceafterGoingforitShot",2005
124,124,"Rob Rashell",65,25.9,84961,91,"AverageDistanceafterGoingforitShot",2005
129,129,"Danny Briggs",70,26,93424,100,"AverageDistanceafterGoingforitShot",2005
129,129,"Arron Oberholser",65,26,84171,90,"AverageDistanceafterGoingforitShot",2005
131,131,"Ben Crane",78,26.1,96914,103,"AverageDistanceafterGoingforitShot",2005
131,131,"Scott Hend",75,26.1,185971,198,"AverageDistanceafterGoingforitShot",2005
131,131,"Steve Lowery",100,26.1,197458,210,"AverageDistanceafterGoingforitShot",2005
131,131,"Kevin Na",88,26.1,124767,133,"AverageDistanceafterGoingforitShot",2005
131,131,"Joey Sindelar",104,26.1,185120,197,"AverageDistanceafterGoingforitShot",2005
131,131,"Dean Wilson",86,26.1,125792,134,"AverageDistanceafterGoingforitShot",2005
137,137,"Cameron Beckman",96,26.2,141314,150,"AverageDistanceafterGoingforitShot",2005
137,137,"Hunter Haas",83,26.2,151179,160,"AverageDistanceafterGoingforitShot",2005
137,137,"Rod Pampling",89,26.2,148755,158,"AverageDistanceafterGoingforitShot",2005
140,140,"Jeff Maggert",79,26.3,107832,114,"AverageDistanceafterGoingforitShot",2005
140,140,"Jose Maria Olazabal",55,26.3,73964,78,"AverageDistanceafterGoingforitShot",2005
142,142,"Steve Flesch",90,26.4,116731,123,"AverageDistanceafterGoingforitShot",2005
142,142,"Todd Hamilton",94,26.4,116847,123,"AverageDistanceafterGoingforitShot",2005
142,142,"JP Hayes",63,26.4,71350,75,"AverageDistanceafterGoingforitShot",2005
142,142,"Shaun Micheel",81,26.4,113054,119,"AverageDistanceafterGoingforitShot",2005
142,142,"Charles Warren",89,26.4,187002,197,"AverageDistanceafterGoingforitShot",2005
147,147,"Tom Gillis",77,26.5,126063,132,"AverageDistanceafterGoingforitShot",2005
147,147,"Vaughn Taylor",99,26.5,179446,188,"AverageDistanceafterGoingforitShot",2005
149,149,"Paul Claxton",79,26.6,111956,117,"AverageDistanceafterGoingforitShot",2005
150,150,"Jim Carter",62,26.7,58556,61,"AverageDistanceafterGoingforitShot",2005
150,150,"Steve Elkington",67,26.7,97937,102,"AverageDistanceafterGoingforitShot",2005
150,150,"Brad Faxon",75,26.7,82564,86,"AverageDistanceafterGoingforitShot",2005
153,153,"Steve Jones",56,26.8,74204,77,"AverageDistanceafterGoingforitShot",2005
153,153,"Hidemichi Tanaka",106,26.8,166888,173,"AverageDistanceafterGoingforitShot",2005
155,155,"Jose Coceres",56,26.9,85244,88,"AverageDistanceafterGoingforitShot",2005
155,155,"Retief Goosen",71,26.9,94928,98,"AverageDistanceafterGoingforitShot",2005
155,155,"Freddie Jacobson",72,26.9,88018,91,"AverageDistanceafterGoingforitShot",2005
158,158,"Jonathan Kaye",77,27,122274,126,"AverageDistanceafterGoingforitShot",2005
158,158,"Jerry Kelly",101,27,131430,135,"AverageDistanceafterGoingforitShot",2005
160,160,"Bill Glasson",54,27.1,55548,57,"AverageDistanceafterGoingforitShot",2005
161,161,"Dennis Paulson",63,27.2,129452,132,"AverageDistanceafterGoingforitShot",2005
161,161,"Jeff Sluman",94,27.2,131033,134,"AverageDistanceafterGoingforitShot",2005
163,163,"Pat Perez",89,27.3,152096,155,"AverageDistanceafterGoingforitShot",2005
164,164,"Doug Barron",70,27.4,108332,110,"AverageDistanceafterGoingforitShot",2005
164,164,"Brian Gay",101,27.4,105455,107,"AverageDistanceafterGoingforitShot",2005
166,166,"Chris Anderson",66,27.5,81256,82,"AverageDistanceafterGoingforitShot",2005
166,166,"Aaron Baddeley",84,27.5,160408,162,"AverageDistanceafterGoingforitShot",2005
166,166,"Tom Lehman",69,27.5,85218,86,"AverageDistanceafterGoingforitShot",2005
166,166,"JL Lewis",98,27.5,152262,154,"AverageDistanceafterGoingforitShot",2005
