"FirstTeeLateRound3ScoringAverage_RANKTHISWEEK_2005","FirstTeeLateRound3ScoringAverage_RANKLASTWEEK_2005","FirstTeeLateRound3ScoringAverage_PLAYERNAME_2005","FirstTeeLateRound3ScoringAverage__2005","FirstTeeLateRound3ScoringAverage_AVG_2005","FirstTeeLateRound3ScoringAverage_TOTALSTROKES_2005","FirstTeeLateRound3ScoringAverage_TOTALROUNDS_2005","stat_name","year"
1,1,"Larry Mize",NA,65.5,131,2,"FirstTeeLateRound3ScoringAverage",2005
2,2,"David Hearn",NA,68,136,2,"FirstTeeLateRound3ScoringAverage",2005
2,2,"Phillip Price",NA,68,68,1,"FirstTeeLateRound3ScoringAverage",2005
2,2,"Tjaart van der Walt",NA,68,68,1,"FirstTeeLateRound3ScoringAverage",2005
5,5,"James Driscoll",NA,68.25,273,4,"FirstTeeLateRound3ScoringAverage",2005
5,5,"Mark Wilson",NA,68.25,273,4,"FirstTeeLateRound3ScoringAverage",2005
7,7,"Kenny Perry",NA,68.27,751,11,"FirstTeeLateRound3ScoringAverage",2005
8,8,"Jason Bohn",NA,68.29,478,7,"FirstTeeLateRound3ScoringAverage",2005
9,9,"Aaron Baddeley",NA,68.33,205,3,"FirstTeeLateRound3ScoringAverage",2005
10,10,"David Toms",NA,68.44,616,9,"FirstTeeLateRound3ScoringAverage",2005
11,11,"Robert Gamez",NA,68.5,274,4,"FirstTeeLateRound3ScoringAverage",2005
11,11,"Scott Hend",NA,68.5,137,2,"FirstTeeLateRound3ScoringAverage",2005
11,11,"Omar Uresti",NA,68.5,137,2,"FirstTeeLateRound3ScoringAverage",2005
14,14,"Jonathan Kaye",NA,68.6,343,5,"FirstTeeLateRound3ScoringAverage",2005
15,15,"Padraig Harrington",NA,68.67,206,3,"FirstTeeLateRound3ScoringAverage",2005
15,15,"Jose Maria Olazabal",NA,68.67,412,6,"FirstTeeLateRound3ScoringAverage",2005
17,17,"Doug Barron",NA,68.75,275,4,"FirstTeeLateRound3ScoringAverage",2005
17,17,"Geoff Ogilvy",NA,68.75,550,8,"FirstTeeLateRound3ScoringAverage",2005
19,19,"Daniel Chopra",NA,68.8,344,5,"FirstTeeLateRound3ScoringAverage",2005
20,20,"JP Hayes",NA,69,345,5,"FirstTeeLateRound3ScoringAverage",2005
20,20,"Bradley Hughes",NA,69,69,1,"FirstTeeLateRound3ScoringAverage",2005
22,22,"Roland Thatcher",NA,69.2,346,5,"FirstTeeLateRound3ScoringAverage",2005
23,23,"Tiger Woods",NA,69.21,969,14,"FirstTeeLateRound3ScoringAverage",2005
24,24,"Scott Verplank",NA,69.22,623,9,"FirstTeeLateRound3ScoringAverage",2005
25,25,"Justin Leonard",NA,69.29,485,7,"FirstTeeLateRound3ScoringAverage",2005
26,26,"John Rollins",NA,69.43,486,7,"FirstTeeLateRound3ScoringAverage",2005
27,27,"Bart Bryant",NA,69.44,625,9,"FirstTeeLateRound3ScoringAverage",2005
28,28,"Kevin Stadler",NA,69.5,278,4,"FirstTeeLateRound3ScoringAverage",2005
29,29,"Davis Love III",NA,69.63,557,8,"FirstTeeLateRound3ScoringAverage",2005
29,29,"Pat Perez",NA,69.63,557,8,"FirstTeeLateRound3ScoringAverage",2005
31,31,"Jose Coceres",NA,69.67,209,3,"FirstTeeLateRound3ScoringAverage",2005
31,31,"Chris DiMarco",NA,69.67,418,6,"FirstTeeLateRound3ScoringAverage",2005
31,31,"Harrison Frazar",NA,69.67,836,12,"FirstTeeLateRound3ScoringAverage",2005
31,31,"Carl Pettersson",NA,69.67,418,6,"FirstTeeLateRound3ScoringAverage",2005
31,31,"Charles Warren",NA,69.67,209,3,"FirstTeeLateRound3ScoringAverage",2005
36,36,"Ben Crane",NA,69.75,558,8,"FirstTeeLateRound3ScoringAverage",2005
36,36,"Arron Oberholser",NA,69.75,279,4,"FirstTeeLateRound3ScoringAverage",2005
38,38,"Tim Clark",NA,69.78,628,9,"FirstTeeLateRound3ScoringAverage",2005
39,39,"Jim Furyk",NA,69.79,977,14,"FirstTeeLateRound3ScoringAverage",2005
40,40,"Richard Johnson",NA,69.8,349,5,"FirstTeeLateRound3ScoringAverage",2005
