"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2016","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2016","ProximitytoHolefromOtherLocations_PLAYERNAME_2016","ProximitytoHolefromOtherLocations_ROUNDS_2016","ProximitytoHolefromOtherLocations_AVGDTP_2016","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2016","ProximitytoHolefromOtherLocations_OFSHOTS_2016","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2016","stat_name","year"
1,1,"Aaron Baddeley",51,NA,4.946,91,7,"ProximitytoHolefromOtherLocations",2016
2,3,"Russell Knox",48,NA,2.25,39,20,"ProximitytoHolefromOtherLocations",2016
3,3,"Francesco Molinari",36,NA,5.255,89,70,"ProximitytoHolefromOtherLocations",2016
4,10,"Lucas Glover",53,NA,5.977,99,37,"ProximitytoHolefromOtherLocations",2016
4,5,"Matt Kuchar",46,NA,3.107,52,33,"ProximitytoHolefromOtherLocations",2016
4,5,"Marc Leishman",41,NA,3.578,60,22,"ProximitytoHolefromOtherLocations",2016
7,8,"Branden Grace",31,NA,1.95,32,34,"ProximitytoHolefromOtherLocations",2016
8,5,"Rob Oppenheim",37,NA,4.253,67,111,"ProximitytoHolefromOtherLocations",2016
9,2,"Paul Casey",39,NA,2.482,39,120,"ProximitytoHolefromOtherLocations",2016
9,10,"Harris English",51,NA,5.512,86,79,"ProximitytoHolefromOtherLocations",2016
9,9,"James Hahn",45,NA,4.42,69,139,"ProximitytoHolefromOtherLocations",2016
9,10,"Scott Langley",41,NA,5.124,80,42,"ProximitytoHolefromOtherLocations",2016
9,10,"Jeff Overton",51,NA,7.301,114,23,"ProximitytoHolefromOtherLocations",2016
9,10,"Jimmy Walker",43,NA,3.508,55,135,"ProximitytoHolefromOtherLocations",2016
9,10,"Bubba Watson",30,NA,1.913,30,141,"ProximitytoHolefromOtherLocations",2016
16,16,"Patrick Reed",53,NA,4.208,65,3,"ProximitytoHolefromOtherLocations",2016
17,20,"Ricky Barnes",57,NA,7.324,111,69,"ProximitytoHolefromOtherLocations",2016
17,16,"Zac Blair",56,NA,5.314,80,13,"ProximitytoHolefromOtherLocations",2016
17,26,"Luke Donald",49,NA,4.483,68,8,"ProximitytoHolefromOtherLocations",2016
17,16,"Chris Kirk",51,NA,6.106,92,27,"ProximitytoHolefromOtherLocations",2016
21,20,"Jason Day",36,NA,3.558,53,60,"ProximitytoHolefromOtherLocations",2016
21,45,"Retief Goosen",37,NA,5.864,88,44,"ProximitytoHolefromOtherLocations",2016
21,20,"Steve Stricker",25,NA,3.06,46,26,"ProximitytoHolefromOtherLocations",2016
21,16,"Chris Stroud",52,NA,5.6,83,146,"ProximitytoHolefromOtherLocations",2016
25,20,"David Hearn",55,NA,7.106,104,55,"ProximitytoHolefromOtherLocations",2016
25,26,"Zach Johnson",42,NA,4.177,61,107,"ProximitytoHolefromOtherLocations",2016
25,30,"Hideki Matsuyama",40,NA,3.135,46,85,"ProximitytoHolefromOtherLocations",2016
25,37,"Brian Stuard",24,NA,3.49,51,4,"ProximitytoHolefromOtherLocations",2016
29,26,"Byeong Hun An",23,NA,2.201,32,148,"ProximitytoHolefromOtherLocations",2016
29,62,"Phil Mickelson",37,NA,4.532,66,9,"ProximitytoHolefromOtherLocations",2016
29,30,"Scott Stallings",46,NA,6.722,98,136,"ProximitytoHolefromOtherLocations",2016
29,30,"Vaughn Taylor",30,NA,4.258,62,178,"ProximitytoHolefromOtherLocations",2016
29,30,"Bernd Wiesberger",23,NA,1.577,23,164,"ProximitytoHolefromOtherLocations",2016
34,62,"Jamie Donaldson",28,NA,2.39,34,64,"ProximitytoHolefromOtherLocations",2016
34,30,"Brian Harman",60,NA,7.437,107,106,"ProximitytoHolefromOtherLocations",2016
34,37,"Bryce Molder",50,NA,6.365,91,11,"ProximitytoHolefromOtherLocations",2016
34,45,"Steve Wheatcroft",53,NA,7.033,100,75,"ProximitytoHolefromOtherLocations",2016
34,37,"Tim Wilkinson",40,NA,4.556,65,1,"ProximitytoHolefromOtherLocations",2016
39,45,"Keegan Bradley",40,NA,4.447,63,186,"ProximitytoHolefromOtherLocations",2016
39,45,"Luke Guthrie",31,NA,3.415,48,117,"ProximitytoHolefromOtherLocations",2016
39,45,"Charles Howell III",63,NA,7.992,113,21,"ProximitytoHolefromOtherLocations",2016
39,37,"Jason Kokrak",52,NA,7.273,102,78,"ProximitytoHolefromOtherLocations",2016
39,37,"Spencer Levin",62,NA,7.981,113,76,"ProximitytoHolefromOtherLocations",2016
39,26,"Luke List",51,NA,7.562,107,48,"ProximitytoHolefromOtherLocations",2016
39,45,"Wes Roach",33,NA,3.911,55,123,"ProximitytoHolefromOtherLocations",2016
39,45,"Charl Schwartzel",29,NA,2.422,34,31,"ProximitytoHolefromOtherLocations",2016
39,45,"Brandt Snedeker",47,NA,5.786,81,14,"ProximitytoHolefromOtherLocations",2016
48,55,"Brian Gay",22,NA,3.968,55,47,"ProximitytoHolefromOtherLocations",2016
48,62,"Patton Kizzire",57,NA,7.582,105,40,"ProximitytoHolefromOtherLocations",2016
48,95,"Martin Piller",37,NA,3.866,54,94,"ProximitytoHolefromOtherLocations",2016
48,71,"Brendon Todd",43,NA,6.367,89,28,"ProximitytoHolefromOtherLocations",2016
48,37,"David Toms",38,NA,5.599,78,10,"ProximitytoHolefromOtherLocations",2016
53,30,"Chad Campbell",54,NA,7.124,98,52,"ProximitytoHolefromOtherLocations",2016
53,83,"Kevin Chappell",49,NA,5.829,80,39,"ProximitytoHolefromOtherLocations",2016
53,62,"Jamie Lovemark",57,NA,10.214,140,6,"ProximitytoHolefromOtherLocations",2016
53,152,"Rory McIlroy",37,NA,2.248,31,89,"ProximitytoHolefromOtherLocations",2016
53,37,"Ian Poulter",37,NA,4.832,66,36,"ProximitytoHolefromOtherLocations",2016
53,45,"Brett Stegmaier",57,NA,9.156,125,127,"ProximitytoHolefromOtherLocations",2016
53,30,"Michael Thompson",46,NA,4.99,68,166,"ProximitytoHolefromOtherLocations",2016
53,37,"Harold Varner III",58,NA,10.046,137,133,"ProximitytoHolefromOtherLocations",2016
53,55,"Camilo Villegas",50,NA,6.786,93,58,"ProximitytoHolefromOtherLocations",2016
62,55,"Padraig Harrington",38,NA,5.394,73,49,"ProximitytoHolefromOtherLocations",2016
62,68,"Sung Kang",51,NA,6.946,94,74,"ProximitytoHolefromOtherLocations",2016
62,68,"Smylie Kaufman",57,NA,5.499,74,100,"ProximitytoHolefromOtherLocations",2016
65,83,"Daniel Berger",52,NA,5.664,76,108,"ProximitytoHolefromOtherLocations",2016
65,71,"KJ Choi",47,NA,5.894,79,16,"ProximitytoHolefromOtherLocations",2016
65,71,"Lucas Lee",22,NA,3.013,40,86,"ProximitytoHolefromOtherLocations",2016
65,71,"Justin Leonard",28,NA,3.917,52,18,"ProximitytoHolefromOtherLocations",2016
