"Approachesfrom100125yardsRgh_RANKTHISWEEK_2014","Approachesfrom100125yardsRgh_RANKLASTWEEK_2014","Approachesfrom100125yardsRgh_PLAYERNAME_2014","Approachesfrom100125yardsRgh_ROUNDS_2014","Approachesfrom100125yardsRgh_AVG_2014","Approachesfrom100125yardsRgh_TOTALDISTANCEFEET_2014","Approachesfrom100125yardsRgh_OFATTEMPTS_2014","Approachesfrom100125yardsRgh_RELATIVETOPAR_2014","stat_name","year"
1,1,"Scott Langley",95,NA,664.25,34,-7,"Approachesfrom100125yardsRgh",2014
2,2,"David Hearn",97,NA,452.5,23,2,"Approachesfrom100125yardsRgh",2014
3,3,"David Toms",64,NA,374.917,18,-3,"Approachesfrom100125yardsRgh",2014
4,4,"Jason Dufner",57,NA,322.917,15,-3,"Approachesfrom100125yardsRgh",2014
5,5,"Kevin Na",94,NA,388.417,18,-1,"Approachesfrom100125yardsRgh",2014
6,6,"Brian Davis",93,NA,599.75,27,3,"Approachesfrom100125yardsRgh",2014
7,7,"Angel Cabrera",69,NA,1046.167,46,-6,"Approachesfrom100125yardsRgh",2014
8,8,"Luke Donald",57,NA,279.5,12,-1,"Approachesfrom100125yardsRgh",2014
9,9,"Jim Furyk",84,NA,285.583,12,1,"Approachesfrom100125yardsRgh",2014
9,9,"Jerry Kelly",80,NA,476.75,20,-2,"Approachesfrom100125yardsRgh",2014
11,11,"Andrew Svoboda",77,NA,406.917,17,-2,"Approachesfrom100125yardsRgh",2014
12,12,"Charl Schwartzel",64,NA,600.667,25,-3,"Approachesfrom100125yardsRgh",2014
13,13,"Boo Weekley",73,NA,560.75,23,3,"Approachesfrom100125yardsRgh",2014
14,14,"Stuart Appleby",92,NA,784.917,32,-4,"Approachesfrom100125yardsRgh",2014
15,15,"Harris English",95,NA,665.25,27,1,"Approachesfrom100125yardsRgh",2014
16,16,"William McGirt",96,NA,802.583,32,-2,"Approachesfrom100125yardsRgh",2014
17,17,"Justin Leonard",75,NA,428.833,17,4,"Approachesfrom100125yardsRgh",2014
17,17,"Robert Streb",75,NA,530.083,21,-4,"Approachesfrom100125yardsRgh",2014
17,17,"Tim Wilkinson",86,NA,732.75,29,-1,"Approachesfrom100125yardsRgh",2014
20,20,"Brian Harman",111,NA,1155.75,45,-5,"Approachesfrom100125yardsRgh",2014
21,21,"Camilo Villegas",95,NA,1005.167,39,-3,"Approachesfrom100125yardsRgh",2014
22,22,"Rickie Fowler",91,NA,671.25,26,1,"Approachesfrom100125yardsRgh",2014
22,22,"Ryo Ishikawa",75,NA,826.833,32,0,"Approachesfrom100125yardsRgh",2014
24,24,"Justin Hicks",103,NA,600.833,23,-2,"Approachesfrom100125yardsRgh",2014
24,24,"Freddie Jacobson",91,NA,1096.083,42,1,"Approachesfrom100125yardsRgh",2014
26,26,"Chesson Hadley",84,NA,864.083,33,3,"Approachesfrom100125yardsRgh",2014
26,26,"George McNeill",79,NA,680.833,26,-4,"Approachesfrom100125yardsRgh",2014
28,28,"Bud Cauley",56,NA,630.917,24,5,"Approachesfrom100125yardsRgh",2014
29,29,"Jeff Maggert",54,NA,500.417,19,0,"Approachesfrom100125yardsRgh",2014
29,29,"Michael Putnam",106,NA,764.417,29,0,"Approachesfrom100125yardsRgh",2014
31,31,"Charley Hoffman",93,NA,1082.75,41,3,"Approachesfrom100125yardsRgh",2014
32,32,"Kevin Tway",64,NA,689.167,26,5,"Approachesfrom100125yardsRgh",2014
33,33,"Robert Allenby",83,NA,637.5,24,-1,"Approachesfrom100125yardsRgh",2014
33,33,"Spencer Levin",59,NA,611.75,23,10,"Approachesfrom100125yardsRgh",2014
35,35,"Ryan Moore",86,NA,507,19,4,"Approachesfrom100125yardsRgh",2014
36,36,"Justin Rose",70,NA,562.25,21,-3,"Approachesfrom100125yardsRgh",2014
37,37,"Tommy Gainey",73,NA,1126.917,42,-2,"Approachesfrom100125yardsRgh",2014
37,37,"Hunter Mahan",88,NA,751.25,28,3,"Approachesfrom100125yardsRgh",2014
39,39,"Phil Mickelson",71,NA,591.833,22,-2,"Approachesfrom100125yardsRgh",2014
39,39,"Ian Poulter",57,NA,377,14,5,"Approachesfrom100125yardsRgh",2014
41,41,"Brendon Todd",108,NA,815.167,30,6,"Approachesfrom100125yardsRgh",2014
42,42,"Sangmoon Bae",76,NA,845.5,31,2,"Approachesfrom100125yardsRgh",2014
43,43,"Bill Haas",107,NA,602.75,22,-2,"Approachesfrom100125yardsRgh",2014
43,43,"Russell Henley",92,NA,686,25,0,"Approachesfrom100125yardsRgh",2014
43,43,"DH Lee",54,NA,465.917,17,0,"Approachesfrom100125yardsRgh",2014
43,43,"Geoff Ogilvy",84,NA,1043,38,0,"Approachesfrom100125yardsRgh",2014
43,43,"Vijay Singh",83,NA,930.75,34,-1,"Approachesfrom100125yardsRgh",2014
48,48,"Charles Howell III",106,NA,1400.917,51,-6,"Approachesfrom100125yardsRgh",2014
49,49,"Ricky Barnes",92,NA,913,33,-5,"Approachesfrom100125yardsRgh",2014
49,49,"Dustin Johnson",58,NA,498.25,18,-4,"Approachesfrom100125yardsRgh",2014
49,49,"Marc Leishman",81,NA,637.167,23,-2,"Approachesfrom100125yardsRgh",2014
49,49,"John Rollins",84,NA,719.25,26,-6,"Approachesfrom100125yardsRgh",2014
53,53,"KJ Choi",80,NA,835.333,30,-2,"Approachesfrom100125yardsRgh",2014
53,53,"Brooks Koepka",56,NA,611.417,22,2,"Approachesfrom100125yardsRgh",2014
53,53,"David Lingmerth",80,NA,1058.667,38,2,"Approachesfrom100125yardsRgh",2014
53,53,"Mike Weir",69,NA,863.75,31,2,"Approachesfrom100125yardsRgh",2014
57,57,"YE Yang",79,NA,670.083,24,8,"Approachesfrom100125yardsRgh",2014
58,58,"Ryan Palmer",85,NA,1258.667,45,-8,"Approachesfrom100125yardsRgh",2014
