"BogeyAvoidance_RANKTHISWEEK_2016","BogeyAvoidance_RANKLASTWEEK_2016","BogeyAvoidance_PLAYERNAME_2016","BogeyAvoidance_ROUNDS_2016","BogeyAvoidance_PctMAKESBOGEY_2016","BogeyAvoidance_BOGEYS_2016","BogeyAvoidance_HOLESPLAYED_2016","stat_name","year"
1,1,"Rickie Fowler",42,11.68,82,702,"BogeyAvoidance",2016
2,4,"Russell Knox",48,12.35,100,810,"BogeyAvoidance",2016
3,7,"Lucas Glover",53,12.37,118,954,"BogeyAvoidance",2016
4,5,"Tim Wilkinson",40,12.78,92,720,"BogeyAvoidance",2016
5,2,"Luke Donald",49,12.93,114,882,"BogeyAvoidance",2016
6,9,"Russell Henley",42,12.96,98,756,"BogeyAvoidance",2016
7,3,"Charles Howell III",63,13.05,148,1134,"BogeyAvoidance",2016
8,10,"Jerry Kelly",44,13.13,104,792,"BogeyAvoidance",2016
9,6,"Patrick Reed",53,13.15,116,882,"BogeyAvoidance",2016
10,15,"Phil Mickelson",37,13.24,81,612,"BogeyAvoidance",2016
11,13,"Branden Grace",31,13.29,67,504,"BogeyAvoidance",2016
12,14,"Marc Leishman",41,13.3,91,684,"BogeyAvoidance",2016
13,8,"Alex Cejka",47,13.36,113,846,"BogeyAvoidance",2016
14,16,"Brandt Snedeker",47,13.57,105,774,"BogeyAvoidance",2016
15,18,"Chez Reavie",56,13.59,137,1008,"BogeyAvoidance",2016
16,21,"Charl Schwartzel",29,13.68,64,468,"BogeyAvoidance",2016
17,24,"KJ Choi",47,13.95,118,846,"BogeyAvoidance",2016
18,26,"Bryce Molder",50,14,126,900,"BogeyAvoidance",2016
19,17,"Bill Haas",42,14.04,96,684,"BogeyAvoidance",2016
20,27,"Aaron Baddeley",51,14.05,129,918,"BogeyAvoidance",2016
21,30,"Freddie Jacobson",54,14.09,137,972,"BogeyAvoidance",2016
22,23,"Jamie Lovemark",57,14.13,145,1026,"BogeyAvoidance",2016
23,27,"Roberto Castro",55,14.14,140,990,"BogeyAvoidance",2016
24,22,"Colt Knost",56,14.19,143,1008,"BogeyAvoidance",2016
25,33,"Bubba Watson",30,14.2,69,486,"BogeyAvoidance",2016
26,34,"David Hearn",55,14.24,141,990,"BogeyAvoidance",2016
27,20,"Jason Bohn",37,14.26,95,666,"BogeyAvoidance",2016
28,35,"Kevin Na",52,14.29,126,882,"BogeyAvoidance",2016
28,11,"Jhonattan Vegas",49,14.29,126,882,"BogeyAvoidance",2016
30,38,"Matt Kuchar",46,14.42,109,756,"BogeyAvoidance",2016
31,30,"Sean OHair",45,14.44,117,810,"BogeyAvoidance",2016
32,32,"William McGirt",54,14.51,141,972,"BogeyAvoidance",2016
33,19,"Brian Stuard",24,14.58,63,432,"BogeyAvoidance",2016
34,45,"Chris Kirk",51,14.61,121,828,"BogeyAvoidance",2016
34,29,"Spencer Levin",62,14.61,163,1116,"BogeyAvoidance",2016
36,12,"David Toms",38,14.62,100,684,"BogeyAvoidance",2016
37,39,"Hideki Matsuyama",40,14.71,98,666,"BogeyAvoidance",2016
38,48,"Jason Day",36,14.75,77,522,"BogeyAvoidance",2016
39,25,"Henrik Norlander",41,14.77,109,738,"BogeyAvoidance",2016
40,37,"Adam Scott",39,14.81,96,648,"BogeyAvoidance",2016
41,47,"Patton Kizzire",57,14.88,142,954,"BogeyAvoidance",2016
42,48,"Ricky Barnes",57,14.91,153,1026,"BogeyAvoidance",2016
43,67,"Justin Rose",35,14.93,86,576,"BogeyAvoidance",2016
44,36,"Jason Kokrak",52,14.96,140,936,"BogeyAvoidance",2016
45,52,"Daniel Berger",52,14.97,132,882,"BogeyAvoidance",2016
46,53,"Zac Blair",56,14.98,151,1008,"BogeyAvoidance",2016
47,39,"Si Woo Kim",63,14.99,170,1134,"BogeyAvoidance",2016
48,55,"Jordan Spieth",34,15,81,540,"BogeyAvoidance",2016
49,43,"Nick Taylor",57,15.01,154,1026,"BogeyAvoidance",2016
50,41,"Chad Campbell",54,15.02,146,972,"BogeyAvoidance",2016
51,57,"John Huh",51,15.03,138,918,"BogeyAvoidance",2016
52,46,"Thomas Aiken",42,15.08,114,756,"BogeyAvoidance",2016
53,59,"Dustin Johnson",37,15.1,87,576,"BogeyAvoidance",2016
54,60,"Sergio Garcia",28,15.11,68,450,"BogeyAvoidance",2016
55,61,"Smylie Kaufman",57,15.12,147,972,"BogeyAvoidance",2016
56,62,"Andres Romero",22,15.15,60,396,"BogeyAvoidance",2016
57,50,"Kevin Chappell",49,15.19,134,882,"BogeyAvoidance",2016
57,63,"Graeme McDowell",33,15.19,82,540,"BogeyAvoidance",2016
59,44,"Paul Casey",39,15.28,99,648,"BogeyAvoidance",2016
59,80,"Brendan Steele",48,15.28,132,864,"BogeyAvoidance",2016
59,67,"Johnson Wagner",44,15.28,121,792,"BogeyAvoidance",2016
62,56,"Patrick Rodgers",49,15.31,135,882,"BogeyAvoidance",2016
63,54,"Retief Goosen",37,15.32,102,666,"BogeyAvoidance",2016
64,74,"Shane Bertsch",30,15.37,83,540,"BogeyAvoidance",2016
64,41,"Rory McIlroy",37,15.37,83,540,"BogeyAvoidance",2016
66,71,"Adam Hadwin",53,15.41,147,954,"BogeyAvoidance",2016
67,93,"Gary Woodland",45,15.43,125,810,"BogeyAvoidance",2016
68,75,"Jon Curran",55,15.45,153,990,"BogeyAvoidance",2016
68,66,"Mark Hubbard",73,15.45,203,1314,"BogeyAvoidance",2016
70,84,"Fabian Gomez",49,15.46,128,828,"BogeyAvoidance",2016
71,82,"Steve Stricker",25,15.56,70,450,"BogeyAvoidance",2016
71,82,"Bernd Wiesberger",23,15.56,56,360,"BogeyAvoidance",2016
73,63,"Luke List",51,15.58,143,918,"BogeyAvoidance",2016
73,77,"Jeff Overton",51,15.58,143,918,"BogeyAvoidance",2016
75,72,"Martin Piller",37,15.62,104,666,"BogeyAvoidance",2016
76,58,"Tony Finau",49,15.65,138,882,"BogeyAvoidance",2016
77,65,"Brendon de Jonge",55,15.66,155,990,"BogeyAvoidance",2016
77,90,"Cameron Percy",22,15.66,62,396,"BogeyAvoidance",2016
