"NonmemberEarnings_RANKTHISWEEK_2009","NonmemberEarnings_RANKLASTWEEK_2009","NonmemberEarnings_PLAYERNAME_2009","NonmemberEarnings_EVENTS_2009","NonmemberEarnings_MONEY_2009","NonmemberEarnings_TOTAL_2009","stat_name","year"
1,1,"Henrik Stenson",10,2550185,2697810,"NonmemberEarnings",2009
2,2,"Lee Westwood",8,1085414,1379964,"NonmemberEarnings",2009
3,3,"Rory McIlroy",11,849719,1239111,"NonmemberEarnings",2009
4,4,"Graeme McDowell",11,645516,780141,"NonmemberEarnings",2009
5,5,"Rickie Fowler",6,571090,571090,"NonmemberEarnings",2009
6,6,"Ross Fisher",10,544547,1142547,"NonmemberEarnings",2009
7,7,"Martin Kaymer",11,454657,656407,"NonmemberEarnings",2009
8,8,"Jamie Lovemark",5,453872,453872,"NonmemberEarnings",2009
9,9,"Soren Hansen",8,432644,617536,"NonmemberEarnings",2009
10,10,"Chris Wood",2,428442,428442,"NonmemberEarnings",2009
11,11,"Jeev Milkha Singh",15,378686,824436,"NonmemberEarnings",2009
12,12,"Shingo Katayama",6,360000,544500,"NonmemberEarnings",2009
13,13,"Danny Lee",12,359846,406346,"NonmemberEarnings",2009
14,14,"Francesco Molinari",4,304368,304368,"NonmemberEarnings",2009
15,15,"Soren Kjeldsen",7,280919,557669,"NonmemberEarnings",2009
16,16,"Oliver Wilson",9,229273,756773,"NonmemberEarnings",2009
17,17,"Kevin Chappell",3,197488,197488,"NonmemberEarnings",2009
18,18,"Peter Hanson",5,159459,357959,"NonmemberEarnings",2009
19,19,"Miguel Angel Jimenez",8,148099,493682,"NonmemberEarnings",2009
20,20,"Thomas Aiken",3,147172,339672,"NonmemberEarnings",2009
21,21,"Todd Fischer",3,136701,136701,"NonmemberEarnings",2009
22,22,"Kyle Stanley",7,132039,132039,"NonmemberEarnings",2009
23,23,"Robert Karlsson",6,130237,243737,"NonmemberEarnings",2009
24,24,"Chris Baryla",3,123038,123038,"NonmemberEarnings",2009
25,25,"Thongchai Jaidee",4,114601,157351,"NonmemberEarnings",2009
26,26,"Thomas Levet",3,80755,80755,"NonmemberEarnings",2009
27,27,"Charl Schwartzel",6,76741,171741,"NonmemberEarnings",2009
28,28,"Johan Edfors",3,74336,74336,"NonmemberEarnings",2009
29,29,"Jose Manuel Lara",2,72000,72000,"NonmemberEarnings",2009
30,30,"Azuma Yano",4,71485,107485,"NonmemberEarnings",2009
31,31,"Gonzalo Fdez Castano",5,70617,108867,"NonmemberEarnings",2009
32,32,"Richard Sterne",8,66518,185268,"NonmemberEarnings",2009
33,33,"Alvaro Quiros",9,65579,298846,"NonmemberEarnings",2009
34,34,"Tadd Fujikawa",4,61892,61892,"NonmemberEarnings",2009
