"Top5FinalRoundPerformance_RANKTHISWEEK_2006","Top5FinalRoundPerformance_RANKLASTWEEK_2006","Top5FinalRoundPerformance_PLAYERNAME_2006","Top5FinalRoundPerformance_EVENTS_2006","Top5FinalRoundPerformance_PctTIMESIMPROVED_2006","Top5FinalRoundPerformance_OFTIMESIMPROVED_2006","stat_name","year"
1,NA,"Stuart Appleby",23,100,2,"Top5FinalRoundPerformance",2006
1,NA,"Eric Axley",29,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Aaron Baddeley",25,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Craig Barlow",22,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Jeff Brehaut",33,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Chad Campbell",25,100,4,"Top5FinalRoundPerformance",2006
1,NA,"Alex Cejka",30,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Fred Couples",17,100,2,"Top5FinalRoundPerformance",2006
1,NA,"Kris Cox",28,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Ben Curtis",26,100,2,"Top5FinalRoundPerformance",2006
1,NA,"Chris DiMarco",26,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Joe Durant",28,100,4,"Top5FinalRoundPerformance",2006
1,NA,"Bob Estes",25,100,2,"Top5FinalRoundPerformance",2006
1,NA,"Robert Garrigus",28,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Mathew Goggin",26,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Paul Goydos",24,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Mathias Gronberg",30,100,1,"Top5FinalRoundPerformance",2006
1,NA,"JP Hayes",19,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Freddie Jacobson",18,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Lee Janzen",28,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Richard Johnson",29,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Jerry Kelly",31,100,3,"Top5FinalRoundPerformance",2006
1,NA,"Tom Lehman",20,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Frank Lickliter II",29,100,2,"Top5FinalRoundPerformance",2006
1,NA,"Davis Love III",23,100,3,"Top5FinalRoundPerformance",2006
1,NA,"Will Ma Kenzie",29,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Billy Mayfair",29,100,2,"Top5FinalRoundPerformance",2006
1,NA,"Ryan Moore",22,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Sean OHair",30,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Arron Oberholser",23,100,1,"Top5FinalRoundPerformance",2006
1,NA,"Jose Maria Olazabal",18,100,1,"Top5FinalRoundPerformance",2006
