"OnePuttPercentageRound2_RANKTHISWEEK_2015","OnePuttPercentageRound2_RANKLASTWEEK_2015","OnePuttPercentageRound2_PLAYERNAME_2015","OnePuttPercentageRound2__2015","OnePuttPercentageRound2_Pct_2015","OnePuttPercentageRound2_OF1PUTTS_2015","OnePuttPercentageRound2_OFHOLES_2015","stat_name","year"
1,1,"Andrew Putnam",NA,46.72,185,396,"OnePuttPercentageRound2",2015
2,2,"Jordan Spieth",NA,46.3,200,432,"OnePuttPercentageRound2",2015
3,3,"Matt Jones",NA,46.06,199,432,"OnePuttPercentageRound2",2015
3,3,"Jerry Kelly",NA,46.06,199,432,"OnePuttPercentageRound2",2015
5,5,"Morgan Hoffmann",NA,45.56,205,450,"OnePuttPercentageRound2",2015
6,6,"Bryce Molder",NA,44.89,202,450,"OnePuttPercentageRound2",2015
7,7,"Steven Bowditch",NA,44.62,249,558,"OnePuttPercentageRound2",2015
8,8,"Brendon Todd",NA,44.23,207,468,"OnePuttPercentageRound2",2015
9,9,"Cameron Tringale",NA,43.65,220,504,"OnePuttPercentageRound2",2015
10,10,"Luke Guthrie",NA,43.59,204,468,"OnePuttPercentageRound2",2015
11,11,"Jeff Overton",NA,43.3,226,522,"OnePuttPercentageRound2",2015
12,12,"Daniel Summerhays",NA,42.91,224,522,"OnePuttPercentageRound2",2015
13,13,"JB Holmes",NA,42.82,185,432,"OnePuttPercentageRound2",2015
14,14,"Jason Bohn",NA,42.8,208,486,"OnePuttPercentageRound2",2015
15,15,"Troy Merritt",NA,42.72,223,522,"OnePuttPercentageRound2",2015
16,16,"Greg Chalmers",NA,42.71,123,288,"OnePuttPercentageRound2",2015
17,17,"Jason Day",NA,42.69,146,342,"OnePuttPercentageRound2",2015
18,18,"Charley Hoffman",NA,42.59,207,486,"OnePuttPercentageRound2",2015
19,19,"Ricky Barnes",NA,42.52,199,468,"OnePuttPercentageRound2",2015
20,20,"Jimmy Walker",NA,42.51,176,414,"OnePuttPercentageRound2",2015
21,21,"Jamie Donaldson",NA,42.46,107,252,"OnePuttPercentageRound2",2015
22,22,"Matt Kuchar",NA,42.36,183,432,"OnePuttPercentageRound2",2015
23,23,"Sean OHair",NA,42.31,198,468,"OnePuttPercentageRound2",2015
23,23,"Brandt Snedeker",NA,42.31,198,468,"OnePuttPercentageRound2",2015
25,25,"Nick Taylor",NA,42.26,213,504,"OnePuttPercentageRound2",2015
26,26,"Jonas Blixt",NA,42.22,190,450,"OnePuttPercentageRound2",2015
26,26,"Justin Thomas",NA,42.22,228,540,"OnePuttPercentageRound2",2015
28,28,"Scott Piercy",NA,42.18,205,486,"OnePuttPercentageRound2",2015
29,29,"Sangmoon Bae",NA,42.15,220,522,"OnePuttPercentageRound2",2015
30,30,"Fabian Gomez",NA,42.09,197,468,"OnePuttPercentageRound2",2015
31,31,"John Huh",NA,42.04,227,540,"OnePuttPercentageRound2",2015
32,32,"Brendan Steele",NA,42.03,174,414,"OnePuttPercentageRound2",2015
33,33,"Zac Blair",NA,42.01,242,576,"OnePuttPercentageRound2",2015
