"VictoryLeaders_RANKTHISWEEK_2008","VictoryLeaders_RANKLASTWEEK_2008","VictoryLeaders_PLAYERNAME_2008","VictoryLeaders_EVENTS_2008","VictoryLeaders_VICTORIES_2008","stat_name","year"
1,1,"Tiger Woods",6,4,"VictoryLeaders",2008
2,2,"Kenny Perry",26,3,"VictoryLeaders",2008
2,2,"Vijay Singh",23,3,"VictoryLeaders",2008
4,4,"Padraig Harrington",15,2,"VictoryLeaders",2008
4,4,"Anthony Kim",22,2,"VictoryLeaders",2008
4,4,"Phil Mickelson",21,2,"VictoryLeaders",2008
4,4,"Camilo Villegas",22,2,"VictoryLeaders",2008
8,8,"Cameron Beckman",29,1,"VictoryLeaders",2008
8,8,"KJ Choi",21,1,"VictoryLeaders",2008
8,8,"Daniel Chopra",27,1,"VictoryLeaders",2008
8,8,"Stewart Cink",23,1,"VictoryLeaders",2008
8,8,"Ernie Els",16,1,"VictoryLeaders",2008
8,8,"Sergio Garcia",19,1,"VictoryLeaders",2008
8,8,"Brian Gay",31,1,"VictoryLeaders",2008
8,8,"JB Holmes",26,1,"VictoryLeaders",2008
8,8,"Ryuji Imada",25,1,"VictoryLeaders",2008
8,8,"Trevor Immelman",22,1,"VictoryLeaders",2008
8,8,"Zach Johnson",25,1,"VictoryLeaders",2008
8,8,"Richard Johnson",21,1,"VictoryLeaders",2008
8,8,"Dustin Johnson",30,1,"VictoryLeaders",2008
8,8,"Greg Kraft",21,1,"VictoryLeaders",2008
8,8,"Justin Leonard",25,1,"VictoryLeaders",2008
8,8,"Davis Love III",23,1,"VictoryLeaders",2008
8,8,"Steve Lowery",25,1,"VictoryLeaders",2008
8,8,"Will Ma Kenzie",21,1,"VictoryLeaders",2008
8,8,"Parker McLachlin",27,1,"VictoryLeaders",2008
8,8,"Sean OHair",25,1,"VictoryLeaders",2008
8,8,"Geoff Ogilvy",20,1,"VictoryLeaders",2008
8,8,"Ryan Palmer",22,1,"VictoryLeaders",2008
8,8,"Carl Pettersson",29,1,"VictoryLeaders",2008
8,8,"Chez Reavie",30,1,"VictoryLeaders",2008
8,8,"Andres Romero",20,1,"VictoryLeaders",2008
8,8,"Adam Scott",15,1,"VictoryLeaders",2008
8,8,"DJ Trahan",27,1,"VictoryLeaders",2008
8,8,"Marc Turnesa",29,1,"VictoryLeaders",2008
8,8,"Johnson Wagner",26,1,"VictoryLeaders",2008
8,8,"Boo Weekley",24,1,"VictoryLeaders",2008
38,38,"Matthew Achatz",0,NA,"VictoryLeaders",2008
38,38,"Pablo Acuna",0,NA,"VictoryLeaders",2008
38,38,"Brad Adamonis",29,NA,"VictoryLeaders",2008
38,38,"Mitch Adcock",1,NA,"VictoryLeaders",2008
38,38,"Felipe Aguilar",0,NA,"VictoryLeaders",2008
38,38,"Thomas Aiken",1,NA,"VictoryLeaders",2008
38,38,"Tyler Aldridge",0,NA,"VictoryLeaders",2008
38,38,"Lonny Alexander",2,NA,"VictoryLeaders",2008
38,38,"Steve Allan",21,NA,"VictoryLeaders",2008
38,38,"Fulton Allem",1,NA,"VictoryLeaders",2008
38,38,"Michael Allen",28,NA,"VictoryLeaders",2008
38,38,"Robert Allenby",28,NA,"VictoryLeaders",2008
38,38,"Jason Allred",23,NA,"VictoryLeaders",2008
38,38,"Max Alveiro",1,NA,"VictoryLeaders",2008
38,38,"Stephen Ames",24,NA,"VictoryLeaders",2008
38,38,"Billy Andrade",24,NA,"VictoryLeaders",2008
38,38,"Stuart Appleby",23,NA,"VictoryLeaders",2008
38,38,"Peter Appleyard",1,NA,"VictoryLeaders",2008
38,38,"Alex Aragon",2,NA,"VictoryLeaders",2008
38,38,"Philip Archer",2,NA,"VictoryLeaders",2008
38,38,"Tommy Armour III",25,NA,"VictoryLeaders",2008
38,38,"Ryan Armour",32,NA,"VictoryLeaders",2008
38,38,"Sam Arnold",1,NA,"VictoryLeaders",2008
38,38,"Woody Austin",30,NA,"VictoryLeaders",2008
38,38,"Clint Avret",1,NA,"VictoryLeaders",2008
38,38,"Eric Axley",35,NA,"VictoryLeaders",2008
38,38,"Paul Azinger",9,NA,"VictoryLeaders",2008
38,38,"Aaron Baddeley",22,NA,"VictoryLeaders",2008
38,38,"Sangmoon Bae",0,NA,"VictoryLeaders",2008
38,38,"Briny Baird",30,NA,"VictoryLeaders",2008
