"ApproachesRightRoughRTPScore_RANKTHISWEEK_2013","ApproachesRightRoughRTPScore_RANKLASTWEEK_2013","ApproachesRightRoughRTPScore_PLAYERNAME_2013","ApproachesRightRoughRTPScore_ROUNDS_2013","ApproachesRightRoughRTPScore_AVGRTP_2013","stat_name","year"
1,1,"Webb Simpson",92,-0.075,"ApproachesRightRoughRTPScore",2013
2,2,"Steve Stricker",51,-0.054,"ApproachesRightRoughRTPScore",2013
3,3,"Luke List",65,-0.048,"ApproachesRightRoughRTPScore",2013
4,4,"Russell Henley",80,-0.025,"ApproachesRightRoughRTPScore",2013
5,5,"Cameron Percy",68,-0.018,"ApproachesRightRoughRTPScore",2013
6,6,"Jordan Spieth",82,-0.017,"ApproachesRightRoughRTPScore",2013
7,7,"Jason Day",86,-0.008,"ApproachesRightRoughRTPScore",2013
7,7,"Graham DeLaet",94,-0.008,"ApproachesRightRoughRTPScore",2013
7,7,"Chris Stroud",88,-0.008,"ApproachesRightRoughRTPScore",2013
10,10,"Bill Haas",85,0,"ApproachesRightRoughRTPScore",2013
11,11,"Stephen Ames",49,0.011,"ApproachesRightRoughRTPScore",2013
12,12,"Harris English",95,0.012,"ApproachesRightRoughRTPScore",2013
13,13,"Jimmy Walker",84,0.013,"ApproachesRightRoughRTPScore",2013
14,14,"Martin Flores",83,0.014,"ApproachesRightRoughRTPScore",2013
15,15,"Charles Howell III",87,0.015,"ApproachesRightRoughRTPScore",2013
16,16,"Luke Guthrie",82,0.026,"ApproachesRightRoughRTPScore",2013
17,17,"Sergio Garcia",65,0.027,"ApproachesRightRoughRTPScore",2013
18,18,"Freddie Jacobson",63,0.028,"ApproachesRightRoughRTPScore",2013
18,18,"Adam Scott",61,0.028,"ApproachesRightRoughRTPScore",2013
20,20,"DA Points",87,0.03,"ApproachesRightRoughRTPScore",2013
21,21,"Josh Teater",86,0.031,"ApproachesRightRoughRTPScore",2013
22,22,"Charley Hoffman",84,0.033,"ApproachesRightRoughRTPScore",2013
22,22,"Camilo Villegas",79,0.033,"ApproachesRightRoughRTPScore",2013
24,24,"Shawn Stefani",63,0.034,"ApproachesRightRoughRTPScore",2013
25,25,"Richard Lee",81,0.037,"ApproachesRightRoughRTPScore",2013
26,26,"Phil Mickelson",78,0.038,"ApproachesRightRoughRTPScore",2013
27,27,"Dustin Johnson",71,0.04,"ApproachesRightRoughRTPScore",2013
28,28,"Ernie Els",63,0.045,"ApproachesRightRoughRTPScore",2013
29,29,"Keegan Bradley",88,0.046,"ApproachesRightRoughRTPScore",2013
30,30,"Tim Clark",64,0.048,"ApproachesRightRoughRTPScore",2013
30,30,"Justin Rose",62,0.048,"ApproachesRightRoughRTPScore",2013
32,32,"Andres Romero",63,0.052,"ApproachesRightRoughRTPScore",2013
33,33,"Zach Johnson",84,0.053,"ApproachesRightRoughRTPScore",2013
33,33,"Kyle Stanley",71,0.053,"ApproachesRightRoughRTPScore",2013
35,35,"Kevin Streelman",86,0.056,"ApproachesRightRoughRTPScore",2013
36,36,"Rickie Fowler",75,0.058,"ApproachesRightRoughRTPScore",2013
37,37,"Nicholas Thompson",99,0.063,"ApproachesRightRoughRTPScore",2013
37,37,"Cameron Tringale",80,0.063,"ApproachesRightRoughRTPScore",2013
39,39,"Scott Piercy",78,0.064,"ApproachesRightRoughRTPScore",2013
40,40,"Matt Jones",83,0.066,"ApproachesRightRoughRTPScore",2013
41,41,"KJ Choi",85,0.068,"ApproachesRightRoughRTPScore",2013
42,42,"Patrick Reed",83,0.069,"ApproachesRightRoughRTPScore",2013
43,43,"Scott Gardiner",61,0.07,"ApproachesRightRoughRTPScore",2013
43,43,"Johnson Wagner",64,0.07,"ApproachesRightRoughRTPScore",2013
45,45,"Hunter Mahan",91,0.072,"ApproachesRightRoughRTPScore",2013
46,46,"John Merrick",79,0.078,"ApproachesRightRoughRTPScore",2013
47,47,"David Lingmerth",68,0.08,"ApproachesRightRoughRTPScore",2013
48,48,"Chris Kirk",89,0.081,"ApproachesRightRoughRTPScore",2013
49,49,"Brendon de Jonge",110,0.082,"ApproachesRightRoughRTPScore",2013
50,50,"Michael Bradley",56,0.085,"ApproachesRightRoughRTPScore",2013
51,51,"Bob Estes",66,0.086,"ApproachesRightRoughRTPScore",2013
