"LateRound1ScoringAverage_RANKTHISWEEK_2015","LateRound1ScoringAverage_RANKLASTWEEK_2015","LateRound1ScoringAverage_PLAYERNAME_2015","LateRound1ScoringAverage__2015","LateRound1ScoringAverage_AVG_2015","LateRound1ScoringAverage_TOTALSTROKES_2015","LateRound1ScoringAverage_TOTALROUNDS_2015","stat_name","year"
1,1,"Bubba Watson",NA,67.5,540,8,"LateRound1ScoringAverage",2015
2,2,"Sergio Garcia",NA,68.5,274,4,"LateRound1ScoringAverage",2015
3,3,"Harris English",NA,68.81,1101,16,"LateRound1ScoringAverage",2015
4,4,"JB Holmes",NA,69,483,7,"LateRound1ScoringAverage",2015
5,5,"Brendon de Jonge",NA,69.17,1245,18,"LateRound1ScoringAverage",2015
5,5,"Jordan Spieth",NA,69.17,830,12,"LateRound1ScoringAverage",2015
7,7,"Ryan Palmer",NA,69.18,761,11,"LateRound1ScoringAverage",2015
8,8,"Stewart Cink",NA,69.22,623,9,"LateRound1ScoringAverage",2015
9,9,"Chad Collins",NA,69.31,901,13,"LateRound1ScoringAverage",2015
10,10,"Patrick Reed",NA,69.45,764,11,"LateRound1ScoringAverage",2015
11,11,"Martin Laird",NA,69.5,695,10,"LateRound1ScoringAverage",2015
11,11,"Hideki Matsuyama",NA,69.5,556,8,"LateRound1ScoringAverage",2015
13,13,"Jason Kokrak",NA,69.53,1043,15,"LateRound1ScoringAverage",2015
14,14,"Justin Thomas",NA,69.59,1183,17,"LateRound1ScoringAverage",2015
15,15,"Aaron Baddeley",NA,69.6,696,10,"LateRound1ScoringAverage",2015
16,16,"Brian Harman",NA,69.67,836,12,"LateRound1ScoringAverage",2015
17,17,"Zach Johnson",NA,69.69,1115,16,"LateRound1ScoringAverage",2015
18,18,"Mark Hubbard",NA,69.75,837,12,"LateRound1ScoringAverage",2015
18,18,"Michael Thompson",NA,69.75,837,12,"LateRound1ScoringAverage",2015
20,20,"Matt Kuchar",NA,69.8,698,10,"LateRound1ScoringAverage",2015
21,21,"Jonathan Byrd",NA,69.85,908,13,"LateRound1ScoringAverage",2015
22,22,"Paul Casey",NA,69.9,699,10,"LateRound1ScoringAverage",2015
23,23,"Luke Guthrie",NA,69.91,769,11,"LateRound1ScoringAverage",2015
23,23,"Kevin Na",NA,69.91,769,11,"LateRound1ScoringAverage",2015
25,25,"David Hearn",NA,69.92,909,13,"LateRound1ScoringAverage",2015
26,26,"Jason Day",NA,70,560,8,"LateRound1ScoringAverage",2015
26,26,"John Peterson",NA,70,910,13,"LateRound1ScoringAverage",2015
28,28,"Martin Flores",NA,70.08,911,13,"LateRound1ScoringAverage",2015
29,29,"Ryo Ishikawa",NA,70.09,771,11,"LateRound1ScoringAverage",2015
29,29,"Vijay Singh",NA,70.09,771,11,"LateRound1ScoringAverage",2015
31,31,"Jim Furyk",NA,70.1,701,10,"LateRound1ScoringAverage",2015
32,32,"Pat Perez",NA,70.13,561,8,"LateRound1ScoringAverage",2015
33,33,"Chad Campbell",NA,70.14,982,14,"LateRound1ScoringAverage",2015
33,33,"Patrick Rodgers",NA,70.14,491,7,"LateRound1ScoringAverage",2015
35,35,"Alex Cejka",NA,70.15,912,13,"LateRound1ScoringAverage",2015
36,36,"Ricky Barnes",NA,70.18,772,11,"LateRound1ScoringAverage",2015
36,36,"Mark Wilson",NA,70.18,772,11,"LateRound1ScoringAverage",2015
38,38,"Daniel Summerhays",NA,70.19,1123,16,"LateRound1ScoringAverage",2015
