"PuttsMadePerEventOver10_RANKTHISWEEK_2013","PuttsMadePerEventOver10_RANKLASTWEEK_2013","PuttsMadePerEventOver10_PLAYERNAME_2013","PuttsMadePerEventOver10_ROUNDS_2013","PuttsMadePerEventOver10_PUTTSMADE_2013","stat_name","year"
1,1,"Charl Schwartzel",69,7.5,"PuttsMadePerEventOver10",2013
2,2,"Sergio Garcia",65,7,"PuttsMadePerEventOver10",2013
2,2,"Steve Stricker",51,7,"PuttsMadePerEventOver10",2013
4,4,"Billy Horschel",96,6.8,"PuttsMadePerEventOver10",2013
5,5,"Jim Furyk",80,6.7,"PuttsMadePerEventOver10",2013
5,5,"Chris Kirk",89,6.7,"PuttsMadePerEventOver10",2013
7,7,"Rickie Fowler",75,6.6,"PuttsMadePerEventOver10",2013
7,7,"Zach Johnson",84,6.6,"PuttsMadePerEventOver10",2013
9,9,"Harris English",95,6.5,"PuttsMadePerEventOver10",2013
9,9,"Adam Scott",61,6.5,"PuttsMadePerEventOver10",2013
9,9,"Jordan Spieth",82,6.5,"PuttsMadePerEventOver10",2013
12,12,"Russell Henley",80,6.4,"PuttsMadePerEventOver10",2013
12,12,"Nick Watney",88,6.4,"PuttsMadePerEventOver10",2013
14,14,"Sangmoon Bae",83,6.3,"PuttsMadePerEventOver10",2013
14,14,"Phil Mickelson",78,6.3,"PuttsMadePerEventOver10",2013
16,16,"Matt Kuchar",93,6.2,"PuttsMadePerEventOver10",2013
16,16,"Ryan Palmer",79,6.2,"PuttsMadePerEventOver10",2013
16,16,"Tiger Woods",61,6.2,"PuttsMadePerEventOver10",2013
19,19,"Luke Donald",60,6.1,"PuttsMadePerEventOver10",2013
19,19,"Martin Kaymer",61,6.1,"PuttsMadePerEventOver10",2013
19,19,"Graeme McDowell",53,6.1,"PuttsMadePerEventOver10",2013
22,22,"Jason Day",86,6,"PuttsMadePerEventOver10",2013
22,22,"Peter Hanson",45,6,"PuttsMadePerEventOver10",2013
22,22,"Brandt Snedeker",79,6,"PuttsMadePerEventOver10",2013
