"LatePar3ScoringAverage_RANKTHISWEEK_2008","LatePar3ScoringAverage_RANKLASTWEEK_2008","LatePar3ScoringAverage_PLAYERNAME_2008","LatePar3ScoringAverage_ROUNDS_2008","LatePar3ScoringAverage_AVG_2008","LatePar3ScoringAverage_TOTALSTROKES_2008","LatePar3ScoringAverage_TOTALHOLES_2008","stat_name","year"
1,1,"Corey Pavin",69,2.97,359,121,"LatePar3ScoringAverage",2008
1,1,"Jeff Quinney",87,2.97,540,182,"LatePar3ScoringAverage",2008
3,3,"Paul Goydos",78,2.98,471,158,"LatePar3ScoringAverage",2008
3,3,"Craig Kanada",65,2.98,397,133,"LatePar3ScoringAverage",2008
3,3,"Bob Tway",70,2.98,391,131,"LatePar3ScoringAverage",2008
6,6,"James Driscoll",85,2.99,478,160,"LatePar3ScoringAverage",2008
7,7,"Paul Casey",55,3,294,98,"LatePar3ScoringAverage",2008
7,7,"Brian Gay",102,3,651,217,"LatePar3ScoringAverage",2008
7,7,"Zach Johnson",85,3,474,158,"LatePar3ScoringAverage",2008
7,7,"Heath Slocum",104,3,605,202,"LatePar3ScoringAverage",2008
11,11,"Dudley Hart",74,3.01,530,176,"LatePar3ScoringAverage",2008
12,12,"Briny Baird",113,3.02,776,257,"LatePar3ScoringAverage",2008
12,12,"Olin Browne",77,3.02,426,141,"LatePar3ScoringAverage",2008
12,12,"Alex Cejka",75,3.02,456,151,"LatePar3ScoringAverage",2008
12,12,"Freddie Jacobson",78,3.02,499,165,"LatePar3ScoringAverage",2008
12,12,"Bob Sowards",61,3.02,332,110,"LatePar3ScoringAverage",2008
17,17,"Justin Bolli",87,3.03,500,165,"LatePar3ScoringAverage",2008
17,17,"Gavin Coles",54,3.03,312,103,"LatePar3ScoringAverage",2008
17,17,"Chad Collins",72,3.03,406,134,"LatePar3ScoringAverage",2008
17,17,"Marco Dawson",64,3.03,360,119,"LatePar3ScoringAverage",2008
17,17,"Glen Day",64,3.03,357,118,"LatePar3ScoringAverage",2008
17,17,"Richard Johnson",60,3.03,336,111,"LatePar3ScoringAverage",2008
17,17,"Kent Jones",68,3.03,412,136,"LatePar3ScoringAverage",2008
17,17,"Hunter Mahan",87,3.03,494,163,"LatePar3ScoringAverage",2008
17,17,"DJ Trahan",94,3.03,560,185,"LatePar3ScoringAverage",2008
26,26,"Brad Adamonis",87,3.04,599,197,"LatePar3ScoringAverage",2008
26,26,"Robert Allenby",108,3.04,688,226,"LatePar3ScoringAverage",2008
26,26,"Ken Duke",116,3.04,738,243,"LatePar3ScoringAverage",2008
26,26,"Jason Gore",94,3.04,553,182,"LatePar3ScoringAverage",2008
26,26,"Jon Mills",95,3.04,557,183,"LatePar3ScoringAverage",2008
26,26,"Nick OHern",82,3.04,490,161,"LatePar3ScoringAverage",2008
26,26,"Kevin Sutherland",98,3.04,601,198,"LatePar3ScoringAverage",2008
26,26,"Kyle Thompson",70,3.04,456,150,"LatePar3ScoringAverage",2008
26,26,"Dean Wilson",109,3.04,644,212,"LatePar3ScoringAverage",2008
26,26,"Mark Wilson",107,3.04,584,192,"LatePar3ScoringAverage",2008
26,26,"YE Yang",89,3.04,492,162,"LatePar3ScoringAverage",2008
37,37,"Steve Allan",58,3.05,360,118,"LatePar3ScoringAverage",2008
37,37,"Ryan Armour",87,3.05,479,157,"LatePar3ScoringAverage",2008
37,37,"Shane Bertsch",96,3.05,576,189,"LatePar3ScoringAverage",2008
37,37,"Jason Day",81,3.05,531,174,"LatePar3ScoringAverage",2008
37,37,"Steve Elkington",84,3.05,501,164,"LatePar3ScoringAverage",2008
37,37,"Bob Estes",90,3.05,559,183,"LatePar3ScoringAverage",2008
37,37,"Ryuji Imada",80,3.05,507,166,"LatePar3ScoringAverage",2008
37,37,"Matt Jones",95,3.05,518,170,"LatePar3ScoringAverage",2008
37,37,"Cliff Kresge",84,3.05,509,167,"LatePar3ScoringAverage",2008
37,37,"Steve Marino",119,3.05,692,227,"LatePar3ScoringAverage",2008
