"LongestDrives_RANKTHISWEEK_2010","LongestDrives_RANKLASTWEEK_2010","LongestDrives_PLAYERNAME_2010","LongestDrives_ROUNDS_2010","LongestDrives_DISTANCE_2010","LongestDrives_TOURNAMENT_2010","LongestDrives_ROUND_2010","LongestDrives_HOLE_2010","LongestDrives_COURSE_2010","stat_name","year"
1,1,"Steve Stricker",73,424,NA,2,7,656,"LongestDrives",2010
2,2,"Bubba Watson",77,416,NA,1,8,6,"LongestDrives",2010
3,3,"Boo Weekley",88,415,NA,4,16,36,"LongestDrives",2010
4,4,"Dustin Johnson",83,414,NA,3,7,656,"LongestDrives",2010
5,5,"Paul Casey",64,412,NA,4,16,36,"LongestDrives",2010
7,7,"Lucas Glover",75,406,NA,3,18,656,"LongestDrives",2010
7,7,"Nick Watney",91,406,NA,1,17,656,"LongestDrives",2010
9,9,"Angel Cabrera",64,405,NA,2,12,656,"LongestDrives",2010
9,9,"DJ Trahan",92,405,NA,1,6,771,"LongestDrives",2010
11,11,"John Daly",63,404,NA,1,8,6,"LongestDrives",2010
11,11,"Robert Garrigus",71,404,NA,4,17,660,"LongestDrives",2010
11,11,"Jeff Overton",89,404,NA,4,16,36,"LongestDrives",2010
14,14,"Ryan Palmer",84,402,NA,4,16,36,"LongestDrives",2010
17,17,"Stephen Ames",75,399,NA,3,7,656,"LongestDrives",2010
17,17,"Bo Van Pelt",104,399,NA,3,7,656,"LongestDrives",2010
17,17,"Troy Matteson",84,399,NA,4,6,656,"LongestDrives",2010
17,17,"JB Holmes",100,399,NA,4,3,19,"LongestDrives",2010
23,23,"Geoff Ogilvy",62,398,NA,3,7,656,"LongestDrives",2010
26,26,"Peter Hanson",25,397,NA,4,16,36,"LongestDrives",2010
26,26,"Sean OHair",84,397,NA,3,7,656,"LongestDrives",2010
29,29,"John Rollins",81,396,NA,2,17,656,"LongestDrives",2010
32,32,"Kenny Perry",69,395,NA,3,7,656,"LongestDrives",2010
32,32,"Ernie Els",72,395,NA,4,8,36,"LongestDrives",2010
32,32,"Retief Goosen",75,395,NA,3,7,656,"LongestDrives",2010
32,32,"Rory Sabbatini",79,395,NA,3,18,656,"LongestDrives",2010
32,32,"Zach Johnson",93,395,NA,2,17,656,"LongestDrives",2010
45,45,"Pat Perez",90,393,NA,2,12,656,"LongestDrives",2010
45,45,"YE Yang",72,393,NA,4,7,656,"LongestDrives",2010
45,45,"Ryan Moore",80,393,NA,2,7,656,"LongestDrives",2010
60,60,"Martin Laird",91,391,NA,3,18,656,"LongestDrives",2010
64,64,"Sergio Garcia",58,390,NA,4,16,36,"LongestDrives",2010
67,67,"Padraig Harrington",57,389,NA,4,16,36,"LongestDrives",2010
67,67,"Louis Oosthuizen",14,389,NA,4,8,36,"LongestDrives",2010
75,75,"Stewart Cink",84,387,NA,3,18,656,"LongestDrives",2010
75,75,"Mark Wilson",87,387,NA,1,7,656,"LongestDrives",2010
75,75,"Ross Fisher",29,387,NA,4,16,36,"LongestDrives",2010
82,82,"Mike Heinen",2,386,NA,2,17,660,"LongestDrives",2010
88,88,"Daniel Miernicki",2,385,NA,1,9,660,"LongestDrives",2010
91,91,"Charles Warren",64,384,NA,4,5,660,"LongestDrives",2010
91,91,"Kevin Streelman",90,384,NA,4,7,714,"LongestDrives",2010
91,91,"Derek Lamely",81,384,NA,3,6,771,"LongestDrives",2010
91,91,"Jason Day",82,384,NA,2,11,706,"LongestDrives",2010
97,97,"Robert Karlsson",40,383,NA,4,16,36,"LongestDrives",2010
97,97,"Matt Kuchar",97,383,NA,2,7,656,"LongestDrives",2010
104,104,"Adam Scott",70,382,NA,4,9,36,"LongestDrives",2010
104,104,"Graham DeLaet",88,382,NA,2,18,660,"LongestDrives",2010
111,111,"Matt Bettencourt",91,381,NA,4,17,660,"LongestDrives",2010
115,115,"Harrison Frazar",44,380,NA,3,4,770,"LongestDrives",2010
115,115,"Jimmy Walker",82,380,NA,3,10,19,"LongestDrives",2010
115,115,"Alvaro Quiros",27,380,NA,3,13,510,"LongestDrives",2010
125,125,"Michael Bradley",77,379,NA,1,18,656,"LongestDrives",2010
125,125,"Ted Purdy",86,379,NA,2,10,665,"LongestDrives",2010
135,135,"Heath Slocum",97,378,NA,2,12,656,"LongestDrives",2010
147,147,"Phil Mickelson",76,377,NA,1,14,8,"LongestDrives",2010
147,147,"Brandt Jobe",4,377,NA,4,1,19,"LongestDrives",2010
147,147,"Mathias Gronberg",61,377,NA,1,14,660,"LongestDrives",2010
153,153,"Jonathan Byrd",85,376,NA,2,18,730,"LongestDrives",2010
166,166,"Jerry Kelly",99,375,NA,4,18,656,"LongestDrives",2010
166,166,"George McNeill",79,375,NA,2,18,6,"LongestDrives",2010
166,166,"Hunter Mahan",85,375,NA,4,16,36,"LongestDrives",2010
166,166,"Scott Piercy",88,375,NA,2,10,734,"LongestDrives",2010
166,166,"Webb Simpson",98,375,NA,1,14,772,"LongestDrives",2010
181,181,"Marc Leishman",87,374,NA,4,10,734,"LongestDrives",2010
181,181,"Jarrod Lyle",54,374,NA,2,1,503,"LongestDrives",2010
189,189,"Davis Love III",79,373,NA,2,4,669,"LongestDrives",2010
189,189,"Brian Gay",101,373,NA,1,7,656,"LongestDrives",2010
189,189,"Miguel Angel Jimenez",21,373,NA,4,16,36,"LongestDrives",2010
189,189,"Camilo Villegas",78,373,NA,3,2,668,"LongestDrives",2010
