"Last15EventsPower_RANKTHISWEEK_2005","Last15EventsPower_RANKLASTWEEK_2005","Last15EventsPower_PLAYERNAME_2005","Last15EventsPower_EVENTS_2005","Last15EventsPower_RATING_2005","stat_name","year"
1,1,"Scott Hend",3,9.9,"Last15EventsPower",2005
2,2,"Ryan Brehm",1,9.8,"Last15EventsPower",2005
2,2,"Tiger Woods",8,9.8,"Last15EventsPower",2005
4,4,"Jim Gallagher Jr",2,9.7,"Last15EventsPower",2005
5,5,"John Daly",5,9.6,"Last15EventsPower",2005
5,5,"Hank Kuehne",6,9.6,"Last15EventsPower",2005
5,5,"Brett Wetterich",6,9.6,"Last15EventsPower",2005
8,8,"Jason Allred",1,9.5,"Last15EventsPower",2005
8,8,"Steven Bowditch",1,9.5,"Last15EventsPower",2005
8,8,"Angel Cabrera",6,9.5,"Last15EventsPower",2005
8,8,"Jason Gore",5,9.5,"Last15EventsPower",2005
8,8,"Matt Hendrix",2,9.5,"Last15EventsPower",2005
13,13,"Chris Couch",1,9.4,"Last15EventsPower",2005
14,14,"Sergio Garcia",9,9.3,"Last15EventsPower",2005
14,14,"Camilo Villegas",1,9.3,"Last15EventsPower",2005
16,16,"Ernie Els",10,9.2,"Last15EventsPower",2005
16,16,"Rick Heath",1,9.2,"Last15EventsPower",2005
16,16,"Scott Piercy",3,9.2,"Last15EventsPower",2005
19,19,"Lucas Glover",8,9.1,"Last15EventsPower",2005
19,19,"Scott Gutschewski",7,9.1,"Last15EventsPower",2005
19,19,"James McLean",1,9.1,"Last15EventsPower",2005
22,22,"Paul Casey",4,9,"Last15EventsPower",2005
22,22,"Harrison Frazar",10,9,"Last15EventsPower",2005
22,22,"Bill Haas",4,9,"Last15EventsPower",2005
22,22,"Tag Ridings",8,9,"Last15EventsPower",2005
26,27,"Kelly Grunewald",1,8.9,"Last15EventsPower",2005
26,27,"Brenden Pappas",10,8.9,"Last15EventsPower",2005
26,22,"Kenny Perry",9,8.9,"Last15EventsPower",2005
26,27,"Vijay Singh",9,8.9,"Last15EventsPower",2005
26,27,"Charles Warren",6,8.9,"Last15EventsPower",2005
31,31,"Davis Love III",7,8.8,"Last15EventsPower",2005
31,31,"Kevin Stadler",6,8.8,"Last15EventsPower",2005
31,31,"Nick Watney",5,8.8,"Last15EventsPower",2005
34,34,"Camilo Benedetti",1,8.7,"Last15EventsPower",2005
34,34,"John Elliott",3,8.7,"Last15EventsPower",2005
34,34,"Brandt Jobe",10,8.7,"Last15EventsPower",2005
34,34,"Chris Smith",10,8.7,"Last15EventsPower",2005
38,38,"Fred Couples",4,8.6,"Last15EventsPower",2005
38,38,"Mathias Gronberg",9,8.6,"Last15EventsPower",2005
38,38,"Ryan Palmer",8,8.6,"Last15EventsPower",2005
38,38,"YE Yang",1,8.6,"Last15EventsPower",2005
42,42,"Stuart Appleby",9,8.5,"Last15EventsPower",2005
42,42,"Mike Heinen",5,8.5,"Last15EventsPower",2005
42,42,"Brendan Jones",6,8.5,"Last15EventsPower",2005
42,42,"Charl Schwartzel",1,8.5,"Last15EventsPower",2005
42,42,"Jimmy Walker",4,8.5,"Last15EventsPower",2005
47,47,"Retief Goosen",9,8.4,"Last15EventsPower",2005
47,47,"Joel Kribel",2,8.4,"Last15EventsPower",2005
47,47,"Peter Tomasulo",2,8.4,"Last15EventsPower",2005
47,47,"DJ Trahan",5,8.4,"Last15EventsPower",2005
51,51,"Steve Allan",10,8.3,"Last15EventsPower",2005
51,51,"Darren Clarke",9,8.3,"Last15EventsPower",2005
51,51,"Nick Dougherty",3,8.3,"Last15EventsPower",2005
51,51,"Stephen Gallacher",1,8.3,"Last15EventsPower",2005
51,51,"Sean OHair",10,8.3,"Last15EventsPower",2005
51,51,"Marcel Siem",1,8.3,"Last15EventsPower",2005
57,57,"Rod Pampling",10,8.2,"Last15EventsPower",2005
57,57,"Michael Putnam",3,8.2,"Last15EventsPower",2005
57,57,"Adam Scott",10,8.2,"Last15EventsPower",2005
60,60,"James Driscoll",6,8.1,"Last15EventsPower",2005
60,60,"Dennis Paulson",5,8.1,"Last15EventsPower",2005
60,60,"John Rollins",9,8.1,"Last15EventsPower",2005
63,63,"Carlos Franco",9,8,"Last15EventsPower",2005
63,63,"Tetsuji Hiratsuka",1,8,"Last15EventsPower",2005
63,63,"Phil Mickelson",9,8,"Last15EventsPower",2005
66,66,"Brian Bateman",6,7.9,"Last15EventsPower",2005
66,66,"Justin Rose",10,7.9,"Last15EventsPower",2005
66,66,"Rory Sabbatini",8,7.9,"Last15EventsPower",2005
66,66,"Lee Westwood",9,7.9,"Last15EventsPower",2005
70,70,"Wes Short Jr",7,7.8,"Last15EventsPower",2005
70,70,"Henrik Stenson",2,7.8,"Last15EventsPower",2005
72,72,"Jonathan Byrd",10,7.7,"Last15EventsPower",2005
72,72,"Michael Campbell",2,7.7,"Last15EventsPower",2005
72,72,"Daniel Chopra",6,7.7,"Last15EventsPower",2005
72,72,"John Huston",8,7.7,"Last15EventsPower",2005
72,72,"Will Ma Kenzie",8,7.7,"Last15EventsPower",2005
72,72,"Mike Standly",2,7.7,"Last15EventsPower",2005
78,78,"Jason Bohn",10,7.6,"Last15EventsPower",2005
78,78,"Neal Lancaster",9,7.6,"Last15EventsPower",2005
78,78,"Michael Long",5,7.6,"Last15EventsPower",2005
81,81,"Robert Allenby",7,7.5,"Last15EventsPower",2005
81,81,"Marco Dawson",12,7.5,"Last15EventsPower",2005
81,81,"Hunter Mahan",5,7.5,"Last15EventsPower",2005
81,81,"Geoff Ogilvy",9,7.5,"Last15EventsPower",2005
81,81,"Joey Snyder III",10,7.5,"Last15EventsPower",2005
81,81,"Vance Veazey",1,7.5,"Last15EventsPower",2005
87,87,"Erik Compton",2,7.4,"Last15EventsPower",2005
87,87,"Robin Freeman",3,7.4,"Last15EventsPower",2005
87,87,"JJ Henry",10,7.4,"Last15EventsPower",2005
87,87,"Charley Hoffman",1,7.4,"Last15EventsPower",2005
87,87,"Jonathan Kaye",9,7.4,"Last15EventsPower",2005
87,87,"Greg Owen",9,7.4,"Last15EventsPower",2005
87,87,"Jesper Parnevik",10,7.4,"Last15EventsPower",2005
87,87,"Tom Purtzer",1,7.4,"Last15EventsPower",2005
95,95,"Bradley Dredge",1,7.3,"Last15EventsPower",2005
95,95,"David Duval",1,7.3,"Last15EventsPower",2005
95,95,"Trevor Immelman",5,7.3,"Last15EventsPower",2005
95,95,"Brett Quigley",6,7.3,"Last15EventsPower",2005
99,99,"Craig Barlow",7,7.2,"Last15EventsPower",2005
99,99,"David Hearn",6,7.2,"Last15EventsPower",2005
99,99,"Steve Marino",1,7.2,"Last15EventsPower",2005
99,99,"Ted Purdy",11,7.2,"Last15EventsPower",2005
99,99,"Kevin Streelman",1,7.2,"Last15EventsPower",2005
104,104,"Brad Adamonis",1,7.1,"Last15EventsPower",2005
104,104,"Mark Hensby",9,7.1,"Last15EventsPower",2005
104,104,"JL Lewis",9,7.1,"Last15EventsPower",2005
104,104,"John Senden",11,7.1,"Last15EventsPower",2005
104,104,"Bo Van Pelt",9,7.1,"Last15EventsPower",2005
109,109,"Eric Axley",1,7,"Last15EventsPower",2005
109,109,"Phil Blackmar",1,7,"Last15EventsPower",2005
109,109,"DJ Brigman",4,7,"Last15EventsPower",2005
109,109,"Dan Forsman",8,7,"Last15EventsPower",2005
109,109,"Ryuji Imada",6,7,"Last15EventsPower",2005
109,109,"Ryan Moore",8,7,"Last15EventsPower",2005
115,115,"Per Ulrik Johansson",4,6.9,"Last15EventsPower",2005
115,115,"Ian Leggatt",3,6.9,"Last15EventsPower",2005
115,115,"Peter Lonard",9,6.9,"Last15EventsPower",2005
115,115,"Steve Lowery",11,6.9,"Last15EventsPower",2005
115,115,"DA Points",8,6.9,"Last15EventsPower",2005
115,115,"Roland Thatcher",6,6.9,"Last15EventsPower",2005
121,121,"Justin Bolli",5,6.8,"Last15EventsPower",2005
121,121,"Chad Campbell",11,6.8,"Last15EventsPower",2005
121,121,"Tim Herron",11,6.8,"Last15EventsPower",2005
121,121,"Zach Johnson",6,6.8,"Last15EventsPower",2005
121,121,"Patrick Sheehan",7,6.8,"Last15EventsPower",2005
121,121,"Casey Wittenberg",3,6.8,"Last15EventsPower",2005
127,127,"Woody Austin",11,6.7,"Last15EventsPower",2005
127,127,"Niclas Fasth",3,6.7,"Last15EventsPower",2005
127,127,"Gavin Flint",1,6.7,"Last15EventsPower",2005
127,127,"Todd Hamilton",4,6.7,"Last15EventsPower",2005
127,127,"Bob Heintz",8,6.7,"Last15EventsPower",2005
127,127,"David Howell",5,6.7,"Last15EventsPower",2005
127,127,"Craig Perks",3,6.7,"Last15EventsPower",2005
134,134,"Neil Cheetham",1,6.6,"Last15EventsPower",2005
134,134,"Freddie Jacobson",8,6.6,"Last15EventsPower",2005
134,134,"Bernhard Langer",7,6.6,"Last15EventsPower",2005
134,134,"Rocco Mediate",11,6.6,"Last15EventsPower",2005
134,134,"Carl Paulson",7,6.6,"Last15EventsPower",2005
134,134,"Pat Perez",8,6.6,"Last15EventsPower",2005
134,134,"Vaughn Taylor",9,6.6,"Last15EventsPower",2005
141,141,"Arjun Atwal",14,6.5,"Last15EventsPower",2005
141,141,"Marc Cayeux",1,6.5,"Last15EventsPower",2005
141,141,"Ben Crane",10,6.5,"Last15EventsPower",2005
141,141,"Jay Delsing",9,6.5,"Last15EventsPower",2005
141,141,"Dudley Hart",8,6.5,"Last15EventsPower",2005
141,141,"Charles Howell III",7,6.5,"Last15EventsPower",2005
141,141,"Scott McCarron",7,6.5,"Last15EventsPower",2005
141,141,"Joe Ogilvie",7,6.5,"Last15EventsPower",2005
141,141,"David Roesch",1,6.5,"Last15EventsPower",2005
150,150,"Steve Flesch",4,6.4,"Last15EventsPower",2005
150,150,"Padraig Harrington",10,6.4,"Last15EventsPower",2005
152,152,"Rich Barcelo",1,6.3,"Last15EventsPower",2005
152,152,"Mark Calcavecchia",8,6.3,"Last15EventsPower",2005
152,152,"Stephen Gangluff",1,6.3,"Last15EventsPower",2005
152,152,"Shaun Micheel",6,6.3,"Last15EventsPower",2005
152,152,"Colin Montgomerie",4,6.3,"Last15EventsPower",2005
152,152,"Jyoti Randhawa",2,6.3,"Last15EventsPower",2005
152,152,"Tommy Tolles",1,6.3,"Last15EventsPower",2005
152,152,"David Toms",7,6.3,"Last15EventsPower",2005
152,152,"Don Yrene",2,6.3,"Last15EventsPower",2005
161,162,"Ted Tryba",1,6.2,"Last15EventsPower",2005
162,163,"Michael Allen",5,6.1,"Last15EventsPower",2005
162,163,"Aaron Baddeley",6,6.1,"Last15EventsPower",2005
162,163,"Rich Beem",3,6.1,"Last15EventsPower",2005
162,152,"Thomas Bjorn",1,6.1,"Last15EventsPower",2005
162,163,"Danny Ellis",7,6.1,"Last15EventsPower",2005
162,163,"Frank Lickliter II",8,6.1,"Last15EventsPower",2005
162,163,"Carl Pettersson",10,6.1,"Last15EventsPower",2005
162,163,"Joey Sindelar",13,6.1,"Last15EventsPower",2005
162,163,"Mike Small",2,6.1,"Last15EventsPower",2005
171,171,"Briny Baird",8,6,"Last15EventsPower",2005
171,171,"Michael Bradley",3,6,"Last15EventsPower",2005
171,171,"Joe Durant",8,6,"Last15EventsPower",2005
171,171,"Hunter Haas",8,6,"Last15EventsPower",2005
171,171,"Shigeki Maruyama",9,6,"Last15EventsPower",2005
171,171,"Jim Rutledge",1,6,"Last15EventsPower",2005
171,171,"Andre Stolz",3,6,"Last15EventsPower",2005
