"EaglesHolesper_RANKTHISWEEK_2012","EaglesHolesper_RANKLASTWEEK_2012","EaglesHolesper_PLAYERNAME_2012","EaglesHolesper_ROUNDS_2012","EaglesHolesper_FREQUENCY_2012","EaglesHolesper_OFHOLES_2012","EaglesHolesper_OFEAGLES_2012","stat_name","year"
1,1,"Bubba Watson",68,91.4,1188,13,"EaglesHolesper",2012
2,2,"Jonas Blixt",72,92.6,1296,14,"EaglesHolesper",2012
3,3,"Gary Woodland",70,95.5,1242,13,"EaglesHolesper",2012
4,4,"Charles Howell III",98,98,1764,18,"EaglesHolesper",2012
5,5,"Ben Crane",73,108,1296,12,"EaglesHolesper",2012
5,5,"Rory McIlroy",60,108,972,9,"EaglesHolesper",2012
7,7,"Keegan Bradley",90,113.1,1584,14,"EaglesHolesper",2012
8,8,"Robert Garrigus",89,114.4,1602,14,"EaglesHolesper",2012
9,9,"Bobby Gates",87,117.7,1530,13,"EaglesHolesper",2012
10,10,"Kyle Reifers",86,119.1,1548,13,"EaglesHolesper",2012
11,11,"Nick Watney",97,120.9,1692,14,"EaglesHolesper",2012
12,12,"Brendon de Jonge",115,121.8,2070,17,"EaglesHolesper",2012
13,13,"Scott Piercy",95,122.1,1710,14,"EaglesHolesper",2012
14,14,"Arjun Atwal",79,122.7,1350,11,"EaglesHolesper",2012
15,15,"Chris Kirk",93,123.2,1602,13,"EaglesHolesper",2012
16,16,"James Driscoll",83,124.5,1494,12,"EaglesHolesper",2012
17,17,"Edward Loar",59,128.3,1026,8,"EaglesHolesper",2012
18,18,"Brian Harman",101,129.9,1818,14,"EaglesHolesper",2012
18,18,"Jimmy Walker",101,129.9,1818,14,"EaglesHolesper",2012
20,20,"Russell Knox",72,136,1224,9,"EaglesHolesper",2012
21,21,"Angel Cabrera",54,138.9,972,7,"EaglesHolesper",2012
21,21,"Harrison Frazar",56,138.9,972,7,"EaglesHolesper",2012
23,23,"Luke Donald",63,139.5,1116,8,"EaglesHolesper",2012
24,24,"Scott Stallings",78,140.4,1404,10,"EaglesHolesper",2012
25,25,"Scott Brown",65,141.8,1134,8,"EaglesHolesper",2012
26,26,"Graham DeLaet",79,142.2,1422,10,"EaglesHolesper",2012
27,27,"Charley Hoffman",88,144,1584,11,"EaglesHolesper",2012
27,27,"Troy Kelly",68,144,1152,8,"EaglesHolesper",2012
29,29,"Charlie Beljan",61,146.6,1026,7,"EaglesHolesper",2012
29,29,"Garth Mulroy",59,146.6,1026,7,"EaglesHolesper",2012
31,31,"Adam Scott",59,149.1,1044,7,"EaglesHolesper",2012
