"TotalDriving_RANKTHISWEEK_2013","TotalDriving_RANKLASTWEEK_2013","TotalDriving_PLAYERNAME_2013","TotalDriving_EVENTS_2013","TotalDriving_TOTAL_2013","TotalDriving_DISTANCERANK_2013","TotalDriving_ACCURACYRANK_2013","stat_name","year"
1,1,"Graham DeLaet",26,53,19,34,"TotalDriving",2013
2,2,"Keegan Bradley",25,72,11,61,"TotalDriving",2013
3,3,"Henrik Stenson",18,73,66,7,"TotalDriving",2013
4,4,"Justin Rose",17,79,27,52,"TotalDriving",2013
5,5,"Jim Herman",19,82,17,65,"TotalDriving",2013
6,6,"Billy Horschel",26,92,42,50,"TotalDriving",2013
7,7,"Boo Weekley",27,94,66,28,"TotalDriving",2013
8,8,"Hunter Mahan",25,98,73,25,"TotalDriving",2013
8,8,"Jordan Spieth",23,98,80,18,"TotalDriving",2013
10,10,"DJ Trahan",16,99,46,53,"TotalDriving",2013
11,11,"Brandt Jobe",19,100,57,43,"TotalDriving",2013
12,12,"Matt Jones",24,101,56,45,"TotalDriving",2013
13,13,"Nicholas Thompson",29,105,60,45,"TotalDriving",2013
14,14,"Adam Scott",16,107,23,84,"TotalDriving",2013
15,15,"Vaughn Taylor",16,112,75,37,"TotalDriving",2013
16,16,"Kevin Streelman",25,117,94,23,"TotalDriving",2013
17,17,"Tiger Woods",16,118,49,69,"TotalDriving",2013
18,18,"Kevin Stadler",25,124,75,49,"TotalDriving",2013
19,19,"Steve Stricker",13,127,124,3,"TotalDriving",2013
20,20,"Lucas Glover",23,128,43,85,"TotalDriving",2013
21,21,"Russell Henley",24,130,83,47,"TotalDriving",2013
22,22,"Bubba Watson",21,131,5,126,"TotalDriving",2013
23,23,"Brendon de Jonge",30,133,104,29,"TotalDriving",2013
24,24,"Chez Reavie",22,134,128,6,"TotalDriving",2013
25,25,"Lee Westwood",19,135,69,66,"TotalDriving",2013
26,26,"Nick Watney",26,136,63,73,"TotalDriving",2013
27,27,"Kevin Chappell",24,139,52,87,"TotalDriving",2013
