"DrivingAccuracyPercentage_RANKTHISWEEK_2006","DrivingAccuracyPercentage_RANKLASTWEEK_2006","DrivingAccuracyPercentage_PLAYERNAME_2006","DrivingAccuracyPercentage_ROUNDS_2006","DrivingAccuracyPercentage_Pct_2006","DrivingAccuracyPercentage_FAIRWAYSHIT_2006","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2006","stat_name","year"
1,1,"Joe Durant",101,78.43,1102,1405,"DrivingAccuracyPercentage",2006
2,2,"Fred Funk",106,78.01,1142,1464,"DrivingAccuracyPercentage",2006
3,3,"Scott Verplank",88,75.23,899,1195,"DrivingAccuracyPercentage",2006
4,4,"Heath Slocum",96,74.67,970,1299,"DrivingAccuracyPercentage",2006
5,5,"Larry Mize",53,74.33,527,709,"DrivingAccuracyPercentage",2006
6,6,"Omar Uresti",61,74.3,610,821,"DrivingAccuracyPercentage",2006
7,7,"Steve Elkington",52,73.91,524,709,"DrivingAccuracyPercentage",2006
8,8,"Jim Furyk",89,73.85,912,1235,"DrivingAccuracyPercentage",2006
9,9,"Olin Browne",108,73.56,1071,1456,"DrivingAccuracyPercentage",2006
10,10,"Paul Goydos",72,72.9,729,1000,"DrivingAccuracyPercentage",2006
11,11,"Bart Bryant",87,72.76,876,1204,"DrivingAccuracyPercentage",2006
11,11,"Kirk Triplett",58,72.76,569,782,"DrivingAccuracyPercentage",2006
13,13,"Skip Kendall",72,72.08,723,1003,"DrivingAccuracyPercentage",2006
14,14,"Jeff Maggert",81,71.86,812,1130,"DrivingAccuracyPercentage",2006
15,15,"Daisuke Maruyama",83,71.75,790,1101,"DrivingAccuracyPercentage",2006
16,16,"Briny Baird",81,71.39,766,1073,"DrivingAccuracyPercentage",2006
17,17,"John Cook",67,70.65,657,930,"DrivingAccuracyPercentage",2006
18,18,"Chris Riley",86,70.55,805,1141,"DrivingAccuracyPercentage",2006
19,19,"Jerry Kelly",100,70.26,978,1392,"DrivingAccuracyPercentage",2006
20,20,"Ian Poulter",53,70.19,511,728,"DrivingAccuracyPercentage",2006
21,21,"Billy Mayfair",94,70.14,921,1313,"DrivingAccuracyPercentage",2006
22,22,"Brian Davis",92,70.06,880,1256,"DrivingAccuracyPercentage",2006
23,23,"Greg Kraft",79,70.01,733,1047,"DrivingAccuracyPercentage",2006
24,24,"Tjaart van der Walt",60,69.69,554,795,"DrivingAccuracyPercentage",2006
25,25,"Jerry Smith",94,69.66,893,1282,"DrivingAccuracyPercentage",2006
26,26,"Zach Johnson",98,69.63,855,1228,"DrivingAccuracyPercentage",2006
27,27,"Robert Gamez",94,69.51,912,1312,"DrivingAccuracyPercentage",2006
28,28,"Mark Brooks",90,69.35,860,1240,"DrivingAccuracyPercentage",2006
29,29,"Robert Allenby",79,69.33,746,1076,"DrivingAccuracyPercentage",2006
30,30,"David Toms",76,69.18,671,970,"DrivingAccuracyPercentage",2006
31,31,"Brian Gay",107,68.64,1022,1489,"DrivingAccuracyPercentage",2006
32,32,"Ron Whittaker",81,68.57,755,1101,"DrivingAccuracyPercentage",2006
33,33,"Kenny Perry",73,68.45,690,1008,"DrivingAccuracyPercentage",2006
34,34,"Hunter Mahan",98,68.31,931,1363,"DrivingAccuracyPercentage",2006
35,35,"David Branshaw",98,68.23,930,1363,"DrivingAccuracyPercentage",2006
36,36,"Richard Johnson",94,67.99,888,1306,"DrivingAccuracyPercentage",2006
37,37,"Kent Jones",103,67.95,954,1404,"DrivingAccuracyPercentage",2006
38,38,"Duffy Waldorf",96,67.92,868,1278,"DrivingAccuracyPercentage",2006
39,39,"Corey Pavin",74,67.66,659,974,"DrivingAccuracyPercentage",2006
40,40,"Doug Barron",74,67.49,687,1018,"DrivingAccuracyPercentage",2006
41,41,"Nicholas Thompson",96,67.44,874,1296,"DrivingAccuracyPercentage",2006
