"RyderCupPoints_RANKTHISWEEK_2005","RyderCupPoints_RANKLASTWEEK_2005","RyderCupPoints_PLAYERNAME_2005","RyderCupPoints_EVENTS_2005","RyderCupPoints_POINTS_2005","stat_name","year"
1,1,"Tiger Woods",25,1932.5,"RyderCupPoints",2005
2,2,"Phil Mickelson",26,766.875,"RyderCupPoints",2005
3,3,"Chris DiMarco",30,462.5,"RyderCupPoints",2005
4,4,"Davis Love III",30,451.875,"RyderCupPoints",2005
5,5,"David Toms",32,366.417,"RyderCupPoints",2005
6,6,"Jim Furyk",33,301,"RyderCupPoints",2005
7,7,"Kenny Perry",27,258,"RyderCupPoints",2005
8,8,"Stewart Cink",32,250.227,"RyderCupPoints",2005
9,9,"Fred Couples",25,247.727,"RyderCupPoints",2005
10,10,"Ben Crane",29,233.75,"RyderCupPoints",2005
11,11,"Fred Funk",38,233.333,"RyderCupPoints",2005
12,12,"Bart Bryant",35,231.477,"RyderCupPoints",2005
13,13,"Vaughn Taylor",40,230.833,"RyderCupPoints",2005
14,14,"Ryan Palmer",42,222.5,"RyderCupPoints",2005
15,15,"Tom Lehman",25,202.917,"RyderCupPoints",2005
16,16,"Pat Perez",37,197.5,"RyderCupPoints",2005
17,17,"Tim Herron",34,196.667,"RyderCupPoints",2005
18,18,"Charles Howell III",37,175.727,"RyderCupPoints",2005
19,19,"Jason Bohn",37,175,"RyderCupPoints",2005
20,20,"Mark Calcavecchia",35,172.5,"RyderCupPoints",2005
21,21,"Woody Austin",38,170,"RyderCupPoints",2005
22,22,"Justin Leonard",30,167.5,"RyderCupPoints",2005
23,23,"Zach Johnson",38,166.477,"RyderCupPoints",2005
24,24,"Scott Verplank",31,161.667,"RyderCupPoints",2005
25,25,"Joe Ogilvie",38,161.352,"RyderCupPoints",2005
26,26,"Brandt Jobe",27,153.215,"RyderCupPoints",2005
27,27,"Jerry Kelly",40,143.75,"RyderCupPoints",2005
28,28,"Ted Purdy",45,141.25,"RyderCupPoints",2005
29,29,"Lucas Glover",38,138.042,"RyderCupPoints",2005
30,30,"Brad Faxon",31,138,"RyderCupPoints",2005
31,31,"Chad Campbell",33,134.602,"RyderCupPoints",2005
32,32,"JJ Henry",41,133.75,"RyderCupPoints",2005
33,33,"Heath Slocum",37,131.25,"RyderCupPoints",2005
34,34,"Sean OHair",29,129.167,"RyderCupPoints",2005
35,35,"Billy Mayfair",40,125.833,"RyderCupPoints",2005
36,36,"Tom Pernice Jr",40,125,"RyderCupPoints",2005
37,37,"Tag Ridings",40,121.25,"RyderCupPoints",2005
38,38,"Olin Browne",38,120,"RyderCupPoints",2005
39,39,"Kevin Na",41,117.5,"RyderCupPoints",2005
40,40,"Harrison Frazar",37,117.25,"RyderCupPoints",2005
41,41,"Tim Petrovic",41,115.715,"RyderCupPoints",2005
42,42,"Jonathan Kaye",29,112.5,"RyderCupPoints",2005
43,43,"Hunter Mahan",43,110,"RyderCupPoints",2005
44,44,"Joe Durant",31,108.334,"RyderCupPoints",2005
45,45,"Loren Roberts",23,107.5,"RyderCupPoints",2005
46,46,"Bo Van Pelt",41,106.833,"RyderCupPoints",2005
47,47,"Wes Short Jr",21,105,"RyderCupPoints",2005
48,48,"Hank Kuehne",39,100,"RyderCupPoints",2005
48,48,"Scott McCarron",30,100,"RyderCupPoints",2005
48,48,"Rocco Mediate",30,100,"RyderCupPoints",2005
51,51,"Jeff Brehaut",34,97.083,"RyderCupPoints",2005
52,52,"Brent Geiberger",31,95,"RyderCupPoints",2005
53,53,"Arron Oberholser",28,92.5,"RyderCupPoints",2005
54,54,"Joey Sindelar",38,91.25,"RyderCupPoints",2005
55,55,"John Daly",31,90,"RyderCupPoints",2005
56,56,"Dean Wilson",38,89.25,"RyderCupPoints",2005
57,57,"Todd Fischer",44,83.125,"RyderCupPoints",2005
58,58,"JL Lewis",39,81.25,"RyderCupPoints",2005
58,58,"Jeff Sluman",34,81.25,"RyderCupPoints",2005
60,60,"Bob Tway",32,80,"RyderCupPoints",2005
61,61,"Robert Gamez",36,78.75,"RyderCupPoints",2005
62,62,"Jason Gore",8,75,"RyderCupPoints",2005
63,63,"Ben Curtis",28,70,"RyderCupPoints",2005
63,63,"John Rollins",38,70,"RyderCupPoints",2005
63,63,"Patrick Sheehan",43,70,"RyderCupPoints",2005
66,66,"Michael Allen",39,69.667,"RyderCupPoints",2005
67,67,"Rich Beem",32,67.5,"RyderCupPoints",2005
67,67,"Jonathan Byrd",39,67.5,"RyderCupPoints",2005
67,67,"JP Hayes",30,67.5,"RyderCupPoints",2005
67,67,"Chris Smith",42,67.5,"RyderCupPoints",2005
71,71,"Charles Warren",31,66,"RyderCupPoints",2005
72,72,"Mark Wilson",33,65.167,"RyderCupPoints",2005
73,73,"Doug Barron",24,65,"RyderCupPoints",2005
74,74,"Joey Snyder III",31,60.834,"RyderCupPoints",2005
75,75,"Tommy Armour III",37,60,"RyderCupPoints",2005
75,75,"Corey Pavin",30,60,"RyderCupPoints",2005
77,77,"Robert Damron",36,57.5,"RyderCupPoints",2005
78,78,"Cameron Beckman",41,55,"RyderCupPoints",2005
78,78,"Brett Quigley",40,55,"RyderCupPoints",2005
80,80,"Briny Baird",40,52.727,"RyderCupPoints",2005
81,81,"Kirk Triplett",24,51.875,"RyderCupPoints",2005
82,82,"James Driscoll",26,45,"RyderCupPoints",2005
83,83,"Ryan Moore",15,42.5,"RyderCupPoints",2005
84,84,"Steve Lowery",39,38.5,"RyderCupPoints",2005
85,85,"Billy Andrade",35,37.5,"RyderCupPoints",2005
85,85,"Dudley Hart",36,37.5,"RyderCupPoints",2005
87,87,"Glen Day",38,35.5,"RyderCupPoints",2005
88,88,"Steve Flesch",38,35,"RyderCupPoints",2005
88,88,"Brian Gay",44,35,"RyderCupPoints",2005
88,88,"Steve Stricker",29,35,"RyderCupPoints",2005
88,88,"Roland Thatcher",35,35,"RyderCupPoints",2005
92,92,"Paul Goydos",17,32.5,"RyderCupPoints",2005
93,93,"Matt Gogel",34,32.083,"RyderCupPoints",2005
94,94,"Lee Janzen",33,30,"RyderCupPoints",2005
94,94,"Shaun Micheel",37,30,"RyderCupPoints",2005
94,94,"Michael Putnam",5,30,"RyderCupPoints",2005
97,97,"Kevin Sutherland",33,28.958,"RyderCupPoints",2005
98,98,"Bob Heintz",24,27.5,"RyderCupPoints",2005
98,98,"Dicky Pride",14,27.5,"RyderCupPoints",2005
98,98,"Nick Watney",31,27.5,"RyderCupPoints",2005
101,101,"John Huston",35,26.333,"RyderCupPoints",2005
102,102,"Frank Lickliter II",40,25,"RyderCupPoints",2005
102,102,"Andrew Magee",29,25,"RyderCupPoints",2005
104,104,"Brett Wetterich",28,21,"RyderCupPoints",2005
105,105,"Todd Hamilton",35,20,"RyderCupPoints",2005
106,106,"Jay Haas",21,19.375,"RyderCupPoints",2005
107,107,"Scott Dunlap",4,17.5,"RyderCupPoints",2005
107,107,"Omar Uresti",35,17.5,"RyderCupPoints",2005
107,107,"Duffy Waldorf",35,17.5,"RyderCupPoints",2005
110,110,"Jay Williamson",25,16,"RyderCupPoints",2005
111,111,"John Cook",31,15,"RyderCupPoints",2005
112,112,"DJ Trahan",28,14.667,"RyderCupPoints",2005
113,113,"Jeff Maggert",27,14.334,"RyderCupPoints",2005
114,114,"Spike McRoy",22,13.75,"RyderCupPoints",2005
115,115,"Danny Ellis",16,12.5,"RyderCupPoints",2005
116,116,"Neal Lancaster",40,10.833,"RyderCupPoints",2005
117,117,"Bob Estes",30,10,"RyderCupPoints",2005
118,118,"Jay Delsing",19,9.75,"RyderCupPoints",2005
119,119,"Kent Jones",42,9.333,"RyderCupPoints",2005
120,120,"Craig Barlow",34,7.5,"RyderCupPoints",2005
120,120,"Will Ma Kenzie",25,7.5,"RyderCupPoints",2005
122,122,"Darron Stiles",26,6.875,"RyderCupPoints",2005
123,123,"Bill Haas",10,5,"RyderCupPoints",2005
124,124,"Dennis Paulson",29,4,"RyderCupPoints",2005
125,125,"Tom Byrum",32,3.75,"RyderCupPoints",2005
125,125,"Jason Dufner",10,3.75,"RyderCupPoints",2005
125,125,"Craig Stadler",6,3.75,"RyderCupPoints",2005
128,128,"Kevin Stadler",33,3.542,"RyderCupPoints",2005
129,129,"Chris Anderson",25,3,"RyderCupPoints",2005
129,129,"Ken Duke",10,3,"RyderCupPoints",2005
131,131,"Danny Briggs",39,1.875,"RyderCupPoints",2005
132,132,"Matt Kuchar",31,1.666,"RyderCupPoints",2005
133,133,"Pat Bates",9,1.25,"RyderCupPoints",2005
133,133,"Jaxon Brigman",2,1.25,"RyderCupPoints",2005
133,133,"Mark Brooks",39,1.25,"RyderCupPoints",2005
133,133,"Chris Couch",10,1.25,"RyderCupPoints",2005
133,133,"Scott Simpson",15,1.25,"RyderCupPoints",2005
138,138,"Marco Dawson",23,1,"RyderCupPoints",2005
138,138,"Hunter Haas",28,1,"RyderCupPoints",2005
