"Front9Par3ScoringAverage_RANKTHISWEEK_2007","Front9Par3ScoringAverage_RANKLASTWEEK_2007","Front9Par3ScoringAverage_PLAYERNAME_2007","Front9Par3ScoringAverage_ROUNDS_2007","Front9Par3ScoringAverage_AVG_2007","Front9Par3ScoringAverage_TOTALSTROKES_2007","Front9Par3ScoringAverage_TOTALHOLES_2007","stat_name","year"
1,1,"Tim Clark",66,2.91,384,132,"Front9Par3ScoringAverage",2007
2,2,"Tiger Woods",63,2.97,344,116,"Front9Par3ScoringAverage",2007
3,3,"Steve Allan",63,2.98,387,130,"Front9Par3ScoringAverage",2007
4,4,"Ken Duke",112,2.99,658,220,"Front9Par3ScoringAverage",2007
4,4,"Bob Heintz",85,2.99,515,172,"Front9Par3ScoringAverage",2007
4,4,"Matt Kuchar",85,2.99,490,164,"Front9Par3ScoringAverage",2007
4,4,"Heath Slocum",101,2.99,610,204,"Front9Par3ScoringAverage",2007
8,8,"Jose Coceres",50,3,297,99,"Front9Par3ScoringAverage",2007
8,8,"Freddie Jacobson",70,3,408,136,"Front9Par3ScoringAverage",2007
8,8,"Craig Kanada",109,3,654,218,"Front9Par3ScoringAverage",2007
8,8,"Jeff Overton",60,3,366,122,"Front9Par3ScoringAverage",2007
12,12,"Mark Brooks",53,3.01,319,106,"Front9Par3ScoringAverage",2007
12,12,"Gavin Coles",87,3.01,523,174,"Front9Par3ScoringAverage",2007
12,12,"Steve Flesch",100,3.01,601,200,"Front9Par3ScoringAverage",2007
12,12,"Brian Gay",107,3.01,638,212,"Front9Par3ScoringAverage",2007
12,12,"Mark Hensby",81,3.01,482,160,"Front9Par3ScoringAverage",2007
12,12,"Dicky Pride",71,3.01,427,142,"Front9Par3ScoringAverage",2007
12,12,"Rory Sabbatini",81,3.01,470,156,"Front9Par3ScoringAverage",2007
19,19,"Retief Goosen",50,3.02,278,92,"Front9Par3ScoringAverage",2007
19,19,"Paul Goydos",60,3.02,362,120,"Front9Par3ScoringAverage",2007
19,19,"Rocco Mediate",72,3.02,435,144,"Front9Par3ScoringAverage",2007
19,19,"Jay Williamson",50,3.02,302,100,"Front9Par3ScoringAverage",2007
23,23,"Tommy Armour III",81,3.03,491,162,"Front9Par3ScoringAverage",2007
23,23,"Aaron Baddeley",83,3.03,479,158,"Front9Par3ScoringAverage",2007
23,23,"Steve Elkington",87,3.03,540,178,"Front9Par3ScoringAverage",2007
23,23,"Jim Furyk",84,3.03,484,160,"Front9Par3ScoringAverage",2007
23,23,"JP Hayes",89,3.03,546,180,"Front9Par3ScoringAverage",2007
23,23,"Charley Hoffman",97,3.03,576,190,"Front9Par3ScoringAverage",2007
23,23,"Tom Pernice Jr",104,3.03,625,206,"Front9Par3ScoringAverage",2007
23,23,"Michael Sim",52,3.03,309,102,"Front9Par3ScoringAverage",2007
23,23,"Henrik Stenson",52,3.03,273,90,"Front9Par3ScoringAverage",2007
23,23,"Charlie Wi",90,3.03,546,180,"Front9Par3ScoringAverage",2007
23,23,"Mark Wilson",87,3.03,540,178,"Front9Par3ScoringAverage",2007
34,34,"Briny Baird",115,3.04,700,230,"Front9Par3ScoringAverage",2007
34,34,"KJ Choi",87,3.04,505,166,"Front9Par3ScoringAverage",2007
34,34,"Robert Garrigus",95,3.04,572,188,"Front9Par3ScoringAverage",2007
34,34,"Lucas Glover",98,3.04,565,186,"Front9Par3ScoringAverage",2007
34,34,"Scott Gutschewski",67,3.04,407,134,"Front9Par3ScoringAverage",2007
34,34,"Richard Johnson",93,3.04,574,189,"Front9Par3ScoringAverage",2007
34,34,"Justin Leonard",95,3.04,560,184,"Front9Par3ScoringAverage",2007
34,34,"George McNeill",95,3.04,590,194,"Front9Par3ScoringAverage",2007
34,34,"Phil Mickelson",73,3.04,426,140,"Front9Par3ScoringAverage",2007
34,34,"Kenny Perry",83,3.04,517,170,"Front9Par3ScoringAverage",2007
34,34,"Justin Rose",63,3.04,347,114,"Front9Par3ScoringAverage",2007
34,34,"Steve Stricker",81,3.04,474,156,"Front9Par3ScoringAverage",2007
34,34,"DJ Trahan",99,3.04,615,202,"Front9Par3ScoringAverage",2007
34,34,"Dean Wilson",92,3.04,560,184,"Front9Par3ScoringAverage",2007
48,48,"Michael Allen",74,3.05,463,152,"Front9Par3ScoringAverage",2007
48,48,"Andrew Buckle",77,3.05,463,152,"Front9Par3ScoringAverage",2007
48,48,"Jonathan Byrd",73,3.05,433,142,"Front9Par3ScoringAverage",2007
48,48,"Anders Hansen",55,3.05,323,106,"Front9Par3ScoringAverage",2007
48,48,"Lee Janzen",66,3.05,396,130,"Front9Par3ScoringAverage",2007
48,48,"Tom Lehman",62,3.05,366,120,"Front9Par3ScoringAverage",2007
48,48,"Rod Pampling",92,3.05,537,176,"Front9Par3ScoringAverage",2007
48,48,"Adam Scott",69,3.05,403,132,"Front9Par3ScoringAverage",2007
56,56,"Glen Day",85,3.06,521,170,"Front9Par3ScoringAverage",2007
56,56,"Nathan Green",103,3.06,642,210,"Front9Par3ScoringAverage",2007
56,56,"Tom Johnson",74,3.06,459,150,"Front9Par3ScoringAverage",2007
56,56,"Zach Johnson",76,3.06,447,146,"Front9Par3ScoringAverage",2007
56,56,"Jerry Kelly",101,3.06,594,194,"Front9Par3ScoringAverage",2007
56,56,"Steve Lowery",74,3.06,440,144,"Front9Par3ScoringAverage",2007
56,56,"Sean OHair",98,3.06,576,188,"Front9Par3ScoringAverage",2007
56,56,"Greg Owen",81,3.06,483,158,"Front9Par3ScoringAverage",2007
56,56,"Tim Petrovic",106,3.06,655,214,"Front9Par3ScoringAverage",2007
56,56,"Ted Purdy",102,3.06,618,202,"Front9Par3ScoringAverage",2007
56,56,"Vaughn Taylor",91,3.06,550,180,"Front9Par3ScoringAverage",2007
56,56,"Scott Verplank",82,3.06,484,158,"Front9Par3ScoringAverage",2007
68,68,"Bob Estes",88,3.07,540,176,"Front9Par3ScoringAverage",2007
68,68,"Jeff Gove",103,3.07,632,206,"Front9Par3ScoringAverage",2007
68,68,"Craig Lile",77,3.07,467,152,"Front9Par3ScoringAverage",2007
68,68,"John Mallinger",96,3.07,601,196,"Front9Par3ScoringAverage",2007
68,68,"Pat Perez",84,3.07,504,164,"Front9Par3ScoringAverage",2007
68,68,"Brandt Snedeker",105,3.07,644,210,"Front9Par3ScoringAverage",2007
74,74,"Woody Austin",95,3.08,585,190,"Front9Par3ScoringAverage",2007
74,74,"Jason Bohn",57,3.08,351,114,"Front9Par3ScoringAverage",2007
74,74,"DJ Brigman",67,3.08,413,134,"Front9Par3ScoringAverage",2007
74,74,"Stewart Cink",91,3.08,529,172,"Front9Par3ScoringAverage",2007
74,74,"Brian Davis",101,3.08,597,194,"Front9Par3ScoringAverage",2007
74,74,"Marco Dawson",73,3.08,456,148,"Front9Par3ScoringAverage",2007
74,74,"Fred Funk",65,3.08,401,130,"Front9Par3ScoringAverage",2007
74,74,"Sergio Garcia",68,3.08,394,128,"Front9Par3ScoringAverage",2007
74,74,"JJ Henry",86,3.08,511,166,"Front9Par3ScoringAverage",2007
74,74,"Ryuji Imada",104,3.08,640,208,"Front9Par3ScoringAverage",2007
74,74,"Tripp Isenhour",86,3.08,529,172,"Front9Par3ScoringAverage",2007
74,74,"Jeff Maggert",79,3.08,492,160,"Front9Par3ScoringAverage",2007
74,74,"Arron Oberholser",69,3.08,406,132,"Front9Par3ScoringAverage",2007
74,74,"Geoff Ogilvy",84,3.08,475,154,"Front9Par3ScoringAverage",2007
74,74,"Ryan Palmer",91,3.08,560,182,"Front9Par3ScoringAverage",2007
74,74,"Chris Stroud",66,3.08,401,130,"Front9Par3ScoringAverage",2007
74,74,"Kevin Sutherland",85,3.08,523,170,"Front9Par3ScoringAverage",2007
74,74,"Johnson Wagner",97,3.08,592,192,"Front9Par3ScoringAverage",2007
92,92,"Robert Gamez",88,3.09,543,176,"Front9Par3ScoringAverage",2007
92,92,"Jason Gore",86,3.09,531,172,"Front9Par3ScoringAverage",2007
92,92,"Troy Matteson",87,3.09,544,176,"Front9Par3ScoringAverage",2007
92,92,"Billy Mayfair",98,3.09,618,200,"Front9Par3ScoringAverage",2007
92,92,"Shaun Micheel",91,3.09,526,170,"Front9Par3ScoringAverage",2007
92,92,"Kevin Na",84,3.09,513,166,"Front9Par3ScoringAverage",2007
92,92,"Joe Ogilvie",102,3.09,642,208,"Front9Par3ScoringAverage",2007
92,92,"Jesper Parnevik",88,3.09,544,176,"Front9Par3ScoringAverage",2007
92,92,"John Rollins",102,3.09,617,200,"Front9Par3ScoringAverage",2007
92,92,"John Senden",97,3.09,588,190,"Front9Par3ScoringAverage",2007
92,92,"David Toms",80,3.09,470,152,"Front9Par3ScoringAverage",2007
92,92,"Nick Watney",87,3.09,526,170,"Front9Par3ScoringAverage",2007
92,92,"Mike Weir",82,3.09,488,158,"Front9Par3ScoringAverage",2007
