"Puttingfrom1520_RANKTHISWEEK_2008","Puttingfrom1520_RANKLASTWEEK_2008","Puttingfrom1520_PLAYERNAME_2008","Puttingfrom1520_ROUNDS_2008","Puttingfrom1520_PctMADE_2008","Puttingfrom1520_ATTEMPTS_2008","Puttingfrom1520_PUTTSMADE_2008","stat_name","year"
1,1,"Chad Collins",72,29.57,115,34,"Puttingfrom1520",2008
2,2,"Ryan Palmer",69,26.77,127,34,"Puttingfrom1520",2008
3,3,"Adam Scott",51,26.53,49,13,"Puttingfrom1520",2008
4,4,"Chris Riley",51,26.47,68,18,"Puttingfrom1520",2008
5,5,"Eric Axley",113,26.32,171,45,"Puttingfrom1520",2008
6,6,"Steve Flesch",95,25,172,43,"Puttingfrom1520",2008
6,6,"Brian Gay",102,25,168,42,"Puttingfrom1520",2008
8,8,"Jeff Quinney",87,24.63,134,33,"Puttingfrom1520",2008
9,9,"Richard Johnson",77,24.62,130,32,"Puttingfrom1520",2008
10,10,"Corey Pavin",69,24.51,102,25,"Puttingfrom1520",2008
11,11,"Rod Pampling",83,24.46,139,34,"Puttingfrom1520",2008
12,12,"Justin Leonard",101,24.39,164,40,"Puttingfrom1520",2008
13,13,"Gavin Coles",54,24.3,107,26,"Puttingfrom1520",2008
14,14,"Greg Kraft",63,24.07,108,26,"Puttingfrom1520",2008
15,15,"Carlos Franco",73,23.85,130,31,"Puttingfrom1520",2008
16,16,"KJ Choi",74,23.71,97,23,"Puttingfrom1520",2008
16,16,"Tommy Gainey",60,23.71,97,23,"Puttingfrom1520",2008
18,18,"Charlie Wi",97,23.42,158,37,"Puttingfrom1520",2008
19,19,"Ken Duke",116,23.19,207,48,"Puttingfrom1520",2008
20,20,"Camilo Villegas",79,23.08,117,27,"Puttingfrom1520",2008
21,21,"Glen Day",64,22.94,109,25,"Puttingfrom1520",2008
21,21,"Carl Pettersson",110,22.94,170,39,"Puttingfrom1520",2008
23,23,"Stephen Leaney",53,22.89,83,19,"Puttingfrom1520",2008
24,24,"Jesper Parnevik",88,22.4,125,28,"Puttingfrom1520",2008
25,25,"Stephen Ames",83,22.38,143,32,"Puttingfrom1520",2008
26,26,"Bob Tway",70,22.13,122,27,"Puttingfrom1520",2008
27,27,"Dean Wilson",109,22.12,208,46,"Puttingfrom1520",2008
28,28,"Marc Turnesa",87,21.99,141,31,"Puttingfrom1520",2008
29,29,"Scott McCarron",63,21.9,105,23,"Puttingfrom1520",2008
30,30,"JP Hayes",67,21.77,124,27,"Puttingfrom1520",2008
31,31,"Chad Campbell",94,21.6,162,35,"Puttingfrom1520",2008
32,32,"Tom Scherrer",56,21.59,88,19,"Puttingfrom1520",2008
32,32,"DJ Trahan",94,21.59,176,38,"Puttingfrom1520",2008
34,34,"Kevin Na",97,21.38,159,34,"Puttingfrom1520",2008
35,35,"Daniel Chopra",84,21.05,133,28,"Puttingfrom1520",2008
36,36,"Tom Pernice Jr",104,20.97,186,39,"Puttingfrom1520",2008
37,37,"Pat Perez",93,20.95,148,31,"Puttingfrom1520",2008
38,38,"Jason Gore",94,20.93,172,36,"Puttingfrom1520",2008
39,39,"Craig Kanada",65,20.91,110,23,"Puttingfrom1520",2008
40,40,"Paul Goydos",78,20.77,130,27,"Puttingfrom1520",2008
41,41,"Mathias Gronberg",87,20.75,159,33,"Puttingfrom1520",2008
42,42,"Kevin Sutherland",98,20.65,155,32,"Puttingfrom1520",2008
43,43,"Frank Lickliter II",107,20.59,204,42,"Puttingfrom1520",2008
