"Par5GoingfortheGreen_RANKTHISWEEK_2012","Par5GoingfortheGreen_RANKLASTWEEK_2012","Par5GoingfortheGreen_PLAYERNAME_2012","Par5GoingfortheGreen_ROUNDS_2012","Par5GoingfortheGreen_Pct_2012","Par5GoingfortheGreen_ATTEMPTS_2012","Par5GoingfortheGreen_NONATTEMPTS_2012","stat_name","year"
1,1,"Bubba Watson",68,81.33,135,31,"Par5GoingfortheGreen",2012
2,2,"Rory McIlroy",60,76.47,91,28,"Par5GoingfortheGreen",2012
3,3,"Robert Garrigus",89,74.89,173,58,"Par5GoingfortheGreen",2012
4,4,"John Daly",50,73,73,27,"Par5GoingfortheGreen",2012
5,5,"Kyle Stanley",86,70.53,146,61,"Par5GoingfortheGreen",2012
6,6,"Henrik Stenson",51,70.45,93,39,"Par5GoingfortheGreen",2012
7,7,"Gary Woodland",70,70.18,120,51,"Par5GoingfortheGreen",2012
8,8,"Chris Couch",61,70.06,117,50,"Par5GoingfortheGreen",2012
9,9,"Sergio Garcia",57,69.85,95,41,"Par5GoingfortheGreen",2012
10,10,"Lee Westwood",60,69.53,89,39,"Par5GoingfortheGreen",2012
11,11,"Keegan Bradley",90,68.69,147,67,"Par5GoingfortheGreen",2012
12,12,"Dustin Johnson",70,67.08,108,53,"Par5GoingfortheGreen",2012
13,13,"Martin Laird",77,67.03,124,61,"Par5GoingfortheGreen",2012
14,14,"Bill Haas",79,66.16,131,67,"Par5GoingfortheGreen",2012
15,15,"Bobby Gates",87,65.37,151,80,"Par5GoingfortheGreen",2012
16,16,"Adam Scott",59,65.12,84,45,"Par5GoingfortheGreen",2012
17,17,"Rory Sabbatini",84,65.09,138,74,"Par5GoingfortheGreen",2012
18,18,"John Senden",81,64.85,131,71,"Par5GoingfortheGreen",2012
19,19,"Hunter Haas",69,64.74,101,55,"Par5GoingfortheGreen",2012
20,20,"Tiger Woods",69,64.71,99,54,"Par5GoingfortheGreen",2012
21,21,"Scott Stallings",78,64.42,134,74,"Par5GoingfortheGreen",2012
22,22,"Jhonattan Vegas",77,64.29,135,75,"Par5GoingfortheGreen",2012
23,23,"Robert Karlsson",54,63.49,80,46,"Par5GoingfortheGreen",2012
24,24,"Scott Piercy",95,63.2,170,99,"Par5GoingfortheGreen",2012
25,25,"Phil Mickelson",79,63.13,125,73,"Par5GoingfortheGreen",2012
