"Last15EventsShortGame_RANKTHISWEEK_2013","Last15EventsShortGame_RANKLASTWEEK_2013","Last15EventsShortGame_PLAYERNAME_2013","Last15EventsShortGame_EVENTS_2013","Last15EventsShortGame_RATING_2013","stat_name","year"
1,1,"Peter Lonard",1,8.5,"Last15EventsShortGame",2013
2,2,"Hideki Matsuyama",3,8.4,"Last15EventsShortGame",2013
2,2,"Sam Saunders",1,8.4,"Last15EventsShortGame",2013
2,2,"Duffy Waldorf",1,8.4,"Last15EventsShortGame",2013
5,5,"Paul Casey",1,8.3,"Last15EventsShortGame",2013
6,6,"Lee Williams",5,8,"Last15EventsShortGame",2013
7,7,"Zack Fischer",1,7.9,"Last15EventsShortGame",2013
8,8,"Russ Cochran",1,7.8,"Last15EventsShortGame",2013
9,9,"Kyle Reifers",3,7.6,"Last15EventsShortGame",2013
9,9,"Chris Riley",2,7.6,"Last15EventsShortGame",2013
9,9,"Brett Rumford",1,7.6,"Last15EventsShortGame",2013
9,9,"Paul Stankowski",1,7.6,"Last15EventsShortGame",2013
9,9,"Shawn Stefani",6,7.6,"Last15EventsShortGame",2013
14,14,"Miguel Angel Jimenez",1,7.5,"Last15EventsShortGame",2013
14,14,"Jeff Klauk",2,7.5,"Last15EventsShortGame",2013
14,14,"Brett Quigley",1,7.5,"Last15EventsShortGame",2013
14,14,"Brian Stuard",4,7.5,"Last15EventsShortGame",2013
14,14,"YE Yang",4,7.5,"Last15EventsShortGame",2013
19,19,"Shane Bertsch",1,7.4,"Last15EventsShortGame",2013
20,20,"Jonathan Byrd",3,7.3,"Last15EventsShortGame",2013
20,20,"Patrick Cantlay",1,7.3,"Last15EventsShortGame",2013
20,20,"Marco Dawson",2,7.3,"Last15EventsShortGame",2013
20,20,"Mathew Goggin",1,7.3,"Last15EventsShortGame",2013
20,20,"Scott Langley",5,7.3,"Last15EventsShortGame",2013
20,20,"Michael Letzig",4,7.3,"Last15EventsShortGame",2013
20,20,"Eric Meierdierks",2,7.3,"Last15EventsShortGame",2013
20,20,"Roger Sloan",1,7.3,"Last15EventsShortGame",2013
20,20,"Guan Tian Liang",1,7.3,"Last15EventsShortGame",2013
29,29,"Stewart Cink",6,7.2,"Last15EventsShortGame",2013
29,29,"Trevor Immelman",6,7.2,"Last15EventsShortGame",2013
29,29,"Matt Kuchar",11,7.2,"Last15EventsShortGame",2013
29,29,"Seung Yul Noh",5,7.2,"Last15EventsShortGame",2013
33,33,"Jonas Blixt",8,7.1,"Last15EventsShortGame",2013
33,33,"Luke Donald",10,7.1,"Last15EventsShortGame",2013
33,33,"Tom Gillis",7,7.1,"Last15EventsShortGame",2013
33,33,"Hunter Haas",4,7.1,"Last15EventsShortGame",2013
33,33,"Lee Janzen",3,7.1,"Last15EventsShortGame",2013
33,33,"Jonathan Randolph",1,7.1,"Last15EventsShortGame",2013
33,33,"Patrick Rodgers",1,7.1,"Last15EventsShortGame",2013
33,33,"Mark Wilson",5,7.1,"Last15EventsShortGame",2013
41,41,"Ricky Barnes",4,7,"Last15EventsShortGame",2013
41,41,"Thomas Bjorn",1,7,"Last15EventsShortGame",2013
41,41,"Glen Day",2,7,"Last15EventsShortGame",2013
41,41,"Jason Day",10,7,"Last15EventsShortGame",2013
41,41,"Matt Every",10,7,"Last15EventsShortGame",2013
41,41,"Peter Hanson",6,7,"Last15EventsShortGame",2013
41,41,"Neal Lancaster",1,7,"Last15EventsShortGame",2013
41,41,"Louis Oosthuizen",3,7,"Last15EventsShortGame",2013
41,41,"Jin Park",3,7,"Last15EventsShortGame",2013
41,41,"Justin Rose",9,7,"Last15EventsShortGame",2013
41,41,"Andre Stolz",1,7,"Last15EventsShortGame",2013
41,41,"Steve Stricker",10,7,"Last15EventsShortGame",2013
53,53,"Ryan Blaum",1,6.9,"Last15EventsShortGame",2013
53,53,"Steven Bowditch",7,6.9,"Last15EventsShortGame",2013
53,53,"Martin Flores",10,6.9,"Last15EventsShortGame",2013
53,53,"Brian Harman",6,6.9,"Last15EventsShortGame",2013
53,53,"Ryuji Imada",2,6.9,"Last15EventsShortGame",2013
53,53,"Robert Karlsson",4,6.9,"Last15EventsShortGame",2013
53,53,"Steve Marino",5,6.9,"Last15EventsShortGame",2013
53,53,"Billy Mayfair",2,6.9,"Last15EventsShortGame",2013
53,53,"Andres Romero",7,6.9,"Last15EventsShortGame",2013
53,53,"Brandt Snedeker",7,6.9,"Last15EventsShortGame",2013
53,53,"Darron Stiles",3,6.9,"Last15EventsShortGame",2013
53,53,"Nicholas Thompson",10,6.9,"Last15EventsShortGame",2013
65,65,"Joe Affrunti",1,6.8,"Last15EventsShortGame",2013
65,65,"Bart Bryant",1,6.8,"Last15EventsShortGame",2013
65,65,"Kevin Chappell",10,6.8,"Last15EventsShortGame",2013
65,65,"Steve Flesch",2,6.8,"Last15EventsShortGame",2013
65,65,"Andres Gonzales",1,6.8,"Last15EventsShortGame",2013
65,65,"Paul Haley II",3,6.8,"Last15EventsShortGame",2013
65,65,"Danny Lee",1,6.8,"Last15EventsShortGame",2013
65,65,"William McGirt",7,6.8,"Last15EventsShortGame",2013
65,65,"Rod Pampling",4,6.8,"Last15EventsShortGame",2013
65,65,"Ian Poulter",8,6.8,"Last15EventsShortGame",2013
65,65,"Jordan Spieth",12,6.8,"Last15EventsShortGame",2013
65,65,"Brendon Todd",8,6.8,"Last15EventsShortGame",2013
65,65,"David Toms",5,6.8,"Last15EventsShortGame",2013
65,65,"Casey Wittenberg",4,6.8,"Last15EventsShortGame",2013
79,79,"Robert Allenby",4,6.7,"Last15EventsShortGame",2013
79,79,"Jason Bohn",9,6.7,"Last15EventsShortGame",2013
79,79,"KJ Choi",9,6.7,"Last15EventsShortGame",2013
79,79,"Tim Clark",5,6.7,"Last15EventsShortGame",2013
79,79,"Ben Crane",6,6.7,"Last15EventsShortGame",2013
79,79,"Robert Gamez",1,6.7,"Last15EventsShortGame",2013
79,79,"Hunter Mahan",7,6.7,"Last15EventsShortGame",2013
79,79,"Bryce Molder",9,6.7,"Last15EventsShortGame",2013
79,79,"Joe Ogilvie",4,6.7,"Last15EventsShortGame",2013
79,79,"Heath Slocum",6,6.7,"Last15EventsShortGame",2013
79,79,"Scott Verplank",4,6.7,"Last15EventsShortGame",2013
79,79,"Jimmy Walker",9,6.7,"Last15EventsShortGame",2013
