"DrivingDistanceAllDrives_RANKTHISWEEK_2016","DrivingDistanceAllDrives_RANKLASTWEEK_2016","DrivingDistanceAllDrives_PLAYERNAME_2016","DrivingDistanceAllDrives_ROUNDS_2016","DrivingDistanceAllDrives_ALLDRIVES_2016","DrivingDistanceAllDrives_TOTALDISTANCE_2016","DrivingDistanceAllDrives_OFDRIVES_2016","stat_name","year"
1,1,"Bubba Watson",30,307.8,74480,242,"DrivingDistanceAllDrives",2016
2,2,"JB Holmes",39,306.5,121365,396,"DrivingDistanceAllDrives",2016
3,3,"Dustin Johnson",37,304,86337,284,"DrivingDistanceAllDrives",2016
4,4,"Rory McIlroy",37,301.1,92737,308,"DrivingDistanceAllDrives",2016
5,5,"Brooks Koepka",39,298.2,118079,396,"DrivingDistanceAllDrives",2016
5,6,"Andrew Loupe",50,298.2,170574,572,"DrivingDistanceAllDrives",2016
7,7,"Tony Finau",49,296.6,153024,516,"DrivingDistanceAllDrives",2016
8,8,"Ollie Schniederjans",23,295.8,78675,266,"DrivingDistanceAllDrives",2016
9,9,"Gary Woodland",45,295.3,143495,486,"DrivingDistanceAllDrives",2016
10,12,"Patrick Rodgers",49,294.6,160243,544,"DrivingDistanceAllDrives",2016
11,10,"Smylie Kaufman",57,294.5,170246,578,"DrivingDistanceAllDrives",2016
12,11,"Charlie Beljan",26,294.3,69744,237,"DrivingDistanceAllDrives",2016
13,14,"Jamie Lovemark",57,294,204603,696,"DrivingDistanceAllDrives",2016
14,13,"Jason Day",36,293.7,91636,312,"DrivingDistanceAllDrives",2016
15,14,"Ryan Palmer",46,293.3,171293,584,"DrivingDistanceAllDrives",2016
16,18,"Rickie Fowler",42,293,132457,452,"DrivingDistanceAllDrives",2016
16,17,"Jason Kokrak",52,293,167585,572,"DrivingDistanceAllDrives",2016
18,23,"Robert Garrigus",34,292.9,94318,322,"DrivingDistanceAllDrives",2016
18,16,"Scott Piercy",45,292.9,115970,396,"DrivingDistanceAllDrives",2016
20,19,"Luke List",51,292.8,159262,544,"DrivingDistanceAllDrives",2016
21,21,"Justin Rose",35,292.7,102449,350,"DrivingDistanceAllDrives",2016
22,25,"Adam Scott",39,292.6,98312,336,"DrivingDistanceAllDrives",2016
23,20,"Justin Thomas",53,291.7,151105,518,"DrivingDistanceAllDrives",2016
24,24,"Charles Howell III",63,291.1,202604,696,"DrivingDistanceAllDrives",2016
24,22,"Jimmy Walker",43,291.1,131575,452,"DrivingDistanceAllDrives",2016
26,28,"Phil Mickelson",37,290.3,109727,378,"DrivingDistanceAllDrives",2016
27,29,"Brendan Steele",48,290.1,154328,532,"DrivingDistanceAllDrives",2016
28,26,"Sergio Garcia",28,289.5,52696,182,"DrivingDistanceAllDrives",2016
29,27,"Hudson Swafford",52,289.4,156860,542,"DrivingDistanceAllDrives",2016
30,36,"Patrick Reed",53,289.3,129621,448,"DrivingDistanceAllDrives",2016
31,36,"Jhonattan Vegas",49,289.2,145741,504,"DrivingDistanceAllDrives",2016
32,38,"Hideki Matsuyama",40,288.9,105151,364,"DrivingDistanceAllDrives",2016
33,33,"Harris English",51,288.8,136914,474,"DrivingDistanceAllDrives",2016
33,29,"Charley Hoffman",49,288.8,144413,500,"DrivingDistanceAllDrives",2016
33,34,"Scott Pinckney",53,288.8,157097,544,"DrivingDistanceAllDrives",2016
33,32,"Harold Varner III",58,288.8,197560,684,"DrivingDistanceAllDrives",2016
37,38,"Daniel Berger",52,288.5,144241,500,"DrivingDistanceAllDrives",2016
38,31,"Martin Laird",46,288.4,152836,530,"DrivingDistanceAllDrives",2016
39,43,"Byeong Hun An",23,288.3,52469,182,"DrivingDistanceAllDrives",2016
40,38,"Hunter Mahan",43,287.9,123793,430,"DrivingDistanceAllDrives",2016
41,34,"Greg Owen",56,287.5,173081,602,"DrivingDistanceAllDrives",2016
41,41,"Jordan Spieth",34,287.5,80507,280,"DrivingDistanceAllDrives",2016
43,50,"Carlos Ortiz",47,287.4,135651,472,"DrivingDistanceAllDrives",2016
44,42,"Keegan Bradley",40,287.3,108031,376,"DrivingDistanceAllDrives",2016
45,44,"Charl Schwartzel",29,287,79223,276,"DrivingDistanceAllDrives",2016
46,47,"Sean OHair",45,286.9,160353,559,"DrivingDistanceAllDrives",2016
47,45,"Nick Taylor",57,286.7,176013,614,"DrivingDistanceAllDrives",2016
48,54,"Angel Cabrera",42,286.4,128307,448,"DrivingDistanceAllDrives",2016
48,50,"Anirban Lahiri",44,286.4,104255,364,"DrivingDistanceAllDrives",2016
50,52,"Scott Stallings",46,286.2,151701,530,"DrivingDistanceAllDrives",2016
51,49,"Steven Bowditch",40,286.1,112714,394,"DrivingDistanceAllDrives",2016
51,59,"Chesson Hadley",51,286.1,151064,528,"DrivingDistanceAllDrives",2016
53,54,"Graham DeLaet",50,285.9,166946,584,"DrivingDistanceAllDrives",2016
53,47,"Brandt Snedeker",47,285.9,137228,480,"DrivingDistanceAllDrives",2016
