"BounceBack_RANKTHISWEEK_2012","BounceBack_RANKLASTWEEK_2012","BounceBack_PLAYERNAME_2012","BounceBack_ROUNDS_2012","BounceBack_Pct_2012","stat_name","year"
1,1,"Robert Garrigus",89,26.64,"BounceBack",2012
2,2,"John Merrick",83,26.22,"BounceBack",2012
3,3,"Keegan Bradley",90,26.09,"BounceBack",2012
4,4,"Brandt Snedeker",81,25.85,"BounceBack",2012
5,5,"Graeme McDowell",55,25.75,"BounceBack",2012
6,6,"Daniel Summerhays",81,25.45,"BounceBack",2012
7,7,"Camilo Villegas",79,25.12,"BounceBack",2012
8,8,"Louis Oosthuizen",65,24.86,"BounceBack",2012
9,9,"Luke Donald",63,24.68,"BounceBack",2012
10,10,"Ryan Palmer",81,24.57,"BounceBack",2012
11,11,"Bryce Molder",83,24.4,"BounceBack",2012
12,12,"Matt Jones",53,24.14,"BounceBack",2012
13,13,"Charley Hoffman",88,24.08,"BounceBack",2012
14,14,"Robert Karlsson",54,24.04,"BounceBack",2012
15,15,"Blake Adams",107,23.96,"BounceBack",2012
16,16,"Tom Gillis",75,23.91,"BounceBack",2012
16,16,"Richard Lee",71,23.91,"BounceBack",2012
18,18,"Vaughn Taylor",81,23.77,"BounceBack",2012
19,19,"Martin Laird",77,23.45,"BounceBack",2012
20,20,"Jonas Blixt",72,23.24,"BounceBack",2012
21,21,"Ben Crane",73,23.22,"BounceBack",2012
22,22,"Ben Curtis",62,23.03,"BounceBack",2012
23,23,"Zach Johnson",95,22.98,"BounceBack",2012
24,24,"Jason Dufner",83,22.92,"BounceBack",2012
25,25,"John Senden",81,22.89,"BounceBack",2012
26,26,"Chad Campbell",84,22.71,"BounceBack",2012
27,27,"Sean OHair",84,22.65,"BounceBack",2012
28,28,"Davis Love III",64,22.61,"BounceBack",2012
29,29,"Bob Estes",78,22.58,"BounceBack",2012
30,30,"Jonathan Byrd",69,22.44,"BounceBack",2012
31,31,"Adam Scott",59,22.42,"BounceBack",2012
32,32,"Pat Perez",81,22.38,"BounceBack",2012
33,33,"Mark Anderson",75,22.36,"BounceBack",2012
34,34,"Jim Furyk",85,22.35,"BounceBack",2012
35,35,"Garth Mulroy",59,22.34,"BounceBack",2012
36,36,"Cameron Beckman",81,22.26,"BounceBack",2012
36,36,"John Huh",99,22.26,"BounceBack",2012
38,38,"Jeff Overton",101,22.18,"BounceBack",2012
39,39,"Charl Schwartzel",56,22.15,"BounceBack",2012
40,40,"Scott Piercy",95,22.1,"BounceBack",2012
41,41,"Harris English",98,22.03,"BounceBack",2012
42,42,"Jerry Kelly",84,21.98,"BounceBack",2012
43,43,"Chris Couch",61,21.97,"BounceBack",2012
44,44,"Webb Simpson",77,21.94,"BounceBack",2012
45,45,"Danny Lee",74,21.89,"BounceBack",2012
46,46,"Jason Day",57,21.79,"BounceBack",2012
47,47,"Jimmy Walker",101,21.75,"BounceBack",2012
48,48,"Greg Chalmers",88,21.72,"BounceBack",2012
49,49,"William McGirt",96,21.57,"BounceBack",2012
50,50,"Brendon de Jonge",115,21.55,"BounceBack",2012
51,51,"John Daly",50,21.52,"BounceBack",2012
52,52,"Ian Poulter",57,21.48,"BounceBack",2012
53,53,"Padraig Harrington",67,21.43,"BounceBack",2012
54,54,"Lee Westwood",60,21.39,"BounceBack",2012
55,55,"Bobby Gates",87,21.35,"BounceBack",2012
56,56,"Kevin Chappell",91,21.32,"BounceBack",2012
57,57,"Sangmoon Bae",81,21.25,"BounceBack",2012
58,58,"Rory McIlroy",60,21.23,"BounceBack",2012
59,59,"Phil Mickelson",79,21.05,"BounceBack",2012
59,59,"Brendon Todd",78,21.05,"BounceBack",2012
61,61,"Greg Owen",90,21.03,"BounceBack",2012
62,62,"JB Holmes",90,20.91,"BounceBack",2012
63,63,"Gavin Coles",72,20.9,"BounceBack",2012
64,64,"Freddie Jacobson",61,20.86,"BounceBack",2012
65,65,"Vijay Singh",99,20.79,"BounceBack",2012
66,66,"Erik Compton",81,20.78,"BounceBack",2012
67,67,"Billy Mayfair",90,20.76,"BounceBack",2012
68,68,"Bo Van Pelt",84,20.75,"BounceBack",2012
69,69,"Charles Howell III",98,20.71,"BounceBack",2012
70,70,"DA Points",88,20.7,"BounceBack",2012
71,71,"Ernie Els",80,20.67,"BounceBack",2012
72,72,"Charlie Wi",86,20.53,"BounceBack",2012
73,73,"Dicky Pride",62,20.51,"BounceBack",2012
74,74,"Rickie Fowler",84,20.48,"BounceBack",2012
74,74,"David Hearn",95,20.48,"BounceBack",2012
76,76,"Kevin Na",80,20.37,"BounceBack",2012
76,76,"Kevin Stadler",85,20.37,"BounceBack",2012
78,78,"Troy Matteson",100,20.33,"BounceBack",2012
79,79,"YE Yang",64,20.3,"BounceBack",2012
80,80,"Ryan Moore",89,20.23,"BounceBack",2012
81,81,"Hunter Haas",69,20.19,"BounceBack",2012
82,82,"Cameron Tringale",88,20.16,"BounceBack",2012
83,83,"Dustin Johnson",70,20.11,"BounceBack",2012
83,83,"Alexandre Rocha",62,20.11,"BounceBack",2012
85,85,"Matt Kuchar",86,20.1,"BounceBack",2012
86,86,"Ken Duke",104,20.07,"BounceBack",2012
87,87,"James Driscoll",83,20,"BounceBack",2012
87,87,"Jason Kokrak",79,20,"BounceBack",2012
87,87,"Edward Loar",59,20,"BounceBack",2012
90,90,"George McNeill",85,19.92,"BounceBack",2012
90,90,"Kyle Stanley",86,19.92,"BounceBack",2012
92,92,"Steve Stricker",73,19.88,"BounceBack",2012
93,93,"Matt Every",80,19.82,"BounceBack",2012
93,93,"Hunter Mahan",88,19.82,"BounceBack",2012
95,95,"Seung Yul Noh",105,19.71,"BounceBack",2012
96,96,"Derek Lamely",64,19.61,"BounceBack",2012
97,97,"Nick OHern",78,19.55,"BounceBack",2012
98,98,"Charlie Beljan",61,19.53,"BounceBack",2012
99,99,"Chris Kirk",93,19.52,"BounceBack",2012
100,100,"Sergio Garcia",57,19.46,"BounceBack",2012
101,101,"Bill Lunde",83,19.44,"BounceBack",2012
102,102,"Patrick Sheehan",58,19.43,"BounceBack",2012
103,103,"Roberto Castro",92,19.42,"BounceBack",2012
104,104,"Chris DiMarco",83,19.39,"BounceBack",2012
105,105,"Ricky Barnes",92,19.34,"BounceBack",2012
106,106,"Billy Horschel",63,19.33,"BounceBack",2012
106,106,"Carl Pettersson",92,19.33,"BounceBack",2012
108,108,"Nick Watney",97,19.3,"BounceBack",2012
109,109,"Troy Kelly",68,19.29,"BounceBack",2012
110,110,"Tommy Biershenk",74,19.22,"BounceBack",2012
111,111,"Kris Blanks",65,19.21,"BounceBack",2012
111,111,"Chris Stroud",86,19.21,"BounceBack",2012
111,111,"Mark Wilson",84,19.21,"BounceBack",2012
114,114,"Miguel Angel Carballo",73,19.05,"BounceBack",2012
115,115,"Jason Bohn",81,18.99,"BounceBack",2012
116,116,"Aaron Baddeley",73,18.97,"BounceBack",2012
117,117,"Tiger Woods",69,18.9,"BounceBack",2012
118,118,"Daniel Chopra",55,18.89,"BounceBack",2012
119,119,"Brandt Jobe",57,18.79,"BounceBack",2012
120,120,"Will Claxton",99,18.77,"BounceBack",2012
121,121,"Henrik Stenson",51,18.75,"BounceBack",2012
122,122,"Bubba Watson",68,18.71,"BounceBack",2012
123,123,"Geoff Ogilvy",73,18.65,"BounceBack",2012
124,124,"Michael Thompson",80,18.6,"BounceBack",2012
125,125,"Heath Slocum",93,18.52,"BounceBack",2012
126,126,"Graham DeLaet",79,18.26,"BounceBack",2012
127,127,"Russell Knox",72,18.18,"BounceBack",2012
127,127,"Josh Teater",97,18.18,"BounceBack",2012
129,129,"Mathew Goggin",65,18.13,"BounceBack",2012
129,129,"Nathan Green",73,18.13,"BounceBack",2012
131,131,"Jhonattan Vegas",77,18.08,"BounceBack",2012
132,132,"Trevor Immelman",76,18.07,"BounceBack",2012
133,133,"Rory Sabbatini",84,17.97,"BounceBack",2012
134,134,"Martin Flores",95,17.94,"BounceBack",2012
135,135,"Bud Cauley",99,17.93,"BounceBack",2012
136,136,"Brian Gay",91,17.84,"BounceBack",2012
136,136,"Kevin Kisner",69,17.84,"BounceBack",2012
138,138,"Johnson Wagner",88,17.83,"BounceBack",2012
139,139,"Kevin Streelman",89,17.81,"BounceBack",2012
140,140,"Robert Allenby",76,17.72,"BounceBack",2012
141,141,"David Mathis",83,17.7,"BounceBack",2012
142,142,"Arjun Atwal",79,17.67,"BounceBack",2012
143,143,"KJ Choi",71,17.62,"BounceBack",2012
143,143,"DJ Trahan",73,17.62,"BounceBack",2012
145,145,"Andres Romero",68,17.57,"BounceBack",2012
