"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2008","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2008","GIRPercentagefromOtherthanFairway_PLAYERNAME_2008","GIRPercentagefromOtherthanFairway_ROUNDS_2008","GIRPercentagefromOtherthanFairway_Pct_2008","GIRPercentagefromOtherthanFairway_GREENSHIT_2008","GIRPercentagefromOtherthanFairway_OFHOLES_2008","stat_name","year"
1,1,"Harrison Frazar",73,60.39,218,361,"GIRPercentagefromOtherthanFairway",2008
2,2,"Steve Allan",58,58.76,171,291,"GIRPercentagefromOtherthanFairway",2008
3,3,"Vijay Singh",82,58.56,260,444,"GIRPercentagefromOtherthanFairway",2008
4,4,"Bill Haas",99,58.22,308,529,"GIRPercentagefromOtherthanFairway",2008
5,5,"Bubba Watson",97,57.48,342,595,"GIRPercentagefromOtherthanFairway",2008
6,6,"Carlos Franco",73,56.67,221,390,"GIRPercentagefromOtherthanFairway",2008
7,7,"Woody Austin",109,56.43,281,498,"GIRPercentagefromOtherthanFairway",2008
8,8,"Joe Durant",92,55.87,176,315,"GIRPercentagefromOtherthanFairway",2008
9,9,"Brandt Jobe",52,55.7,176,316,"GIRPercentagefromOtherthanFairway",2008
10,10,"Kevin Sutherland",98,55.58,289,520,"GIRPercentagefromOtherthanFairway",2008
11,11,"Bob Estes",90,55.47,228,411,"GIRPercentagefromOtherthanFairway",2008
11,11,"Robert Garrigus",90,55.47,304,548,"GIRPercentagefromOtherthanFairway",2008
13,13,"Steve Elkington",84,55.2,191,346,"GIRPercentagefromOtherthanFairway",2008
14,14,"Sergio Garcia",72,55.03,219,398,"GIRPercentagefromOtherthanFairway",2008
15,15,"Kevin Stadler",90,54.71,238,435,"GIRPercentagefromOtherthanFairway",2008
16,16,"Robert Allenby",108,54.58,280,513,"GIRPercentagefromOtherthanFairway",2008
17,17,"Phil Mickelson",80,54.3,265,488,"GIRPercentagefromOtherthanFairway",2008
18,18,"Mathew Goggin",91,54.16,241,445,"GIRPercentagefromOtherthanFairway",2008
19,19,"Jason Day",81,54.02,242,448,"GIRPercentagefromOtherthanFairway",2008
20,20,"John Senden",93,53.92,220,408,"GIRPercentagefromOtherthanFairway",2008
21,21,"Boo Weekley",86,53.9,221,410,"GIRPercentagefromOtherthanFairway",2008
22,22,"Stewart Cink",87,53.86,272,505,"GIRPercentagefromOtherthanFairway",2008
23,23,"Pat Perez",93,53.81,254,472,"GIRPercentagefromOtherthanFairway",2008
24,24,"Jay Williamson",96,53.76,200,372,"GIRPercentagefromOtherthanFairway",2008
25,25,"Fred Couples",60,53.52,190,355,"GIRPercentagefromOtherthanFairway",2008
26,26,"Steve Marino",119,53.37,309,579,"GIRPercentagefromOtherthanFairway",2008
27,27,"Briny Baird",113,53.32,265,497,"GIRPercentagefromOtherthanFairway",2008
28,28,"Brad Adamonis",87,53.31,258,484,"GIRPercentagefromOtherthanFairway",2008
29,29,"Charles Howell III",101,53.26,319,599,"GIRPercentagefromOtherthanFairway",2008
30,30,"John Huston",56,53.25,131,246,"GIRPercentagefromOtherthanFairway",2008
31,31,"George McNeill",97,53.19,292,549,"GIRPercentagefromOtherthanFairway",2008
32,32,"Kenneth Ferrie",72,53.17,151,284,"GIRPercentagefromOtherthanFairway",2008
33,33,"Gavin Coles",54,53.07,95,179,"GIRPercentagefromOtherthanFairway",2008
34,34,"John Merrick",98,52.98,231,436,"GIRPercentagefromOtherthanFairway",2008
35,35,"Dustin Johnson",92,52.91,318,601,"GIRPercentagefromOtherthanFairway",2008
36,36,"Troy Matteson",94,52.87,267,505,"GIRPercentagefromOtherthanFairway",2008
37,37,"Charles Warren",79,52.76,201,381,"GIRPercentagefromOtherthanFairway",2008
38,38,"Kent Jones",68,52.67,128,243,"GIRPercentagefromOtherthanFairway",2008
39,39,"Bo Van Pelt",101,52.63,270,513,"GIRPercentagefromOtherthanFairway",2008
40,40,"Ryan Palmer",69,52.62,171,325,"GIRPercentagefromOtherthanFairway",2008
41,41,"Ted Purdy",68,52.54,176,335,"GIRPercentagefromOtherthanFairway",2008
42,42,"Travis Perkins",53,52.46,160,305,"GIRPercentagefromOtherthanFairway",2008
43,43,"Brenden Pappas",66,52.39,186,355,"GIRPercentagefromOtherthanFairway",2008
44,44,"Anthony Kim",81,52.33,247,472,"GIRPercentagefromOtherthanFairway",2008
45,45,"Jason Allred",63,52.25,186,356,"GIRPercentagefromOtherthanFairway",2008
46,46,"YE Yang",89,52.03,231,444,"GIRPercentagefromOtherthanFairway",2008
47,47,"Michael Letzig",88,51.92,216,416,"GIRPercentagefromOtherthanFairway",2008
48,48,"Camilo Villegas",79,51.86,237,457,"GIRPercentagefromOtherthanFairway",2008
49,49,"Dudley Hart",74,51.84,197,380,"GIRPercentagefromOtherthanFairway",2008
49,49,"Omar Uresti",74,51.84,127,245,"GIRPercentagefromOtherthanFairway",2008
51,51,"Daniel Chopra",84,51.82,284,548,"GIRPercentagefromOtherthanFairway",2008
