"Scrambling_RANKTHISWEEK_2005","Scrambling_RANKLASTWEEK_2005","Scrambling_PLAYERNAME_2005","Scrambling_ROUNDS_2005","Scrambling_Pct_2005","Scrambling_PARORBETTER_2005","Scrambling_MISSEDGIR_2005","stat_name","year"
1,1,"Mathias Gronberg",60,64.48,236,366,"Scrambling",2005
2,2,"Vijay Singh",111,64.19,371,578,"Scrambling",2005
3,3,"Jim Furyk",94,63.44,321,506,"Scrambling",2005
4,4,"Corey Pavin",77,63.21,311,492,"Scrambling",2005
5,5,"Jose Maria Olazabal",55,63.03,208,330,"Scrambling",2005
6,6,"Kevin Sutherland",89,62.91,324,515,"Scrambling",2005
7,7,"Loren Roberts",54,62.73,207,330,"Scrambling",2005
8,8,"Tom Pernice Jr",111,62.43,447,716,"Scrambling",2005
9,9,"Phil Mickelson",81,62.36,275,441,"Scrambling",2005
10,10,"Dudley Hart",84,62.33,316,507,"Scrambling",2005
11,11,"Fred Funk",102,62.28,383,615,"Scrambling",2005
12,12,"Pat Perez",89,62.24,361,580,"Scrambling",2005
13,13,"Kevin Na",88,62.21,382,614,"Scrambling",2005
14,14,"Tiger Woods",76,62.09,249,401,"Scrambling",2005
15,15,"Brian Gay",101,61.9,416,672,"Scrambling",2005
16,16,"Steve Stricker",62,61.81,267,432,"Scrambling",2005
17,17,"Brian Davis",75,61.77,286,463,"Scrambling",2005
18,18,"Jose Coceres",56,61.72,237,384,"Scrambling",2005
18,18,"Justin Rose",99,61.72,337,546,"Scrambling",2005
20,20,"Tim Herron",100,61.71,382,619,"Scrambling",2005
21,21,"Richard Johnson",50,61.67,177,287,"Scrambling",2005
22,22,"Phillip Price",77,61.66,283,459,"Scrambling",2005
23,23,"Daniel Chopra",108,61.54,416,676,"Scrambling",2005
23,23,"Bob Estes",92,61.54,360,585,"Scrambling",2005
25,25,"Carl Pettersson",109,61.47,394,641,"Scrambling",2005
26,26,"Matt Kuchar",60,61.35,246,401,"Scrambling",2005
27,27,"Chris DiMarco",83,61.16,296,484,"Scrambling",2005
28,28,"Brett Quigley",96,61.13,357,584,"Scrambling",2005
29,29,"Shigeki Maruyama",99,60.98,372,610,"Scrambling",2005
30,30,"Darron Stiles",78,60.92,279,458,"Scrambling",2005
31,31,"Jay Williamson",53,60.74,212,349,"Scrambling",2005
32,32,"Ryuji Imada",78,60.71,306,504,"Scrambling",2005
33,33,"Mark OMeara",66,60.67,290,478,"Scrambling",2005
34,34,"Steve Elkington",67,60.61,240,396,"Scrambling",2005
35,35,"Stephen Ames",82,60.56,327,540,"Scrambling",2005
36,36,"Charlie Wi",67,60.47,283,468,"Scrambling",2005
36,36,"Mark Wilson",74,60.47,260,430,"Scrambling",2005
38,38,"Rocco Mediate",73,60.35,274,454,"Scrambling",2005
39,39,"Carlos Franco",78,60.3,278,461,"Scrambling",2005
40,40,"Heath Slocum",103,60.28,340,564,"Scrambling",2005
41,41,"Bernhard Langer",67,60.19,254,422,"Scrambling",2005
42,42,"Luke Donald",67,60.12,205,341,"Scrambling",2005
43,43,"Ben Crane",78,60.08,301,501,"Scrambling",2005
44,44,"Jeff Sluman",94,60.04,335,558,"Scrambling",2005
45,45,"Glen Day",80,60,321,535,"Scrambling",2005
46,46,"Dan Forsman",52,59.93,166,277,"Scrambling",2005
47,47,"Omar Uresti",84,59.88,303,506,"Scrambling",2005
48,48,"Davis Love III",80,59.82,268,448,"Scrambling",2005
49,49,"Jeff Hart",63,59.71,246,412,"Scrambling",2005
50,50,"Kirk Triplett",55,59.58,199,334,"Scrambling",2005
51,51,"Stephen Leaney",89,59.54,309,519,"Scrambling",2005
52,52,"Doug Barron",70,59.47,248,417,"Scrambling",2005
53,53,"Stewart Cink",98,59.46,330,555,"Scrambling",2005
54,54,"Billy Mayfair",114,59.44,359,604,"Scrambling",2005
55,55,"JP Hayes",63,59.43,252,424,"Scrambling",2005
56,56,"Sergio Garcia",73,59.42,205,345,"Scrambling",2005
