"GIRPercentageLess125yards_RANKTHISWEEK_2007","GIRPercentageLess125yards_RANKLASTWEEK_2007","GIRPercentageLess125yards_PLAYERNAME_2007","GIRPercentageLess125yards_ROUNDS_2007","GIRPercentageLess125yards_Pct_2007","GIRPercentageLess125yards_GREENSHIT_2007","GIRPercentageLess125yards_TOTALHOLES_2007","GIRPercentageLess125yards_RELATIVETOPAR_2007","stat_name","year"
67,67,"Jason Bohn",57,81.64,209,256,-0.49,"GIRPercentageLess125yards",2007
68,68,"Fred Funk",65,81.62,191,234,-0.41,"GIRPercentageLess125yards",2007
68,68,"Shaun Micheel",91,81.62,293,359,-0.29,"GIRPercentageLess125yards",2007
70,70,"Glen Day",85,81.57,332,407,-0.37,"GIRPercentageLess125yards",2007
70,70,"Kirk Triplett",77,81.57,301,369,-0.39,"GIRPercentageLess125yards",2007
72,72,"Bob Estes",88,81.56,314,385,-0.48,"GIRPercentageLess125yards",2007
73,73,"Charlie Wi",90,81.55,358,439,-0.46,"GIRPercentageLess125yards",2007
74,74,"Heath Slocum",101,81.47,365,448,-0.44,"GIRPercentageLess125yards",2007
75,75,"Tom Byrum",50,81.4,175,215,-0.39,"GIRPercentageLess125yards",2007
76,76,"Ian Poulter",63,81.31,161,198,-0.45,"GIRPercentageLess125yards",2007
77,77,"Charles Warren",101,81.25,455,560,-0.46,"GIRPercentageLess125yards",2007
78,78,"Craig Bowden",78,81.23,290,357,-0.44,"GIRPercentageLess125yards",2007
79,79,"Parker McLachlin",83,81.2,311,383,-0.38,"GIRPercentageLess125yards",2007
80,80,"Aaron Baddeley",83,81.18,289,356,-0.48,"GIRPercentageLess125yards",2007
80,80,"Camilo Villegas",82,81.18,289,356,-0.44,"GIRPercentageLess125yards",2007
82,82,"Tim Herron",98,81.12,348,429,-0.41,"GIRPercentageLess125yards",2007
83,83,"Rod Pampling",92,81.06,338,417,-0.43,"GIRPercentageLess125yards",2007
84,84,"Kevin Sutherland",85,81.01,320,395,-0.42,"GIRPercentageLess125yards",2007
85,85,"Rich Barcelo",80,81,307,379,-0.42,"GIRPercentageLess125yards",2007
