"ReverseBounceBack_RANKTHISWEEK_2007","ReverseBounceBack_RANKLASTWEEK_2007","ReverseBounceBack_PLAYERNAME_2007","ReverseBounceBack_ROUNDS_2007","ReverseBounceBack_PctUNDERTHENOVERPAR_2007","ReverseBounceBack_TOTALUNDERTHENOVERPAR_2007","ReverseBounceBack_UNDERPAR_2007","stat_name","year"
1,1,"Tiger Woods",63,9.35,23,246,"ReverseBounceBack",2007
2,2,"Mark Brooks",53,10.87,15,138,"ReverseBounceBack",2007
3,3,"Stephen Leaney",82,11.98,29,242,"ReverseBounceBack",2007
4,4,"John Rollins",102,12.27,40,326,"ReverseBounceBack",2007
5,5,"Heath Slocum",101,12.87,44,342,"ReverseBounceBack",2007
6,6,"Billy Mayfair",98,12.97,41,316,"ReverseBounceBack",2007
7,7,"Anders Hansen",55,13.07,20,153,"ReverseBounceBack",2007
7,7,"Jay Williamson",50,13.07,23,176,"ReverseBounceBack",2007
9,9,"Jim Furyk",84,13.12,37,282,"ReverseBounceBack",2007
10,10,"Lee Janzen",66,13.3,27,203,"ReverseBounceBack",2007
11,11,"Rocco Mediate",72,13.33,32,240,"ReverseBounceBack",2007
12,12,"Sergio Garcia",68,13.48,31,230,"ReverseBounceBack",2007
13,13,"Steve Stricker",81,13.55,37,273,"ReverseBounceBack",2007
14,14,"KJ Choi",87,13.56,40,295,"ReverseBounceBack",2007
15,15,"Nick OHern",72,13.57,27,199,"ReverseBounceBack",2007
16,16,"Fred Funk",65,13.61,26,191,"ReverseBounceBack",2007
17,17,"David Toms",80,13.73,35,255,"ReverseBounceBack",2007
18,18,"Ken Duke",112,13.93,51,366,"ReverseBounceBack",2007
19,19,"Woody Austin",95,14.02,45,321,"ReverseBounceBack",2007
20,20,"Bo Van Pelt",104,14.13,51,361,"ReverseBounceBack",2007
21,21,"Nathan Green",103,14.16,48,339,"ReverseBounceBack",2007
22,22,"Chris Riley",59,14.21,28,197,"ReverseBounceBack",2007
23,23,"Phil Mickelson",73,14.23,37,260,"ReverseBounceBack",2007
24,24,"Justin Leonard",95,14.24,42,295,"ReverseBounceBack",2007
25,25,"Padraig Harrington",64,14.29,30,210,"ReverseBounceBack",2007
26,26,"JP Hayes",89,14.33,43,300,"ReverseBounceBack",2007
27,27,"Mark Hensby",81,14.34,36,251,"ReverseBounceBack",2007
27,27,"Richard Johnson",93,14.34,36,251,"ReverseBounceBack",2007
29,29,"Jeff Brehaut",59,14.37,25,174,"ReverseBounceBack",2007
30,30,"Scott Verplank",82,14.56,38,261,"ReverseBounceBack",2007
31,31,"Robert Garrigus",95,14.58,50,343,"ReverseBounceBack",2007
32,32,"Jeff Quinney",95,14.68,48,327,"ReverseBounceBack",2007
33,33,"Chris Stroud",66,14.75,32,217,"ReverseBounceBack",2007
34,34,"Matt Kuchar",85,14.76,40,271,"ReverseBounceBack",2007
34,34,"Kenny Perry",83,14.76,40,271,"ReverseBounceBack",2007
36,36,"Michael Putnam",96,14.8,45,304,"ReverseBounceBack",2007
37,37,"Cliff Kresge",107,14.83,51,344,"ReverseBounceBack",2007
38,38,"Zach Johnson",76,14.89,35,235,"ReverseBounceBack",2007
39,39,"Michael Sim",52,14.97,25,167,"ReverseBounceBack",2007
40,40,"Marco Dawson",73,15.06,36,239,"ReverseBounceBack",2007
41,41,"Bart Bryant",87,15.07,44,292,"ReverseBounceBack",2007
42,42,"Tommy Armour III",81,15.12,39,258,"ReverseBounceBack",2007
43,43,"Paul Goydos",60,15.29,26,170,"ReverseBounceBack",2007
44,44,"Tim Petrovic",106,15.3,56,366,"ReverseBounceBack",2007
45,45,"Arron Oberholser",69,15.31,32,209,"ReverseBounceBack",2007
46,46,"Tim Clark",66,15.32,34,222,"ReverseBounceBack",2007
47,47,"Bill Haas",93,15.34,48,313,"ReverseBounceBack",2007
47,47,"Ian Poulter",63,15.34,29,189,"ReverseBounceBack",2007
49,49,"Doug LaBelle II",104,15.36,45,293,"ReverseBounceBack",2007
